Team Totals 2009 MLB Standard Stats																
Player	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
BC	5928	948	1735	1121	349	48	217	860	709	1176	114	49	0.2927	0.3693	0.4776	6162.0
DBH	6358	1022	1879	1169	385	36	289	1032	698	1377	174	54	0.2955	0.3679	0.5038	4150.0
EE	6078	914	1677	1086	349	23	219	875	687	1138	177	47	0.2759	0.3514	0.4490	5005.0
FS	6922	1015	1992	1320	378	37	257	969	711	1187	159	48	0.2878	0.3573	0.4645	11084.0
GA	7085	1089	1960	1202	395	43	320	1129	784	1462	156	68	0.2766	0.3529	0.4800	5581.0
SAs	6957	1026	2002	1347	398	34	223	934	736	1229	133	44	0.2878	0.3583	0.4509	3457.0
SG	6922	1075	1989	1258	430	51	250	1039	798	1284	151	60	0.2873	0.3625	0.4726	10028.0
SK	5965	871	1696	1112	337	18	229	938	646	1072	109	35	0.2843	0.3561	0.4620	9063.0
TW	7359	1123	2044	1296	396	40	312	1085	788	1436	193	48	0.2778	0.3530	0.4696	11417.0
UA	6769	970	1869	1250	371	38	210	921	623	1269	132	68	0.2761	0.3414	0.4352	7579.0
WGAS	7227	1102	2054	1347	377	52	278	1068	788	1235	198	68	0.2842	0.3572	0.4662	5514.0
W	6155	820	1602	994	333	27	248	871	535	1372	57	26	0.2603	0.3245	0.4440	7753.0
Team Totals 2009 MLB Standard Stats																
Player	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank		
BC	1341.3	174	105	11	83	72	133	24	1072	453	1233	3.65	1.26	6303.0		
DBH	1533.0	242	128	5	91	97	39	4	1239	585	1495	4.05	1.36	10359.0		
EE	1500.3	196	125	9	104	60	113	15	1438	557	1333	3.61	1.26	1996.0		
FS	1326.7	186	86	5	91	71	111	8	1188	469	1226	3.98	1.28	4819.0		
GA	1180.0	164	73	5	73	75	69	20	1063	475	1121	4.41	1.35	6768.0		
SAs	1706.3	259	145	6	105	82	65	9	1398	595	1661	3.89	1.32	9791.0		
SG	1612.7	208	129	17	115	72	78	17	1443	477	1510	3.21	1.23	8736.0		
SK	1301.7	201	84	5	72	77	88	14	1148	494	1323	4.51	1.40	9083.0		
TW	1748.3	242	152	12	117	89	82	22	1528	547	1635	3.57	1.25	2797.0		
UA	1481.0	207	131	11	93	75	34	6	1215	525	1378	3.56	1.28	3130.0		
WGAS	2010.7	307	187	11	133	96	0	0	1655	637	1868	3.59	1.25	3498.0		
W	1603.3	227	128	13	90	76	64	14	1245	465	1621	3.80	1.30	5828.0		
