CATCHERS
Joe Mauer, C, $34.00
Buster Posey, C 1B, $28.00
Victor Martinez, C 1B, $25.00
Brian McCann, C, $22.00
Geovany Soto, C, $22.00
Carlos Santana, C, $17.00
Miguel Montero, C, $15.00
Carlos Ruiz, C, $12.00
Mike Napoli, 1B C, $11.00
Matt Wieters, C, $10.00
Chris Iannetta, C, $9.00
Yadier Molina, C 1B, $7.00
Jorge Posada, C, $7.00
Yorvit Torrealba, C, $7.00
Russell Martin, C, $5.00
David Ross, C, $5.00
Kurt Suzuki, C, $4.00
Josh Thole, C, $4.00
Hank Conger, C, $4.00, (R) $10.00
Nick Hundley, C, $3.00
John Jaso, C, $2.00
John Baker, C, $2.00
A.J. Pierzynski, C, $1.00
Miguel Olivo, C, $1.00
Ryan Doumit, C OF, $1.00
John Buck, C, $1.00
Jarrod Saltalamacchia, C, $1.00
Rod Barajas, C, $1.00
J.P. Arencibia, C, $1.00
Jonathan LuCroy, C, $1.00
Chris Snyder, C, $1.00
Brayan Pena, C, $1.00
Alex Avila, C, $1.00
Kelly Shoppach, C, $1.00
Ramon Hernandez, C 1B, $1.00
Dioner Navarro, C, $1.00
Jason Castro, C, $1.00
Ronny Paulino, C, $1.00
Gregg Zaun, C, $1.00
Ryan Hanigan, C, $1.00
Ivan Rodriguez, C, $1.00
Ramon Castro, C, $1.00
Jesus Flores, C, $1.00
Jason Varitek, C, $1.00
Jake Fox, DH C 1B OF, $1.00
Brian Schneider, C, $1.00
Adam Moore, C, $1.00
Francisco Cervelli, C, $1.00
Taylor Teagarden, C, $1.00
Jeff Mathis, C, $1.00
Lucas May, C, $1.00, (R) $10.00
Henry Blanco, C, $1.00
Jason Kendall, C, $1.00
Omir Santos, C, $1.00
Eli Whiteside, C, $1.00
Landon Powell, C, $1.00
Wil Nieves, C, $1.00
Brad Davis, C, $1.00
George Kottaras, C, $1.00
Mike Rivera, C, $1.00
Welington Castillo, C, $1.00, (R) $10.00
Jose Morales, C, $1.00
Raul Chavez, C, $1.00
Shawn Riggans, C, $1.00
Matt Pagnozzi, C, $1.00, (R) $10.00
Robinzon Diaz, C, $1.00
Lou Marson, C, $1.00
Javier Valentin, C, $1.00
Jason LaRue, C, $1.00
Chad Moeller, C, $1.00
Brett Hayes, C, $1.00
Dusty Ryan, C, $1.00, (R) $10.00
Carlos Maldonado, C, $1.00, (R) $10.00
Michel Hernandez, C, $1.00
John Hester, C, $1.00
Steve Hill, C, $1.00, (R) $10.00
Jose Molina, C, $1.00
Matt Treanor, C, $1.00
Humberto Quintero, C, $1.00
Gerald Laird, C, $1.00
Bryan Anderson, C SS, $1.00, (R) $10.00
Kevin Richardson, C, $1.00, (R) $10.00
Justin Huber, C, $1.00, (R) $10.00
Toby Hall, C, $1.00
Bobby Wilson, C, $1.00
Steve Holm, C, $1.00, (R) $10.00
Max Ramirez, C, $1.00
Donny Lucy, C, $1.00, (R) $10.00
Paul Phillips, C, $1.00, (R) $10.00
Raul Casanova, C, $1.00, (R) $10.00
Wilson Ramos, C, $1.00
A.J. Ellis, C, $1.00
Duca, Paul Lo Duca, C, $1.00
Jason Jaramillo, C, $1.00
Robinson Cancel, C, $1.00, (R) $10.00
