All Catchers 2010 MLB Standard Stats,,,,,,,,,,,,,,,,,
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank
Mauer, Joe C MIN 	Blue Crew	510	88	167	114	43	1	9	75	65	53	1	4	0.3275	0.4024	0.4686	111
Martinez, Victor C DET 	Want-a-be Ghetto All Stars	493	64	149	96	32	1	20	79	40	52	1	0	0.3022	0.3513	0.4929	138
Posey, Buster C SF 	Disco Bush Horticulturists	406	58	124	81	23	2	18	67	30	55	0	2	0.3054	0.3567	0.5049	173
McCann, Brian C ATL	Grape Apes	479	63	129	83	25	0	21	77	74	98	5	2	0.2693	0.3746	0.4530	186
Buck, John C FLA 	User Abuser	409	53	115	70	25	0	20	66	16	111	0	0	0.2812	0.3135	0.4890	222
Olivo, Miguel C TOR 	Floaters and Sinkers	394	55	106	69	17	6	14	58	27	117	7	4	0.2690	0.3153	0.4492	258
Napoli, Mike 1B ANA	Evil Empire	453	60	108	57	24	1	26	68	42	137	4	2	0.2384	0.3157	0.4680	266
Soto, Geovany C CHC 	Evil Empire	322	47	90	54	19	0	17	53	62	83	0	1	0.2795	0.3928	0.4969	288
Ruiz, Carlos C PHI	Shits & Giggles	371	43	112	75	28	1	8	53	55	54	0	1	0.3019	0.3995	0.4474	296
Posada, Jorge C NYY 	Blue Crew	383	49	95	53	23	1	18	57	59	99	3	1	0.2480	0.3570	0.4543	331
Pierzynski, A.J. C CHW 	Titty`s Warriors	474	43	128	90	29	0	9	56	15	39	3	4	0.2700	0.2998	0.3882	355
Molina, Yadier C STL 	Whiteness	465	34	122	97	19	0	6	62	42	51	8	4	0.2624	0.3295	0.3419	362
Hernandez, Ramon C CIN 	SA`s	313	30	93	67	18	1	7	48	29	49	0	0	0.2971	0.3639	0.4281	367
Suzuki, Kurt C OAK	Sofa Kings	495	55	120	87	18	2	13	71	33	49	3	2	0.2424	0.3033	0.3657	381
Torrealba, Yorvit C TEX 	Free Agent	325	31	88	67	14	0	7	37	33	67	7	5	0.2708	0.3425	0.3785	394
Jaso, John C TB	Grape Apes	339	57	89	63	18	3	5	44	59	39	4	0	0.2625	0.3722	0.3776	398
Barajas, Rod C LA 	Disco Bush Horticulturists	313	39	75	44	14	0	17	47	13	54	0	0	0.2396	0.2840	0.4473	420
Hanigan, Ryan C CIN	Free Agent	203	25	61	45	11	0	5	40	33	21	0	0	0.3005	0.4050	0.4286	429
Doumit, Ryan C PIT 	Floaters and Sinkers	406	42	102	66	22	1	13	45	41	87	1	0	0.2512	0.3311	0.4064	437
Montero, Miguel C ARI	User Abuser	297	36	79	48	20	2	9	43	29	71	0	1	0.2660	0.3323	0.4377	440
Kendall, Jason C KC 	Free Agent	434	39	111	93	18	0	0	37	37	45	12	7	0.2558	0.3182	0.2972	449
Rodriguez, Ivan C WAS	SA`s	398	32	106	83	18	1	4	49	16	66	2	3	0.2663	0.2936	0.3467	465
Wieters, Matt C BAL	Shits & Giggles	446	37	111	77	22	1	11	55	47	94	0	1	0.2489	0.3187	0.3767	478
Martin, Russell C NYY 	Free Agent	331	45	82	64	13	0	5	26	48	61	6	2	0.2477	0.3472	0.3323	501
Hundley, Nick C SD	Want-a-be Ghetto All Stars	273	33	68	40	18	2	8	43	25	66	0	5	0.2491	0.3082	0.4176	506
Castro, Ramon C CHW	Free Agent	115	18	32	22	2	0	8	21	9	26	1	0	0.2783	0.3280	0.5043	516
Santana, Carlos C CLE 	Whiteness	150	23	39	20	13	0	6	22	37	29	3	0	0.2600	0.4010	0.4667	527
Paulino, Ronny C NYM 	Free Agent	316	31	82	60	18	0	4	37	25	51	1	0	0.2595	0.3110	0.3544	541
Cervelli, Francisco C NYY	Free Agent	266	27	72	58	11	3	0	38	33	42	1	1	0.2707	0.3592	0.3346	553
LuCroy, Jonathan C MIL	Free Agent	277	24	70	57	9	0	4	26	18	44	4	2	0.2527	0.2997	0.3285	572
Ross, David C ATL	Free Agent	121	15	35	18	13	2	2	28	20	28	0	1	0.2893	0.3916	0.4793	576
Snyder, Chris C PIT	Sofa Kings	319	34	66	42	9	0	15	48	52	94	0	0	0.2069	0.3200	0.3762	593
Thole, Josh C NYM	Free Agent	202	17	56	45	7	1	3	17	24	25	1	0	0.2772	0.3568	0.3663	600
Molina, Bengie C TEX	Titty`s Warriors	377	27	94	76	12	1	5	36	24	34	0	0	0.2493	0.2968	0.3263	638
Varitek, Jason C BOS 	Free Agent	112	18	26	13	6	0	7	16	10	35	0	0	0.2321	0.2927	0.4732	650
Avila, Alex C DET 	Free Agent	294	28	67	48	12	0	7	31	36	71	2	2	0.2279	0.3163	0.3401	654
Molina, Jose C TOR	Free Agent	167	13	41	31	4	0	6	12	9	36	1	0	0.2455	0.3039	0.3772	684
Kottaras, George C MIL	Free Agent	212	24	43	21	12	1	9	26	33	44	2	0	0.2028	0.3052	0.3962	686
Pagnozzi, Matt C STL	Free Agent	39	4	14	11	2	0	1	10	2	8	0	0	0.3590	0.4048	0.4872	692
Whiteside, Eli C SF	Free Agent	126	19	30	19	6	1	4	10	8	35	1	2	0.2381	0.2993	0.3968	703
Schneider, Brian C PHI	Free Agent	125	17	30	21	4	1	4	15	19	25	0	0	0.2400	0.3448	0.3840	706
