All First Basemen 2010 MLB Standard Stats,,,,,,,,,,,,,,,,,
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank
Pujols, Albert 1B STL 	Grape Apes	587	115	183	101	39	1	42	118	103	76	14	4	0.3118	0.4143	0.5963	6
Votto, Joey 1B CIN 	Grape Apes	547	106	177	102	36	2	37	113	91	125	16	5	0.3236	0.4244	0.5996	7
Cabrera, Miguel 1B DET 	SA`s	548	111	180	96	45	1	38	126	89	95	3	3	0.3285	0.4198	0.6223	9
Konerko, Paul 1B CHW 	SA`s	548	89	171	101	30	1	39	111	72	110	0	1	0.3120	0.3930	0.5839	35
Gonzalez, Adrian 1B BOS 	Blue Crew	591	87	176	112	33	0	31	101	93	114	0	0	0.2978	0.3928	0.5110	64
Huff, Aubrey 1B SF 	User Abuser	569	100	165	99	35	5	26	86	83	91	7	0	0.2900	0.3847	0.5062	69
Swisher, Nick RF NYY	Grape Apes	566	91	163	98	33	3	29	89	58	139	1	2	0.2880	0.3592	0.5106	89
Howard, Ryan 1B PHI	Evil Empire	550	87	152	93	23	5	31	108	59	157	1	1	0.2764	0.3532	0.5055	91
Prado, Martin 2B ATL 	User Abuser	599	100	184	126	40	3	15	66	40	86	5	3	0.3072	0.3503	0.4591	94
Butler, Billy 1B KC	Whiteness	595	77	189	129	45	0	15	78	69	78	0	0	0.3176	0.3879	0.4689	106
Teixeira, Mark 1B NYY 	Whiteness	601	113	154	85	36	0	33	108	93	122	0	1	0.2562	0.3652	0.4809	110
Dunn, Adam 1B CHW 	Whiteness	558	85	145	69	36	2	38	103	77	199	0	1	0.2599	0.3565	0.5358	114
Martinez, Victor C DET 	Want-a-be Ghetto All Stars	493	64	149	96	32	1	20	79	40	52	1	0	0.3022	0.3513	0.4929	138
Youkilis, Kevin 1B BOS 	Whiteness	362	77	111	61	26	5	19	62	58	67	4	1	0.3066	0.4115	0.5635	139
Fielder, Prince 1B MIL	Want-a-be Ghetto All Stars	578	94	151	94	25	0	32	83	114	138	1	0	0.2612	0.4006	0.4706	144
Scott, Luke DH BAL	Free Agent	447	70	127	70	29	1	27	72	59	98	2	0	0.2841	0.3675	0.5347	145
Morneau, Justin 1B MIN 	Floaters and Sinkers	296	53	102	58	25	1	18	56	50	62	0	0	0.3446	0.4368	0.6182	154
Kendrick, Howard 2B ANA	Blue Crew	616	67	172	117	41	4	10	75	28	94	14	4	0.2792	0.3135	0.4075	163
Cuddyer, Michael 1B MIN	Titty`s Warriors	609	93	165	109	37	5	14	81	58	93	7	3	0.2709	0.3363	0.4171	166
Sanchez, Gaby 1B FLA	User Abuser	572	72	156	97	37	3	19	85	57	101	5	0	0.2727	0.3406	0.4476	168
Posey, Buster C SF 	Disco Bush Horticulturists	406	58	124	81	23	2	18	67	30	55	0	2	0.3054	0.3567	0.5049	173
LaRoche, Adam 1B ARI 	Shits & Giggles	560	75	146	82	37	2	25	100	48	172	0	1	0.2607	0.3203	0.4679	174
Zobrist, Ben OF TB	Floaters and Sinkers	541	77	129	89	28	2	10	75	92	107	24	3	0.2384	0.3457	0.3530	198
Loney, James 1B LA	Blue Crew	588	67	157	104	41	2	10	88	52	95	10	5	0.2670	0.3287	0.3946	203
Davis, Ike 1B NYM	Free Agent	523	73	138	85	33	1	19	71	72	138	3	2	0.2639	0.3511	0.4398	220
Lee, Derrek 1B ATL 	Evil Empire	547	80	142	88	35	0	19	80	73	134	1	3	0.2596	0.3466	0.4278	225
Barton, Daric 1B OAK	Sofa Kings	556	79	152	104	33	5	10	57	110	102	7	3	0.2734	0.3932	0.4047	228
Jones, Garrett 1B PIT 	Disco Bush Horticulturists	592	64	146	90	34	1	21	86	53	123	7	3	0.2466	0.3058	0.4139	230
Lee, Carlos LF HOU	Evil Empire	605	67	149	95	29	1	24	89	37	59	3	3	0.2463	0.2912	0.4165	241
Napoli, Mike 1B ANA	Evil Empire	453	60	108	57	24	1	26	68	42	137	4	2	0.2384	0.3157	0.4680	266
Sandoval, Pablo 3B SF 	Shits & Giggles	563	61	151	101	34	3	13	63	47	81	3	2	0.2682	0.3231	0.4085	285
Reynolds, Mark 3B BAL 	Titty`s Warriors	499	79	99	48	17	2	32	85	83	211	7	4	0.1984	0.3205	0.4329	287
Wigginton, Ty 1B COL 	Whiteness	581	63	144	92	29	1	22	76	50	116	0	1	0.2478	0.3117	0.4148	301
Overbay, Lyle 1B PIT 	Free Agent	534	75	130	71	37	2	20	67	67	131	1	0	0.2434	0.3295	0.4326	308
Betemit, Wilson 3B KC 	Free Agent	276	36	82	49	20	0	13	43	36	74	0	0	0.2971	0.3778	0.5109	321
Morse, Mike OF WAS	Free Agent	266	36	77	48	12	2	15	41	22	64	0	1	0.2895	0.3515	0.5188	327
Branyan, Russell 1B SEA 	Free Agent	376	47	89	45	19	0	25	57	46	131	1	0	0.2367	0.3232	0.4867	330
Lind, Adam DH TOR	Titty`s Warriors	569	57	135	77	32	3	23	72	38	144	0	0	0.2373	0.2871	0.4253	360
Rivera, Juan LF ANA	Free Agent	416	53	105	70	20	0	15	52	33	58	2	2	0.2524	0.3121	0.4087	361
Molina, Yadier C STL 	Whiteness	465	34	122	97	19	0	6	62	42	51	8	4	0.2624	0.3295	0.3419	362
Hernandez, Ramon C CIN 	SA`s	313	30	93	67	18	1	7	48	29	49	0	0	0.2971	0.3639	0.4281	367
Mora, Melvin 3B ARI 	Floaters and Sinkers	316	39	90	66	12	5	7	45	31	53	2	1	0.2848	0.3580	0.4209	368
Pena, Carlos 1B CHC 	Floaters and Sinkers	484	64	95	49	18	0	28	84	87	158	5	1	0.1963	0.3247	0.4070	370
Berkman, Lance 1B STL 	Free Agent	404	48	100	62	23	1	14	58	77	85	3	2	0.2475	0.3680	0.4134	374
Glaus, Troy 1B ATL 	SA`s	412	52	99	65	18	0	16	71	63	100	0	0	0.2403	0.3437	0.4005	377
Morales, Kendry 1B ANA 	Grape Apes	193	29	56	40	5	0	11	39	12	31	0	1	0.2902	0.3460	0.4870	393
Edmonds, Jim CF CIN	Free Agent	246	44	68	34	23	0	11	23	24	60	2	0	0.2764	0.3419	0.5041	400
Kennedy, Adam 2B WAS 	Free Agent	342	43	85	65	16	1	3	31	37	44	14	2	0.2485	0.3273	0.3275	408
Cantu, Jorge 3B TEX	Free Agent	472	50	121	80	29	1	11	56	29	95	0	0	0.2564	0.3035	0.3919	409
Hinske, Eric RF ATL 	Free Agent	281	38	72	39	21	1	11	51	33	75	0	0	0.2562	0.3375	0.4555	415
Cairo, Miguel 3B CIN 	Free Agent	200	30	58	42	12	0	4	28	17	30	4	0	0.2900	0.3527	0.4100	436
Lowrie, Jed 2B BOS 	Free Agent	171	31	49	26	14	0	9	24	25	25	1	1	0.2865	0.3807	0.5263	442
Rosales, Adam 2B OAK 	Free Agent	255	31	69	52	8	2	7	31	19	65	2	2	0.2706	0.3213	0.4000	460
Helton, Todd 1B COL	Free Agent	398	48	102	75	18	1	8	37	67	90	0	0	0.2563	0.3615	0.3668	489
Hawpe, Brad RF TB 	Free Agent	298	31	73	41	21	2	9	44	42	85	2	1	0.2450	0.3382	0.4195	493
Moreland, Mitch 1B TEX 	Free Agent	145	20	37	24	4	0	9	25	25	36	3	1	0.2552	0.3642	0.4690	496
Sweeney, Mike DH PHI	Free Agent	151	21	38	25	5	0	8	26	14	21	3	0	0.2517	0.3214	0.4437	510
Kelly, Don LF DET	Free Agent	238	30	58	45	4	0	9	27	8	42	3	0	0.2437	0.2720	0.3739	518
Gload, Ross 1B PHI	Free Agent	128	16	36	22	8	0	6	22	8	15	1	0	0.2812	0.3285	0.4844	537
Viciedo, Dayan 3B CHW	Free Agent	104	17	32	20	7	0	5	13	2	25	1	0	0.3077	0.3208	0.5192	542
Smoak, Justin 1B SEA	Titty`s Warriors	348	40	76	49	14	0	13	48	46	91	1	0	0.2184	0.3073	0.3707	551
Nady, Xavier 1B ARI 	Free Agent	317	33	81	62	13	0	6	33	17	85	0	0	0.2555	0.3064	0.3533	555
Giambi, Jason 1B COL 	Free Agent	176	17	43	28	9	0	6	35	35	47	2	0	0.2443	0.3784	0.3977	561
Kotsay, Mark 1B CHW	Free Agent	327	30	78	51	17	2	8	31	32	36	1	3	0.2385	0.3064	0.3761	613
LaPorta, Matt 1B CLE	Shits & Giggles	376	41	83	55	15	1	12	41	46	82	0	0	0.2207	0.3059	0.3617	616
Ishikawa, Travis 1B SF	Free Agent	158	18	42	28	11	0	3	22	13	29	0	0	0.2658	0.3198	0.3924	625
Blum, Geoff SS ARI 	Free Agent	202	22	54	41	10	1	2	22	15	33	0	0	0.2673	0.3211	0.3564	631
Lowell, Mike 3B BOS	Free Agent	218	23	52	34	13	0	5	26	23	34	0	0	0.2385	0.3074	0.3670	672
Ka'aihue, Kila 1B KC	Free Agent	180	22	39	24	6	1	8	25	24	39	0	1	0.2167	0.3073	0.3944	675
Johnson, Dan DH TB	Free Agent	111	15	22	12	3	0	7	23	25	27	1	0	0.1982	0.3429	0.4144	677
Salazar, Oscar LF SD	Free Agent	131	19	31	24	4	0	3	19	16	23	1	2	0.2366	0.3176	0.3359	681
Craig, Allen RF STL	Free Agent	114	12	28	17	7	0	4	18	9	26	0	1	0.2456	0.2984	0.4123	690
