All Second Basemen 2010 MLB Standard Stats,,,,,,,,,,,,,,,,,
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank
Cano, Robinson 2B NYY 	Want-a-be Ghetto All Stars	626	103	200	127	41	3	29	109	57	77	3	2	0.3195	0.3807	0.5335	25
Uggla, Dan 2B ATL 	Sofa Kings	589	100	169	105	31	0	33	105	78	149	4	1	0.2869	0.3694	0.5076	58
Johnson, Kelly 2B ARI	SA`s	585	93	166	99	36	5	26	71	79	148	13	7	0.2838	0.3698	0.4957	76
Weeks, Rickie 2B MIL	Sofa Kings	651	112	175	110	32	4	29	83	76	184	11	4	0.2688	0.3660	0.4639	77
Prado, Martin 2B ATL 	User Abuser	599	100	184	126	40	3	15	66	40	86	5	3	0.3072	0.3503	0.4591	94
Phillips, Brandon 2B CIN 	Grape Apes	626	100	172	116	33	5	18	59	46	83	16	12	0.2748	0.3319	0.4297	117
Utley, Chase 2B PHI	Titty`s Warriors	425	75	117	79	20	2	16	65	63	63	13	2	0.2753	0.3875	0.4447	150
Figgins, Chone 2B SEA	Shits & Giggles	602	62	156	132	21	2	1	35	74	114	42	15	0.2591	0.3401	0.3056	156
Infante, Omar 2B FLA 	Evil Empire	471	65	151	125	15	3	8	47	29	62	7	6	0.3206	0.3586	0.4161	159
Kendrick, Howard 2B ANA	Blue Crew	616	67	172	117	41	4	10	75	28	94	14	4	0.2792	0.3135	0.4075	163
Kinsler, Ian 2B TEX	SA`s	391	73	112	82	20	1	9	45	56	57	15	5	0.2864	0.3821	0.4118	176
Aviles, Mike 2B KC	Evil Empire	424	63	129	102	16	3	8	32	20	49	14	5	0.3042	0.3348	0.4127	177
Zobrist, Ben OF TB	Floaters and Sinkers	541	77	129	89	28	2	10	75	92	107	24	3	0.2384	0.3457	0.3530	198
Polanco, Placido 3B PHI 	User Abuser	554	76	165	130	27	2	6	52	32	47	5	0	0.2978	0.3394	0.3863	205
Walker, Neil 2B PIT	Free Agent	426	57	126	82	29	3	12	66	34	83	2	3	0.2958	0.3490	0.4624	213
Scutaro, Marco SS BOS 	Floaters and Sinkers	632	92	174	125	38	0	11	56	53	71	5	4	0.2753	0.3329	0.3877	217
Pedroia, Dustin 2B BOS 	SA`s	302	53	87	50	24	1	12	41	37	38	9	1	0.2881	0.3668	0.4934	236
Uribe, Juan SS LA 	Shits & Giggles	521	64	129	79	24	2	24	85	45	92	1	2	0.2476	0.3096	0.4395	255
Raburn, Ryan LF DET	Grape Apes	371	54	104	63	25	1	15	62	27	92	2	2	0.2803	0.3399	0.4744	256
Theriot, Ryan 2B STL 	Free Agent	586	72	158	139	15	2	2	29	41	74	20	9	0.2696	0.3207	0.3123	260
Keppinger, Jeff 2B HOU 	Whiteness	514	62	148	107	34	1	6	59	51	36	4	1	0.2879	0.3509	0.3930	261
Ellis, Mark 2B OAK 	Free Agent	436	45	127	98	24	0	5	49	40	56	7	6	0.2913	0.3579	0.3807	284
Sanchez, Freddy 2B SF 	Disco Bush Horticulturists	431	55	126	96	22	1	7	47	32	68	3	1	0.2923	0.3418	0.3968	289
Hudson, Orlando 2B SD 	Titty`s Warriors	497	80	133	98	24	5	6	37	50	87	10	3	0.2676	0.3375	0.3722	291
Hall, Bill OF HOU 	Free Agent	344	44	85	50	16	1	18	46	34	104	9	1	0.2471	0.3158	0.4564	298
Wigginton, Ty 1B COL 	Whiteness	581	63	144	92	29	1	22	76	50	116	0	1	0.2478	0.3117	0.4148	301
Callaspo, Alberto 3B ANA	Blue Crew	562	61	149	110	27	2	10	56	31	42	5	3	0.2651	0.3017	0.3737	312
Rodriguez, Sean 2B TB 	Free Agent	343	53	86	56	19	2	9	40	21	97	13	3	0.2507	0.3083	0.3965	315
Carroll, Jamey SS LA	Free Agent	351	48	102	86	15	1	0	23	51	64	12	4	0.2906	0.3790	0.3390	335
Mora, Melvin 3B ARI 	Floaters and Sinkers	316	39	90	66	12	5	7	45	31	53	2	1	0.2848	0.3580	0.4209	368
Hairston, Jerry SS SD 	Free Agent	430	53	105	80	13	2	10	50	31	54	9	6	0.2442	0.2987	0.3535	371
Schumaker, Skip 2B STL	Free Agent	476	66	126	102	18	1	5	42	43	64	5	3	0.2647	0.3283	0.3382	375
Vizquel, Omar 3B CHW 	Free Agent	344	36	95	81	11	1	2	30	34	45	11	7	0.2762	0.3411	0.3314	383
Beckham, Gordon 2B CHW 	Blue Crew	444	58	112	76	25	2	9	49	37	92	4	6	0.2523	0.3171	0.3784	399
Roberts, Brian 2B BAL 	Free Agent	230	28	64	46	14	0	4	15	26	40	12	2	0.2783	0.3538	0.3913	403
Kennedy, Adam 2B WAS 	Free Agent	342	43	85	65	16	1	3	31	37	44	14	2	0.2485	0.3273	0.3275	408
DeWitt, Blake 2B CHC	Free Agent	440	47	115	81	24	5	5	52	47	86	3	2	0.2614	0.3360	0.3727	418
Brignac, Reid 2B TB 	Free Agent	301	39	77	55	13	1	8	45	20	77	3	3	0.2558	0.3067	0.3854	426
Eckstein, David 2B SD	Free Agent	442	49	118	94	23	0	1	29	27	35	8	1	0.2670	0.3208	0.3258	435
Cairo, Miguel 3B CIN 	Free Agent	200	30	58	42	12	0	4	28	17	30	4	0	0.2900	0.3527	0.4100	436
Hill, Aaron 2B TOR	Want-a-be Ghetto All Stars	528	70	108	60	22	0	26	68	41	85	2	2	0.2045	0.2712	0.3939	438
Conrad, Brooks 3B ATL	Free Agent	156	31	39	19	11	1	8	33	16	45	5	1	0.2500	0.3237	0.4872	441
Lowrie, Jed 2B BOS 	Free Agent	171	31	49	26	14	0	9	24	25	25	1	1	0.2865	0.3807	0.5263	442
Valdez, Wilson SS PHI	Free Agent	333	37	86	63	16	3	4	35	21	43	7	0	0.2583	0.3062	0.3604	452
Rosales, Adam 2B OAK 	Free Agent	255	31	69	52	8	2	7	31	19	65	2	2	0.2706	0.3213	0.4000	460
Young, Eric 2B COL 	Want-a-be Ghetto All Stars	172	26	42	36	5	1	0	8	17	32	17	6	0.2442	0.3122	0.2849	467
Lopez, Felipe 3B BOS 	Free Agent	391	52	91	64	18	1	8	37	44	81	8	2	0.2327	0.3105	0.3453	468
Bloomquist, Willie OF CIN	Free Agent	187	31	50	36	10	1	3	17	9	28	8	5	0.2674	0.2995	0.3797	469
Guillen, Carlos 2B DET 	Free Agent	253	26	69	45	17	1	6	34	21	41	1	2	0.2727	0.3273	0.4190	487
Guzman, Cristian 2B TEX	Free Agent	365	48	97	79	12	4	2	26	20	63	4	2	0.2658	0.3112	0.3370	488
Bonifacio, Emilio OF FLA	Free Agent	180	30	47	38	6	3	0	10	17	42	12	0	0.2611	0.3200	0.3278	490
Casilla, Alexi SS MIN 	Free Agent	152	26	42	30	7	4	1	20	13	17	6	1	0.2763	0.3313	0.3947	509
Barmes, Clint 2B HOU 	Free Agent	387	43	91	62	21	0	8	50	35	66	3	2	0.2351	0.3047	0.3514	512
Izturis, Maicer 3B ANA	Free Agent	212	27	53	36	13	1	3	27	21	27	7	3	0.2500	0.3207	0.3632	513
Getz, Chris 2B KC 	Free Agent	224	23	53	44	9	0	0	18	19	28	15	2	0.2366	0.3020	0.2768	515
Donald, Jason SS CLE 	Free Agent	296	39	75	49	19	3	4	24	22	70	5	1	0.2534	0.3115	0.3784	520
Herrera, Jonathan 2B COL	Free Agent	222	34	63	54	6	2	1	21	25	36	2	2	0.2838	0.3520	0.3423	521
Rhymes, Will 2B DET	Free Agent	191	30	58	42	12	3	1	19	14	16	0	3	0.3037	0.3495	0.4136	525
Patterson, Eric LF SD 	Free Agent	187	26	40	21	8	5	6	16	14	62	11	1	0.2139	0.2723	0.4064	536
Baker, Jeff 3B CHC 	Free Agent	206	29	56	37	13	2	4	21	16	50	1	0	0.2718	0.3259	0.4126	544
McDonald, John 2B TOR	Free Agent	152	27	38	21	9	2	6	23	6	26	2	1	0.2500	0.2733	0.4539	545
Fontenot, Mike 2B SF 	Free Agent	240	24	68	51	13	3	1	25	15	41	1	4	0.2833	0.3308	0.3750	550
Santiago, Ramon SS DET	Free Agent	320	38	84	71	9	1	3	22	30	56	2	2	0.2625	0.3370	0.3250	556
Janish, Paul SS CIN	Free Agent	200	23	52	37	10	0	5	25	22	30	1	3	0.2600	0.3378	0.3850	571
Nix, Jayson 3B CLE 	Free Agent	331	32	74	45	15	0	14	34	20	87	1	2	0.2236	0.2806	0.3958	579
Sanchez, Angel SS HOU	Free Agent	253	30	70	57	9	4	0	25	11	45	0	1	0.2767	0.3120	0.3439	583
Young, Delwyn OF PIT 	Free Agent	191	22	45	26	11	1	7	28	13	52	1	0	0.2356	0.2864	0.4136	604
Lillibridge, Brent 2B CHW	Free Agent	98	19	22	13	5	2	2	16	3	36	5	3	0.2245	0.2475	0.3776	624
Blum, Geoff SS ARI 	Free Agent	202	22	54	41	10	1	2	22	15	33	0	0	0.2673	0.3211	0.3564	631
Lugo, Julio 2B BAL	Free Agent	241	26	60	54	4	2	0	20	15	50	5	7	0.2490	0.2984	0.2822	640
Castillo, Luis 2B NYM	Free Agent	247	28	58	52	4	2	0	17	39	25	8	3	0.2348	0.3368	0.2672	648
Aybar, Willy DH TB 	Free Agent	270	22	62	43	13	0	6	43	30	61	0	0	0.2296	0.3094	0.3444	657
Pena, Ramiro 3B NYY	Free Agent	154	18	35	33	1	1	0	18	6	27	7	1	0.2273	0.2577	0.2468	662
Punto, Nick 3B MIN 	Free Agent	252	24	60	47	11	1	1	20	28	50	6	2	0.2381	0.3134	0.3016	663
Cabrera, Everth SS SD	Free Agent	212	22	44	34	6	3	1	22	19	54	10	6	0.2075	0.2790	0.2783	668
Salazar, Oscar LF SD	Free Agent	131	19	31	24	4	0	3	19	16	23	1	2	0.2366	0.3176	0.3359	681
Blanco, Andres 2B TEX	Free Agent	166	17	46	35	10	1	0	13	11	24	0	2	0.2771	0.3297	0.3494	695
Arias, Joaquin 2B KC 	Free Agent	128	23	33	26	6	1	0	13	4	23	1	0	0.2578	0.2803	0.3203	696
Andino, Robert 2B BAL	Free Agent	61	6	18	12	4	0	2	6	3	13	1	1	0.2951	0.3333	0.4590	704
Grudzielanek, Mark 2B CLE	Free Agent	110	10	30	30	0	0	0	11	8	10	2	0	0.2727	0.3277	0.2727	711
Espinosa, Danny 2B WAS 	Free Agent	103	16	22	11	4	1	6	15	9	30	0	2	0.2136	0.2768	0.4466	718
Miles, Aaron 2B STL	Free Agent	139	14	39	34	5	0	0	9	6	14	0	1	0.2806	0.3108	0.3165	726
German, Esteban 2B TEX 	Free Agent	13	5	3	3	0	0	0	1	3	2	4	1	0.2308	0.3750	0.2308	743
Worth, Danny SS DET 	Free Agent	106	10	27	20	5	0	2	8	6	13	1	2	0.2547	0.2946	0.3585	748
Belliard, Ronnie 2B LA	Free Agent	162	24	35	22	10	1	2	19	18	35	2	2	0.2160	0.2951	0.3272	753
Moore, Scott 2B BAL 	Free Agent	86	8	18	13	2	0	3	10	8	19	3	0	0.2093	0.2737	0.3372	754
Inglett, Joe LF MIL 	Free Agent	142	15	36	22	8	5	1	8	15	34	1	0	0.2535	0.3312	0.4014	764
Tolbert, Matt 2B MIN	Free Agent	87	8	20	12	4	3	1	18	9	18	1	1	0.2299	0.2929	0.3793	766
Hernandez, Luis 2B NYM 	Free Agent	44	4	11	8	1	0	2	6	2	7	1	0	0.2500	0.2979	0.4091	772
Greene, Tyler SS STL	Free Agent	104	14	23	17	3	1	2	10	13	24	2	0	0.2212	0.3279	0.3269	774
Sutton, Drew SS BOS	Free Agent	39	5	10	7	1	0	2	8	3	13	0	0	0.2564	0.3095	0.4359	776
Sizemore, Scott 2B DET	Free Agent	143	19	32	22	7	0	3	14	15	40	0	0	0.2238	0.2956	0.3357	800
Nelson, Chris 2B COL	Free Agent	25	7	7	6	1	0	0	0	1	4	1	0	0.2800	0.3077	0.3200	824
Abreu, Tony 3B ARI	Free Agent	193	16	45	32	11	1	1	13	4	47	2	1	0.2332	0.2438	0.3161	838
Ransom, Cody 3B PHI	Free Agent	42	6	8	6	0	0	2	5	3	11	1	0	0.1905	0.2444	0.3333	844
