All Shortstops 2010 MLB Standard Stats,,,,,,,,,,,,,,,,,
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank
Ramirez, Hanley SS FLA 	Free Agent	543	92	163	112	28	2	21	76	64	93	32	10	0.3002	0.3780	0.4751	22
Tulowitzki, Troy SS COL 	User Abuser	470	89	148	86	32	3	27	95	48	78	11	2	0.3149	0.3807	0.5681	40
Reyes, Jose SS NYM 	Blue Crew	563	83	159	109	29	10	11	54	31	63	30	10	0.2824	0.3205	0.4281	85
Ramirez, Alexei SS CHW 	Want-a-be Ghetto All Stars	585	83	165	116	29	2	18	70	27	82	13	8	0.2821	0.3134	0.4308	120
Jeter, Derek SS NYY 	Evil Empire	663	111	179	136	30	3	10	67	63	106	18	5	0.2700	0.3401	0.3695	132
Furcal, Rafael SS LA	Sofa Kings	383	66	115	77	23	7	8	43	40	60	22	4	0.3003	0.3662	0.4595	136
Infante, Omar 2B FLA 	Evil Empire	471	65	151	125	15	3	8	47	29	62	7	6	0.3206	0.3586	0.4161	159
Drew, Stephen SS ARI	Shits & Giggles	565	83	157	97	33	12	15	61	62	108	10	5	0.2779	0.3518	0.4584	164
Andrus, Elvis SS TEX	Whiteness	588	88	156	138	15	3	0	35	64	96	32	15	0.2653	0.3425	0.3010	169
Aviles, Mike 2B KC	Evil Empire	424	63	129	102	16	3	8	32	20	49	14	5	0.3042	0.3348	0.4127	177
Desmond, Ian SS WAS	Disco Bush Horticulturists	525	59	141	100	27	4	10	65	28	109	17	5	0.2686	0.3080	0.3924	192
Pennington, Cliff SS OAK	Free Agent	508	64	127	87	26	8	6	46	50	96	29	5	0.2500	0.3191	0.3681	208
Scutaro, Marco SS BOS 	Floaters and Sinkers	632	92	174	125	38	0	11	56	53	71	5	4	0.2753	0.3329	0.3877	217
Gonzalez, Alex SS ATL 	SA`s	595	74	149	81	42	3	23	88	31	118	1	2	0.2504	0.2936	0.4471	233
Castro, Starlin SS CHC	Grape Apes	463	53	139	100	31	5	3	41	29	71	10	8	0.3002	0.3466	0.4082	240
Tejada, Miguel 3B SF 	Titty`s Warriors	636	71	171	130	26	0	15	71	30	67	2	0	0.2689	0.3118	0.3805	246
Uribe, Juan SS LA 	Shits & Giggles	521	64	129	79	24	2	24	85	45	92	1	2	0.2476	0.3096	0.4395	255
Theriot, Ryan 2B STL 	Free Agent	586	72	158	139	15	2	2	29	41	74	20	9	0.2696	0.3207	0.3123	260
Keppinger, Jeff 2B HOU 	Whiteness	514	62	148	107	34	1	6	59	51	36	4	1	0.2879	0.3509	0.3930	261
Betancourt, Yuniesky SS MIL 	Whiteness	556	60	144	97	29	2	16	78	23	64	2	3	0.2590	0.2877	0.4047	282
Aybar, Erick SS ANA	Free Agent	534	69	135	108	18	4	5	29	35	81	22	8	0.2528	0.3062	0.3296	286
Hall, Bill OF HOU 	Free Agent	344	44	85	50	16	1	18	46	34	104	9	1	0.2471	0.3158	0.4564	298
Rodriguez, Sean 2B TB 	Free Agent	343	53	86	56	19	2	9	40	21	97	13	3	0.2507	0.3083	0.3965	315
Rollins, Jimmy SS PHI	Free Agent	350	48	85	58	16	3	8	41	40	32	17	1	0.2429	0.3198	0.3743	317
Cabrera, Orlando SS CIN 	Free Agent	494	64	130	93	33	0	4	42	28	53	11	4	0.2632	0.3026	0.3543	333
Peralta, Jhonny 3B DET 	Free Agent	551	60	137	90	30	2	15	81	53	103	1	0	0.2486	0.3106	0.3920	334
Carroll, Jamey SS LA	Free Agent	351	48	102	86	15	1	0	23	51	64	12	4	0.2906	0.3790	0.3390	335
Bartlett, Jason SS SD 	Disco Bush Horticulturists	468	71	119	85	27	3	4	47	45	83	11	6	0.2543	0.3244	0.3504	340
Cedeno, Ronny SS PIT 	Free Agent	468	42	120	80	29	3	8	38	23	106	12	3	0.2564	0.2929	0.3825	366
Hairston, Jerry SS SD 	Free Agent	430	53	105	80	13	2	10	50	31	54	9	6	0.2442	0.2987	0.3535	371
Vizquel, Omar 3B CHW 	Free Agent	344	36	95	81	11	1	2	30	34	45	11	7	0.2762	0.3411	0.3314	383
Cabrera, Asdrubal SS CLE	Shits & Giggles	381	39	105	85	16	1	3	29	25	60	6	4	0.2756	0.3261	0.3465	421
Brignac, Reid 2B TB 	Free Agent	301	39	77	55	13	1	8	45	20	77	3	3	0.2558	0.3067	0.3854	426
Lowrie, Jed 2B BOS 	Free Agent	171	31	49	26	14	0	9	24	25	25	1	1	0.2865	0.3807	0.5263	442
Escobar, Yunel SS TOR	Free Agent	497	60	127	104	19	0	4	35	56	57	6	2	0.2555	0.3369	0.3179	446
Hardy, J.J. SS BAL 	Free Agent	340	44	91	63	19	3	6	38	28	54	1	1	0.2676	0.3199	0.3941	447
Valdez, Wilson SS PHI	Free Agent	333	37	86	63	16	3	4	35	21	43	7	0	0.2583	0.3062	0.3604	452
Rosales, Adam 2B OAK 	Free Agent	255	31	69	52	8	2	7	31	19	65	2	2	0.2706	0.3213	0.4000	460
Lopez, Felipe 3B BOS 	Free Agent	391	52	91	64	18	1	8	37	44	81	8	2	0.2327	0.3105	0.3453	468
Guzman, Cristian 2B TEX	Free Agent	365	48	97	79	12	4	2	26	20	63	4	2	0.2658	0.3112	0.3370	488
Bonifacio, Emilio OF FLA	Free Agent	180	30	47	38	6	3	0	10	17	42	12	0	0.2611	0.3200	0.3278	490
Escobar, Alcides SS KC 	Free Agent	506	57	119	91	14	10	4	41	36	70	10	4	0.2352	0.2883	0.3261	502
Casilla, Alexi SS MIN 	Free Agent	152	26	42	30	7	4	1	20	13	17	6	1	0.2763	0.3313	0.3947	509
Barmes, Clint 2B HOU 	Free Agent	387	43	91	62	21	0	8	50	35	66	3	2	0.2351	0.3047	0.3514	512
Izturis, Maicer 3B ANA	Free Agent	212	27	53	36	13	1	3	27	21	27	7	3	0.2500	0.3207	0.3632	513
Donald, Jason SS CLE 	Free Agent	296	39	75	49	19	3	4	24	22	70	5	1	0.2534	0.3115	0.3784	520
Herrera, Jonathan 2B COL	Free Agent	222	34	63	54	6	2	1	21	25	36	2	2	0.2838	0.3520	0.3423	521
Renteria, Edgar SS SF 	Free Agent	243	26	67	51	11	2	3	22	21	43	3	0	0.2757	0.3321	0.3745	526
McDonald, John 2B TOR	Free Agent	152	27	38	21	9	2	6	23	6	26	2	1	0.2500	0.2733	0.4539	545
Fontenot, Mike 2B SF 	Free Agent	240	24	68	51	13	3	1	25	15	41	1	4	0.2833	0.3308	0.3750	550
Santiago, Ramon SS DET	Free Agent	320	38	84	71	9	1	3	22	30	56	2	2	0.2625	0.3370	0.3250	556
Janish, Paul SS CIN	Free Agent	200	23	52	37	10	0	5	25	22	30	1	3	0.2600	0.3378	0.3850	571
Sanchez, Angel SS HOU	Free Agent	253	30	70	57	9	4	0	25	11	45	0	1	0.2767	0.3120	0.3439	583
Ryan, Brendan SS SEA 	Free Agent	439	50	98	74	19	3	2	36	33	60	11	4	0.2232	0.2788	0.2938	589
Nunez, Eduardo 3B NYY 	Free Agent	50	12	14	12	1	0	1	7	3	2	5	0	0.2800	0.3208	0.3600	617
Blum, Geoff SS ARI 	Free Agent	202	22	54	41	10	1	2	22	15	33	0	0	0.2673	0.3211	0.3564	631
Lugo, Julio 2B BAL	Free Agent	241	26	60	54	4	2	0	20	15	50	5	7	0.2490	0.2984	0.2822	640
Izturis, Cesar SS BAL 	Free Agent	473	42	109	94	13	1	1	28	25	53	11	5	0.2304	0.2767	0.2685	647
Pena, Ramiro 3B NYY	Free Agent	154	18	35	33	1	1	0	18	6	27	7	1	0.2273	0.2577	0.2468	662
Punto, Nick 3B MIN 	Free Agent	252	24	60	47	11	1	1	20	28	50	6	2	0.2381	0.3134	0.3016	663
Cabrera, Everth SS SD	Free Agent	212	22	44	34	6	3	1	22	19	54	10	6	0.2075	0.2790	0.2783	668
Blanco, Andres 2B TEX	Free Agent	166	17	46	35	10	1	0	13	11	24	0	2	0.2771	0.3297	0.3494	695
Arias, Joaquin 2B KC 	Free Agent	128	23	33	26	6	1	0	13	4	23	1	0	0.2578	0.2803	0.3203	696
Andino, Robert 2B BAL	Free Agent	61	6	18	12	4	0	2	6	3	13	1	1	0.2951	0.3333	0.4590	704
Counsell, Craig SS MIL 	Free Agent	204	16	51	41	8	0	2	21	21	29	1	1	0.2500	0.3216	0.3186	715
Miles, Aaron 2B STL	Free Agent	139	14	39	34	5	0	0	9	6	14	0	1	0.2806	0.3108	0.3165	726
Martinez, Ozzie SS FLA	Free Agent	43	8	14	9	4	1	0	2	4	6	1	0	0.3256	0.3830	0.4651	737
Worth, Danny SS DET 	Free Agent	106	10	27	20	5	0	2	8	6	13	1	2	0.2547	0.2946	0.3585	748
Greene, Tyler SS STL	Free Agent	104	14	23	17	3	1	2	10	13	24	2	0	0.2212	0.3279	0.3269	774
Sutton, Drew SS BOS	Free Agent	39	5	10	7	1	0	2	8	3	13	0	0	0.2564	0.3095	0.4359	776
Tolleson, Steve SS OAK	Free Agent	49	5	14	10	3	0	1	4	4	9	0	0	0.2857	0.3396	0.4082	794
Wilson, Jack SS SEA 	Free Agent	193	17	48	36	11	1	0	14	7	35	1	2	0.2487	0.2816	0.3161	797
Wilson, Josh SS SEA 	Free Agent	361	22	82	64	14	2	2	25	14	74	5	0	0.2271	0.2784	0.2936	835
Ciriaco, Pedro SS PIT	Free Agent	6	3	3	1	1	1	0	1	0	3	0	0	0.5000	0.5000	1.0000	836
