All Starting Pitchers 2010 MLB Standard Stats,,,,,,,,,,,,,,,
Player,Team,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank
Halladay, Roy SP PHI 	Shits & Giggles	250.7	33	25	9	21	10	0	0	219	30	231	2.442	1.0412	2
Hernandez, Felix SP SEA 	Evil Empire	249.7	34	30	6	13	12	0	0	232	70	194	2.271	1.0574	3
Wainwright, Adam SP STL 	Shits & Giggles	230.3	33	25	5	20	11	0	0	213	56	186	2.423	1.0507	4
Oswalt, Roy SP PHI	Whiteness	211.7	32	24	2	13	13	0	0	193	55	162	2.764	1.0252	13
Weaver, Jered SP ANA	Blue Crew	224.3	34	27	0	13	12	0	0	233	54	187	3.009	1.0743	15
Jimenez, Ubaldo SP COL	Disco Bush Horticulturists	221.7	33	25	4	19	8	0	0	214	92	164	2.883	1.1549	16
Lee, Cliff SP PHI 	Whiteness	212.3	28	18	7	12	9	0	0	185	18	195	3.179	1.0031	18
Sabathia, CC SP NYY 	Free Agent	237.7	34	26	2	21	7	0	0	197	74	209	3.181	1.1907	20
Price, David SP TB	Floaters and Sinkers	208.7	31	25	2	19	6	0	0	188	79	170	2.717	1.1933	23
Johnson, Josh SP FLA 	SA`s	183.7	28	23	1	11	6	0	0	186	48	155	2.303	1.1053	26
Cain, Matt SP SF 	Whiteness	223.3	33	25	4	13	11	0	0	177	61	181	3.143	1.0836	28
Verlander, Justin SP DET	Sofa Kings	224.3	33	22	4	18	9	0	0	219	71	190	3.370	1.1634	30
Hudson, Tim SP ATL	Blue Crew	228.7	34	25	1	17	9	0	0	139	74	189	2.834	1.1501	31
Latos, Mat SP SD	SA`s	184.7	31	21	1	14	10	0	0	189	50	150	2.924	1.0830	36
Lester, Jon SP BOS	Free Agent	208.0	32	20	2	19	9	0	0	225	83	167	3.245	1.2019	37
Kershaw, Clayton SP LA	Free Agent	204.3	32	23	1	13	10	0	0	212	81	160	2.907	1.1794	38
Carpenter, Chris SP STL	Blue Crew	235.0	35	25	1	16	9	0	0	179	63	214	3.217	1.1787	39
Cahill, Trevor SP OAK	Sofa Kings	196.7	30	21	1	18	8	0	0	118	63	155	2.975	1.1085	45
Hamels, Cole SP PHI	Evil Empire	208.7	33	21	1	12	11	0	0	211	61	185	3.062	1.1789	46
Buchholz, Clay SP BOS	Disco Bush Horticulturists	173.7	28	19	1	17	7	0	0	120	67	142	2.332	1.2035	55
Myers, Brett SP HOU	User Abuser	223.7	33	24	2	14	8	0	0	180	66	212	3.139	1.2429	59
Lincecum, Tim SP SF 	Shits & Giggles	212.3	33	22	1	16	10	0	0	231	76	194	3.433	1.2716	61
Sanchez, Jonathan SP SF 	Grape Apes	193.3	33	14	0	13	9	0	0	205	96	142	3.072	1.2310	62
Santana, Johan SP NYM 	Free Agent	199.0	29	17	4	11	9	0	0	144	55	179	2.985	1.1759	65
Lilly, Ted SP LA	User Abuser	193.7	30	22	1	10	12	0	0	166	44	165	3.625	1.0792	67
Hanson, Tommy SP ATL	Sofa Kings	202.7	34	19	1	10	11	0	0	173	56	182	3.331	1.1743	72
Marcum, Shaun SP MIL 	Free Agent	195.3	31	20	1	13	8	0	0	165	43	181	3.640	1.1468	78
Wilson, C.J. SP TEX 	Want-a-be Ghetto All Stars	204.0	33	20	3	15	8	0	0	170	93	161	3.353	1.2451	79
Kuroda, Hiroki SP LA 	User Abuser	196.3	31	21	0	11	13	0	0	159	48	180	3.392	1.1613	80
Lewis, Colby SP TEX 	Disco Bush Horticulturists	201.0	32	20	1	12	13	0	0	196	65	174	3.716	1.1891	83
Arroyo, Bronson SP CIN 	Free Agent	215.7	33	21	2	17	10	0	0	121	59	188	3.881	1.1453	84
Danks, John SP CHW	Free Agent	213.0	32	21	1	15	11	0	0	162	70	189	3.718	1.2160	86
Pavano, Carl SP MIN	Want-a-be Ghetto All Stars	221.0	32	21	7	17	11	0	0	117	37	227	3.747	1.1946	90
Gonzalez, Gio SP OAK	Titty`s Warriors	200.7	33	23	1	15	9	0	0	171	92	171	3.229	1.3106	92
Liriano, Francisco SP MIN	Grape Apes	191.7	31	20	0	14	10	0	0	201	58	184	3.616	1.2626	93
Scherzer, Max SP DET	Floaters and Sinkers	195.7	31	18	0	12	11	0	0	184	70	174	3.496	1.2470	97
Dickey, R.A. SP NYM	Want-a-be Ghetto All Stars	174.3	26	19	2	11	9	0	0	104	42	165	2.839	1.1874	98
Haren, Dan SP ANA	Evil Empire	235.0	35	22	2	12	12	0	0	216	54	245	3.906	1.2723	100
Braden, Dallas SP OAK 	Want-a-be Ghetto All Stars	192.7	30	17	5	11	14	0	0	113	43	180	3.503	1.1574	113
Dempster, Ryan SP CHC	Want-a-be Ghetto All Stars	215.3	34	23	1	15	12	0	0	208	86	198	3.845	1.3189	119
Guthrie, Jeremy SP BAL	Free Agent	209.3	32	20	0	11	14	0	0	119	50	193	3.826	1.1608	122
Romero, Ricky SP TOR	Grape Apes	210.0	32	20	3	14	9	0	0	174	82	189	3.729	1.2905	123
Garcia, Jaime SP STL 	Shits & Giggles	163.3	28	19	1	13	8	0	0	132	64	151	2.700	1.3163	124
Garza, Matt SP TB	Blue Crew	204.7	32	18	3	15	10	1	0	150	63	193	3.914	1.2508	125
Billingsley, Chad SP LA	Blue Crew	191.7	31	18	1	12	11	0	0	171	69	176	3.569	1.2783	127
Kennedy, Ian SP ARI	Evil Empire	194.0	32	15	0	9	10	0	0	168	70	163	3.804	1.2010	130
Santana, Ervin SP ANA	Free Agent	222.7	33	21	4	17	10	0	0	169	73	221	3.921	1.3204	133
Rodriguez, Wandy SP HOU	Shits & Giggles	195.0	32	23	0	11	12	0	0	178	68	183	3.600	1.2872	134
Garland, Jon SP LA 	Free Agent	200.0	33	19	0	14	12	0	0	136	87	176	3.465	1.3150	140
Hughes, Phil SP NYY	Shits & Giggles	176.3	29	15	0	18	8	0	0	146	58	162	4.185	1.2476	146
Greinke, Zack SP MIL 	User Abuser	220.0	33	21	3	10	14	0	0	181	55	219	4.173	1.2455	149
Cueto, Johnny SP CIN	Disco Bush Horticulturists	185.7	31	18	1	12	7	0	0	138	56	181	3.635	1.2765	151
Sanchez, Anibal SP FLA	Titty`s Warriors	195.0	32	20	1	13	12	0	0	157	70	192	3.554	1.3436	152
Hudson, Daniel SP ARI 	Grape Apes	95.3	14	12	0	8	2	0	0	84	27	68	2.454	0.9965	153
Gallardo, Yovani SP MIL	Want-a-be Ghetto All Stars	185.0	31	17	2	14	7	0	0	200	75	178	3.843	1.3676	157
