All Third Basemen 2010 MLB Standard Stats,,,,,,,,,,,,,,,,,
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank
Bautista, Jose LF TOR 	Blue Crew	569	109	148	56	35	3	54	124	100	116	9	2	0.2601	0.3777	0.6169	19
Wright, David 3B NYM	User Abuser	587	87	166	98	36	3	29	103	69	161	19	11	0.2828	0.3537	0.5026	43
Beltre, Adrian 3B BOS 	Disco Bush Horticulturists	589	84	189	110	49	2	28	102	40	82	2	1	0.3209	0.3651	0.5535	44
Longoria, Evan 3B TB 	Grape Apes	574	96	169	96	46	5	22	104	72	124	15	5	0.2944	0.3722	0.5070	50
Zimmerman, Ryan 3B WAS 	Free Agent	525	85	161	104	32	0	25	85	69	98	4	1	0.3067	0.3881	0.5105	70
Rodriguez, Alex 3B NYY	Sofa Kings	522	74	141	80	29	2	30	125	59	98	4	3	0.2701	0.3412	0.5057	87
Prado, Martin 2B ATL 	User Abuser	599	100	184	126	40	3	15	66	40	86	5	3	0.3072	0.3503	0.4591	94
Young, Michael 3B TEX	Want-a-be Ghetto All Stars	656	99	186	126	36	3	21	91	50	115	4	2	0.2835	0.3301	0.4436	105
McGehee, Casey 3B MIL	Disco Bush Horticulturists	610	70	174	112	38	1	23	104	50	102	1	1	0.2852	0.3373	0.4639	126
Infante, Omar 2B FLA 	Evil Empire	471	65	151	125	15	3	8	47	29	62	7	6	0.3206	0.3586	0.4161	159
Cuddyer, Michael 1B MIN	Titty`s Warriors	609	93	165	109	37	5	14	81	58	93	7	3	0.2709	0.3363	0.4171	166
Rolen, Scott 3B CIN 	User Abuser	471	66	134	77	34	3	20	83	50	82	1	2	0.2845	0.3575	0.4968	170
Aviles, Mike 2B KC	Evil Empire	424	63	129	102	16	3	8	32	20	49	14	5	0.3042	0.3348	0.4127	177
Headley, Chase 3B SD	Want-a-be Ghetto All Stars	610	77	161	118	29	3	11	58	56	139	17	5	0.2639	0.3269	0.3754	189
Polanco, Placido 3B PHI 	User Abuser	554	76	165	130	27	2	6	52	32	47	5	0	0.2978	0.3394	0.3863	205
Walker, Neil 2B PIT	Free Agent	426	57	126	82	29	3	12	66	34	83	2	3	0.2958	0.3490	0.4624	213
Tejada, Miguel 3B SF 	Titty`s Warriors	636	71	171	130	26	0	15	71	30	67	2	0	0.2689	0.3118	0.3805	246
Johnson, Chris 3B HOU	Free Agent	341	40	105	70	22	2	11	52	15	91	3	0	0.3079	0.3370	0.4809	248
Uribe, Juan SS LA 	Shits & Giggles	521	64	129	79	24	2	24	85	45	92	1	2	0.2476	0.3096	0.4395	255
Stewart, Ian 3B COL	User Abuser	386	54	99	65	14	2	18	61	45	110	5	2	0.2565	0.3379	0.4430	271
Ramirez, Aramis 3B CHC 	Evil Empire	465	61	112	65	21	1	25	83	34	90	0	0	0.2409	0.2939	0.4516	274
Sandoval, Pablo 3B SF 	Shits & Giggles	563	61	151	101	34	3	13	63	47	81	3	2	0.2682	0.3231	0.4085	285
Reynolds, Mark 3B BAL 	Titty`s Warriors	499	79	99	48	17	2	32	85	83	211	7	4	0.1984	0.3205	0.4329	287
Hall, Bill OF HOU 	Free Agent	344	44	85	50	16	1	18	46	34	104	9	1	0.2471	0.3158	0.4564	298
Wigginton, Ty 1B COL 	Whiteness	581	63	144	92	29	1	22	76	50	116	0	1	0.2478	0.3117	0.4148	301
Callaspo, Alberto 3B ANA	Blue Crew	562	61	149	110	27	2	10	56	31	42	5	3	0.2651	0.3017	0.3737	312
Rodriguez, Sean 2B TB 	Free Agent	343	53	86	56	19	2	9	40	21	97	13	3	0.2507	0.3083	0.3965	315
Betemit, Wilson 3B KC 	Free Agent	276	36	82	49	20	0	13	43	36	74	0	0	0.2971	0.3778	0.5109	321
Valencia, Danny 3B MIN	Free Agent	299	30	93	67	18	1	7	40	20	46	2	0	0.3110	0.3509	0.4482	329
Peralta, Jhonny 3B DET 	Free Agent	551	60	137	90	30	2	15	81	53	103	1	0	0.2486	0.3106	0.3920	334
Carroll, Jamey SS LA	Free Agent	351	48	102	86	15	1	0	23	51	64	12	4	0.2906	0.3790	0.3390	335
Encarnacion, Edwin 3B TOR 	Free Agent	332	47	81	44	16	0	21	51	29	60	1	0	0.2440	0.3052	0.4819	345
Alvarez, Pedro 3B PIT	Sofa Kings	347	42	89	51	21	1	16	64	37	119	0	0	0.2565	0.3264	0.4611	346
Jones, Chipper 3B ATL 	Free Agent	317	47	84	53	21	0	10	46	61	47	5	0	0.2650	0.3806	0.4259	348
Kouzmanoff, Kevin 3B OAK 	Free Agent	551	59	136	87	32	1	16	71	24	96	2	1	0.2468	0.2833	0.3956	352
Mora, Melvin 3B ARI 	Floaters and Sinkers	316	39	90	66	12	5	7	45	31	53	2	1	0.2848	0.3580	0.4209	368
Blake, Casey 3B LA	Free Agent	509	56	126	80	28	1	17	64	48	138	0	4	0.2475	0.3204	0.4067	372
Inge, Brandon 3B DET	Free Agent	514	47	127	81	28	5	13	70	54	134	4	3	0.2471	0.3207	0.3969	373
Vizquel, Omar 3B CHW 	Free Agent	344	36	95	81	11	1	2	30	34	45	11	7	0.2762	0.3411	0.3314	383
Kennedy, Adam 2B WAS 	Free Agent	342	43	85	65	16	1	3	31	37	44	14	2	0.2485	0.3273	0.3275	408
Cantu, Jorge 3B TEX	Free Agent	472	50	121	80	29	1	11	56	29	95	0	0	0.2564	0.3035	0.3919	409
Freese, David 3B STL 	Free Agent	240	28	71	54	12	1	4	36	21	59	1	1	0.2958	0.3609	0.4042	433
Cairo, Miguel 3B CIN 	Free Agent	200	30	58	42	12	0	4	28	17	30	4	0	0.2900	0.3527	0.4100	436
Conrad, Brooks 3B ATL	Free Agent	156	31	39	19	11	1	8	33	16	45	5	1	0.2500	0.3237	0.4872	441
Valdez, Wilson SS PHI	Free Agent	333	37	86	63	16	3	4	35	21	43	7	0	0.2583	0.3062	0.3604	452
Rosales, Adam 2B OAK 	Free Agent	255	31	69	52	8	2	7	31	19	65	2	2	0.2706	0.3213	0.4000	460
Lopez, Felipe 3B BOS 	Free Agent	391	52	91	64	18	1	8	37	44	81	8	2	0.2327	0.3105	0.3453	468
Bloomquist, Willie OF CIN	Free Agent	187	31	50	36	10	1	3	17	9	28	8	5	0.2674	0.2995	0.3797	469
Bonifacio, Emilio OF FLA	Free Agent	180	30	47	38	6	3	0	10	17	42	12	0	0.2611	0.3200	0.3278	490
Lopez, Jose 3B COL 	Floaters and Sinkers	593	49	142	103	29	0	10	58	23	66	3	2	0.2395	0.2701	0.3390	507
Casilla, Alexi SS MIN 	Free Agent	152	26	42	30	7	4	1	20	13	17	6	1	0.2763	0.3313	0.3947	509
Izturis, Maicer 3B ANA	Free Agent	212	27	53	36	13	1	3	27	21	27	7	3	0.2500	0.3207	0.3632	513
Kelly, Don LF DET	Free Agent	238	30	58	45	4	0	9	27	8	42	3	0	0.2437	0.2720	0.3739	518
Herrera, Jonathan 2B COL	Free Agent	222	34	63	54	6	2	1	21	25	36	2	2	0.2838	0.3520	0.3423	521
Teahen, Mark 3B CHW	Free Agent	233	31	60	41	13	2	4	25	25	61	3	5	0.2575	0.3269	0.3820	540
Viciedo, Dayan 3B CHW	Free Agent	104	17	32	20	7	0	5	13	2	25	1	0	0.3077	0.3208	0.5192	542
Baker, Jeff 3B CHC 	Free Agent	206	29	56	37	13	2	4	21	16	50	1	0	0.2718	0.3259	0.4126	544
McDonald, John 2B TOR	Free Agent	152	27	38	21	9	2	6	23	6	26	2	1	0.2500	0.2733	0.4539	545
Fontenot, Mike 2B SF 	Free Agent	240	24	68	51	13	3	1	25	15	41	1	4	0.2833	0.3308	0.3750	550
Janish, Paul SS CIN	Free Agent	200	23	52	37	10	0	5	25	22	30	1	3	0.2600	0.3378	0.3850	571
Nix, Jayson 3B CLE 	Free Agent	331	32	74	45	15	0	14	34	20	87	1	2	0.2236	0.2806	0.3958	579
Young, Delwyn OF PIT 	Free Agent	191	22	45	26	11	1	7	28	13	52	1	0	0.2356	0.2864	0.4136	604
Nunez, Eduardo 3B NYY 	Free Agent	50	12	14	12	1	0	1	7	3	2	5	0	0.2800	0.3208	0.3600	617
Blum, Geoff SS ARI 	Free Agent	202	22	54	41	10	1	2	22	15	33	0	0	0.2673	0.3211	0.3564	631
Murphy, Donnie 3B FLA 	Free Agent	44	9	14	4	6	1	3	16	2	19	0	0	0.3182	0.3478	0.7045	634
Lugo, Julio 2B BAL	Free Agent	241	26	60	54	4	2	0	20	15	50	5	7	0.2490	0.2984	0.2822	640
Aybar, Willy DH TB 	Free Agent	270	22	62	43	13	0	6	43	30	61	0	0	0.2296	0.3094	0.3444	657
Pena, Ramiro 3B NYY	Free Agent	154	18	35	33	1	1	0	18	6	27	7	1	0.2273	0.2577	0.2468	662
Punto, Nick 3B MIN 	Free Agent	252	24	60	47	11	1	1	20	28	50	6	2	0.2381	0.3134	0.3016	663
Harris, Willie CF WAS	Free Agent	224	25	41	23	6	2	10	32	33	60	5	2	0.1830	0.2912	0.3616	671
Lowell, Mike 3B BOS	Free Agent	218	23	52	34	13	0	5	26	23	34	0	0	0.2385	0.3074	0.3670	672
Johnson, Dan DH TB	Free Agent	111	15	22	12	3	0	7	23	25	27	1	0	0.1982	0.3429	0.4144	677
Blanco, Andres 2B TEX	Free Agent	166	17	46	35	10	1	0	13	11	24	0	2	0.2771	0.3297	0.3494	695
Gordon, Alex OF KC	Free Agent	242	34	52	34	10	0	8	20	34	62	1	5	0.2149	0.3154	0.3554	700
Frandsen, Kevin 3B ANA	Free Agent	160	24	40	29	11	0	0	14	9	10	2	0	0.2500	0.2941	0.3187	701
Andino, Robert 2B BAL	Free Agent	61	6	18	12	4	0	2	6	3	13	1	1	0.2951	0.3333	0.4590	704
Ryal, Rusty OF ARI 	Free Agent	207	19	54	43	7	1	3	11	8	67	0	3	0.2609	0.3077	0.3478	708
Fields, Josh 3B PIT 	Free Agent	49	5	15	12	0	0	3	6	1	9	0	0	0.3061	0.3200	0.4898	712
Counsell, Craig SS MIL 	Free Agent	204	16	51	41	8	0	2	21	21	29	1	1	0.2500	0.3216	0.3186	715
Miles, Aaron 2B STL	Free Agent	139	14	39	34	5	0	0	9	6	14	0	1	0.2806	0.3108	0.3165	726
Morel, Brent 3B CHW 	Free Agent	65	9	15	9	3	0	3	7	4	17	2	0	0.2308	0.2714	0.4154	728
Marte, Andy 3B PIT 	Free Agent	170	18	39	25	7	2	5	19	17	35	0	3	0.2294	0.2979	0.3824	729
Helms, Wes 3B FLA	Free Agent	254	25	56	36	12	4	4	39	26	76	0	2	0.2205	0.2997	0.3465	734
Belliard, Ronnie 2B LA	Free Agent	162	24	35	22	10	1	2	19	18	35	2	2	0.2160	0.2951	0.3272	753
Tolbert, Matt 2B MIN	Free Agent	87	8	20	12	4	3	1	18	9	18	1	1	0.2299	0.2929	0.3793	766
Blalock, Hank 3B TB	Free Agent	63	8	16	12	3	0	1	7	6	15	1	1	0.2540	0.3188	0.3492	773
Greene, Tyler SS STL	Free Agent	104	14	23	17	3	1	2	10	13	24	2	0	0.2212	0.3279	0.3269	774
Tolleson, Steve SS OAK	Free Agent	49	5	14	10	3	0	1	4	4	9	0	0	0.2857	0.3396	0.4082	794
Sizemore, Scott 2B DET	Free Agent	143	19	32	22	7	0	3	14	15	40	0	0	0.2238	0.2956	0.3357	800
Francisco, Juan 3B CIN	Free Agent	55	3	15	11	3	0	1	7	4	20	0	1	0.2727	0.3220	0.3818	810
Descalso, Daniel 3B STL	Free Agent	34	6	9	7	2	0	0	4	2	6	1	0	0.2647	0.3243	0.3235	813
Tracy, Chad 3B FLA	Free Agent	146	11	36	27	8	0	1	15	11	36	0	0	0.2466	0.3063	0.3219	816
Scales, Bobby 3B CHC	Free Agent	13	4	4	4	0	0	0	2	7	5	1	0	0.3077	0.5500	0.3077	820
Abreu, Tony 3B ARI	Free Agent	193	16	45	32	11	1	1	13	4	47	2	1	0.2332	0.2438	0.3161	838
Ransom, Cody 3B PHI	Free Agent	42	6	8	6	0	0	2	5	3	11	1	0	0.1905	0.2444	0.3333	844
Feliz, Pedro 3B STL	Free Agent	409	36	89	70	12	2	5	40	13	41	1	1	0.2176	0.2401	0.2934	866
Hughes, Luke 3B MIN	Free Agent	7	1	2	1	0	0	1	1	0	3	0	1	0.2857	0.2857	0.7143	875
Gonzalez, Alberto 2B WAS 	Free Agent	186	19	46	37	8	1	0	5	7	30	0	0	0.2473	0.2769	0.3011	918
Barney, Darwin SS CHC	Free Agent	79	12	19	15	4	0	0	2	6	12	0	0	0.2405	0.2941	0.2911	919
Hicks, Brandon 3B ATL 	Free Agent	5	7	0	0	0	0	0	0	1	2	0	0	0.0000	0.1667	0.0000	929
Larish, Jeff 1B PHI 	Free Agent	67	5	12	7	3	0	2	9	7	24	1	0	0.1791	0.2667	0.3134	941
Dobbs, Greg 3B PHI	Free Agent	163	13	32	20	7	0	5	15	12	39	1	1	0.1963	0.2514	0.3313	1074
Bell, Josh 3B BAL	Free Agent	159	15	34	26	5	0	3	12	2	53	0	1	0.2138	0.2236	0.3019	1092
Luna, Hector 3B FLA	Free Agent	29	2	4	1	1	0	2	4	0	13	0	1	0.1379	0.1333	0.3793	1106
Gamel, Mat 3B MIL 	Free Agent	15	1	3	2	1	0	0	1	1	8	0	0	0.2000	0.2941	0.2667	1108
Russo, Kevin 3B NYY	Free Agent	49	5	9	7	2	0	0	4	3	9	1	0	0.1837	0.2453	0.2245	1140
Barden, Brian 3B TEX 	Free Agent	28	2	5	5	0	0	0	3	3	12	0	2	0.1786	0.2812	0.1786	1157
LaRoche, Andy 3B PIT 	Free Agent	247	26	51	39	8	0	4	16	19	43	1	1	0.2065	0.2677	0.2874	1161
Mangini, Matt 3B SEA	Free Agent	38	2	8	8	0	0	0	1	2	13	0	0	0.2105	0.2500	0.2105	1170
Mitchell, Russell 3B LA	Free Agent	42	3	6	4	0	0	2	4	0	8	0	0	0.1429	0.1395	0.2857	1181
Hoffpauir, Jarrett 3B SD	Free Agent	34	1	7	6	1	0	0	0	2	5	0	0	0.2059	0.2500	0.2353	1190
Crosby, Bobby SS ARI	Free Agent	168	9	37	26	10	0	1	13	17	38	0	3	0.2202	0.2941	0.2976	1217
Tuiasosopo, Matt OF SEA 	Free Agent	127	12	22	13	5	0	4	11	9	49	0	0	0.1732	0.2336	0.3071	1242
Ojeda, Augie 2B ARI 	Free Agent	79	6	15	12	3	0	0	5	8	8	0	1	0.1899	0.2584	0.2278	1257
Hessman, Mike 3B NYM	Free Agent	55	6	7	3	2	1	1	6	8	23	0	0	0.1273	0.2615	0.2545	1263
Castro, Juan SS LA 	Free Agent	129	7	25	20	5	0	0	13	8	25	0	1	0.1938	0.2374	0.2326	1284
Iwamura, Akinori 2B OAK	Free Agent	196	21	34	24	7	1	2	13	31	41	3	1	0.1735	0.2851	0.2500	1295
Valbuena, Luis 2B CLE	Free Agent	275	22	53	39	12	0	2	24	28	61	1	2	0.1927	0.2727	0.2582	1318
Harris, Brendan 3B BAL 	Free Agent	108	11	17	13	3	0	1	4	9	23	0	0	0.1574	0.2333	0.2130	1321
Wood, Brandon 3B ANA	Free Agent	226	20	33	27	2	0	4	14	6	71	1	0	0.1460	0.1745	0.2080	1362
Seager, Kyle 3B SEA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1377
Bruntlett, Eric 3B NYY	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1397
Moustakas, Mike 3B KC	Shits & Giggles	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1409
Basak, Chris 3B MIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1416
Sosa, Ricardo 3B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1424
Sexton, Gregory 3B TB	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1429
Rincon, Edinson 3B SD	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1451
Kirkland, Kody 3B HOU	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1456
Rowell, William 3B BAL	Titty`s Warriors	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1473
Duran, German 3B HOU	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1475
Retherford, C.J. 3B CHW	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1482
Pounds, Bryan 3B DET	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1513
Trejo, Jaime 3B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1545
Henderson, Chris 3B LA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1546
Farrell, Jeremy 3B PIT	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1577
Varner, Gary 3B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1623
Spann, Chad 3B BOS	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1640
Dayleg, Terrence 3B FLA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1659
Biery, Drew 3B SF	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1664
Canzler, Russ 3B TB 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1671
Brossman, Jay 3B ANA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1709
Trejo, Edgar 3B SEA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1720
Whittleman, John 3B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1733
Hattig, John 3B NYM	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1739
Darnell, James 3B SD	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1774
Olt, Mike 3B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1787
Castellanos, Nick 3B DET	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1817
Mitchell, Lee 3B FLA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1839
Metcalf, Travis 3B COL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1848
Maples, Chris 3B DET	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1855
Colonel, Christian 3B ATL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1867
McPherson, Dallas 3B OAK 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1886
Nazario, Radames 3B COL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1902
Fox, Adam 3B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1926
Clark, Matthew 3B SD	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1928
Prasch, Edward 3B PIT	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1932
Costanzo, Mike 3B CIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1946
Brown, Hunter 3B SEA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1949
Jova, Lopez 3B TOR	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1966
Chisenhall, Lonnie 3B CLE	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1975
Betsill, Matthew 3B MIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2003
Vechionacci, Marcos 3B NYY	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2016
Lisson, Mario 3B KC	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2029
Molina, Felix 3B MIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2052
Richardson, Juan M. 3B PHI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2103
Jimenez, Jorge 3B BOS	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2124
Huffman, Royce 3B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2141
Torres, Tim 3B FLA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2148
Martinez, Francisco 3B DET	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2161
Gomez, Mauro 3B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2203
Peterson, Brock 3B MIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2208
Heether, Adam 3B OAK	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2256
Ust, Brant 3B SEA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2297
King, Brennan 3B PHI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2322
Reynolds, Kyle 3B CHC	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2323
