All Players 2007 MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Rodriguez, Alex 3B NYY 	Sofa Kings	583	143	183	98	31	0	54	156	95	120	24	4	0.3139	0.4223	0.6449	1
Ramirez, Hanley SS FLA 	Disco Bush Horticulturists	639	125	212	129	48	6	29	81	52	95	51	14	0.3318	0.3860	0.5618	2
Wright, David 3B NYM	Disco Bush Horticulturists	604	113	196	123	42	1	30	107	94	115	34	5	0.3245	0.4163	0.5464	3
Holliday, Matt LF STL 	Free Agent	636	120	216	124	50	6	36	137	63	126	11	4	0.3396	0.4053	0.6069	4
Reyes, Jose B. SS NYM 	Whiteness	681	119	191	131	36	12	12	57	77	78	78	21	0.2805	0.3539	0.4214	5
Rollins, Jimmy SS PHI	Evil Empire	716	139	212	124	38	20	30	94	49	85	41	6	0.2961	0.3445	0.5307	6
Ordonez, Magglio RF DET	Free Agent	595	117	216	134	54	0	28	139	76	79	4	1	0.3630	0.4336	0.5950	7
Suzuki, Ichiro RF SEA	Floaters and Sinkers	678	111	238	203	22	7	6	68	49	77	37	8	0.3510	0.3962	0.4307	8
Crawford, Carl LF TB 	Want-a-be Ghetto All Stars	584	93	184	127	37	9	11	80	32	112	50	10	0.3151	0.3547	0.4658	11
Byrnes, Eric LF ARI	Free Agent	626	103	179	120	30	8	21	83	57	98	50	7	0.2859	0.3529	0.4601	12
Ortiz, David DH BOS	Titty`s Warriors	549	116	182	94	52	1	35	117	111	103	3	1	0.3315	0.4453	0.6211	13
Phillips, Brandon 2B CIN	Grape Apes	650	107	187	125	26	6	30	94	33	109	32	8	0.2877	0.3314	0.4846	14
Pierre, Juan LF LA	Free Agent	668	96	196	164	24	8	0	41	33	37	64	15	0.2934	0.3315	0.3533	16
Braun, Ryan J. LF MIL	Disco Bush Horticulturists	451	91	146	80	26	6	34	97	29	112	15	5	0.3237	0.3699	0.6341	17
Roberts, Brian 2B BAL	Evil Empire	621	103	180	121	42	5	12	57	89	99	50	7	0.2899	0.3768	0.4316	18
Granderson, Curtis CF DET	Want-a-be Ghetto All Stars	612	122	185	101	38	23	23	74	52	141	26	1	0.3023	0.3607	0.5523	21
Jones, Chipper 3B ATL	Evil Empire	513	108	173	98	42	4	29	102	82	75	5	1	0.3372	0.4250	0.6043	22
Fielder, Prince 1B MIL 	Want-a-be Ghetto All Stars	573	109	165	78	35	2	50	119	90	121	2	2	0.2880	0.3950	0.6178	23
Cabrera, Miguel 1B DET 	SA`s	588	91	188	114	38	2	34	119	79	127	2	1	0.3197	0.4006	0.5646	24
Lee, Carlos N. LF HOU	Sofa Kings	627	93	190	114	43	1	32	119	53	63	10	5	0.3030	0.3544	0.5279	25
Utley, Chase 2B PHI 	Titty`s Warriors	530	104	176	101	48	5	22	103	50	89	9	1	0.3321	0.4101	0.5660	26
Pujols, Albert 1B STL 	Shits & Giggles	565	99	185	114	38	1	32	103	99	58	2	6	0.3274	0.4286	0.5681	27
Sizemore, Grady CF CLE 	Grape Apes	628	118	174	111	34	5	24	78	101	155	33	10	0.2771	0.3904	0.4618	29
Beltran, Carlos CF NYM	SA`s	554	93	153	84	33	3	33	112	69	111	23	2	0.2762	0.3528	0.5253	30
Markakis, Nick RF BAL	Shits & Giggles	637	97	191	122	43	3	23	112	61	112	18	6	0.2998	0.3625	0.4851	31
Figgins, Chone 3B ANA 	Shits & Giggles	442	81	146	113	24	6	3	58	51	81	41	12	0.3303	0.3932	0.4321	35
Guerrero, Vladimir DH ANA 	User Abuser	574	89	186	113	45	1	27	125	71	62	2	3	0.3240	0.4030	0.5470	36
Soriano, Alfonso LF CHC 	Whiteness	579	97	173	93	42	5	33	70	31	130	19	6	0.2988	0.3371	0.5596	37
Rios, Alex RF CHW	Free Agent	643	114	191	117	43	7	24	85	55	103	17	4	0.2970	0.3544	0.4977	41
Hunter, Torii CF ANA	Disco Bush Horticulturists	600	94	172	98	45	1	28	107	40	101	18	9	0.2867	0.3338	0.5050	42
Abreu, Bobby RF ANA 	Blue Crew	605	123	171	110	40	5	16	101	84	115	25	8	0.2826	0.3691	0.4446	43
Pena, Carlos 1B TB 	Floaters and Sinkers	490	99	138	62	29	1	46	121	103	142	1	0	0.2816	0.4108	0.6265	45
Upton, B.J. CF TB	Shits & Giggles	474	86	142	92	25	1	24	82	65	154	22	8	0.2996	0.3857	0.5084	48
Hart, Corey C. RF MIL 	Shits & Giggles	505	86	149	83	33	9	24	81	36	99	23	7	0.2950	0.3529	0.5386	49
Lowell, Mike 3B BOS	Shits & Giggles	589	79	191	131	37	2	21	120	53	71	3	2	0.3243	0.3783	0.5008	50
Jeter, Derek SS NYY 	Evil Empire	639	102	206	151	39	4	12	73	56	100	15	8	0.3224	0.3882	0.4523	52
Howard, Ryan 1B PHI 	Titty`s Warriors	529	94	142	69	26	0	47	136	107	199	1	0	0.2684	0.3920	0.5841	54
Rowand, Aaron CF SF	Free Agent	612	105	189	117	45	0	27	89	47	119	6	3	0.3088	0.3739	0.5147	55
Posada, Jorge C NYY	Disco Bush Horticulturists	506	91	171	108	42	1	20	90	74	98	2	0	0.3379	0.4261	0.5435	58
Polanco, Placido 2B DET 	Free Agent	587	105	200	152	36	3	9	67	37	30	7	3	0.3407	0.3881	0.4583	61
Dunn, Adam LF WAS	Whiteness	522	101	138	69	27	2	40	106	101	165	9	2	0.2644	0.3861	0.5536	62
Martin, Russell C LA	Titty`s Warriors	540	87	158	104	32	3	19	87	67	89	21	9	0.2926	0.3742	0.4685	63
Lee, Derrek 1B CHC	Disco Bush Horticulturists	567	91	180	114	43	1	22	82	71	114	6	5	0.3175	0.4000	0.5132	64
Guillen, Carlos LF DET	Free Agent	564	86	167	102	35	9	21	102	55	93	13	8	0.2961	0.3571	0.5018	66
Cabrera, Orlando SS MIN 	SA`s	638	101	192	148	35	1	8	86	44	64	20	4	0.3009	0.3453	0.3966	67
Berkman, Lance 1B HOU	Evil Empire	561	95	156	96	24	2	34	102	94	125	7	3	0.2781	0.3862	0.5098	69
Teixeira, Mark 1B NYY 	Shits & Giggles	494	86	151	86	33	2	30	105	72	112	0	0	0.3057	0.4000	0.5628	70
Young, Michael 3B TEX	Floaters and Sinkers	639	80	201	154	37	1	9	94	47	107	13	3	0.3146	0.3656	0.4178	71
Atkins, Garrett 3B COL	Free Agent	605	83	182	121	35	1	25	111	67	96	3	1	0.3008	0.3670	0.4860	72
Tulowitzki, Troy SS COL	User Abuser	609	104	177	115	33	5	24	99	57	130	7	6	0.2906	0.3589	0.4795	73
Sheffield, Gary LF NYM 	Free Agent	494	107	131	85	20	1	25	75	84	71	22	5	0.2652	0.3777	0.4615	75
Cano, Robinson 2B NYY	Want-a-be Ghetto All Stars	617	93	189	122	41	7	19	97	39	85	4	5	0.3063	0.3533	0.4878	79
