All Players Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Pujols, Albert 1B STL 	Shits & Giggles	541	110	185	102	40	0	43	127	105	60	10	4	0.3420	0.4489	0.6543	1
Ramirez, Hanley SS FLA 	Disco Bush Horticulturists	575	105	185	117	40	3	25	110	65	100	30	11	0.3217	0.3906	0.5322	2
Rodriguez, Alex 3B NYY 	Sofa Kings	550	110	168	98	30	0	40	125	85	120	17	5	0.3055	0.3984	0.5782	4
Braun, Ryan J. LF MIL	Disco Bush Horticulturists	625	110	193	109	40	7	37	115	55	131	18	6	0.3088	0.3647	0.5728	5
Mauer, Joe C MIN 	Blue Crew	549	100	192	132	30	0	30	100	82	62	5	1	0.3497	0.4342	0.5683	6
Utley, Chase 2B PHI	Titty`s Warriors	575	117	170	100	40	0	30	107	80	102	23	3	0.2957	0.3817	0.5217	7
Kemp, Matt CF LA	Sofa Kings	602	100	180	124	28	3	25	100	45	141	30	10	0.2990	0.3478	0.4801	8
Holliday, Matt LF STL 	Free Agent	581	100	185	110	45	5	25	110	65	109	15	5	0.3184	0.3870	0.5422	9
Fielder, Prince 1B MIL 	Want-a-be Ghetto All Stars	590	105	175	91	35	4	45	120	105	131	3	2	0.2966	0.4029	0.5983	11
Teixeira, Mark 1B NYY	Shits & Giggles	600	105	180	100	40	2	38	125	75	114	4	2	0.3000	0.3778	0.5633	12
Cabrera, Miguel 1B DET	SA`s	615	100	191	118	38	0	35	115	72	121	4	2	0.3106	0.3828	0.5431	13
Howard, Ryan 1B PHI 	Titty`s Warriors	610	105	170	87	35	2	46	144	94	189	3	3	0.2787	0.3750	0.5689	14
Ellsbury, Jacoby CF BOS 	Titty`s Warriors	600	95	171	118	36	9	8	47	49	78	54	14	0.2850	0.3390	0.4150	15
Longoria, Evan 3B TB	Grape Apes	599	100	170	94	41	0	35	115	75	149	14	3	0.2838	0.3635	0.5275	18
Kinsler, Ian 2B TEX	Free Agent	549	100	147	84	30	3	30	95	60	80	30	5	0.2678	0.3399	0.4973	19
Reynolds, Mark 3B ARI	Titty`s Warriors	575	100	150	80	30	0	40	109	71	210	20	5	0.2609	0.3421	0.5217	23
Tulowitzki, Troy SS COL	User Abuser	600	100	171	100	35	6	30	103	66	115	18	7	0.2850	0.3559	0.5133	24
Crawford, Carl LF TB	Want-a-be Ghetto All Stars	528	85	151	104	27	10	10	64	40	88	46	11	0.2860	0.3363	0.4318	25
Reyes, Jose B. SS NYM 	Whiteness	598	100	170	113	34	13	10	55	62	71	45	17	0.2843	0.3515	0.4348	26
Wright, David 3B NYM	Disco Bush Horticulturists	550	90	165	105	35	5	20	90	80	121	24	7	0.3000	0.3889	0.4909	27
Hill, Aaron 2B TOR	Want-a-be Ghetto All Stars	599	103	172	106	30	0	36	106	45	92	8	3	0.2871	0.3370	0.5175	30
Pedroia, Dustin 2B BOS 	SA`s	630	112	194	129	50	0	15	72	62	49	20	5	0.3079	0.3699	0.4587	31
Jeter, Derek SS NYY	Evil Empire	589	100	187	140	30	4	13	65	68	87	22	7	0.3175	0.3881	0.4482	32
Sizemore, Grady CF CLE 	Grape Apes	538	90	148	88	30	5	25	90	80	119	25	8	0.2751	0.3689	0.4888	38
Rollins, Jimmy SS PHI 	Evil Empire	638	100	175	116	35	7	17	76	52	69	33	7	0.2743	0.3290	0.4310	39
Granderson, Curtis CF NYY 	Want-a-be Ghetto All Stars	606	110	165	95	35	8	27	80	70	128	22	5	0.2723	0.3476	0.4901	40
Bay, Jason LF NYM 	Want-a-be Ghetto All Stars	550	100	154	81	40	7	26	103	85	145	15	5	0.2800	0.3764	0.5200	41
Beltran, Carlos CF NYM	SA`s	538	89	152	86	39	5	22	100	76	92	20	4	0.2825	0.3713	0.4963	42
Morneau, Justin 1B MIN 	Floaters and Sinkers	585	91	175	105	40	0	30	117	75	89	1	1	0.2991	0.3788	0.5214	43
Gonzalez, Adrian 1B SD	Blue Crew	598	104	168	94	35	0	39	110	115	129	1	0	0.2809	0.3969	0.5351	44
Martinez, Victor C BOS	Want-a-be Ghetto All Stars	566	94	175	116	32	0	27	105	75	73	1	1	0.3092	0.3900	0.5088	46
Youkilis, Kevin 1B BOS	Free Agent	533	100	160	92	39	1	28	103	77	115	4	2	0.3002	0.3885	0.5347	47
Ramirez, Manny LF LA	Evil Empire	501	90	157	95	35	0	27	98	83	107	3	2	0.3134	0.4110	0.5449	48
Upton, Justin RF ARI	Disco Bush Horticulturists	570	83	165	100	33	6	26	90	60	159	16	7	0.2895	0.3571	0.5053	49
Zimmerman, Ryan 3B WAS	Floaters and Sinkers	603	105	171	104	35	0	32	108	70	111	5	2	0.2836	0.3581	0.5008	50
Upton, B.J. CF TB	Shits & Giggles	554	85	148	97	33	4	14	65	75	147	41	13	0.2671	0.3545	0.4170	51
Cano, Robinson 2B NYY	Want-a-be Ghetto All Stars	600	100	184	126	35	0	23	95	29	69	5	4	0.3067	0.3386	0.4800	52
Lind, Adam LF TOR 	Sofa Kings	600	96	172	109	30	0	33	114	77	115	3	2	0.2867	0.3678	0.5017	53
Ethier, Andre RF LA	Grape Apes	577	93	168	103	35	0	30	105	70	100	6	3	0.2912	0.3679	0.5078	55
Roberts, Brian 2B BAL	Evil Empire	596	105	170	108	46	4	12	69	67	101	29	8	0.2852	0.3575	0.4362	56
Markakis, Nick RF BAL	Shits & Giggles	631	100	188	122	44	1	21	100	70	109	9	4	0.2979	0.3680	0.4707	58
Suzuki, Ichiro RF SEA	Floaters and Sinkers	628	86	200	160	25	8	7	45	46	67	25	7	0.3185	0.3650	0.4172	59
Morales, Kendry 1B ANA	Grape Apes	575	90	165	99	32	0	34	110	44	111	3	3	0.2870	0.3376	0.5200	64
Sandoval, Pablo 3B SF 	Shits & Giggles	581	80	178	104	41	3	30	100	70	80	1	1	0.3064	0.3810	0.5422	67
Votto, Joey 1B CIN	Grape Apes	555	88	169	97	42	3	27	97	76	115	4	3	0.3045	0.3883	0.5369	68
Choo, Shin-Soo RF CLE	SA`s	581	82	172	104	43	5	20	85	85	141	17	5	0.2960	0.3859	0.4905	69
Figgins, Chone 3B SEA 	Shits & Giggles	551	100	161	118	35	7	1	45	80	100	40	15	0.2922	0.3819	0.3866	72
Berkman, Lance 1B HOU	Evil Empire	500	80	149	90	32	0	27	90	95	105	7	4	0.2980	0.4101	0.5240	75
Abreu, Bobby RF ANA	Blue Crew	501	81	145	97	31	3	14	86	70	101	22	8	0.2894	0.3765	0.4471	76
Bartlett, Jason SS TB	Floaters and Sinkers	519	80	150	108	25	5	12	65	50	82	27	5	0.2890	0.3515	0.4258	77
Werth, Jayson RF PHI	Grape Apes	569	85	151	95	25	1	30	90	85	149	16	4	0.2654	0.3609	0.4710	78
Victorino, Shane CF PHI	Want-a-be Ghetto All Stars	577	96	164	112	33	7	12	57	55	71	27	8	0.2842	0.3465	0.4281	79
Hamilton, Josh CF TEX 	Floaters and Sinkers	524	80	153	93	32	3	25	95	52	113	8	4	0.2920	0.3559	0.5076	80
Lee, Carlos N. LF HOU	Sofa Kings	550	65	165	103	35	1	26	100	40	54	5	3	0.3000	0.3475	0.5091	82
Zobrist, Ben 2B TB	Grape Apes	559	94	146	83	30	5	28	95	90	110	16	5	0.2612	0.3636	0.4830	84
Phillips, Brandon 2B CIN	Grape Apes	574	80	152	96	30	6	20	90	40	89	25	9	0.2648	0.3127	0.4425	85
Lee, Derrek 1B CHC	Disco Bush Horticulturists	545	90	160	97	36	2	25	95	70	108	3	2	0.2936	0.3740	0.5046	92
Dunn, Adam LF WAS	Whiteness	534	85	139	75	24	0	40	105	115	170	4	2	0.2603	0.3914	0.5300	94
Quentin, Carlos LF CHW	Floaters and Sinkers	525	90	141	77	30	2	32	99	76	92	7	3	0.2686	0.3611	0.5162	97
Cruz, Nelson R. RF TEX	Evil Empire	475	75	121	66	23	0	32	81	47	125	19	6	0.2547	0.3218	0.5053	98
Span, Denard RF MIN	User Abuser	600	100	180	135	26	12	7	56	88	97	20	9	0.3000	0.3895	0.4183	99
Hunter, Torii CF ANA	Disco Bush Horticulturists	500	75	137	82	33	0	22	86	42	94	18	6	0.2740	0.3303	0.4720	100
Soriano, Alfonso LF CHC 	Whiteness	468	81	130	74	29	2	25	64	34	109	17	5	0.2778	0.3267	0.5085	101
Young, Michael 3B TEX	Floaters and Sinkers	560	85	169	118	35	0	16	75	45	94	10	3	0.3018	0.3537	0.4500	102
Pence, Hunter RF HOU	Grape Apes	589	70	169	106	33	5	25	75	46	116	12	8	0.2869	0.3386	0.4873	103
Morgan, Nyjer LF WAS 	User Abuser	527	84	151	109	29	13	0	32	62	90	40	16	0.2865	0.3616	0.3909	104
Ibanez, Raul LF PHI 	Disco Bush Horticulturists	501	90	143	86	27	0	30	92	51	96	1	2	0.2854	0.3514	0.5190	105
Jones, Adam CF BAL 	User Abuser	507	89	141	90	24	3	24	79	40	111	12	5	0.2781	0.3309	0.4793	106
Bourn, Michael CF HOU	Floaters and Sinkers	564	94	145	107	25	13	0	30	60	127	51	12	0.2571	0.3285	0.3475	107
McCutchen, Andrew OF PIT	Blue Crew	602	88	158	97	35	11	15	65	70	115	30	7	0.2625	0.3393	0.4319	108
Pierre, Juan LF CHW 	Free Agent	503	91	141	108	25	8	0	30	37	37	41	14	0.2803	0.3296	0.3618	109
Borbon, Julio CF TEX 	Free Agent	555	84	156	118	25	11	2	30	52	100	40	12	0.2811	0.3427	0.3766	110
Damon, Johnny LF NYY 	Titty`s Warriors	528	95	152	108	25	2	17	69	60	84	14	5	0.2879	0.3605	0.4394	111
Pena, Carlos 1B TB 	Floaters and Sinkers	493	91	122	58	25	0	39	109	90	160	4	2	0.2475	0.3636	0.5355	113
Butler, Billy 1B KC	Whiteness	600	80	177	112	40	0	25	94	60	94	0	1	0.2950	0.3591	0.4867	114
Davis, Rajai CF OAK	Evil Empire	428	68	120	85	26	7	2	45	36	74	40	13	0.2804	0.3362	0.3879	115
McCann, Brian C ATL	Sofa Kings	500	69	147	89	36	0	22	95	48	73	5	2	0.2940	0.3558	0.4980	123
Escobar, Yunel SS ATL	Grape Apes	541	95	163	116	30	2	15	79	64	67	5	4	0.3013	0.3752	0.4473	125
