All Players Projections MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Lincecum, Tim SP SF	Shits & Giggles	225.0	33	26	3	17	6	0	0	260	65	170	2.88	1.04	3
Halladay, Roy SP PHI 	Shits & Giggles	230.0	33	25	6	17	9	0	0	200	35	222	3.13	1.12	10
Sabathia, CC SP NYY	Floaters and Sinkers	229.0	34	22	5	21	7	0	0	201	65	204	3.38	1.17	16
Greinke, Zack SP KC	User Abuser	220.0	33	23	4	14	10	0	0	230	55	205	2.99	1.18	17
Hernandez, Felix SP SEA	Evil Empire	230.0	34	27	3	18	8	0	0	220	70	215	3.01	1.24	20
Verlander, Justin SP DET	Want-a-be Ghetto All Stars	230.0	34	22	3	17	9	0	0	251	60	209	3.60	1.17	21
Haren, Dan SP ARI	Titty`s Warriors	220.0	34	25	2	14	8	0	0	201	42	201	3.31	1.10	22
Carpenter, Chris SP STL	Blue Crew	196.0	30	20	3	16	6	0	0	142	40	170	3.08	1.07	28
Santana, Johan SP NYM 	Want-a-be Ghetto All Stars	220.0	33	23	1	15	10	0	0	200	59	200	3.15	1.18	29
Broxton, Jonathan RP LA	Titty`s Warriors	70.0	0	0	0	2	2	37	5	104	27	51	2.83	1.11	33
Papelbon, Jonathan RP BOS	SA`s	65.0	0	0	0	1	2	37	6	75	20	50	1.94	1.08	34
Wainwright, Adam SP STL	Shits & Giggles	225.0	34	23	2	18	8	0	0	200	67	215	3.16	1.25	35
Nathan, Joe RP MIN	Sofa Kings	65.0	0	0	0	0	1	37	5	76	21	46	2.08	1.03	36
Rivera, Mariano RP NYY	Floaters and Sinkers	60.0	0	0	0	1	2	39	4	67	12	50	2.25	1.03	37
Lester, Jon SP BOS	Evil Empire	215.0	33	22	2	16	6	0	0	220	65	200	3.43	1.23	45
Beckett, Josh SP BOS	Evil Empire	215.0	33	21	2	18	8	0	0	205	55	201	3.77	1.19	54
Vazquez, Javier SP NYY 	Titty`s Warriors	215.0	32	20	2	16	9	0	0	220	50	190	4.19	1.12	57
Peavy, Jake SP CHW	User Abuser	190.0	30	22	1	16	8	0	0	200	64	165	3.27	1.21	60
Johnson, Josh SP FLA	SA`s	210.0	33	22	2	15	6	0	0	195	60	195	3.34	1.21	61
Lee, Cliff SP SEA 	Whiteness	225.0	33	23	4	15	9	0	0	173	45	225	3.40	1.20	62
Rodriguez, Francisco J. RP NYM	Sofa Kings	68.0	0	0	0	3	5	40	6	75	35	54	2.91	1.31	63
Cain, Matt SP SF	Titty`s Warriors	220.0	33	22	2	15	8	0	0	180	75	195	3.27	1.23	65
Street, Huston RP COL	Evil Empire	65.0	0	0	0	3	2	35	5	70	17	50	3.18	1.03	66
Fuentes, Brian RP ANA	Blue Crew	59.0	0	0	0	3	4	42	7	55	23	48	3.36	1.20	70
Bell, Heath RP SD	Grape Apes	70.0	0	0	0	5	4	37	5	75	27	58	3.34	1.21	71
Wilson, Brian RP SF	Blue Crew	70.0	0	0	0	4	3	37	5	77	26	60	3.21	1.23	73
Hamels, Cole SP PHI	Disco Bush Horticulturists	210.0	33	20	2	14	9	0	0	190	48	200	3.69	1.18	74
Gallardo, Yovani SP MIL	Want-a-be Ghetto All Stars	200.0	32	20	1	17	9	0	0	216	90	168	3.56	1.29	81
Hanson, Tommy SP ATL	Sofa Kings	200.0	31	20	1	15	9	0	0	184	75	175	3.38	1.25	83
Jimenez, Ubaldo SP COL	Disco Bush Horticulturists	220.0	34	22	2	15	10	0	0	200	85	190	3.68	1.25	86
Franklin, Ryan RP STL	Shits & Giggles	65.0	0	0	0	4	4	36	5	45	24	57	3.05	1.25	87
Aardsma, David RP SEA	Evil Empire	70.0	0	0	0	3	4	35	5	76	33	54	3.47	1.24	88
Cordero, Francisco RP CIN	Disco Bush Horticulturists	65.0	0	0	0	2	3	39	5	65	30	58	3.18	1.35	89
Bailey, Andrew RP OAK	Whiteness	70.0	0	0	0	1	2	30	5	76	25	50	2.96	1.07	90
Soria, Joakim RP KC	Floaters and Sinkers	65.0	0	0	0	0	2	31	4	70	19	55	2.22	1.14	91
Weaver, Jered SP ANA	Blue Crew	215.0	34	20	2	16	9	0	0	175	65	200	3.73	1.23	93
Rodriguez, Wandy SP HOU	Shits & Giggles	200.0	34	18	1	13	10	0	0	185	61	193	3.24	1.27	95
Hoffman, Trevor RP MIL	Blue Crew	50.0	0	0	0	2	3	35	5	45	13	40	2.88	1.06	96
Jenks, Bobby RP CHW 	Whiteness	59.0	0	0	0	3	3	33	6	50	18	51	3.20	1.17	112
Lackey, John SP BOS 	User Abuser	200.0	30	20	2	15	9	0	0	159	47	194	3.83	1.21	116
Kershaw, Clayton SP LA	Floaters and Sinkers	199.0	31	19	1	11	8	0	0	201	92	165	3.35	1.29	117
Jurrjens, Jair SP ATL	User Abuser	210.0	34	21	2	15	10	0	0	152	76	200	3.21	1.31	118
Billingsley, Chad SP LA	Titty`s Warriors	205.0	33	20	2	15	10	0	0	200	80	190	3.56	1.32	119
Marmol, Carlos RP CHC	Evil Empire	75.0	0	0	0	1	3	30	6	100	46	50	3.36	1.28	120
Lidge, Brad RP PHI 	Free Agent	66.0	0	0	0	3	4	35	6	78	32	59	3.68	1.38	121
Valverde, Jose RP HOU 	Titty`s Warriors	60.0	0	0	0	1	3	32	5	65	23	50	3.00	1.22	122
Wagner, Billy RP ATL 	Free Agent	55.0	0	0	0	0	2	28	5	65	17	40	2.45	1.04	124
Francisco, Frank RP TEX	Evil Empire	60.0	0	0	0	3	3	30	5	75	20	50	3.75	1.17	131
Kazmir, Scott SP ANA	User Abuser	202.0	32	18	2	15	10	0	0	219	79	189	3.79	1.33	132
Oswalt, Roy SP HOU 	Whiteness	181.0	29	18	2	13	7	0	0	141	41	175	3.58	1.19	133
Dempster, Ryan SP CHC	Want-a-be Ghetto All Stars	210.0	32	20	2	13	9	0	0	176	70	200	3.60	1.29	134
Shields, James SP TB	Whiteness	220.0	33	21	2	13	9	0	0	170	50	220	3.97	1.23	136
Qualls, Chad RP ARI 	SA`s	65.0	0	0	0	2	3	30	5	61	13	65	3.32	1.20	139
Soriano, Rafael RP TB 	Shits & Giggles	70.0	0	0	0	0	3	25	4	85	25	55	2.96	1.14	142
Zambrano, Carlos SP CHC	Whiteness	200.0	32	18	2	15	9	0	0	167	85	179	3.60	1.32	146
Nunez, Leo RP FLA 	Free Agent	65.0	0	0	0	4	4	30	5	56	24	60	3.60	1.29	147
Burnett, A.J. SP NYY	Evil Empire	205.0	33	20	1	15	9	0	0	205	82	190	3.95	1.33	150
Webb, Brandon SP ARI 	SA`s	180.0	27	18	2	13	8	0	0	149	55	170	3.60	1.25	151
Jackson, Edwin SP ARI 	SA`s	210.0	33	20	2	12	10	0	0	167	69	200	3.73	1.28	152
Baker, Scott SP MIN	Floaters and Sinkers	206.0	34	19	2	15	9	0	0	163	50	199	4.33	1.21	153
Danks, John SP CHW	Grape Apes	205.0	33	19	2	14	10	0	0	160	70	195	3.73	1.29	154
Floyd, Gavin SP CHW 	Disco Bush Horticulturists	210.0	33	20	2	15	10	0	0	170	70	199	3.99	1.28	155
Garza, Matt SP TB	Blue Crew	200.0	33	19	2	12	10	0	0	200	77	184	3.83	1.30	157
Wolf, Randy SP MIL 	Want-a-be Ghetto All Stars	200.0	33	20	1	13	10	0	0	159	55	189	4.09	1.22	159
Gonzalez, Mike RP BAL 	Free Agent	70.0	0	0	0	1	3	22	4	82	31	55	2.57	1.23	162
Nolasco, Ricky SP FLA 	Grape Apes	200.0	32	19	2	14	9	0	0	199	50	200	4.41	1.25	167
Scherzer, Max SP DET 	SA`s	185.0	31	17	1	13	12	0	0	200	69	177	3.99	1.33	181
