All Catchers Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Mauer, Joe C MIN	Blue Crew	549	100	192	132	30	0	30	100	82	62	5	1	0.3497	0.4342	0.5683	6
Martinez, Victor C BOS	Want-a-be Ghetto All Stars	566	94	175	116	32	0	27	105	75	73	1	1	0.3092	0.3900	0.5088	46
McCann, Brian C ATL	Sofa Kings	500	69	147	89	36	0	22	95	48	73	5	2	0.2940	0.3558	0.4980	123
Posada, Jorge C NYY	Disco Bush Horticulturists	364	56	105	63	22	0	20	77	50	81	1	1	0.2885	0.3744	0.5137	225
Martin, Russell C LA	Titty`s Warriors	503	65	139	99	27	1	12	65	72	79	12	6	0.2763	0.3670	0.4056	226
Wieters, Matt C BAL	Shits & Giggles	499	57	145	106	24	0	15	65	45	115	0	1	0.2906	0.3493	0.4289	274
Suzuki, Kurt C OAK	Evil Empire	547	67	149	106	30	0	13	75	46	70	5	3	0.2724	0.3288	0.3985	275
Montero, Miguel C ARI	User Abuser	450	65	120	74	29	0	17	67	44	89	1	1	0.2667	0.3320	0.4444	327
Napoli, Mike C ANA	Disco Bush Horticulturists	375	58	96	52	21	1	22	58	59	107	3	2	0.2560	0.3571	0.4933	328
Molina, Bengie C SF 	Free Agent	490	45	135	95	25	0	15	80	23	51	0	0	0.2755	0.3080	0.4184	333
Doumit, Ryan C PIT	Floaters and Sinkers	425	59	116	71	30	1	14	65	37	72	2	2	0.2729	0.3312	0.4471	334
Soto, Geovany C CHC	User Abuser	413	58	109	61	30	3	15	67	53	99	1	0	0.2639	0.3476	0.4600	351
Molina, Yadier C STL	Floaters and Sinkers	477	40	138	107	25	0	6	55	45	41	5	3	0.2893	0.3506	0.3795	355
Iannetta, Chris C COL 	Want-a-be Ghetto All Stars	384	55	98	57	21	2	18	67	67	105	1	1	0.2552	0.3659	0.4609	359
Pierzynski, A.J. C CHW	Titty`s Warriors	476	50	136	95	27	2	12	50	28	60	0	1	0.2857	0.3254	0.4265	361
Baker, John C FLA	SA`s	374	53	105	70	26	1	8	49	45	90	0	0	0.2807	0.3580	0.4198	410
Ruiz, Carlos C PHI	Free Agent	350	46	88	58	21	0	9	57	48	43	3	2	0.2514	0.3417	0.3886	466
Posey, Buster C SF 	Disco Bush Horticulturists	425	40	109	72	25	0	12	48	33	90	3	2	0.2565	0.3100	0.4000	470
Olivo, Miguel C COL 	Whiteness	345	37	84	50	20	0	14	50	17	99	4	2	0.2435	0.2790	0.4232	471
Barajas, Rod C TOR 	Free Agent	374	45	89	56	18	0	15	59	24	67	0	0	0.2380	0.2839	0.4064	488
Flores, Jesus C WAS 	Blue Crew	358	35	93	62	20	1	10	50	28	91	0	0	0.2598	0.3135	0.4050	500
Buck, John C TOR 	Free Agent	412	50	97	56	26	0	15	55	37	109	0	1	0.2354	0.2984	0.4078	507
Rodriguez, Ivan C WAS 	Grape Apes	353	35	95	66	20	2	7	39	15	68	1	1	0.2691	0.2989	0.3966	518
Saltalamacchia, Jarrod C TEX 	Sofa Kings	303	40	76	48	15	1	12	40	28	89	0	1	0.2508	0.3142	0.4257	520
Teagarden, Taylor C TEX 	Free Agent	303	35	78	51	16	0	11	39	19	89	0	0	0.2574	0.3012	0.4191	532
Navarro, Dioner C TB 	SA`s	356	40	90	66	16	0	8	40	31	50	3	2	0.2528	0.3127	0.3652	544
Shoppach, Kelly C TB 	Whiteness	253	37	61	34	14	0	13	40	33	85	0	0	0.2411	0.3287	0.4506	545
Santana, Carlos C CLE 	Whiteness	255	31	67	44	15	0	8	38	25	50	1	1	0.2627	0.3286	0.4157	548
Hernandez, Ramon C CIN	Evil Empire	374	35	96	68	20	0	8	45	39	52	1	1	0.2567	0.3269	0.3743	569
Paulino, Ronny C FLA 	Free Agent	278	29	77	59	11	0	7	30	24	51	0	1	0.2770	0.3344	0.3921	571
Laird, Gerald C DET 	Free Agent	401	50	99	66	24	3	6	40	34	80	4	2	0.2469	0.3057	0.3666	579
Snyder, Chris C ARI 	Free Agent	300	35	70	44	14	0	12	45	45	78	0	0	0.2333	0.3333	0.4000	612
Varitek, Jason C BOS	Free Agent	306	35	72	40	20	0	12	41	50	81	0	0	0.2353	0.3427	0.4183	625
Mathis, Jeff C ANA	Free Agent	285	36	65	43	12	0	10	43	31	86	2	2	0.2281	0.3038	0.3754	627
Marson, Lou C CLE 	Free Agent	325	35	84	54	25	0	5	35	33	80	1	1	0.2585	0.3268	0.3815	630
Torrealba, Yorvit C COL	Evil Empire	255	33	65	42	17	1	5	36	22	48	1	2	0.2549	0.3141	0.3882	631
Clement, Jeff C PIT	Free Agent	268	26	67	41	15	1	10	32	25	80	0	1	0.2500	0.3140	0.4254	650
Castro, Jason C HOU	Free Agent	250	29	64	40	16	1	7	33	20	50	0	1	0.2560	0.3111	0.4120	654
Kendall, Jason C KC 	Free Agent	425	41	104	81	20	1	2	40	40	43	6	3	0.2447	0.3097	0.3106	669
Flowers, Tyler C CHW	Free Agent	245	28	62	40	15	0	7	32	27	71	0	1	0.2531	0.3272	0.4000	672
Hundley, Nick C SD	Free Agent	250	25	60	39	13	0	8	30	21	70	3	1	0.2400	0.2989	0.3880	674
Avila, Alex C DET 	Free Agent	203	24	52	32	13	1	6	30	20	55	0	0	0.2562	0.3229	0.4187	693
Santos, Omir C NYM 	Free Agent	252	24	64	45	12	1	6	35	13	37	0	0	0.2540	0.2906	0.3810	698
Powell, Landon C OAK	Free Agent	150	19	37	20	10	0	7	31	15	39	0	0	0.2467	0.3152	0.4533	703
Kottaras, George C MIL	Free Agent	250	30	64	39	19	0	6	26	24	68	0	1	0.2560	0.3212	0.4040	705
Lawrie, Brett C MIL	Free Agent	129	20	35	21	10	2	2	16	8	25	3	1	0.2713	0.3139	0.4264	739
Arencibia, J.P. C TOR 	Titty`s Warriors	175	20	44	24	12	1	7	25	15	50	0	1	0.2514	0.3105	0.4514	740
Salome, Angel C MIL	Free Agent	279	26	71	50	15	0	6	27	22	53	0	1	0.2545	0.3090	0.3728	755
Schneider, Brian C PHI 	Free Agent	203	21	51	36	10	0	5	30	22	29	0	0	0.2512	0.3244	0.3744	765
Thole, Josh C NYM 	Free Agent	199	15	56	40	13	2	1	22	15	25	1	1	0.2814	0.3318	0.3819	767
Castro, Ramon A. C CHW 	Free Agent	146	15	36	23	6	0	7	25	15	37	0	0	0.2466	0.3168	0.4315	770
Zaun, Gregg C MIL 	Free Agent	199	25	50	32	13	0	5	25	28	34	0	0	0.2513	0.3436	0.3920	772
Coste, Chris C NYM 	Free Agent	162	16	44	29	11	0	4	20	13	34	0	0	0.2716	0.3257	0.4136	778
Ramirez, Max C TEX 	Free Agent	151	25	36	22	9	0	5	26	20	44	0	0	0.2384	0.3275	0.3974	789
Toregas, Wyatt C CLE 	Free Agent	177	15	45	30	10	0	5	25	12	45	0	0	0.2542	0.3016	0.3955	801
Ross, David C ATL	Free Agent	194	23	43	25	9	0	9	24	28	57	0	0	0.2216	0.3198	0.4072	827
Redmond, Mike C MIN	Free Agent	179	15	50	42	8	0	0	19	11	18	0	0	0.2793	0.3211	0.3240	856
Lo Duca, Paul C FLA	Free Agent	167	17	44	35	7	0	2	19	11	12	0	1	0.2635	0.3090	0.3413	865
Bard, Josh C SEA 	Free Agent	182	16	46	31	12	0	3	21	20	29	0	0	0.2527	0.3267	0.3681	893
Whiteside, Eli C SF 	Free Agent	160	19	40	28	8	1	3	16	12	38	0	0	0.2500	0.3023	0.3688	908
Conger, Hank C ANA	Free Agent	150	15	37	23	9	1	4	16	12	25	0	0	0.2467	0.3025	0.4000	919
Hanigan, Ryan C CIN	Free Agent	115	11	31	26	3	0	2	7	16	14	0	0	0.2696	0.3588	0.3478	967
LaRue, Jason C STL 	Free Agent	125	12	29	16	9	0	4	12	15	31	1	1	0.2320	0.3143	0.4000	973
