All First Basemen Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Pujols, Albert 1B STL 	Shits & Giggles	541	110	185	102	40	0	43	127	105	60	10	4	0.3420	0.4489	0.6543	1
Fielder, Prince 1B MIL	Want-a-be Ghetto All Stars	590	105	175	91	35	4	45	120	105	131	3	2	0.2966	0.4029	0.5983	11
Teixeira, Mark 1B NYY	Shits & Giggles	600	105	180	100	40	2	38	125	75	114	4	2	0.3000	0.3778	0.5633	12
Cabrera, Miguel 1B DET	SA`s	615	100	191	118	38	0	35	115	72	121	4	2	0.3106	0.3828	0.5431	13
Howard, Ryan 1B PHI	Titty`s Warriors	610	105	170	87	35	2	46	144	94	189	3	3	0.2787	0.3750	0.5689	14
Reynolds, Mark 3B ARI	Titty`s Warriors	575	100	150	80	30	0	40	109	71	210	20	5	0.2609	0.3421	0.5217	23
Morneau, Justin 1B MIN 	Floaters and Sinkers	585	91	175	105	40	0	30	117	75	89	1	1	0.2991	0.3788	0.5214	43
Gonzalez, Adrian 1B SD	Blue Crew	598	104	168	94	35	0	39	110	115	129	1	0	0.2809	0.3969	0.5351	44
Martinez, Victor C BOS	Want-a-be Ghetto All Stars	566	94	175	116	32	0	27	105	75	73	1	1	0.3092	0.3900	0.5088	46
Youkilis, Kevin 1B BOS	Free Agent	533	100	160	92	39	1	28	103	77	115	4	2	0.3002	0.3885	0.5347	47
Morales, Kendry 1B ANA	Grape Apes	575	90	165	99	32	0	34	110	44	111	3	3	0.2870	0.3376	0.5200	64
Sandoval, Pablo 3B SF 	Shits & Giggles	581	80	178	104	41	3	30	100	70	80	1	1	0.3064	0.3810	0.5422	67
Votto, Joey 1B CIN	Grape Apes	555	88	169	97	42	3	27	97	76	115	4	3	0.3045	0.3883	0.5369	68
Berkman, Lance 1B HOU	Evil Empire	500	80	149	90	32	0	27	90	95	105	7	4	0.2980	0.4101	0.5240	75
Lee, Derrek 1B CHC	Disco Bush Horticulturists	545	90	160	97	36	2	25	95	70	108	3	2	0.2936	0.3740	0.5046	92
Dunn, Adam LF WAS	Whiteness	534	85	139	75	24	0	40	105	115	170	4	2	0.2603	0.3914	0.5300	94
Pena, Carlos 1B TB 	Floaters and Sinkers	493	91	122	58	25	0	39	109	90	160	4	2	0.2475	0.3636	0.5355	113
Butler, Billy 1B KC	Whiteness	600	80	177	112	40	0	25	94	60	94	0	1	0.2950	0.3591	0.4867	114
Cuddyer, Michael RF MIN	Titty`s Warriors	526	87	142	83	27	2	30	91	59	101	5	2	0.2700	0.3436	0.5000	128
Loney, James 1B LA	Want-a-be Ghetto All Stars	581	75	167	113	31	5	18	95	75	75	7	4	0.2874	0.3689	0.4509	138
Lopez, Jose 2B SEA	Floaters and Sinkers	618	75	168	110	33	0	25	95	28	70	4	3	0.2718	0.3034	0.4466	160
