All Outfielders Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Braun, Ryan J. LF MIL	Disco Bush Horticulturists	625	110	193	109	40	7	37	115	55	131	18	6	0.3088	0.3647	0.5728	5
Kemp, Matt CF LA	Sofa Kings	602	100	180	124	28	3	25	100	45	141	30	10	0.2990	0.3478	0.4801	8
Holliday, Matt LF STL 	Free Agent	581	100	185	110	45	5	25	110	65	109	15	5	0.3184	0.3870	0.5422	9
Ellsbury, Jacoby CF BOS 	Titty`s Warriors	600	95	171	118	36	9	8	47	49	78	54	14	0.2850	0.3390	0.4150	15
Crawford, Carl LF TB	Want-a-be Ghetto All Stars	528	85	151	104	27	10	10	64	40	88	46	11	0.2860	0.3363	0.4318	25
Sizemore, Grady CF CLE 	Grape Apes	538	90	148	88	30	5	25	90	80	119	25	8	0.2751	0.3689	0.4888	38
Granderson, Curtis CF NYY 	Want-a-be Ghetto All Stars	606	110	165	95	35	8	27	80	70	128	22	5	0.2723	0.3476	0.4901	40
Bay, Jason LF NYM 	Want-a-be Ghetto All Stars	550	100	154	81	40	7	26	103	85	145	15	5	0.2800	0.3764	0.5200	41
Beltran, Carlos CF NYM	SA`s	538	89	152	86	39	5	22	100	76	92	20	4	0.2825	0.3713	0.4963	42
Ramirez, Manny LF LA	Evil Empire	501	90	157	95	35	0	27	98	83	107	3	2	0.3134	0.4110	0.5449	48
Upton, Justin RF ARI	Disco Bush Horticulturists	570	83	165	100	33	6	26	90	60	159	16	7	0.2895	0.3571	0.5053	49
Upton, B.J. CF TB	Shits & Giggles	554	85	148	97	33	4	14	65	75	147	41	13	0.2671	0.3545	0.4170	51
Lind, Adam LF TOR 	Sofa Kings	600	96	172	109	30	0	33	114	77	115	3	2	0.2867	0.3678	0.5017	53
Ethier, Andre RF LA	Grape Apes	577	93	168	103	35	0	30	105	70	100	6	3	0.2912	0.3679	0.5078	55
Markakis, Nick RF BAL	Shits & Giggles	631	100	188	122	44	1	21	100	70	109	9	4	0.2979	0.3680	0.4707	58
Suzuki, Ichiro RF SEA	Floaters and Sinkers	628	86	200	160	25	8	7	45	46	67	25	7	0.3185	0.3650	0.4172	59
Choo, Shin-Soo RF CLE	SA`s	581	82	172	104	43	5	20	85	85	141	17	5	0.2960	0.3859	0.4905	69
Abreu, Bobby RF ANA	Blue Crew	501	81	145	97	31	3	14	86	70	101	22	8	0.2894	0.3765	0.4471	76
Werth, Jayson RF PHI	Grape Apes	569	85	151	95	25	1	30	90	85	149	16	4	0.2654	0.3609	0.4710	78
Victorino, Shane CF PHI	Want-a-be Ghetto All Stars	577	96	164	112	33	7	12	57	55	71	27	8	0.2842	0.3465	0.4281	79
Hamilton, Josh CF TEX 	Floaters and Sinkers	524	80	153	93	32	3	25	95	52	113	8	4	0.2920	0.3559	0.5076	80
Lee, Carlos N. LF HOU	Sofa Kings	550	65	165	103	35	1	26	100	40	54	5	3	0.3000	0.3475	0.5091	82
Zobrist, Ben 2B TB	Grape Apes	559	94	146	83	30	5	28	95	90	110	16	5	0.2612	0.3636	0.4830	84
Dunn, Adam LF WAS	Whiteness	534	85	139	75	24	0	40	105	115	170	4	2	0.2603	0.3914	0.5300	94
Quentin, Carlos LF CHW	Floaters and Sinkers	525	90	141	77	30	2	32	99	76	92	7	3	0.2686	0.3611	0.5162	97
