All Relief Pitchers Projections MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Broxton, Jonathan RP LA	Titty`s Warriors	70.0	0	0	0	2	2	37	5	104	27	51	2.83	1.11	33
Papelbon, Jonathan RP BOS	SA`s	65.0	0	0	0	1	2	37	6	75	20	50	1.94	1.08	34
Nathan, Joe RP MIN	Sofa Kings	65.0	0	0	0	0	1	37	5	76	21	46	2.08	1.03	36
Rivera, Mariano RP NYY 	Floaters and Sinkers	60.0	0	0	0	1	2	39	4	67	12	50	2.25	1.03	37
Rodriguez, Francisco J. RP NYM	Sofa Kings	68.0	0	0	0	3	5	40	6	75	35	54	2.91	1.31	63
Street, Huston RP COL	Evil Empire	65.0	0	0	0	3	2	35	5	70	17	50	3.18	1.03	66
Fuentes, Brian RP ANA	Blue Crew	59.0	0	0	0	3	4	42	7	55	23	48	3.36	1.20	70
Bell, Heath RP SD	Grape Apes	70.0	0	0	0	5	4	37	5	75	27	58	3.34	1.21	71
Wilson, Brian RP SF	Blue Crew	70.0	0	0	0	4	3	37	5	77	26	60	3.21	1.23	73
Franklin, Ryan RP STL	Shits & Giggles	65.0	0	0	0	4	4	36	5	45	24	57	3.05	1.25	87
Aardsma, David RP SEA	Evil Empire	70.0	0	0	0	3	4	35	5	76	33	54	3.47	1.24	88
Cordero, Francisco RP CIN	Disco Bush Horticulturists	65.0	0	0	0	2	3	39	5	65	30	58	3.18	1.35	89
Bailey, Andrew RP OAK	Whiteness	70.0	0	0	0	1	2	30	5	76	25	50	2.96	1.07	90
Soria, Joakim RP KC	Floaters and Sinkers	65.0	0	0	0	0	2	31	4	70	19	55	2.22	1.14	91
Hoffman, Trevor RP MIL	Blue Crew	50.0	0	0	0	2	3	35	5	45	13	40	2.88	1.06	96
Jenks, Bobby RP CHW 	Whiteness	59.0	0	0	0	3	3	33	6	50	18	51	3.20	1.17	112
Marmol, Carlos RP CHC	Evil Empire	75.0	0	0	0	1	3	30	6	100	46	50	3.36	1.28	120
Lidge, Brad RP PHI 	Free Agent	66.0	0	0	0	3	4	35	6	78	32	59	3.68	1.38	121
Valverde, Jose RP HOU 	Titty`s Warriors	60.0	0	0	0	1	3	32	5	65	23	50	3.00	1.22	122
Wagner, Billy RP ATL 	Free Agent	55.0	0	0	0	0	2	28	5	65	17	40	2.45	1.04	124
Francisco, Frank RP TEX	Evil Empire	60.0	0	0	0	3	3	30	5	75	20	50	3.75	1.17	131
Qualls, Chad RP ARI 	SA`s	65.0	0	0	0	2	3	30	5	61	13	65	3.32	1.20	139
Soriano, Rafael RP TB 	Shits & Giggles	70.0	0	0	0	0	3	25	4	85	25	55	2.96	1.14	142
Nunez, Leo RP FLA 	Free Agent	65.0	0	0	0	4	4	30	5	56	24	60	3.60	1.29	147
Gonzalez, Mike RP BAL 	Free Agent	70.0	0	0	0	1	3	22	4	82	31	55	2.57	1.23	162
Wood, Kerry RP CLE	Titty`s Warriors	60.0	0	0	0	3	4	25	5	70	25	50	3.75	1.25	183
