All Second Basemen Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Utley, Chase 2B PHI	Titty`s Warriors	575	117	170	100	40	0	30	107	80	102	23	3	0.2957	0.3817	0.5217	7
Kinsler, Ian 2B TEX	Free Agent	549	100	147	84	30	3	30	95	60	80	30	5	0.2678	0.3399	0.4973	19
Hill, Aaron 2B TOR	Want-a-be Ghetto All Stars	599	103	172	106	30	0	36	106	45	92	8	3	0.2871	0.3370	0.5175	30
Pedroia, Dustin 2B BOS 	SA`s	630	112	194	129	50	0	15	72	62	49	20	5	0.3079	0.3699	0.4587	31
Cano, Robinson 2B NYY	Want-a-be Ghetto All Stars	600	100	184	126	35	0	23	95	29	69	5	4	0.3067	0.3386	0.4800	52
Roberts, Brian 2B BAL	Evil Empire	596	105	170	108	46	4	12	69	67	101	29	8	0.2852	0.3575	0.4362	56
Zobrist, Ben 2B TB	Grape Apes	559	94	146	83	30	5	28	95	90	110	16	5	0.2612	0.3636	0.4830	84
Phillips, Brandon 2B CIN	Grape Apes	574	80	152	96	30	6	20	90	40	89	25	9	0.2648	0.3127	0.4425	85
Uggla, Dan 2B FLA	Titty`s Warriors	559	90	144	78	36	0	30	95	80	149	5	2	0.2576	0.3505	0.4830	148
Kendrick, Howie 2B ANA	Blue Crew	500	68	150	107	31	0	12	68	25	90	12	5	0.3000	0.3333	0.4340	149
Lopez, Jose 2B SEA	Floaters and Sinkers	618	75	168	110	33	0	25	95	28	70	4	3	0.2718	0.3034	0.4466	160
Weeks, Rickie 2B MIL 	Blue Crew	480	90	120	70	25	5	20	50	75	125	23	5	0.2500	0.3514	0.4479	161
Polanco, Placido 2B PHI 	Free Agent	571	95	173	131	31	0	11	65	39	39	3	2	0.3030	0.3475	0.4151	164
Cabrera, Asdrubal SS CLE	Shits & Giggles	527	82	151	104	36	4	7	70	56	99	15	6	0.2865	0.3551	0.4099	170
Stewart, Ian 3B COL	User Abuser	500	80	125	66	30	2	27	80	60	167	8	4	0.2500	0.3304	0.4800	189
Barmes, Clint 2B COL	Whiteness	539	65	139	85	30	4	20	70	32	111	12	6	0.2579	0.2995	0.4397	231
Sanchez, Freddy 2B SF 	Whiteness	569	75	170	123	35	4	8	60	30	75	3	2	0.2988	0.3339	0.4165	236
Prado, Martin 2B ATL 	User Abuser	545	74	160	103	40	5	12	57	52	70	1	2	0.2936	0.3551	0.4514	243
Hudson, Orlando 2B LA 	Free Agent	525	70	148	97	34	7	10	59	53	88	8	2	0.2819	0.3478	0.4305	247
Johnson, Kelly 2B ARI 	Free Agent	500	80	132	82	30	7	13	62	63	104	10	5	0.2640	0.3464	0.4300	251
Ellis, Mark 2B OAK	Free Agent	475	67	126	88	23	1	14	62	48	72	11	4	0.2653	0.3327	0.4063	253
McGehee, Casey 3B MIL	Free Agent	451	64	127	80	25	4	18	71	40	89	0	1	0.2816	0.3401	0.4745	256
Castillo, Luis 2B NYM	Sofa Kings	452	70	131	109	16	6	0	33	57	47	18	6	0.2898	0.3694	0.3518	264
Getz, Chris 2B KC 	Free Agent	458	56	118	86	25	5	2	35	41	66	30	6	0.2576	0.3186	0.3472	287
Matsui, Kazuo 2B HOU	Free Agent	425	65	115	82	24	2	7	37	34	70	18	6	0.2706	0.3246	0.3859	291
Izturis, Maicer 2B ANA	Free Agent	378	61	105	76	20	3	6	55	37	40	11	4	0.2778	0.3422	0.3942	300
Callaspo, Alberto 2B KC	Free Agent	454	65	130	88	30	4	8	55	38	38	4	2	0.2863	0.3415	0.4229	318
Lopez, Felipe 2B MIL	Blue Crew	550	73	148	100	33	6	9	50	57	95	9	5	0.2691	0.3377	0.4000	331
Schumaker, Skip 2B STL	Free Agent	500	80	150	112	30	5	3	34	44	60	3	3	0.3000	0.3566	0.3980	332
Iwamura, Akinori 2B PIT	Free Agent	477	70	134	98	24	7	5	36	54	102	10	5	0.2809	0.3540	0.3920	337
Baker, Jeff 2B CHC	Free Agent	445	64	120	71	30	4	15	59	37	117	2	2	0.2697	0.3257	0.4562	339
Kennedy, Adam 2B OAK	Want-a-be Ghetto All Stars	401	45	111	81	21	2	7	40	32	57	13	4	0.2768	0.3303	0.3915	347
Ryan, Brendan SS STL	Free Agent	383	51	107	80	21	3	3	35	31	53	14	5	0.2794	0.3333	0.3734	353
Bloomquist, Willie SS KC	Free Agent	379	50	100	84	8	6	2	25	30	67	22	7	0.2639	0.3178	0.3325	354
Tatis, Fernando LF NYM	Free Agent	306	38	88	58	18	2	10	48	26	56	4	0	0.2876	0.3434	0.4575	369
Desmond, Ian SS WAS	Free Agent	364	40	102	63	25	5	9	41	22	62	6	3	0.2802	0.3212	0.4505	385
Harris, Willie LF WAS	Free Agent	345	54	87	57	17	6	7	34	49	66	14	6	0.2522	0.3452	0.3971	389
Wigginton, Ty 3B BAL	Free Agent	402	45	109	69	23	2	15	45	34	71	1	2	0.2711	0.3280	0.4502	397
Bonifacio, Emilio 3B FLA	Free Agent	424	67	105	85	12	8	0	25	30	91	20	8	0.2476	0.2974	0.3137	413
Rodriguez, Sean 2B TB	Free Agent	375	43	100	72	16	2	10	35	33	100	7	3	0.2667	0.3260	0.4000	417
Uribe, Juan 2B SF 	Disco Bush Horticulturists	377	43	97	62	20	0	15	50	23	78	2	2	0.2573	0.3000	0.4297	426
Harris, Brendan 3B MIN	Free Agent	424	55	113	76	27	2	8	46	36	84	1	1	0.2665	0.3239	0.3962	456
Punto, Nick 2B MIN	Free Agent	351	50	87	66	16	4	1	30	45	65	16	6	0.2479	0.3333	0.3248	461
Hairston, Jerry SS NYY	Sofa Kings	301	50	78	50	20	2	6	34	31	43	7	4	0.2591	0.3283	0.3987	462
Young, Eric O. 2B COL	Free Agent	214	26	60	48	8	4	0	12	15	45	15	6	0.2804	0.3275	0.3551	476
Lugo, Julio SS STL	Free Agent	266	35	72	50	15	4	3	28	26	43	9	4	0.2707	0.3356	0.3910	480
Valbuena, Luis 2B CLE	Free Agent	417	58	105	61	30	3	11	35	30	94	3	3	0.2518	0.3020	0.4173	482
Keppinger, Jeff 3B HOU	Free Agent	335	40	93	68	18	2	5	35	27	23	2	1	0.2776	0.3315	0.3881	490
Aybar, Willy 2B TB	Free Agent	301	35	80	55	15	0	10	36	38	47	1	1	0.2658	0.3481	0.4153	496
Eckstein, David 2B SD	Free Agent	404	49	114	87	25	1	1	31	41	33	2	2	0.2822	0.3483	0.3564	497
Belliard, Ronnie 2B LA	Free Agent	251	29	69	46	14	0	9	29	24	43	2	1	0.2749	0.3382	0.4382	502
Fontenot, Mike 2B CHC	Free Agent	357	31	95	59	25	3	8	38	39	74	3	2	0.2661	0.3384	0.4202	504
Nix, Jayson 2B CHW	Free Agent	233	30	57	38	10	0	9	25	25	57	8	3	0.2446	0.3178	0.4034	506
Cedeno, Ronny SS PIT 	Free Agent	396	45	95	73	12	0	10	45	20	85	5	3	0.2399	0.2764	0.3460	519
Crosby, Bobby 3B PIT 	Free Agent	400	45	95	59	25	2	9	46	39	71	6	3	0.2375	0.3052	0.3775	537
Velez, Eugenio 2B SF	Free Agent	190	26	50	33	10	5	2	21	11	33	10	4	0.2632	0.3035	0.4000	546
Infante, Omar 2B ATL	Free Agent	229	31	67	50	13	2	2	28	17	34	2	1	0.2926	0.3415	0.3930	550
Miles, Aaron 2B OAK 	Free Agent	301	38	85	68	14	1	2	22	18	31	3	1	0.2824	0.3229	0.3555	564
Burriss, Emmanuel 2B SF 	Free Agent	221	28	58	52	6	0	0	16	18	29	12	4	0.2624	0.3180	0.2896	568
Carroll, Jamey 2B LA 	Free Agent	227	40	62	49	10	2	1	21	28	41	4	2	0.2731	0.3529	0.3480	594
Casilla, Alexi 2B MIN	Free Agent	267	33	65	53	9	1	2	25	21	37	10	1	0.2434	0.2986	0.3071	607
Young, Delwyn 2B PIT	Free Agent	252	30	67	48	13	1	5	30	23	61	1	1	0.2659	0.3273	0.3849	622
German, Esteban 3B TEX 	Free Agent	193	28	50	35	10	3	2	20	21	35	6	3	0.2591	0.3318	0.3731	640
Santiago, Ramon SS DET 	Free Agent	151	23	41	29	6	2	4	20	13	28	2	1	0.2715	0.3293	0.4172	671
Vazquez, Ramon SS PIT	Free Agent	268	34	68	48	13	2	5	28	33	62	1	0	0.2537	0.3355	0.3731	688
Counsell, Craig 2B MIL 	Free Agent	252	33	65	47	14	2	2	21	34	38	3	2	0.2579	0.3462	0.3532	725
