All Shortstops Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Ramirez, Hanley SS FLA	Disco Bush Horticulturists	575	105	185	117	40	3	25	110	65	100	30	11	0.3217	0.3906	0.5322	2
Tulowitzki, Troy SS COL	User Abuser	600	100	171	100	35	6	30	103	66	115	18	7	0.2850	0.3559	0.5133	24
Reyes, Jose B. SS NYM 	Whiteness	598	100	170	113	34	13	10	55	62	71	45	17	0.2843	0.3515	0.4348	26
Jeter, Derek SS NYY	Evil Empire	589	100	187	140	30	4	13	65	68	87	22	7	0.3175	0.3881	0.4482	32
Rollins, Jimmy SS PHI 	Evil Empire	638	100	175	116	35	7	17	76	52	69	33	7	0.2743	0.3290	0.4310	39
Bartlett, Jason SS TB	Floaters and Sinkers	519	80	150	108	25	5	12	65	50	82	27	5	0.2890	0.3515	0.4258	77
Zobrist, Ben 2B TB	Grape Apes	559	94	146	83	30	5	28	95	90	110	16	5	0.2612	0.3636	0.4830	84
Escobar, Yunel SS ATL	Grape Apes	541	95	163	116	30	2	15	79	64	67	5	4	0.3013	0.3752	0.4473	125
Ramirez, Alexei SS CHW	Want-a-be Ghetto All Stars	533	70	151	111	20	2	18	75	34	66	14	7	0.2833	0.3263	0.4296	140
Escobar, Alcides SS MIL	Blue Crew	532	91	149	114	24	8	3	45	46	78	30	7	0.2801	0.3374	0.3722	141
Cabrera, Asdrubal SS CLE	Shits & Giggles	527	82	151	104	36	4	7	70	56	99	15	6	0.2865	0.3551	0.4099	170
Drew, Stephen SS ARI	Shits & Giggles	575	83	155	94	36	10	15	75	48	101	7	2	0.2696	0.3258	0.4452	222
Tejada, Miguel SS HOU 	Titty`s Warriors	525	72	152	109	30	0	13	66	25	52	4	2	0.2895	0.3218	0.4210	223
Andrus, Elvis SS TEX	Free Agent	504	76	130	91	25	9	5	34	45	81	30	6	0.2579	0.3188	0.3730	224
Cabrera, Everth SS SD	Want-a-be Ghetto All Stars	513	78	131	92	25	13	1	34	68	120	34	11	0.2554	0.3425	0.3606	227
Theriot, Ryan SS CHC	Disco Bush Horticulturists	604	81	170	129	31	8	2	39	64	70	20	8	0.2815	0.3503	0.3692	228
Aybar, Erick SS ANA	SA`s	525	77	150	113	25	9	3	55	30	66	15	6	0.2857	0.3243	0.3848	229
Cabrera, Orlando SS MIN 	SA`s	602	80	164	111	38	7	8	69	44	63	13	5	0.2724	0.3220	0.3987	230
Barmes, Clint 2B COL	Whiteness	539	65	139	85	30	4	20	70	32	111	12	6	0.2579	0.2995	0.4397	231
Scutaro, Marco SS BOS 	Sofa Kings	577	95	153	109	31	1	12	65	62	74	8	4	0.2652	0.3365	0.3847	242
Hardy, J.J. SS MIN	Free Agent	500	70	131	84	25	1	21	75	45	81	3	1	0.2620	0.3229	0.4420	257
Furcal, Rafael SS LA	Free Agent	511	85	145	105	24	9	7	42	52	67	9	5	0.2838	0.3499	0.4070	267
Peralta, Jhonny 3B CLE	User Abuser	580	70	154	100	34	2	18	85	57	134	1	2	0.2655	0.3312	0.4241	285
Izturis, Maicer 2B ANA	Free Agent	378	61	105	76	20	3	6	55	37	40	11	4	0.2778	0.3422	0.3942	300
Pennington, Cliff SS OAK	Free Agent	484	61	129	92	26	5	6	44	55	101	17	8	0.2665	0.3414	0.3781	308
Renteria, Edgar SS SF 	Free Agent	471	65	130	90	30	2	8	52	40	68	8	4	0.2760	0.3327	0.3992	330
Sizemore, Scott SS DET 	Free Agent	455	55	124	87	25	2	10	58	35	89	7	3	0.2725	0.3245	0.4022	340
Guzman, Cristian SS WAS 	Blue Crew	501	71	140	102	25	7	6	50	20	60	4	3	0.2794	0.3071	0.3932	350
Ryan, Brendan SS STL	Free Agent	383	51	107	80	21	3	3	35	31	53	14	5	0.2794	0.3333	0.3734	353
Bloomquist, Willie SS KC	Free Agent	379	50	100	84	8	6	2	25	30	67	22	7	0.2639	0.3178	0.3325	354
Desmond, Ian SS WAS	Free Agent	364	40	102	63	25	5	9	41	22	62	6	3	0.2802	0.3212	0.4505	385
Wigginton, Ty 3B BAL	Free Agent	402	45	109	69	23	2	15	45	34	71	1	2	0.2711	0.3280	0.4502	397
Wood, Brandon 3B ANA 	Evil Empire	392	35	100	64	20	0	16	51	25	122	6	3	0.2551	0.2998	0.4286	399
Bonifacio, Emilio 3B FLA	Free Agent	424	67	105	85	12	8	0	25	30	91	20	8	0.2476	0.2974	0.3137	413
Betancourt, Yuniesky SS KC	Free Agent	472	45	130	91	30	3	6	50	15	40	4	3	0.2754	0.2977	0.3898	416
