All Starting Pitchers Projections MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Lincecum, Tim SP SF	Shits & Giggles	225.0	33	26	3	17	6	0	0	260	65	170	2.88	1.04	3
Halladay, Roy SP PHI 	Shits & Giggles	230.0	33	25	6	17	9	0	0	200	35	222	3.13	1.12	10
Sabathia, CC SP NYY	Floaters and Sinkers	229.0	34	22	5	21	7	0	0	201	65	204	3.38	1.17	16
Greinke, Zack SP KC	User Abuser	220.0	33	23	4	14	10	0	0	230	55	205	2.99	1.18	17
Hernandez, Felix SP SEA	Evil Empire	230.0	34	27	3	18	8	0	0	220	70	215	3.01	1.24	20
Verlander, Justin SP DET	Want-a-be Ghetto All Stars	230.0	34	22	3	17	9	0	0	251	60	209	3.60	1.17	21
Haren, Dan SP ARI	Titty`s Warriors	220.0	34	25	2	14	8	0	0	201	42	201	3.31	1.10	22
Carpenter, Chris SP STL	Blue Crew	196.0	30	20	3	16	6	0	0	142	40	170	3.08	1.07	28
Santana, Johan SP NYM 	Want-a-be Ghetto All Stars	220.0	33	23	1	15	10	0	0	200	59	200	3.15	1.18	29
Wainwright, Adam SP STL	Shits & Giggles	225.0	34	23	2	18	8	0	0	200	67	215	3.16	1.25	35
Lester, Jon SP BOS	Evil Empire	215.0	33	22	2	16	6	0	0	220	65	200	3.43	1.23	45
Beckett, Josh SP BOS	Evil Empire	215.0	33	21	2	18	8	0	0	205	55	201	3.77	1.19	54
Vazquez, Javier SP NYY 	Titty`s Warriors	215.0	32	20	2	16	9	0	0	220	50	190	4.19	1.12	57
Peavy, Jake SP CHW	User Abuser	190.0	30	22	1	15	8	0	0	200	64	165	3.27	1.21	60
Johnson, Josh SP FLA	SA`s	210.0	33	22	2	15	6	0	0	195	60	195	3.34	1.21	61
Lee, Cliff SP SEA 	Whiteness	225.0	33	23	4	15	9	0	0	173	45	225	3.40	1.20	62
Cain, Matt SP SF	Titty`s Warriors	220.0	33	22	2	15	8	0	0	180	75	195	3.27	1.23	65
Hamels, Cole SP PHI	Disco Bush Horticulturists	210.0	33	20	2	14	9	0	0	190	48	200	3.69	1.18	74
Gallardo, Yovani SP MIL	Want-a-be Ghetto All Stars	200.0	32	20	1	17	9	0	0	216	90	168	3.56	1.29	81
Hanson, Tommy SP ATL	Sofa Kings	200.0	31	20	1	15	9	0	0	184	75	175	3.38	1.25	83
Jimenez, Ubaldo SP COL	Disco Bush Horticulturists	220.0	34	22	2	15	10	0	0	200	85	190	3.68	1.25	86
Weaver, Jered SP ANA	Blue Crew	215.0	34	20	2	16	9	0	0	175	65	200	3.73	1.23	93
Rodriguez, Wandy SP HOU	Shits & Giggles	200.0	34	18	1	13	10	0	0	185	61	193	3.24	1.27	95
Lackey, John SP BOS 	User Abuser	200.0	30	20	2	15	9	0	0	159	47	194	3.83	1.21	116
Kershaw, Clayton SP LA	Floaters and Sinkers	199.0	31	19	1	11	8	0	0	201	92	165	3.35	1.29	117
Jurrjens, Jair SP ATL	User Abuser	210.0	34	21	2	15	10	0	0	152	76	200	3.21	1.31	118
Billingsley, Chad SP LA	Titty`s Warriors	205.0	33	20	2	15	10	0	0	200	80	190	3.56	1.32	119
Kazmir, Scott SP ANA	User Abuser	202.0	32	18	2	15	10	0	0	219	79	189	3.79	1.33	132
Oswalt, Roy SP HOU 	Whiteness	181.0	29	18	2	13	7	0	0	141	41	175	3.58	1.19	133
Dempster, Ryan SP CHC	Want-a-be Ghetto All Stars	210.0	32	20	2	13	9	0	0	176	70	200	3.60	1.29	134
Shields, James SP TB	Whiteness	220.0	33	21	2	13	9	0	0	170	50	220	3.97	1.23	136
Zambrano, Carlos SP CHC	Whiteness	200.0	32	18	2	15	9	0	0	167	85	179	3.60	1.32	146
Burnett, A.J. SP NYY	Evil Empire	205.0	33	20	1	15	9	0	0	205	82	190	3.95	1.33	150
Webb, Brandon SP ARI 	SA`s	180.0	27	18	2	13	8	0	0	149	55	170	3.60	1.25	151
Jackson, Edwin SP ARI 	SA`s	210.0	33	20	2	12	10	0	0	167	69	200	3.73	1.28	152
Baker, Scott SP MIN	Floaters and Sinkers	206.0	34	19	2	15	9	0	0	163	50	199	4.33	1.21	153
Danks, John SP CHW	Grape Apes	205.0	33	19	2	14	10	0	0	160	70	195	3.73	1.29	154
Floyd, Gavin SP CHW 	Disco Bush Horticulturists	210.0	33	20	2	15	10	0	0	170	70	199	3.99	1.28	155
Garza, Matt SP TB	Blue Crew	200.0	33	19	2	12	10	0	0	200	77	184	3.83	1.30	157
Wolf, Randy SP MIL 	Want-a-be Ghetto All Stars	200.0	33	20	1	13	10	0	0	159	55	189	4.09	1.22	159
Nolasco, Ricky SP FLA 	Grape Apes	200.0	32	19	2	14	9	0	0	199	50	200	4.41	1.25	167
Scherzer, Max SP DET 	SA`s	185.0	31	17	1	13	12	0	0	200	69	177	3.99	1.33	181
Hudson, Tim SP ATL	Blue Crew	180.0	28	20	1	12	7	0	0	109	50	177	3.50	1.26	184
Lowe, Derek SP ATL	Titty`s Warriors	205.0	34	20	2	14	11	0	0	135	60	206	3.86	1.30	185
Kuroda, Hiroki SP LA	Free Agent	188.0	32	17	2	11	10	0	0	119	45	186	3.78	1.23	187
Harden, Rich SP TEX 	Want-a-be Ghetto All Stars	165.0	28	16	0	10	7	0	0	185	70	150	3.55	1.33	190
Price, David SP TB	Floaters and Sinkers	188.0	32	16	2	13	9	0	0	169	71	170	4.12	1.28	193
Lilly, Ted SP CHC 	Free Agent	177.0	26	16	0	10	7	0	0	135	49	168	3.81	1.23	194
Matsuzaka, Daisuke SP BOS 	Shits & Giggles	194.0	32	16	0	16	9	0	0	184	88	179	3.99	1.38	198
Buehrle, Mark SP CHW	Free Agent	205.0	33	20	2	13	10	0	0	115	45	217	3.82	1.28	199
Buchholz, Clay SP BOS	Evil Empire	191.0	29	14	2	13	12	0	0	171	68	185	4.01	1.32	214
Blanton, Joe SP PHI 	SA`s	205.0	32	18	2	13	10	0	0	165	59	206	4.21	1.29	215
Anderson, Brett SP OAK	Sofa Kings	198.0	33	17	2	10	12	0	0	173	53	200	4.14	1.28	216
Happ, J.A. SP PHI 	Want-a-be Ghetto All Stars	199.0	30	17	3	13	9	0	0	148	71	195	3.84	1.34	218
Bedard, Erik SP SEA 	SA`s	150.0	25	15	0	10	5	0	0	165	65	135	3.66	1.33	239
Slowey, Kevin SP MIN 	Floaters and Sinkers	180.0	31	17	2	15	9	0	0	139	29	201	4.40	1.28	240
Cueto, Johnny SP CIN	Disco Bush Horticulturists	199.0	32	16	2	14	12	0	0	170	70	199	4.34	1.35	248
Santana, Ervin SP ANA	Sofa Kings	200.0	32	18	2	13	10	0	0	179	65	200	4.50	1.32	249
De La Rosa, Jorge SP COL	Disco Bush Horticulturists	196.0	33	16	1	14	10	0	0	196	84	185	4.45	1.37	254
Harang, Aaron SP CIN 	Titty`s Warriors	199.0	31	18	2	10	13	0	0	181	56	210	4.25	1.34	258
Niemann, Jeff SP TB	Whiteness	194.0	32	16	2	14	10	0	0	137	65	199	4.04	1.36	259
Maine, John SP NYM	Free Agent	185.0	28	16	0	10	10	0	0	165	75	170	4.14	1.32	260
Davis, Wade SP TB	Floaters and Sinkers	180.0	30	15	6	11	12	0	0	161	64	175	4.15	1.33	261
Sheets, Ben SP MIL 	Free Agent	165.0	27	16	2	10	8	0	0	125	45	165	3.98	1.27	262
Hughes, Phil SP NYY	Shits & Giggles	150.0	22	10	1	10	8	2	1	137	56	136	4.20	1.28	265
Pettitte, Andy SP NYY 	Evil Empire	190.0	31	17	0	14	8	0	0	144	67	195	4.03	1.38	266
