All Utility Players 3 Year Averages MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Value
Reyes, Jose B. SS NYM 	Whiteness	672	118	196	130	34	16	16	69	65	80	66	18	0.2917	0.3545	0.4613	1
Ramirez, Hanley SS FLA 	Disco Bush Horticulturists	620	123	191	115	43	7	26	69	67	115	46	14	0.3081	0.3793	0.5258	2
Rodriguez, Alex 3B NYY 	Sofa Kings	555	120	168	97	30	0	41	127	83	125	19	4	0.3027	0.4027	0.5784	3
Holliday, Matt LF STL 	Evil Empire	592	115	195	115	44	4	32	113	61	113	16	4	0.3294	0.4003	0.5794	4
Wright, David 3B NYM 	Disco Bush Horticulturists	604	108	189	115	41	3	30	116	85	115	23	5	0.3129	0.3969	0.5397	5
Pujols, Albert 1B STL 	Shits & Giggles	541	106	183	105	38	1	39	119	98	54	5	4	0.3383	0.4400	0.6285	6
Suzuki, Ichiro RF SEA 	Floaters and Sinkers	686	108	225	189	21	8	7	53	50	71	42	5	0.3280	0.3755	0.4125	8
Rollins, Jimmy SS PHI	Evil Empire	654	114	186	111	40	13	22	79	55	73	41	4	0.2844	0.3431	0.4862	9
Utley, Chase 2B PHI 	Titty`s Warriors	598	116	185	109	43	4	29	103	59	108	13	2	0.3094	0.3883	0.5401	11
Beltran, Carlos CF NYM 	SA`s	557	112	155	81	37	3	34	113	85	102	22	3	0.2783	0.3712	0.5386	12
Soriano, Alfonso LF CHC 	Whiteness	560	97	160	85	37	2	36	80	47	131	26	9	0.2857	0.3447	0.5518	16
Crawford, Carl LF TB 	Want-a-be Ghetto All Stars	542	84	163	116	23	12	12	71	33	86	44	9	0.3007	0.3436	0.4539	17
Sizemore, Grady CF CLE 	Grape Apes	639	118	178	101	42	7	28	81	92	146	31	7	0.2786	0.3797	0.4977	18
Berkman, Lance 1B HOU 	Evil Empire	550	101	166	95	33	2	36	115	97	113	9	3	0.3018	0.4082	0.5655	19
Cabrera, Miguel 1B DET	SA`s	593	96	188	113	41	2	32	120	74	120	4	2	0.3170	0.3941	0.5548	20
Howard, Ryan 1B PHI 	Titty`s Warriors	573	101	159	80	26	2	51	144	99	193	1	0	0.2775	0.3860	0.5969	21
Braun, Ryan J. LF MIL 	Disco Bush Horticulturists	531	92	160	86	32	6	36	102	36	120	14	4	0.3013	0.3501	0.5876	22
Guerrero, Vladimir RF ANA 	User Abuser	574	89	183	115	37	2	29	111	57	69	7	4	0.3188	0.3832	0.5418	24
Lee, Carlos N. LF HOU 	Sofa Kings	562	85	171	102	36	1	32	112	49	59	11	3	0.3043	0.3574	0.5427	25
Jeter, Derek SS NYY 	Evil Empire	619	103	200	151	34	3	12	80	59	96	20	6	0.3231	0.3911	0.4459	26
Abreu, Bobby RF ANA	Lazy Pukes	587	107	171	110	40	4	17	103	94	121	26	8	0.2913	0.3875	0.4600	27
Roberts, Brian 2B BAL	Evil Empire	598	98	174	117	42	5	10	56	75	90	42	8	0.2910	0.3682	0.4281	30
Jones, Chipper 3B ATL 	Evil Empire	454	92	155	95	31	3	26	88	78	70	5	1	0.3414	0.4358	0.5947	31
Ordonez, Magglio RF DET 	Free Agent	583	90	190	126	39	1	24	115	58	81	2	3	0.3259	0.3867	0.5197	32
Ortiz, David DH BOS 	Titty`s Warriors	508	102	151	76	37	1	37	114	100	98	2	0	0.2972	0.4130	0.5925	33
Pierre, Juan LF LA	Free Agent	581	76	169	138	22	8	1	36	29	33	54	16	0.2909	0.3306	0.3614	34
Ramirez, Manny LF LA 	Evil Empire	495	88	157	93	32	1	31	104	86	106	1	0	0.3172	0.4192	0.5737	36
Rios, Alex RF CHW	Free Agent	576	91	171	104	41	7	19	82	45	101	21	6	0.2969	0.3481	0.4913	37
Damon, Johnny LF NYY 	Titty`s Warriors	560	101	160	108	30	4	18	71	66	82	27	7	0.2857	0.3613	0.4500	38
Atkins, Garrett 3B COL 	Free Agent	606	95	185	120	38	2	25	110	62	91	3	1	0.3053	0.3686	0.4983	40
