All Players 3 Year Averages MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Value
Santana, Johan SP NYM 	Want-a-be Ghetto All Stars	229.0	33.7	24	2	17	9	0	0	229	54	192	2.87	1.07	7
Rodriguez, Francisco J. RP NYM 	Sofa Kings	69.7	0.0	0	0	3	3	50	0	88	32	52	2.20	1.21	10
Nathan, Joe RP MIN 	Sofa Kings	69.3	0.0	0	0	4	1	37	0	82	18	45	1.56	0.91	13
Papelbon, Jonathan RP BOS 	SA`s	65.3	0.0	0	0	3	3	38	0	79	12	43	1.65	0.84	14
Sabathia, CC SP NYY  	Floaters and Sinkers	229.0	32.3	23	7	16	9	0	0	211	47	214	3.03	1.14	15
Webb, Brandon SP ARI 	SA`s	232.7	33.7	23	4	19	8	0	0	185	62	210	3.13	1.17	23
Rivera, Mariano RP NYY 	Floaters and Sinkers	72.3	0.0	0	0	5	5	34	0	69	10	57	2.12	0.93	28
Halladay, Roy SP TOR   	Shits & Giggles	230.3	32.0	21	7	17	8	0	0	159	40	220	3.20	1.13	29
Peavy, Jake SP CHW 	User Abuser	199.7	31.0	23	1	13	10	0	0	207	63	167	3.16	1.15	35
Soria, Joakim RP KC	Floaters and Sinkers	68.0	0.0	0	0	2	3	30	0	70	19	42	2.12	0.90	39
Putz, J.J. RP NYM 	Free Agent	65.3	0.0	0	0	5	2	30	0	81	18	47	2.34	0.99	41
Haren, Dan SP ARI   	Titty`s Warriors	220.7	33.7	23	1	15	10	0	0	191	47	214	3.51	1.18	45
Saito, Takashi RP BOS	Free Agent	63.3	0.0	0	0	4	2	27	0	82	17	40	1.99	0.90	46
Wagner, Billy RP BOS 	Free Agent	62.7	0.0	0	0	2	2	34	0	75	18	49	2.44	1.07	48
Hoffman, Trevor RP MIL 	Lazy Pukes	55.3	0.0	0	0	2	4	39	0	47	12	45	2.93	1.03	49
Jenks, Bobby RP CHW 	Whiteness	65.3	0.0	0	0	3	3	37	0	58	20	54	3.17	1.13	52
Oswalt, Roy SP HOU  	Whiteness	213.7	32.0	23	2	15	8	0	0	162	48	213	3.24	1.22	54
Lincecum, Tim SP SF  	Shits & Giggles	186.7	28.5	21	1	12	5	0	0	208	74	152	3.18	1.21	55
Hamels, Cole SP PHI  	Disco Bush Horticulturists	181.0	28.0	17	1	13	8	0	0	173	48	158	3.43	1.14	58
Lackey, John SP ANA   	User Abuser	201.7	30.0	21	3	15	8	0	0	166	55	194	3.39	1.23	65
Cordero, Francisco RP CIN 	Disco Bush Horticulturists	69.7	0.0	0	0	5	4	33	0	83	29	61	3.36	1.29	67
Valverde, Jose RP HOU 	Titty`s Warriors	62.0	0.0	0	0	3	3	36	0	77	24	53	3.77	1.24	69
Lowe, Derek SP ATL  	Titty`s Warriors	209.3	33.3	20	2	14	11	0	0	139	53	203	3.57	1.22	77
Lidge, Brad RP PHI 	Disco Bush Horticulturists	70.3	0.0	0	0	3	3	31	0	95	34	58	3.58	1.31	81
Beckett, Josh SP BOS  	Evil Empire	193.3	30.0	18	1	16	9	0	0	175	49	184	4.10	1.21	85
Smoltz, John SP STL  	Sofa Kings	155.3	24.0	17	1	11	6	0	0	148	37	147	3.24	1.18	91
Fuentes, Brian RP ANA 	Lazy Pukes	63.0	0.0	0	0	2	5	27	0	70	24	48	3.14	1.14	93
Street, Huston RP COL	Evil Empire	63.7	0.0	0	0	5	4	24	0	66	17	52	3.39	1.08	95
Harang, Aaron SP CIN 	Titty`s Warriors	216.7	32.7	18	3	13	11	0	0	196	53	220	4.03	1.26	96
Zambrano, Carlos SP CHC   	Whiteness	206.3	32.3	19	1	16	9	0	0	172	96	174	3.75	1.31	100
Lilly, Ted SP CHC  	Evil Empire	197.7	33.3	20	0	16	10	0	0	173	67	182	4.05	1.26	102
Kazmir, Scott SP ANA  	User Abuser	168.0	28.3	14	0	12	8	0	0	189	70	150	3.43	1.31	107
Matsuzaka, Daisuke SP BOS 	Shits & Giggles	186.0	30.5	16	0	16	8	0	0	178	87	160	3.73	1.33	109
Young, Chris R. SP SD 	Lazy Pukes	151.7	26.3	15	0	9	6	0	0	141	63	112	3.44	1.15	110
Dempster, Ryan SP CHC  	Want-a-be Ghetto All Stars	116.0	11.0	7	0	7	7	17	0	103	47	103	3.72	1.29	116
Shields, James SP TB  	Whiteness	185.0	28.3	18	2	11	8	0	0	149	38	184	3.94	1.20	117
Vazquez, Javier SP ATL  	Titty`s Warriors	209.3	32.3	17	1	13	12	0	0	199	56	206	4.39	1.25	119
Mussina, Mike SP NYY	Free Agent	183.3	31.0	19	0	15	9	0	0	138	34	195	3.93	1.25	120
Sheets, Ben SP MIL	Free Agent	148.7	24.0	14	2	10	7	0	0	127	32	141	3.51	1.16	122
Bedard, Erik SP SEA 	SA`s	153.0	25.3	16	0	11	7	0	0	155	54	136	3.53	1.24	124
Burnett, A.J. SP NYY  	Evil Empire	174.3	26.7	16	2	13	9	0	0	175	64	160	3.92	1.28	127
Ryan, B.J. RP CHC	Free Agent	45.0	0.0	0	0	1	3	24	0	49	17	32	2.40	1.09	131
Verlander, Justin SP DET   	Want-a-be Ghetto All Stars	196.3	31.7	17	1	15	11	0	0	157	71	188	4.03	1.32	139
Kuroda, Hiroki SP LA 	Floaters and Sinkers	183.3	31.0	18	2	9	10	0	0	116	42	181	3.73	1.22	140
Cain, Matt SP SF   	Titty`s Warriors	202.7	32.3	19	1	9	14	0	0	176	86	179	3.86	1.31	141
Arroyo, Bronson SP CIN   	Shits & Giggles	217.0	34.3	21	2	13	12	0	0	168	65	224	4.06	1.33	146
Weaver, Jered SP ANA  	Lazy Pukes	153.7	25.7	15	0	12	6	0	0	124	44	148	3.69	1.25	149
Capps, Matt RP PIT 	Free Agent	71.0	0.0	0	0	5	4	13	0	53	11	64	3.04	1.06	152
Hudson, Tim SP ATL   	Lazy Pukes	195.0	30.3	18	1	13	10	0	0	119	57	194	3.88	1.29	155
Santana, Ervin SP ANA  	Sofa Kings	191.0	30.3	17	1	13	10	0	0	160	58	184	4.38	1.27	159
Maddux, Greg SP LA	Free Agent	200.7	33.7	17	0	12	13	0	0	106	31	215	4.17	1.23	162
Isringhausen, Jason RP TB 	Free Agent	55.3	0.0	0	0	3	4	26	0	47	29	46	3.74	1.36	164
Gregg, Kevin RP CHC	Free Agent	77.0	1.0	0	0	3	6	20	0	72	33	67	3.74	1.30	169
Lee, Cliff SP PHI  	Whiteness	173.7	26.7	14	2	14	7	0	0	122	43	183	3.94	1.30	171
Hernandez, Felix SP SEA  	Evil Empire	194.0	30.7	16	2	12	11	0	0	172	64	201	3.94	1.37	172
Cordero, Chad RP SEA	Free Agent	51.0	0.0	0	0	3	2	22	0	45	18	47	3.18	1.27	173
Meche, Gil SP KC  	Free Agent	204.3	33.3	20	1	11	11	0	0	165	73	202	4.01	1.35	174
Myers, Brett SP PHI 	User Abuser	152.3	21.3	13	1	9	9	7	0	145	52	151	4.25	1.33	183
Ziegler, Brad RP OAK	Free Agent	59.7	0.0	0	0	3	0	11	0	30	22	47	1.06	1.16	184
Bush, Dave SP MIL  	Free Agent	193.7	30.7	16	1	11	10	0	0	136	43	194	4.55	1.22	189
Wang, Chien-Ming SP NYY 	Free Agent	170.7	26.0	16	1	15	5	0	0	78	49	174	3.74	1.31	190
Billingsley, Chad SP LA  	Titty`s Warriors	146.0	22.7	12	1	12	6	0	0	134	67	137	3.33	1.40	193
Borowski, Joe RP CLE	Free Agent	50.7	0.0	0	0	3	4	29	0	44	19	55	4.80	1.46	194
Johnson, Randy SP SF 	Evil Empire	148.7	24.3	13	1	11	8	0	0	139	39	143	4.42	1.22	197
Wainwright, Adam SP STL   	Shits & Giggles	136.3	17.3	11	1	9	5	1	0	100	42	133	3.43	1.28	198
Broxton, Jonathan RP LA 	Titty`s Warriors	75.7	0.0	0	0	4	3	6	0	95	28	61	2.85	1.18	200
Maine, John SP NYM 	Evil Empire	140.3	24.0	12	1	10	8	0	0	124	58	120	3.91	1.27	204
Escobar, Kelvim SP ANA 	Sofa Kings	128.3	20.0	13	1	10	7	0	0	102	39	125	3.51	1.28	209
Buehrle, Mark SP CHW  	Floaters and Sinkers	208.0	32.0	20	2	12	11	0	0	118	48	232	4.11	1.35	218
Rauch, Jon RP MIN 	Free Agent	83.3	0.0	0	0	5	6	8	0	74	24	74	3.67	1.18	220
Carlson, Jesse RP TOR	Free Agent	60.0	0.0	0	0	7	2	2	0	55	21	41	2.25	1.03	222
Wheeler, Dan RP TB	Free Agent	70.7	0.0	0	0	3	7	11	0	68	23	59	3.69	1.16	223
Qualls, Chad RP ARI 	SA`s	81.7	0.0	0	0	6	5	5	0	68	24	74	3.20	1.20	225
Harden, Rich SP CHC   	Want-a-be Ghetto All Stars	73.3	12.7	6	0	5	1	0	0	86	33	48	2.58	1.10	226
Pettitte, Andy SP NYY   	Floaters and Sinkers	211.3	34.0	20	1	14	12	0	0	159	65	236	4.26	1.42	227
Weathers, David RP MIL	Free Agent	73.7	0.0	0	0	3	5	15	0	48	30	68	3.42	1.33	229
Wade, Cory RP LA	Free Agent	71.3	0.0	0	0	2	1	0	0	51	15	51	2.27	0.93	230
Litsch, Jesse SP TOR 	Free Agent	143.3	24.0	14	1	10	9	0	0	74	38	147	3.64	1.29	231
Duchscherer, Justin SP OAK 	Sofa Kings	71.3	7.3	5	0	5	4	3	0	53	17	59	2.78	1.07	232
Torres, Salomon RP MIL	Free Agent	75.3	0.0	0	0	4	5	17	0	56	29	77	3.82	1.41	233
Moyer, Jamie SP PHI 	Free Agent	202.3	33.0	19	1	14	11	0	0	121	60	216	4.36	1.36	236
