All Players Projections MLB Scoring Stats - Average									
Player	Action	Team	ERA	INN	K	S	W	WHIP	Rank
Halladay, Roy SP PHI	-	Shits & Giggles	2.539	241.0	216	0	19	1.0664	1
Verlander, Justin SP DET	-	Sofa Kings	3.059	238.3	246	0	20	1.0825	3
Hernandez, Felix SP SEA	-	Evil Empire	2.730	240.7	224	0	15	1.1343	6
Lee, Cliff SP PHI	-	Whiteness	2.911	225.7	201	0	14	1.0901	8
Kershaw, Clayton SP LAD	-	Sofa Kings	2.616	203.0	215	0	14	1.1133	9
Weaver, Jered SP LAA	-	SA`s	3.018	223.7	202	0	16	1.1043	10
Lincecum, Tim SP SF 	-	Shits & Giggles	2.885	218.3	237	0	15	1.1725	11
Sabathia, CC SP NYY	-	Disco Bush Horticulturists	3.179	235.0	208	0	20	1.1872	12
Bell, Heath RP MIA 	-	Floaters and Sinkers	2.406	67.3	72	44	5	1.1584	14
Rivera, Mariano RP NYY 	-	Orange-a-Tangs	1.867	62.7	59	40	2	0.8777	16
Haren, Dan SP LAA	-	Evil Empire	3.418	234.3	210	0	14	1.1010	17
Cain, Matt SP SF	-	Whiteness	2.973	221.0	176	0	13	1.1176	18
Carpenter, Chris SP STL	-	Sofa Kings	3.005	221.7	171	0	15	1.1549	22
Wilson, Brian RP SF 	-	Whiteness	2.540	67.3	77	41	5	1.2624	26
Greinke, Zack SP MIL	-	Shits & Giggles	3.348	207.0	208	0	14	1.1691	30
Hamels, Cole SP PHI 	-	Titty`s Warriors	3.364	206.0	191	0	12	1.1456	33
Lester, Jon SP BOS	-	Floaters and Sinkers	3.358	201.0	211	0	16	1.2289	34
Papelbon, Jonathan RP PHI	-	Shits & Giggles	2.849	66.3	80	35	3	1.1307	35
Cordero, Francisco RP CIN 	-	Titty`s Warriors	2.842	69.7	53	39	4	1.2488	36
Wainwright, Adam SP STL 	-	Shits & Giggles	2.508	154.3	142	0	13	1.1339	37
Soria, Joakim RP KC 	-	Free Agent	2.715	59.7	67	34	3	1.1397	45
Valverde, Jose RP DET	-	User Abuser	2.571	63.0	63	33	3	1.1587	48
Johnson, Josh SP MIA 	-	Blue Crew	2.623	151.0	144	0	10	1.1126	50
Wilson, C.J. SP LAA 	-	Want-a-be Ghetto All Stars	3.072	167.0	153	5	12	1.2275	53
Marcum, Shaun SP MIL 	-	Evil Empire	3.591	198.0	162	0	13	1.1515	54
Lilly, Ted SP LAD	-	Free Agent	3.597	187.7	158	0	11	1.1030	56
Jimenez, Ubaldo SP CLE 	-	Disco Bush Horticulturists	3.611	209.3	197	0	15	1.2564	62
Price, David SP TB	-	Titty`s Warriors	3.417	187.0	169	0	14	1.2032	63
Vogelsong, Ryan SP SF	-	SA`s	2.705	179.7	139	0	13	1.2523	64
Bailey, Andrew RP BOS 	-	Free Agent	2.017	58.0	58	25	2	0.9483	68
Pineda, Michael SP SEA	-	Evil Empire	3.737	171.0	173	0	9	1.0994	71
Kimbrel, Craig RP ATL	-	Evil Empire	1.849	48.7	84	24	4	1.0685	73
Vazquez, Javier SP MIA 	-	Titty`s Warriors	3.844	189.7	174	0	13	1.1810	74
Rodriguez, Francisco RP MIL 	-	Blue Crew	2.878	65.7	73	28	4	1.2487	78
Gallardo, Yovani SP MIL	-	Whiteness	3.690	192.7	204	0	15	1.2976	80
Rodriguez, Wandy SP HOU	-	Shits & Giggles	3.375	197.3	179	0	12	1.2821	81
Marmol, Carlos RP CHC	-	Orange-a-Tangs	3.345	75.3	110	29	2	1.3407	83
Lewis, Colby SP TEX	-	Whiteness	4.037	200.7	182	0	13	1.1960	84
Feliz, Neftali RP TEX	-	Blue Crew	2.485	54.3	55	25	2	0.9571	88
Kuroda, Hiroki SP LAD 	-	Floaters and Sinkers	3.349	172.0	136	0	11	1.1744	90
Hudson, Tim SP ATL 	-	SA`s	3.056	162.0	109	0	12	1.1728	91
Soriano, Rafael RP NYY	-	Free Agent	2.746	59.0	65	25	2	1.0339	92
Storen, Drew RP WAS	-	Whiteness	3.031	65.3	63	24	5	1.1173	94
Shields, James SP TB	-	Orange-a-Tangs	3.978	224.0	193	0	13	1.2634	95
Oswalt, Roy SP PHI 	-	Titty`s Warriors	3.451	177.3	141	0	10	1.1786	97
Hanson, Tommy SP ATL 	-	Sofa Kings	3.287	153.3	144	0	11	1.1739	98
Collmenter, Josh SP ARI	-	Shits & Giggles	3.382	154.3	100	0	10	1.0691	101
Street, Huston RP SD 	-	Disco Bush Horticulturists	3.557	55.7	57	28	3	1.0599	102
Nunez, Leo RP MIA 	-	Disco Bush Horticulturists	3.818	66.0	62	31	3	1.2424	103
Garza, Matt SP CHC 	-	Evil Empire	3.743	202.0	179	0	11	1.2525	107
Romero, Ricky SP TOR	-	Orange-a-Tangs	3.612	204.3	164	0	14	1.3018	109
Garcia, Jaime SP STL	-	Titty`s Warriors	3.168	179.0	144	0	13	1.3184	114
Wolf, Randy SP MIL	-	Free Agent	3.701	214.0	145	0	12	1.2710	117
Kennedy, Ian SP ARI	-	Whiteness	3.302	139.0	122	0	10	1.1367	118
Beckett, Josh SP BOS	-	SA`s	3.951	177.7	163	0	12	1.2158	121
Latos, Mat SP CIN 	-	SA`s	3.391	143.3	138	0	9	1.1512	123
Axford, John RP MIL	-	Shits & Giggles	2.331	46.3	57	24	3	1.1655	124
Cueto, Johnny SP CIN	-	Blue Crew	3.474	171.0	125	0	11	1.2515	133
Fuentes, Brian RP OAK 	-	Free Agent	3.522	53.7	45	28	2	1.2298	137
Jurrjens, Jair SP ATL 	-	Free Agent	3.186	161.0	109	0	11	1.2609	138
Danks, John SP CHW 	-	Free Agent	3.930	194.7	149	0	12	1.2740	142
Madson, Ryan RP PHI 	-	Sofa Kings	2.827	63.7	68	16	5	1.1466	144
Scherzer, Max SP DET	-	Want-a-be Ghetto All Stars	3.995	187.0	177	0	12	1.3102	147
Capps, Matt RP MIN 	-	Free Agent	4.057	64.3	46	28	4	1.3523	148
Baker, Scott SP MIN	-	Free Agent	4.063	168.3	144	0	12	1.2356	149
Perez, Chris RP CLE	-	Whiteness	3.000	60.0	56	20	2	1.1500	151
