Team Totals 2011 MLB Standard Stats																	
Player	Action	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
BC	6071	837	1611	1029	333	24	225	825	697	1288	107	52	0.2654	0.3451	0.4393	6063.0
DBH	6205	807	1611	1066	301	26	218	817	561	1104	151	44	0.2596	0.3250	0.4219	11827.0
EE	5764	730	1456	903	306	28	219	815	583	1300	78	33	0.2526	0.3241	0.4294	12700.0
FS	6415	891	1678	1053	350	43	232	874	564	1293	96	47	0.2616	0.3222	0.4380	16268.0
OaT	6903	1033	1959	1297	384	37	241	917	795	1336	186	66	0.2838	0.3606	0.4549	5909.0
SAs	6792	990	1918	1267	361	38	252	977	801	1201	175	65	0.2824	0.3610	0.4580	2398.0
SG	6512	966	1838	1175	362	56	245	900	677	1290	137	47	0.2822	0.3518	0.4679	6245.0
SK	6629	1000	1875	1215	364	42	254	877	737	1378	254	77	0.2828	0.3574	0.4654	4584.0
TW	6612	956	1773	1120	337	55	261	921	629	1368	143	49	0.2681	0.3369	0.4542	9954.0
UA	7490	980	2009	1366	383	35	225	990	693	1324	133	59	0.2682	0.3327	0.4188	11501.0
WGAS	6790	957	1982	1317	412	39	214	978	594	1082	154	48	0.2919	0.3523	0.4586	9629.0
W	7265	1050	1969	1253	412	35	269	1062	741	1517	178	64	0.2710	0.3426	0.4485	4612.0
Team Totals 2011 MLB Standard Stats																	
Player	Action	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank		
BC	1227.7	158	86	6	75	55	112	22	1046	414	1147	3.614	1.2715	2726.0		
DBH	1447.7	200	108	7	89	80	66	12	1179	465	1421	3.780	1.3028	12795.0		
EE	1573.3	205	130	12	91	83	86	14	1507	494	1336	3.369	1.1631	1855.0		
FS	1501.0	199	118	7	84	88	88	19	1189	536	1384	3.544	1.2791	3094.0		
OaT	1682.3	202	122	23	88	87	89	27	1514	554	1448	3.338	1.1900	3146.0		
SAs	1886.0	290	186	10	127	94	0	1	1479	603	1654	3.183	1.1967	9420.0		
SG	1674.3	230	155	10	114	75	78	7	1539	495	1519	3.225	1.2029	14354.0		
SK	1674.3	229	145	16	113	74	40	4	1425	449	1499	3.268	1.1634	2924.0		
TW	1841.7	270	168	10	123	90	76	17	1467	504	1720	3.523	1.2076	2987.0		
UA	1603.0	240	136	11	98	86	54	4	1154	459	1541	3.576	1.2477	9402.0		
WGAS	1638.7	241	138	4	97	84	70	11	1393	554	1573	3.921	1.2980	3618.0		
W	1543.3	190	128	11	114	76	145	20	1385	446	1359	3.365	1.1695	6435.0		
