All Catchers 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Napoli, Mike C TEX 	-	Whiteness	369	72	118	63	25	0	30	75	58	85	4	2	0.3198	0.4144	0.6314	77
Martinez, Victor C DET	-	Want-a-be Ghetto All Stars	540	76	178	126	40	0	12	103	46	51	1	0	0.3296	0.3798	0.4704	81
Avila, Alex C DET 	-	SA`s	464	63	137	81	33	4	19	82	73	131	3	1	0.2953	0.3887	0.5065	150
Molina, Yadier C STL	-	User Abuser	475	55	145	98	32	1	14	65	33	44	4	5	0.3053	0.3489	0.4653	171
Montero, Miguel C ARI	-	User Abuser	493	65	139	84	36	1	18	86	47	97	1	1	0.2819	0.3514	0.4686	182
McCann, Brian C ATL	-	Sofa Kings	466	51	126	83	19	0	24	71	57	89	3	2	0.2704	0.3510	0.4657	204
Santana, Carlos C CLE	-	Whiteness	552	84	132	68	35	2	27	79	97	133	5	3	0.2391	0.3511	0.4565	213
Wieters, Matt C BAL	-	Shits & Giggles	500	72	131	81	28	0	22	68	48	84	1	0	0.2620	0.3285	0.4500	230
Martin, Russell C NYY	-	Orange-a-Tangs	417	57	99	64	17	0	18	65	50	81	8	2	0.2374	0.3242	0.4077	294
Ramos, Wilson C WAS	-	Disco Bush Horticulturists	389	48	104	66	22	1	15	52	38	76	0	2	0.2674	0.3341	0.4447	341
Lucroy, Jonathan C MIL	-	Evil Empire	430	45	114	85	16	1	12	59	29	99	2	1	0.2651	0.3125	0.3907	347
Pierzynski, A.J. C CHW 	-	Free Agent	464	38	133	95	29	1	8	48	23	33	0	0	0.2866	0.3233	0.4052	358
Iannetta, Chris C LAA 	-	Disco Bush Horticulturists	345	51	82	50	17	1	14	55	70	89	6	3	0.2377	0.3703	0.4145	360
Ruiz, Carlos C PHI	-	Shits & Giggles	410	49	116	87	23	0	6	40	48	48	1	0	0.2829	0.3710	0.3829	381
Olivo, Miguel C SEA	-	Floaters and Sinkers	477	54	107	68	19	1	19	62	20	140	6	5	0.2243	0.2530	0.3878	392
Arencibia, J.P. C TOR	-	Titty`s Warriors	443	47	97	50	20	4	23	78	36	133	1	1	0.2190	0.2819	0.4379	397
Hernandez, Ramon C COL 	-	Want-a-be Ghetto All Stars	298	28	84	59	13	0	12	36	23	41	0	0	0.2819	0.3415	0.4463	405
Saltalamacchia, Jarrod C BOS	-	Floaters and Sinkers	358	52	84	42	23	3	16	56	24	119	1	0	0.2346	0.2876	0.4497	409
Hundley, Nick C SD	-	Free Agent	281	34	81	51	16	5	9	29	22	74	1	1	0.2883	0.3474	0.4769	410
Doumit, Ryan C MIN	-	Orange-a-Tangs	218	17	66	45	12	1	8	30	16	35	0	1	0.3028	0.3532	0.4771	447
Torrealba, Yorvit C TEX 	-	Free Agent	396	40	108	73	27	1	7	37	20	65	0	2	0.2727	0.3062	0.3990	456
Mauer, Joe C MIN 	-	Titty`s Warriors	296	38	85	67	15	0	3	30	32	38	0	0	0.2872	0.3604	0.3682	479
Suzuki, Kurt C OAK 	-	Sofa Kings	460	54	109	69	26	0	14	44	38	64	2	2	0.2370	0.3008	0.3848	482
Soto, Geovany C CHC	-	Evil Empire	421	46	96	53	26	0	17	54	45	124	0	0	0.2280	0.3101	0.4109	491
Perez, Salvador C KC	-	Free Agent	148	20	49	36	8	2	3	21	7	20	0	0	0.3311	0.3608	0.4730	498
Barajas, Rod C PIT	-	Free Agent	305	29	70	41	13	0	16	47	22	71	0	0	0.2295	0.2874	0.4295	507
Buck, John C MIA	-	SA`s	466	41	106	74	15	1	16	57	54	115	0	1	0.2275	0.3163	0.3670	542
Posey, Buster C SF 	-	Disco Bush Horticulturists	162	17	46	37	5	0	4	21	18	30	3	0	0.2840	0.3676	0.3889	543
Hanigan, Ryan C CIN	-	Free Agent	266	27	71	59	6	0	6	31	35	32	0	0	0.2669	0.3564	0.3571	549
Cervelli, Francisco C NYY 	-	Free Agent	124	17	33	25	4	0	4	22	9	29	4	1	0.2661	0.3235	0.3952	564
Thole, Josh C NYM	-	Free Agent	340	22	91	71	17	0	3	40	38	47	0	2	0.2676	0.3455	0.3441	581
Varitek, Jason C BOS 	-	Free Agent	222	32	49	27	10	1	11	36	21	67	0	0	0.2207	0.2996	0.4234	592
Molina, Jose C TB	-	Free Agent	171	19	48	32	12	1	3	15	15	44	2	1	0.2807	0.3422	0.4152	611
Ross, David C ATL	-	Free Agent	152	14	40	27	7	0	6	23	16	51	0	1	0.2632	0.3333	0.4276	640
Montero, Jesus C NYY	-	Orange-a-Tangs	61	9	20	12	4	0	4	12	7	17	0	0	0.3279	0.4058	0.5902	658
Blanco, Henry C ARI	-	Free Agent	100	12	25	13	3	1	8	12	12	21	0	1	0.2500	0.3304	0.5400	679
Kottaras, George C MIL 	-	Free Agent	111	15	28	16	6	1	5	17	10	26	0	1	0.2523	0.3115	0.4595	688
Snyder, Chris C PIT	-	Floaters and Sinkers	96	13	26	20	3	0	3	17	17	23	0	1	0.2708	0.3761	0.3958	696
Paulino, Ronny C NYM 	-	Free Agent	228	19	61	46	13	0	2	19	15	38	0	0	0.2675	0.3117	0.3509	701
Hayes, Brett C MIA	-	Free Agent	130	19	30	16	9	0	5	16	11	39	0	0	0.2308	0.2908	0.4154	726
Pena, Brayan C KC	-	Free Agent	222	17	55	41	11	0	3	24	12	24	0	0	0.2477	0.2875	0.3378	742
Jaso, John C SEA	-	Free Agent	246	26	55	34	15	1	5	27	25	36	1	2	0.2236	0.2978	0.3537	759
Ellis, A.J. C LAD	-	Free Agent	85	8	23	19	1	1	2	11	14	16	0	1	0.2706	0.3922	0.3765	761
Marson, Lou C CLE	-	Free Agent	243	26	56	44	9	2	1	19	24	68	4	2	0.2305	0.3000	0.2963	774
Quintero, Humberto C HOU 	-	Free Agent	262	22	63	48	12	1	2	25	6	53	1	0	0.2405	0.2583	0.3168	779
Jaramillo, Jason C PIT 	-	Free Agent	43	1	14	11	3	0	0	6	2	12	1	0	0.3256	0.3556	0.3953	784
Castro, Ramon C CHW 	-	Free Agent	68	6	16	9	3	0	4	10	7	23	0	0	0.2353	0.3067	0.4559	785
Flowers, Tyler C CHW	-	Free Agent	110	13	23	12	5	1	5	16	14	38	0	1	0.2091	0.3101	0.4091	794
Treanor, Matt C LAD	-	Free Agent	196	24	42	33	6	0	3	22	34	53	2	2	0.2143	0.3376	0.2908	800
Laird, Gerald C DET	-	Free Agent	95	11	22	13	7	1	1	12	9	19	1	1	0.2316	0.3019	0.3579	826
Fox, Jake C PIT	-	Free Agent	61	8	15	8	4	1	2	6	4	8	0	0	0.2459	0.3134	0.4426	827
Lavarnway, Ryan C BOS 	-	Free Agent	39	5	9	5	2	0	2	8	4	10	0	0	0.2308	0.3023	0.4359	833
Alfonzo, Eliezer C COL 	-	Free Agent	75	2	20	18	1	0	1	9	3	13	0	0	0.2667	0.3038	0.3200	843
Rodriguez, Ivan C WAS	-	Free Agent	124	14	27	18	7	0	2	19	10	28	0	0	0.2177	0.2815	0.3226	853
Morales, Jose C PIT 	-	Free Agent	60	6	16	13	3	0	0	7	9	12	0	1	0.2667	0.3521	0.3167	860
