All First Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Cabrera, Miguel 1B DET 	-	SA`s	572	111	197	119	48	0	30	105	108	89	2	1	0.3444	0.4477	0.5857	15
Gonzalez, Adrian 1B BOS	-	Blue Crew	630	108	213	138	45	3	27	117	74	119	1	0	0.3381	0.4098	0.5476	16
Pujols, Albert 1B LAA 	-	Orange-a-Tangs	579	105	173	107	29	0	37	99	61	58	9	1	0.2988	0.3656	0.5406	31
Votto, Joey 1B CIN	-	Orange-a-Tangs	599	101	185	113	40	3	29	103	110	129	8	6	0.3088	0.4159	0.5309	36
Gordon, Alex LF KC	-	Orange-a-Tangs	611	101	185	113	45	4	23	87	67	139	17	8	0.3028	0.3765	0.5025	39
Fielder, Prince 1B MIL 	-	Sofa Kings	569	95	170	95	36	1	38	120	107	106	1	1	0.2988	0.4147	0.5659	40
Young, Michael 3B TEX	-	Want-a-be Ghetto All Stars	631	88	213	155	41	6	11	106	47	78	6	2	0.3376	0.3803	0.4739	42
Berkman, Lance RF STL	-	Sofa Kings	488	90	147	91	23	2	31	94	92	93	2	6	0.3012	0.4123	0.5471	61
Morse, Michael 1B WAS	-	Whiteness	522	73	158	91	36	0	31	95	36	126	2	3	0.3027	0.3600	0.5498	67
Konerko, Paul 1B CHW 	-	SA`s	543	69	163	107	25	0	31	105	77	89	1	1	0.3002	0.3881	0.5175	69
Napoli, Mike C TEX 	-	Whiteness	369	72	118	63	25	0	30	75	58	85	4	2	0.3198	0.4144	0.6314	77
Martinez, Victor C DET	-	Want-a-be Ghetto All Stars	540	76	178	126	40	0	12	103	46	51	1	0	0.3296	0.3798	0.4704	81
Teixeira, Mark 1B NYY 	-	Whiteness	589	90	146	80	26	1	39	111	76	110	4	1	0.2479	0.3406	0.4941	108
Hosmer, Eric 1B KC	-	Floaters and Sinkers	523	66	153	104	27	3	19	78	34	82	11	5	0.2925	0.3339	0.4646	112
Kendrick, Howard 2B LAA 	-	Whiteness	537	86	153	99	30	6	18	63	33	119	14	6	0.2849	0.3379	0.4637	113
