All Outfielders 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Kemp, Matt CF LAD	-	Sofa Kings	602	115	195	119	33	4	39	126	74	159	40	11	0.3239	0.3991	0.5864	2
Ellsbury, Jacoby CF BOS	-	Titty`s Warriors	660	119	212	129	46	5	32	105	52	98	39	15	0.3212	0.3760	0.5515	4
Braun, Ryan LF MIL 	-	Disco Bush Horticulturists	563	109	187	110	38	6	33	111	58	93	33	6	0.3321	0.3975	0.5968	5
Granderson, Curtis CF NYY	-	Shits & Giggles	583	136	153	76	26	10	41	119	85	169	25	10	0.2624	0.3639	0.5523	14
Bourn, Michael CF ATL	-	Whiteness	656	94	193	147	34	10	2	50	53	140	61	14	0.2942	0.3487	0.3857	17
Bautista, Jose LF TOR	-	Blue Crew	513	105	155	86	24	2	43	103	132	111	9	5	0.3021	0.4473	0.6082	21
Upton, Justin RF ARI	-	Want-a-be Ghetto All Stars	592	105	171	96	39	5	31	88	59	126	21	9	0.2889	0.3694	0.5287	30
Cabrera, Melky LF SF	-	Shits & Giggles	658	102	201	134	44	5	18	87	35	94	20	10	0.3055	0.3391	0.4696	37
Gordon, Alex LF KC	-	Orange-a-Tangs	611	101	185	113	45	4	23	87	67	139	17	8	0.3028	0.3765	0.5025	39
Gonzalez, Carlos LF COL 	-	Titty`s Warriors	481	92	142	86	27	3	26	92	48	105	20	5	0.2952	0.3635	0.5260	41
Pence, Hunter RF PHI 	-	Shits & Giggles	606	84	190	125	38	5	22	97	56	124	8	2	0.3135	0.3698	0.5017	49
Francoeur, Jeff RF KC	-	Sofa Kings	601	77	171	100	47	4	20	87	37	123	22	10	0.2845	0.3293	0.4759	57
Bonifacio, Emilio SS MIA 	-	Sofa Kings	565	78	167	129	26	7	5	36	59	129	40	11	0.2956	0.3603	0.3929	60
Berkman, Lance RF STL	-	Sofa Kings	488	90	147	91	23	2	31	94	92	93	2	6	0.3012	0.4123	0.5471	61
Crisp, Coco CF OAK 	-	Want-a-be Ghetto All Stars	531	69	140	100	27	5	8	54	41	65	49	9	0.2637	0.3143	0.3785	62
Morse, Michael 1B WAS	-	Whiteness	522	73	158	91	36	0	31	95	36	126	2	3	0.3027	0.3600	0.5498	67
Upton, B.J. CF TB 	-	Evil Empire	560	82	136	82	27	4	23	81	71	161	36	12	0.2429	0.3307	0.4286	70
Hamilton, Josh CF TEX 	-	Floaters and Sinkers	487	80	145	84	31	5	25	94	39	93	8	1	0.2977	0.3457	0.5359	71
Gardner, Brett CF NYY	-	Orange-a-Tangs	510	87	132	98	19	8	7	36	60	93	49	13	0.2588	0.3448	0.3686	78
Zobrist, Ben 2B TB	-	Floaters and Sinkers	588	99	158	86	46	6	20	91	77	128	19	6	0.2687	0.3527	0.4694	82
McCutchen, Andrew CF PIT	-	Blue Crew	572	87	148	86	34	5	23	89	89	126	23	10	0.2587	0.3639	0.4563	84
Suzuki, Ichiro RF SEA 	-	Disco Bush Horticulturists	677	80	184	154	22	3	5	47	39	69	40	7	0.2718	0.3097	0.3353	95
Maybin, Cameron CF SD 	-	Sofa Kings	516	82	136	95	24	8	9	40	44	125	40	8	0.2636	0.3227	0.3934	98
Victorino, Shane CF PHI	-	Titty`s Warriors	519	95	145	85	27	16	17	61	55	63	19	3	0.2794	0.3552	0.4913	101
Jones, Adam CF BAL 	-	User Abuser	567	68	159	106	26	2	25	83	29	113	12	4	0.2804	0.3193	0.4656	104
Beltran, Carlos CF STL 	-	Floaters and Sinkers	520	78	156	89	39	6	22	84	71	88	4	2	0.3000	0.3846	0.5250	105
