STARTING PITCHERS
Roy Halladay, SP, $32.00
Justin Verlander, SP, $30.00
Felix Hernandez, SP, $30.00
Cliff Lee, SP, $28.00
Jered Weaver, SP, $28.00
CC Sabathia, SP, $28.00
Clayton Kershaw, SP, $27.00
Tim Lincecum, SP, $27.00
Dan Haren, SP, $27.00
Matt Cain, SP, $27.00
Chris Carpenter, SP RP, $26.00, (R) $10.00
Zack Greinke, SP, $24.00
Cole Hamels, SP, $24.00
Jon Lester, SP, $23.00
Adam Wainwright, SP, $22.00
C.J. Wilson, SP, $22.00
Shaun Marcum, SP, $22.00
Ubaldo Jimenez, SP, $22.00
Ryan Vogelsong, SP, $22.00
James Shields, SP, $22.00
Josh Johnson, SP, $21.00
Ted Lilly, SP, $21.00
David Price, SP, $21.00
Wandy Rodriguez, SP, $21.00
Ricky Romero, SP, $21.00
Randy Wolf, SP, $21.00
Javier Vazquez, SP, $20.00
Yovani Gallardo, SP, $20.00
Colby Lewis, SP, $20.00
Hiroki Kuroda, SP, $20.00
Tim Hudson, SP, $20.00
Matt Garza, SP, $20.00
Jaime Garcia, SP, $20.00
Michael Pineda, SP, $19.00
Roy Oswalt, SP, $19.00
John Danks, SP, $19.00
Bronson Arroyo, SP, $19.00
Edwin Jackson, SP, $19.00
Mark Buehrle, SP, $19.00
Tommy Hanson, SP, $18.00
Josh Collmenter, SP RP, $18.00
Josh Beckett, SP, $18.00
Johnny Cueto, SP, $18.00
Jair Jurrjens, SP, $18.00
Ervin Santana, SP, $18.00
Ryan Dempster, SP, $18.00
Chad Billingsley, SP, $18.00
Trevor Cahill, SP, $18.00
Carl Pavano, SP, $18.00
Ian Kennedy, SP, $17.00
Mat Latos, SP, $17.00
Max Scherzer, SP, $17.00
Gavin Floyd, SP, $17.00
Jeremy Guthrie, SP, $17.00
Scott Baker, SP, $16.00
Doug Fister, SP, $16.00
Gio Gonzalez, SP, $16.00
R.A. Dickey, SP, $16.00
Joe Saunders, SP, $16.00
Johan Santana, SP, $15.00
Jeremy Hellickson, SP, $15.00
Brett Myers, SP, $15.00
Anibal Sanchez, SP, $15.00
Joel Pineiro, SP, $15.00
Daniel Hudson, SP, $14.00
Alexi Ogando, SP, $14.00
Jonathan Sanchez, SP, $14.00
Jeff Niemann, SP, $14.00
Clay Buchholz, SP, $14.00
Ricky Nolasco, SP, $14.00
Randy Wells, SP, $14.00
Justin Masterson, SP, $14.00
Jake Westbrook, SP, $14.00
Derek Lowe, SP, $14.00
John Lannan, SP, $14.00
Mike Pelfrey, SP, $14.00
Livan Hernandez, SP, $14.00
Madison Bumgarner, SP, $13.00
Tim Stauffer, SP, $13.00
Mike Leake, SP, $13.00
Jason Vargas, SP, $13.00
Jon Garland, SP, $13.00
A.J. Burnett, SP, $13.00
Paul Maholm, SP, $13.00
