All Relief Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Kimbrel, Craig RP ATL	-	Evil Empire	77.0	0	0	0	4	3	46	8	127	32	48	2.104	1.0390	10
Axford, John RP MIL	-	Shits & Giggles	73.7	0	0	0	2	2	46	2	86	25	59	1.955	1.1403	19
Storen, Drew RP WAS	-	Whiteness	75.3	0	0	0	6	3	43	5	74	20	57	2.748	1.0221	22
Valverde, Jose RP DET	-	User Abuser	72.3	0	0	0	2	4	49	0	69	34	52	2.240	1.1889	23
Rivera, Mariano RP NYY 	-	Orange-a-Tangs	61.3	0	0	0	1	2	44	5	60	8	47	1.908	0.8967	25
Putz, J.J. RP ARI	-	Want-a-be Ghetto All Stars	58.0	0	0	0	2	2	45	4	61	12	41	2.172	0.9138	26
Hanrahan, Joel RP PIT	-	Evil Empire	68.7	0	0	0	1	4	40	4	61	16	56	1.835	1.0485	38
Bell, Heath RP MIA 	-	Floaters and Sinkers	62.7	0	0	0	3	4	43	5	51	21	51	2.442	1.1489	44
Cordero, Francisco RP CIN 	-	Titty`s Warriors	69.7	0	0	0	5	3	37	6	42	22	49	2.454	1.0191	45
Papelbon, Jonathan RP PHI	-	Shits & Giggles	64.3	0	0	0	4	1	31	3	87	10	50	2.938	0.9326	51
Salas, Fernando RP STL	-	Free Agent	75.0	0	0	0	5	6	24	6	75	21	50	2.280	0.9467	54
League, Brandon RP SEA 	-	Blue Crew	61.3	0	0	0	1	5	37	5	45	10	56	2.788	1.0761	65
Madson, Ryan RP PHI 	-	Sofa Kings	60.7	0	0	0	4	2	32	2	62	16	54	2.374	1.1538	73
Santos, Sergio RP TOR 	-	Whiteness	63.3	0	0	0	4	5	30	6	92	29	41	3.553	1.1053	86
Walden, Jordan RP LAA 	-	Titty`s Warriors	60.3	0	0	0	5	5	32	10	67	26	49	2.983	1.2431	88
Perez, Chris RP CLE	-	Whiteness	59.7	0	0	0	4	7	36	4	39	26	46	3.318	1.2067	90
Farnsworth, Kyle RP TB 	-	Want-a-be Ghetto All Stars	57.7	0	0	0	5	1	25	6	51	12	45	2.185	0.9884	92
Feliz, Neftali RP TEX	-	Blue Crew	62.3	0	0	0	2	3	32	6	54	30	42	2.743	1.1551	93
Wilson, Brian RP SF 	-	Whiteness	55.0	0	0	0	6	4	36	5	54	31	50	3.109	1.4727	106
Nunez, Leo RP MIA 	-	Disco Bush Horticulturists	64.3	0	0	0	1	4	36	6	55	21	57	4.057	1.2124	109
Marmol, Carlos RP CHC	-	Orange-a-Tangs	74.0	0	0	0	2	6	34	10	99	48	54	4.013	1.3784	111
Rodriguez, Francisco RP MIL 	-	Blue Crew	71.7	0	0	0	6	2	23	6	79	26	67	2.637	1.2977	118
Luebke, Cory SP SD	-	Evil Empire	139.7	17	9	0	6	10	0	0	154	44	105	3.286	1.0668	119
Collmenter, Josh SP ARI	-	Shits & Giggles	154.3	24	15	0	10	10	0	0	100	28	137	3.382	1.0691	120
Melancon, Mark RP BOS 	-	Blue Crew	74.3	0	0	0	8	4	20	5	66	26	65	2.785	1.2242	123
Clippard, Tyler RP WAS	-	Orange-a-Tangs	88.3	0	0	0	3	0	0	7	104	26	48	1.834	0.8377	128
Adams, Mike RP TEX 	-	Free Agent	73.7	0	0	0	5	4	2	3	74	14	44	1.466	0.7873	138
Venters, Jonny RP ATL	-	Floaters and Sinkers	88.0	0	0	0	6	2	5	4	96	43	53	1.841	1.0909	139
Aceves, Alfredo RP BOS	-	Free Agent	114.0	4	1	0	10	2	2	3	80	42	84	2.605	1.1053	140
Soria, Joakim RP KC 	-	Free Agent	60.3	0	0	0	5	5	28	7	60	17	60	4.028	1.2762	144
Street, Huston RP SD 	-	Disco Bush Horticulturists	58.3	0	0	0	1	4	29	4	55	9	62	3.857	1.2171	152
Motte, Jason RP STL	-	Orange-a-Tangs	68.0	0	0	0	5	2	9	4	63	16	49	2.250	0.9559	164
Johnson, Jim RP BAL 	-	Free Agent	91.0	0	0	0	6	5	9	5	58	21	80	2.670	1.1099	168
Bastardo, Antonio RP PHI	-	Free Agent	58.0	0	0	0	6	1	8	1	70	26	28	2.638	0.9310	184
Marshall, Sean RP CIN 	-	User Abuser	75.7	0	0	0	6	6	5	4	79	17	66	2.260	1.0969	185
Guerra, Javy RP LAD	-	Free Agent	46.7	0	0	0	2	2	21	2	38	18	37	2.314	1.1786	188
Holland, Greg RP KC 	-	Free Agent	60.0	0	0	0	5	1	4	2	74	19	37	1.800	0.9333	192
Bailey, Andrew RP BOS 	-	Free Agent	41.7	0	0	0	0	4	24	2	41	12	34	3.240	1.1040	193
Betancourt, Rafael RP COL	-	Free Agent	62.3	0	0	0	2	0	8	4	73	8	46	2.888	0.8663	198
Robertson, David RP NYY	-	Free Agent	66.7	0	0	0	4	0	1	3	100	35	40	1.080	1.1250	200
Uehara, Koji RP TEX	-	Free Agent	65.0	0	0	0	2	3	0	1	85	9	38	2.354	0.7231	202
Hernandez, David RP ARI	-	Free Agent	69.3	0	0	0	5	3	11	3	77	30	49	3.375	1.1394	206
Peralta, Joel RP TB 	-	Free Agent	67.7	0	0	0	3	4	6	2	61	18	44	2.926	0.9163	218
O'Flaherty, Eric RP ATL	-	Free Agent	73.7	0	0	0	2	4	0	4	67	21	59	0.977	1.0860	222
Sale, Chris RP CHW	-	Sofa Kings	71.0	0	0	0	2	2	8	2	79	27	52	2.789	1.1127	225
Romo, Sergio RP SF	-	Free Agent	48.0	0	0	0	3	1	1	1	70	5	29	1.500	0.7083	231
Mujica, Edward RP MIA	-	Free Agent	76.0	0	0	0	9	6	0	3	63	14	64	2.961	1.0263	232
Kendrick, Kyle SP PHI	-	Disco Bush Horticulturists	114.7	15	6	0	8	6	0	0	59	30	110	3.218	1.2209	252
Jansen, Kenley RP LAD	-	Free Agent	53.7	0	0	0	2	1	5	1	96	26	30	2.851	1.0435	264
Balfour, Grant RP OAK 	-	Free Agent	62.0	0	0	0	5	2	2	5	59	20	44	2.468	1.0323	266
Downs, Scott RP LAA	-	Free Agent	53.7	0	0	0	6	3	1	3	35	15	39	1.342	1.0062	271
Capps, Matt RP MIN 	-	Free Agent	65.7	0	0	0	4	7	15	9	34	13	66	4.249	1.2030	275
Pestano, Vinnie RP CLE	-	Free Agent	62.0	0	0	0	1	2	2	4	84	24	41	2.323	1.0484	277
Francisco, Frank RP NYM 	-	Free Agent	50.7	0	0	0	1	4	17	4	53	18	49	3.553	1.3224	279
Samardzija, Jeff RP CHC	-	Evil Empire	88.0	0	0	0	8	4	0	2	87	50	64	2.966	1.2955	284
Bard, Daniel RP BOS 	-	Free Agent	73.0	0	0	0	2	9	1	5	74	24	46	3.329	0.9589	285
Ramirez, Ramon RP NYM 	-	Free Agent	68.7	0	0	0	3	3	4	1	66	26	54	2.621	1.1650	286
Janssen, Casey RP TOR	-	Free Agent	55.7	0	0	0	6	0	2	2	53	14	47	2.264	1.0958	290
Casilla, Santiago RP SF	-	Free Agent	51.7	0	0	0	2	2	6	1	45	25	33	1.742	1.1226	292
Crain, Jesse RP CHW 	-	Free Agent	65.3	0	0	0	8	3	1	6	70	31	50	2.617	1.2398	293
