All Second Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Pedroia, Dustin 2B BOS	-	Orange-a-Tangs	635	102	195	134	37	3	21	91	86	85	26	8	0.3071	0.3868	0.4740	20
Cano, Robinson 2B NYY	-	Want-a-be Ghetto All Stars	623	104	188	107	46	7	28	118	38	96	8	2	0.3018	0.3495	0.5329	35
Young, Michael 3B TEX	-	Want-a-be Ghetto All Stars	631	88	213	155	41	6	11	106	47	78	6	2	0.3376	0.3803	0.4739	42
Kinsler, Ian 2B TEX 	-	SA`s	620	121	158	88	34	4	32	77	89	71	30	4	0.2548	0.3547	0.4774	43
Phillips, Brandon 2B CIN 	-	Want-a-be Ghetto All Stars	610	94	183	125	38	2	18	82	44	85	14	9	0.3000	0.3528	0.4574	55
Bonifacio, Emilio SS MIA 	-	Sofa Kings	565	78	167	129	26	7	5	36	59	129	40	11	0.2956	0.3603	0.3929	60
Zobrist, Ben 2B TB	-	Floaters and Sinkers	588	99	158	86	46	6	20	91	77	128	19	6	0.2687	0.3527	0.4694	82
Kendrick, Howard 2B LAA 	-	Whiteness	537	86	153	99	30	6	18	63	33	119	14	6	0.2849	0.3379	0.4637	113
Cuddyer, Michael RF COL 	-	Want-a-be Ghetto All Stars	529	70	150	99	29	2	20	70	48	95	11	1	0.2836	0.3459	0.4594	130
Roberts, Ryan 3B ARI	-	Blue Crew	482	86	120	74	25	2	19	65	66	98	18	9	0.2490	0.3406	0.4274	157
Walker, Neil 2B PIT	-	Whiteness	596	76	163	111	36	4	12	83	54	112	9	6	0.2735	0.3338	0.4077	178
Weeks, Jemile 2B OAK	-	SA`s	406	50	123	87	26	8	2	36	21	62	22	11	0.3030	0.3402	0.4212	180
Weeks, Rickie 2B MIL	-	Sofa Kings	453	77	122	74	26	2	20	49	50	107	9	2	0.2693	0.3502	0.4680	186
Uggla, Dan 2B ATL	-	Floaters and Sinkers	600	88	140	81	22	1	36	82	62	156	1	3	0.2333	0.3110	0.4533	207
Murphy, Daniel 1B NYM 	-	Orange-a-Tangs	391	49	125	89	28	2	6	49	24	42	5	5	0.3197	0.3619	0.4476	217
Espinosa, Danny 2B WAS	-	Disco Bush Horticulturists	573	72	135	80	29	5	21	66	57	166	17	6	0.2356	0.3231	0.4136	219
Hill, Aaron 2B ARI	-	User Abuser	520	61	128	90	27	3	8	61	35	72	21	7	0.2462	0.2988	0.3558	247
Utley, Chase 2B PHI	-	Titty`s Warriors	398	54	103	65	21	6	11	44	39	47	14	0	0.2588	0.3444	0.4246	270
Nunez, Eduardo SS NYY 	-	Free Agent	309	38	82	57	18	2	5	30	22	37	22	6	0.2654	0.3133	0.3851	273
Johnson, Kelly 2B TOR 	-	Free Agent	545	75	121	66	27	7	21	58	60	163	16	6	0.2220	0.3038	0.4128	274
Craig, Allen RF STL 	-	Free Agent	200	33	63	37	15	0	11	40	15	40	5	0	0.3150	0.3624	0.5550	288
Hudson, Orlando 2B SD 	-	Free Agent	398	54	98	73	15	3	7	43	49	84	19	3	0.2462	0.3289	0.3518	295
Barney, Darwin 2B CHC	-	Titty`s Warriors	529	66	146	115	23	6	2	43	22	67	9	2	0.2760	0.3126	0.3535	304
Andino, Robert 2B BAL 	-	Free Agent	457	63	120	93	22	0	5	36	41	83	13	3	0.2626	0.3267	0.3435	314
Infante, Omar 2B MIA	-	Free Agent	579	55	160	121	24	8	7	49	34	67	4	2	0.2763	0.3146	0.3817	327
Izturis, Maicer 2B LAA 	-	Blue Crew	449	51	124	84	35	0	5	38	33	65	9	6	0.2762	0.3340	0.3875	328
Lillibridge, Brent RF CHW	-	Free Agent	186	38	48	29	5	1	13	29	17	62	10	6	0.2581	0.3396	0.5054	329
Young, Eric LF COL 	-	SA`s	198	34	49	42	4	3	0	10	26	38	27	4	0.2475	0.3421	0.2980	335
Getz, Chris 2B KC	-	Free Agent	380	50	97	88	6	3	0	26	30	45	21	7	0.2553	0.3133	0.2868	346
Aviles, Mike 3B BOS 	-	Free Agent	286	31	73	46	17	3	7	39	13	44	14	4	0.2552	0.2885	0.4091	351
Carroll, Jamey 2B MIN	-	Free Agent	452	52	131	111	14	6	0	17	47	58	10	0	0.2898	0.3586	0.3473	352
Ellis, Mark 2B LAD	-	Free Agent	480	55	119	87	24	1	7	41	22	75	14	5	0.2479	0.2882	0.3458	359
Raburn, Ryan LF DET	-	Orange-a-Tangs	387	53	99	61	22	2	14	49	21	114	1	1	0.2558	0.2971	0.4315	372
Casilla, Alexi 2B MIN	-	Free Agent	323	52	84	57	21	4	2	21	28	45	15	4	0.2601	0.3221	0.3684	374
Sizemore, Scott 3B OAK	-	Free Agent	368	50	90	56	22	1	11	56	53	112	5	3	0.2446	0.3420	0.3995	384
Miles, Aaron 2B LAD	-	Free Agent	454	49	125	102	17	3	3	45	25	49	4	3	0.2753	0.3142	0.3458	391
Ackley, Dustin 2B SEA	-	Shits & Giggles	333	39	91	62	16	7	6	36	40	79	6	0	0.2733	0.3484	0.4174	393
Turner, Justin 2B NYM 	-	Free Agent	435	49	113	79	30	0	4	51	39	59	7	2	0.2598	0.3340	0.3563	398
Downs, Matt 2B HOU	-	Free Agent	199	29	55	27	18	0	10	41	17	47	0	0	0.2764	0.3468	0.5176	434
Theriot, Ryan SS STL 	-	Free Agent	442	46	120	92	26	1	1	47	29	41	4	6	0.2715	0.3208	0.3416	436
Cairo, Miguel 3B CIN 	-	Free Agent	245	33	65	47	8	2	8	33	18	36	3	4	0.2653	0.3297	0.4122	453
Tejada, Ruben 2B NYM	-	Free Agent	328	31	93	77	15	1	0	36	35	50	5	1	0.2835	0.3602	0.3354	454
Hairston, Jerry 3B LAD 	-	Free Agent	337	43	91	64	21	1	5	31	33	46	3	2	0.2700	0.3440	0.3828	457
Keppinger, Jeff 2B SF 	-	Free Agent	379	39	105	79	20	0	6	35	12	24	0	1	0.2770	0.2997	0.3773	458
Kipnis, Jason 2B CLE	-	Free Agent	136	24	37	20	9	1	7	19	11	34	5	0	0.2721	0.3333	0.5074	483
Schumaker, Skip 2B STL 	-	Free Agent	367	34	104	83	19	0	2	38	27	50	0	2	0.2834	0.3333	0.3515	485
Rodriguez, Sean SS TB 	-	Free Agent	373	45	83	52	20	3	8	36	38	87	11	7	0.2225	0.3225	0.3566	501
Cabrera, Orlando 2B SF	-	Free Agent	450	39	107	86	16	0	5	51	17	57	8	4	0.2378	0.2668	0.3067	515
Plouffe, Trevor SS MIN	-	Free Agent	286	47	68	41	18	1	8	31	25	71	3	3	0.2378	0.3050	0.3916	520
Altuve, Jose 2B HOU	-	Free Agent	221	26	61	48	10	1	2	12	5	29	7	3	0.2760	0.2969	0.3575	526
Beckham, Gordon 2B CHW	-	Blue Crew	499	60	115	82	23	0	10	44	35	111	5	3	0.2305	0.2964	0.3367	528
Kennedy, Adam 1B LAD 	-	Free Agent	380	36	89	58	23	1	7	38	22	67	8	2	0.2342	0.2765	0.3553	531
Sanchez, Freddy 2B SF 	-	Disco Bush Horticulturists	239	21	69	50	15	1	3	24	13	35	0	1	0.2887	0.3320	0.3975	560
Santiago, Ramon 2B DET 	-	Free Agent	258	29	67	48	11	3	5	30	17	38	0	0	0.2597	0.3110	0.3837	590
Donald, Jason 2B CLE	-	Free Agent	132	13	42	34	6	1	1	8	7	35	3	2	0.3182	0.3636	0.4015	591
