All Shortstops 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Reyes, Jose SS MIA 	-	Shits & Giggles	537	101	181	127	31	16	7	44	43	41	39	7	0.3371	0.3836	0.4935	18
Tulowitzki, Troy SS COL	-	SA`s	537	81	162	94	36	2	30	105	59	79	9	3	0.3017	0.3719	0.5438	48
Castro, Starlin SS CHC 	-	Orange-a-Tangs	674	91	207	152	36	9	10	66	35	96	22	9	0.3071	0.3413	0.4318	52
Bonifacio, Emilio SS MIA 	-	Sofa Kings	565	78	167	129	26	7	5	36	59	129	40	11	0.2956	0.3603	0.3929	60
Andrus, Elvis SS TEX	-	Whiteness	587	96	164	129	27	3	5	60	56	74	37	12	0.2794	0.3467	0.3612	64
Cabrera, Asdrubal SS CLE 	-	Shits & Giggles	604	87	165	105	32	3	25	92	44	119	17	5	0.2732	0.3318	0.4603	72
Rollins, Jimmy SS PHI 	-	Disco Bush Horticulturists	567	87	152	112	22	2	16	63	58	59	30	8	0.2681	0.3376	0.3986	85
Aybar, Erick SS LAA	-	Sofa Kings	556	71	155	104	33	8	10	59	31	68	30	6	0.2788	0.3221	0.4209	103
Jeter, Derek SS NYY	-	Titty`s Warriors	546	84	162	128	24	4	6	61	46	81	16	6	0.2967	0.3549	0.3883	129
Peralta, Jhonny SS DET	-	SA`s	525	68	157	108	25	3	21	86	40	95	0	2	0.2990	0.3455	0.4781	132
Hardy, J.J. SS BAL	-	Evil Empire	527	76	142	85	27	0	30	80	31	92	0	0	0.2694	0.3097	0.4915	155
Ramirez, Alexei SS CHW	-	Evil Empire	614	81	165	117	31	2	15	70	51	84	7	5	0.2687	0.3284	0.3990	196
Desmond, Ian SS WAS	-	Free Agent	584	65	148	108	27	5	8	49	35	139	25	10	0.2534	0.2978	0.3579	215
Escobar, Yunel SS TOR	-	Want-a-be Ghetto All Stars	513	77	149	111	24	3	11	48	61	70	3	3	0.2904	0.3692	0.4133	221
Escobar, Alcides SS KC	-	Free Agent	548	69	139	106	21	8	4	46	25	73	26	9	0.2536	0.2897	0.3431	226
Scutaro, Marco SS BOS 	-	Free Agent	395	59	118	84	26	1	7	54	38	36	4	2	0.2987	0.3584	0.4228	245
Pennington, Cliff SS OAK	-	Free Agent	515	57	136	100	26	2	8	58	42	104	14	9	0.2641	0.3185	0.3689	249
Ramirez, Hanley SS MIA 	-	User Abuser	338	55	82	56	16	0	10	45	44	66	20	10	0.2426	0.3333	0.3787	250
Gordon, Dee SS LAD	-	Sofa Kings	224	34	68	57	9	2	0	11	7	27	24	7	0.3036	0.3247	0.3616	262
Nunez, Eduardo SS NYY 	-	Free Agent	309	38	82	57	18	2	5	30	22	37	22	6	0.2654	0.3133	0.3851	273
Bloomquist, Willie SS ARI	-	Floaters and Sinkers	350	44	93	77	10	2	4	26	23	51	20	10	0.2657	0.3166	0.3400	296
Barney, Darwin 2B CHC	-	Titty`s Warriors	529	66	146	115	23	6	2	43	22	67	9	2	0.2760	0.3126	0.3535	304
Andino, Robert 2B BAL 	-	Free Agent	457	63	120	93	22	0	5	36	41	83	13	3	0.2626	0.3267	0.3435	314
Bartlett, Jason SS SD 	-	Free Agent	554	61	136	109	22	3	2	40	48	98	23	10	0.2455	0.3083	0.3069	322
Izturis, Maicer 2B LAA 	-	Blue Crew	449	51	124	84	35	0	5	38	33	65	9	6	0.2762	0.3340	0.3875	328
Aviles, Mike 3B BOS 	-	Free Agent	286	31	73	46	17	3	7	39	13	44	14	4	0.2552	0.2885	0.4091	351
Carroll, Jamey 2B MIN	-	Free Agent	452	52	131	111	14	6	0	17	47	58	10	0	0.2898	0.3586	0.3473	352
Betancourt, Yuniesky SS KC 	-	Free Agent	556	51	140	97	27	3	13	68	16	63	4	4	0.2518	0.2705	0.3813	357
