All Starting Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Verlander, Justin SP DET	-	Sofa Kings	251.0	34	28	4	24	5	0	0	250	57	174	2.402	0.9203	1
Kershaw, Clayton SP LAD	-	Sofa Kings	233.3	33	25	5	21	5	0	0	248	54	174	2.276	0.9771	3
Lee, Cliff SP PHI	-	Whiteness	232.7	32	25	6	17	8	0	0	238	42	197	2.398	1.0272	6
Halladay, Roy SP PHI	-	Shits & Giggles	233.7	32	25	8	19	6	0	0	220	35	208	2.349	1.0399	7
Weaver, Jered SP LAA	-	SA`s	235.7	33	28	4	18	8	0	0	198	56	182	2.406	1.0099	8
Shields, James SP TB	-	Orange-a-Tangs	249.3	33	25	11	16	12	0	0	225	65	195	2.816	1.0428	9
Hamels, Cole SP PHI 	-	Titty`s Warriors	216.0	31	24	3	14	9	0	0	194	44	169	2.792	0.9861	11
Kennedy, Ian SP ARI	-	Whiteness	222.0	33	24	1	21	4	0	0	198	55	186	2.878	1.0856	12
Haren, Dan SP LAA	-	Evil Empire	238.3	34	26	4	16	10	0	0	192	33	211	3.172	1.0238	13
Sabathia, CC SP NYY	-	Disco Bush Horticulturists	237.3	33	22	3	19	8	0	0	230	61	230	2.996	1.2261	24
Cain, Matt SP SF	-	Whiteness	221.7	33	26	1	12	11	0	0	179	63	177	2.883	1.0827	27
Beckett, Josh SP BOS	-	SA`s	193.0	30	20	1	13	7	0	0	175	52	146	2.891	1.0259	28
Romero, Ricky SP TOR	-	Orange-a-Tangs	225.0	32	25	4	15	11	0	0	178	80	176	2.920	1.1378	29
Wilson, C.J. SP LAA 	-	Want-a-be Ghetto All Stars	223.3	34	23	3	16	7	0	0	206	74	191	2.942	1.1866	32
Fister, Doug SP DET	-	Free Agent	216.3	31	20	3	11	13	0	0	146	37	193	2.829	1.0632	33
Lincecum, Tim SP SF 	-	Shits & Giggles	217.0	33	23	1	13	14	0	0	220	86	176	2.737	1.2074	34
Price, David SP TB	-	Titty`s Warriors	224.3	34	21	0	12	13	0	0	218	63	192	3.490	1.1367	46
Hudson, Tim SP ATL 	-	SA`s	215.0	33	23	1	16	10	0	0	158	56	189	3.223	1.1395	47
Hernandez, Felix SP SEA	-	Evil Empire	233.7	33	22	5	14	14	0	0	222	67	218	3.466	1.2197	50
Gallardo, Yovani SP MIL	-	Whiteness	207.3	33	23	1	17	10	0	0	207	59	193	3.516	1.2154	53
Bumgarner, Madison SP SF	-	Disco Bush Horticulturists	204.7	33	23	0	13	13	0	0	191	46	202	3.210	1.2117	56
Hudson, Daniel SP ARI	-	Orange-a-Tangs	222.0	33	21	3	16	12	0	0	169	50	217	3.486	1.2027	58
Kuroda, Hiroki SP LAD 	-	Floaters and Sinkers	202.0	32	22	0	13	16	0	0	161	49	196	3.074	1.2129	63
Hellickson, Jeremy SP TB	-	User Abuser	189.0	29	20	2	13	10	0	0	117	72	146	2.952	1.1534	68
Cueto, Johnny SP CIN	-	Blue Crew	156.0	24	18	3	9	5	0	0	104	47	123	2.308	1.0897	74
Santana, Ervin SP LAA 	-	Orange-a-Tangs	228.7	33	21	4	11	12	0	0	178	72	207	3.385	1.2201	75
