All Third Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Bautista, Jose LF TOR	-	Blue Crew	513	105	155	86	24	2	43	103	132	111	9	5	0.3021	0.4473	0.6082	21
Pujols, Albert 1B LAA 	-	Orange-a-Tangs	579	105	173	107	29	0	37	99	61	58	9	1	0.2988	0.3656	0.5406	31
Young, Michael 3B TEX	-	Want-a-be Ghetto All Stars	631	88	213	155	41	6	11	106	47	78	6	2	0.3376	0.3803	0.4739	42
Bonifacio, Emilio SS MIA 	-	Sofa Kings	565	78	167	129	26	7	5	36	59	129	40	11	0.2956	0.3603	0.3929	60
Beltre, Adrian 3B TEX	-	Disco Bush Horticulturists	487	82	144	79	33	0	32	105	25	53	1	1	0.2957	0.3314	0.5606	66
Ramirez, Aramis 3B MIL 	-	Floaters and Sinkers	565	80	173	111	35	1	26	93	43	69	1	1	0.3062	0.3610	0.5097	79
Sandoval, Pablo 3B SF	-	Shits & Giggles	426	55	134	82	26	3	23	70	32	63	2	4	0.3146	0.3570	0.5516	125
Roberts, Ryan 3B ARI	-	Blue Crew	482	86	120	74	25	2	19	65	66	98	18	9	0.2490	0.3406	0.4274	157
Longoria, Evan 3B TB	-	Evil Empire	483	78	118	60	26	1	31	99	80	93	3	2	0.2443	0.3554	0.4948	166
Reynolds, Mark 3B BAL	-	Titty`s Warriors	534	84	118	53	27	1	37	86	75	196	6	4	0.2210	0.3226	0.4831	190
Encarnacion, Edwin 3B TOR	-	Free Agent	481	70	131	78	36	0	17	55	43	77	8	2	0.2723	0.3340	0.4532	201
Murphy, Daniel 1B NYM 	-	Orange-a-Tangs	391	49	125	89	28	2	6	49	24	42	5	5	0.3197	0.3619	0.4476	217
Rodriguez, Alex 3B NYY 	-	Free Agent	373	67	103	66	21	0	16	62	47	80	4	1	0.2761	0.3621	0.4611	220
Jones, Chipper 3B ATL	-	Free Agent	455	56	125	73	33	1	18	70	51	80	2	2	0.2747	0.3438	0.4703	227
Wright, David 3B NYM	-	User Abuser	389	60	99	61	23	1	14	61	52	97	13	2	0.2545	0.3445	0.4267	228
Youkilis, Kevin 3B BOS 	-	Whiteness	431	68	111	60	32	2	17	80	68	100	3	0	0.2575	0.3733	0.4594	240
Callaspo, Alberto 3B LAA	-	Free Agent	475	54	137	108	23	0	6	46	58	48	8	1	0.2884	0.3657	0.3747	259
Headley, Chase 3B SD 	-	Want-a-be Ghetto All Stars	381	43	110	77	28	1	4	44	52	92	13	2	0.2887	0.3744	0.3990	260
Zimmerman, Ryan 3B WAS	-	Shits & Giggles	395	52	114	79	21	2	12	49	41	73	3	1	0.2886	0.3545	0.4430	265
