All Catchers 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Napoli, Mike C BOS "	Whiteness	391	62	102	55	19	1	27	66	52	116	3	1	0.2609	0.3554	0.5217	109
"Molina, Yadier C STL"	Old Dirty Bugg	482	51	142	102	26	0	14	68	40	50	8	4	0.2946	0.3503	0.4357	120
"Mauer, Joe C MIN"	Titty`s Warriors	450	69	142	103	30	2	7	63	62	60	3	3	0.3156	0.3988	0.4378	124
"McCann, Brian C ATL "	Evil Empire	461	53	119	78	19	0	22	72	58	88	4	1	0.2581	0.3441	0.4425	137
"Posey, Buster C SF "	Disco Bush Horticulturists	366	51	116	78	22	1	15	64	39	60	1	1	0.3169	0.3835	0.5055	138
"Montero, Miguel C ARI"	User Abuser	425	55	119	76	27	2	14	72	50	99	0	1	0.2800	0.3629	0.4518	153
"Wieters, Matt C BAL "	Want-a-be Ghetto All Stars	491	59	124	78	26	1	19	69	52	97	1	0	0.2525	0.3255	0.4257	159
"Santana, Carlos C CLE"	Whiteness	403	60	100	57	25	1	17	59	75	88	4	3	0.2481	0.3642	0.4417	168
"Pierzynski, A.J. C TEX"	User Abuser	472	50	131	89	25	2	15	60	22	50	1	1	0.2775	0.3155	0.4343	177
"Ruiz, Carlos C PHI "	SA`s	384	49	116	78	28	0	10	54	44	51	2	0	0.3021	0.3878	0.4531	188
"Martin, Russell C PIT "	Free Agent	390	51	90	59	16	0	15	48	50	79	7	2	0.2308	0.3259	0.3872	244
"Avila, Alex C DET"	SA`s	375	44	98	62	22	2	12	54	57	102	2	1	0.2613	0.3593	0.4267	255
"Olivo, Miguel C CIN"	Free Agent	395	45	94	60	17	2	15	50	18	114	5	5	0.2380	0.2703	0.4051	262
"Doumit, Ryan C MIN"	Floaters and Sinkers	369	38	100	63	23	1	13	50	29	73	0	0	0.2710	0.3300	0.4444	279
"Lucroy, Jonathan C MIL"	Shits & Giggles	341	38	95	70	14	2	9	48	23	62	3	1	0.2786	0.3261	0.4106	280
"Rosario, Wilin C COL "	Sofa Kings	225	36	59	32	11	0	16	40	14	60	2	2	0.2622	0.3029	0.5244	292
"Buck, John C NYM "	Free Agent	406	41	96	61	18	1	16	55	40	110	0	0	0.2365	0.3106	0.4039	301
"Soto, Geovany C TEX"	Free Agent	356	46	83	49	19	0	15	49	46	94	0	0	0.2331	0.3243	0.4129	312
"Suzuki, Kurt C WAS "	Free Agent	454	48	108	75	21	1	11	53	30	62	2	1	0.2379	0.2938	0.3612	315
"Jaso, John C OAK"	Free Agent	293	41	75	49	17	2	7	40	47	42	3	1	0.2560	0.3613	0.3993	352
"Pacheco, Jordan 3B COL"	Free Agent	280	28	86	64	16	2	4	34	12	35	4	1	0.3071	0.3378	0.4214	361
"Arencibia, J.P. C TOR"	Titty`s Warriors	275	32	61	34	12	1	14	46	19	84	1	0	0.2218	0.2752	0.4255	375
"Saltalamacchia, Jarrod C BOS"	Floaters and Sinkers	262	36	59	30	14	1	14	39	23	88	0	0	0.2252	0.2882	0.4466	391
"Perez, Salvador C KC"	Shits & Giggles	218	29	68	48	12	1	7	30	10	24	0	0	0.3119	0.3420	0.4725	398
"Barajas, Rod C ARI"	Free Agent	313	32	70	42	13	0	15	42	21	65	0	0	0.2236	0.2820	0.4089	404
"Montero, Jesus C SEA"	Orange-a-Tangs	288	28	77	55	12	0	10	37	18	58	0	1	0.2674	0.3109	0.4132	407
"Iannetta, Chris C LAA"	Evil Empire	251	33	57	35	10	1	11	36	43	66	3	2	0.2271	0.3467	0.4064	415
"Hernandez, Ramon C COL"	Free Agent	265	25	72	50	14	0	8	37	19	41	0	0	0.2717	0.3276	0.4151	441
"Torrealba, Yorvit C COL "	Free Agent	305	30	80	58	16	0	6	29	23	57	3	3	0.2623	0.3163	0.3738	460
"Hanigan, Ryan C CIN "	Old Dirty Bugg	262	26	73	59	10	0	4	32	37	30	0	0	0.2786	0.3717	0.3626	496
"Hundley, Nick C SD "	Free Agent	253	27	60	36	14	3	7	31	21	65	0	3	0.2372	0.2975	0.3992	557
"Norris, Derek C OAK"	Free Agent	209	19	42	26	8	1	7	34	21	66	5	1	0.2010	0.2759	0.3493	578
"Ellis, A.J. C LAD"	Orange-a-Tangs	205	19	56	41	9	1	5	26	31	47	0	0	0.2732	0.3760	0.4000	593
"Ramos, Wilson C WAS "	Disco Bush Horticulturists	184	21	49	33	10	0	6	22	17	36	0	1	0.2663	0.3300	0.4185	604
"Ross, David C BOS"	Free Agent	150	16	40	24	9	1	6	25	18	46	0	1	0.2667	0.3432	0.4600	615
"Kottaras, George C KC"	Free Agent	165	20	36	19	8	1	8	25	27	39	1	0	0.2182	0.3247	0.4242	620
"Snyder, Chris C WAS"	Free Agent	212	23	44	29	7	0	8	30	34	62	0	0	0.2075	0.3200	0.3538	627
"Molina, Jose C TB"	Free Agent	196	20	48	34	8	0	6	20	15	47	2	1	0.2449	0.3084	0.3776	630
"Thole, Josh C TOR"	Free Agent	288	21	74	59	13	0	2	26	30	41	0	1	0.2569	0.3302	0.3229	667
"Grandal, Yasmani C SD "	Free Agent	96	14	28	20	4	0	4	18	16	20	0	0	0.2917	0.3894	0.4583	680
"Cervelli, Francisco C NYY "	Free Agent	130	15	35	28	5	1	1	20	14	24	2	1	0.2692	0.3490	0.3462	704
"Shoppach, Kelly C SEA"	Free Agent	199	21	40	23	8	1	8	22	18	80	0	0	0.2010	0.2920	0.3719	710
"Varitek, Jason C BOS"	Free Agent	111	17	25	14	5	0	6	17	10	34	0	0	0.2252	0.2951	0.4324	713
"Marson, Lou C CLE"	Free Agent	233	27	50	37	11	1	1	18	29	56	5	2	0.2146	0.3057	0.2833	714
"Paulino, Ronny C SEA"	Free Agent	202	18	53	40	11	0	2	20	14	33	0	0	0.2624	0.3073	0.3465	715
"Pena, Brayan C DET"	Free Agent	197	15	48	36	10	0	2	23	11	25	1	0	0.2437	0.2830	0.3249	740
"Mathis, Jeff C MIA "	Free Agent	221	21	43	28	10	0	5	22	10	67	2	1	0.1946	0.2308	0.3077	761
"Laird, Gerald C ATL"	Free Agent	180	19	42	29	9	1	3	16	14	32	1	1	0.2333	0.2944	0.3444	762
"Brantly, Rob C MIA "	Free Agent	100	14	29	18	8	0	3	8	13	16	1	1	0.2900	0.3717	0.4600	765
"Maldonado, Martin C MIL"	Free Agent	117	11	31	23	4	0	4	15	8	28	0	0	0.2650	0.3175	0.4017	769
"Sanchez, Hector C SF "	Disco Bush Horticulturists	124	11	34	24	8	0	2	18	4	29	0	0	0.2742	0.2923	0.3871	771
"McKenry, Michael C PIT"	Free Agent	143	14	32	18	9	0	5	17	15	42	0	0	0.2238	0.2981	0.3916	785
"Treanor, Matt C LAD"	Free Agent	179	19	37	28	5	1	3	20	23	42	1	2	0.2067	0.3062	0.2961	800
"Castro, Jason C HOU "	Free Agent	151	18	35	23	8	1	3	12	18	34	0	0	0.2318	0.3118	0.3576	826
"Quintero, Humberto C PHI"	Free Agent	222	14	52	39	11	0	2	21	6	47	0	0	0.2342	0.2565	0.3108	835
"Castro, Ramon C LAD"	Free Agent	61	8	16	10	2	0	4	10	5	16	0	0	0.2623	0.3182	0.4918	847
"Flowers, Tyler C CHW"	Free Agent	86	11	18	10	4	0	4	10	10	33	1	1	0.2093	0.3030	0.3953	863
"Blanco, Henry C TOR"	Free Agent	98	9	22	14	4	0	4	9	9	22	1	0	0.2245	0.2870	0.3878	884
