All First Basemen 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Pujols, Albert 1B LAA "	Orange-a-Tangs	591	102	176	101	39	0	36	107	72	70	10	2	0.2978	0.3744	0.5465	4
"Votto, Joey 1B CIN "	Sofa Kings	507	89	163	94	40	2	27	91	98	113	10	5	0.3215	0.4332	0.5680	13
"Gonzalez, Adrian 1B LAD"	Old Dirty Bugg	617	90	192	124	42	1	25	109	70	114	1	0	0.3112	0.3816	0.5041	15
"Fielder, Prince 1B DET"	Floaters and Sinkers	576	91	168	103	31	1	33	104	102	109	1	0	0.2917	0.4092	0.5208	16
"Konerko, Paul 1B CHW "	SA`s	541	75	164	106	26	0	32	97	68	94	0	1	0.3031	0.3842	0.5287	24
"Hart, Corey 1B MIL "	Titty`s Warriors	537	87	150	86	31	4	29	83	47	135	6	4	0.2793	0.3434	0.5140	32
"Teixeira, Mark 1B NYY "	Whiteness	547	90	138	75	30	1	32	101	74	105	2	1	0.2523	0.3474	0.4863	38
"Butler, Billy 1B KC"	Evil Empire	602	74	185	124	40	0	21	93	63	95	1	1	0.3073	0.3737	0.4784	43
"Ortiz, David DH BOS "	Sofa Kings	456	78	135	72	34	1	28	86	72	93	0	1	0.2961	0.3910	0.5592	47
"Young, Michael 1B PHI"	Want-a-be Ghetto All Stars	633	89	189	137	35	4	13	88	43	88	4	2	0.2986	0.3397	0.4281	53
"Swisher, Nick RF CLE"	Shits & Giggles	543	82	149	90	33	1	25	89	77	135	2	2	0.2744	0.3667	0.4770	56
"Encarnacion, Edwin 1B TOR "	Sofa Kings	452	70	121	69	25	0	27	72	52	77	7	2	0.2677	0.3463	0.5022	74
"Howard, Ryan 1B PHI"	User Abuser	456	65	117	68	21	2	26	93	53	143	1	0	0.2566	0.3391	0.4825	84
"Cuddyer, Michael RF COL"	Orange-a-Tangs	499	72	136	84	32	3	17	70	46	89	9	2	0.2725	0.3351	0.4509	97
"Reynolds, Mark 1B CLE"	Free Agent	497	76	106	51	23	1	31	80	77	189	5	4	0.2133	0.3248	0.4507	101
"Hosmer, Eric 1B KC "	Floaters and Sinkers	529	66	138	96	24	2	16	69	45	88	14	3	0.2609	0.3184	0.4045	103
"Napoli, Mike C BOS "	Whiteness	391	62	102	55	19	1	27	66	52	116	3	1	0.2609	0.3554	0.5217	109
"Lee, Carlos 1B MIA"	Free Agent	580	62	152	102	31	2	17	87	51	56	3	2	0.2621	0.3213	0.4103	119
"Jones, Garrett 1B PIT"	Free Agent	497	61	126	72	31	2	21	77	45	110	5	2	0.2535	0.3133	0.4507	121
"Mauer, Joe C MIN"	Titty`s Warriors	450	69	142	103	30	2	7	63	62	60	3	3	0.3156	0.3988	0.4378	124
"Youkilis, Kevin 3B NYY"	Whiteness	410	72	108	63	24	3	18	67	59	92	2	0	0.2634	0.3717	0.4683	131
"Dunn, Adam 1B CHW "	Free Agent	504	69	107	52	24	1	30	80	86	199	1	1	0.2123	0.3311	0.4425	134
"Posey, Buster C SF "	Disco Bush Horticulturists	366	51	116	78	22	1	15	64	39	60	1	1	0.3169	0.3835	0.5055	138
"Goldschmidt, Paul 1B ARI"	Want-a-be Ghetto All Stars	335	55	93	52	26	1	14	54	40	92	11	2	0.2776	0.3534	0.4866	145
"LaRoche, Adam 1B WAS"	User Abuser	427	55	109	63	25	1	20	72	47	116	1	1	0.2553	0.3271	0.4590	152
"Pena, Carlos 1B HOU "	Free Agent	491	69	101	53	21	2	25	75	92	167	3	2	0.2057	0.3372	0.4094	154
"Sanchez, Gaby 1B PIT"	Disco Bush Horticulturists	481	58	124	79	29	1	15	64	52	85	3	0	0.2578	0.3321	0.4158	167
"Santana, Carlos C CLE"	Whiteness	403	60	100	57	25	1	17	59	75	88	4	3	0.2481	0.3642	0.4417	168
"Trumbo, Mark LF LAA "	Shits & Giggles	366	44	95	57	17	1	20	61	21	94	4	3	0.2596	0.3036	0.4754	170
"Davis, Ike 1B NYM"	Free Agent	390	53	98	56	22	1	19	62	50	103	1	1	0.2513	0.3356	0.4590	180
"Freeman, Freddie 1B ATL "	Shits & Giggles	378	54	102	64	22	1	15	57	39	93	2	1	0.2698	0.3404	0.4524	183
"Loney, James 1B TB"	Free Agent	518	53	139	99	30	1	9	65	41	71	5	3	0.2683	0.3221	0.3822	185
"Berkman, Lance 1B TEX "	Free Agent	324	50	89	54	18	1	16	53	61	66	2	3	0.2747	0.3918	0.4846	196
"Lind, Adam 1B TOR "	Free Agent	463	47	114	71	21	2	20	68	33	104	0	0	0.2462	0.2962	0.4298	203
