All Outfielders 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Braun, Ryan LF MIL "	Floaters and Sinkers	593	106	189	113	40	3	33	109	59	109	26	5	0.3187	0.3846	0.5632	1
"Gonzalez, Carlos LF COL"	Titty`s Warriors	529	97	165	101	31	6	27	98	48	118	22	6	0.3119	0.3703	0.5463	3
"Hamilton, Josh CF LAA"	Old Dirty Bugg	522	93	164	94	34	3	33	107	47	117	8	2	0.3142	0.3701	0.5805	7
"Kemp, Matt CF LAD "	Sofa Kings	536	90	156	95	27	4	30	95	56	144	23	10	0.2910	0.3588	0.5243	8
"McCutchen, Andrew CF PIT"	Old Dirty Bugg	578	96	168	107	33	5	23	80	76	116	25	11	0.2907	0.3754	0.4844	9
"Granderson, Curtis CF NYY "	Shits & Giggles	548	105	135	72	20	7	36	97	71	160	16	5	0.2464	0.3360	0.5055	11
"Bautista, Jose LF TOR "	Evil Empire	471	93	128	61	24	2	41	97	97	97	8	3	0.2718	0.4007	0.5924	12
"Gonzalez, Adrian 1B LAD"	Old Dirty Bugg	617	90	192	124	42	1	25	109	70	114	1	0	0.3112	0.3816	0.5041	15
"Holliday, Matt LF STL"	SA`s	547	91	165	99	39	1	26	93	68	106	5	3	0.3016	0.3850	0.5192	18
"Bourn, Michael CF CLE "	Whiteness	605	91	169	128	28	9	4	48	61	135	52	13	0.2793	0.3467	0.3752	19
"Upton, Justin RF ATL"	Want-a-be Ghetto All Stars	547	95	154	98	30	4	22	75	62	133	19	8	0.2815	0.3606	0.4717	21
"Pence, Hunter RF SF"	Shits & Giggles	612	88	173	114	31	4	24	97	51	125	10	4	0.2827	0.3383	0.4641	22
"Upton, B.J. CF ATL"	Old Dirty Bugg	556	83	135	77	31	4	23	74	61	165	36	9	0.2428	0.3173	0.4371	23
"Rios, Alex CF CHW "	Floaters and Sinkers	570	82	156	103	29	4	20	74	30	84	23	9	0.2737	0.3120	0.4439	30
"Hart, Corey 1B MIL "	Titty`s Warriors	537	87	150	86	31	4	29	83	47	135	6	4	0.2793	0.3434	0.5140	32
"Jones, Adam CF BAL"	Whiteness	599	82	170	112	30	3	25	78	29	119	12	6	0.2838	0.3271	0.4691	33
"Cespedes, Yoenis CF OAK "	Disco Bush Horticulturists	487	70	142	89	25	5	23	82	43	102	16	4	0.2916	0.3556	0.5051	37
"Bruce, Jay RF CIN"	SA`s	551	84	145	83	28	4	30	89	64	150	7	5	0.2632	0.3403	0.4918	39
"Victorino, Shane CF BOS"	Titty`s Warriors	567	84	150	97	27	11	15	62	54	74	31	5	0.2646	0.3344	0.4303	42
"Pagan, Angel CF SF"	SA`s	554	81	156	107	31	9	9	60	45	85	33	8	0.2816	0.3344	0.4188	44
"Suzuki, Ichiro RF NYY"	Disco Bush Horticulturists	662	77	192	154	27	4	7	48	35	72	37	8	0.2900	0.3262	0.3746	45
"Hunter, Torii CF DET"	Free Agent	562	79	160	110	28	1	21	88	54	121	8	7	0.2847	0.3514	0.4502	46
"Trout, Mike CF LAA "	Disco Bush Horticulturists	341	74	104	66	16	4	18	50	38	84	26	2	0.3050	0.3773	0.5337	48
"Zobrist, Ben RF TB"	Floaters and Sinkers	563	88	146	86	38	5	17	80	89	113	19	6	0.2593	0.3590	0.4352	49
"Cruz, Nelson RF TEX "	Want-a-be Ghetto All Stars	486	70	135	74	35	1	25	85	40	112	11	4	0.2778	0.3340	0.5082	50
"Aoki, Norichika OF MIL"	Free Agent	520	81	150	99	37	4	10	50	43	55	30	8	0.2885	0.3546	0.4327	55
"Swisher, Nick RF CLE"	Shits & Giggles	543	82	149	90	33	1	25	89	77	135	2	2	0.2744	0.3667	0.4770	56
"Pierre, Juan CF MIA"	Free Agent	561	78	159	139	15	4	1	41	37	38	44	14	0.2834	0.3388	0.3298	57
"Stubbs, Drew CF CLE "	Free Agent	537	86	128	89	18	4	17	54	53	180	33	8	0.2384	0.3110	0.3818	59
"Jackson, Austin CF DET"	Want-a-be Ghetto All Stars	584	99	164	116	28	10	10	51	57	162	20	7	0.2808	0.3462	0.4144	61
"Stanton, Giancarlo RF MIA "	Titty`s Warriors	441	66	119	59	27	2	31	77	50	144	5	3	0.2698	0.3487	0.5510	67
"Cabrera, Melky LF TOR "	Titty`s Warriors	525	79	159	110	32	6	11	63	38	74	13	5	0.3029	0.3486	0.4495	70
"Willingham, Josh LF MIN "	Whiteness	459	69	118	65	25	1	27	88	66	125	5	1	0.2571	0.3598	0.4924	72
"Crisp, Coco CF OAK"	Free Agent	425	63	113	77	22	5	9	46	39	59	40	5	0.2659	0.3248	0.4047	73
"Choo, Shin-Soo RF CIN"	SA`s	487	69	138	93	28	2	15	64	64	115	18	6	0.2834	0.3766	0.4415	75
"Prado, Martin LF ARI "	User Abuser	589	82	171	118	36	4	13	64	44	69	9	5	0.2903	0.3385	0.4312	78
"Young, Chris CF OAK "	Free Agent	492	73	120	67	32	1	20	68	63	121	19	6	0.2439	0.3316	0.4350	79
"Soriano, Alfonso LF CHC "	User Abuser	511	62	130	68	33	2	27	92	39	130	4	1	0.2544	0.3118	0.4853	80
"Heyward, Jason RF ATL"	Shits & Giggles	501	75	131	81	26	4	20	65	67	124	14	5	0.2615	0.3524	0.4491	81
"Ethier, Andre RF LAD"	Free Agent	520	72	150	98	33	1	18	78	56	110	1	1	0.2885	0.3607	0.4596	91
"Crawford, Carl LF LAD "	Evil Empire	408	66	115	74	23	7	11	55	24	77	23	5	0.2819	0.3235	0.4534	92
"Davis, Rajai CF TOR"	Sofa Kings	431	58	113	80	24	4	5	41	23	81	43	12	0.2622	0.3037	0.3712	93
"Cuddyer, Michael RF COL"	Orange-a-Tangs	499	72	136	84	32	3	17	70	46	89	9	2	0.2725	0.3351	0.4509	97
