All Relief Pitchers 3 Year Averages MLB Standard Stats
Player,Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Kimbrel, Craig RP ATL "	Evil Empire	53.3	0	0	0	4	1	30	4	94	21	28	1.519	0.9187	114
"Papelbon, Jonathan RP PHI"	User Abuser	67.0	0	0	0	5	5	35	5	85	19	54	3.090	1.0896	127
"Axford, John RP MIL "	User Abuser	67.0	0	0	0	5	4	35	5	85	30	54	3.090	1.2537	141
"Bell, Heath RP ARI"	Free Agent	65.3	0	0	0	4	3	36	5	65	26	59	3.168	1.3010	172
"Valverde, Jose RP DET "	Free Agent	68.0	0	0	0	2	4	37	3	60	31	51	3.044	1.2059	184
"Marmol, Carlos RP CHC "	Free Agent	69.0	0	0	0	2	4	31	6	103	48	45	3.261	1.3478	197
"Putz, J.J. RP ARI "	Titty`s Warriors	55.3	0	0	0	3	4	27	4	64	13	42	2.602	0.9940	199
"Hanrahan, Joel RP BOS "	Evil Empire	66.0	0	0	0	3	2	27	4	76	26	51	2.727	1.1667	202
"Clippard, Tyler RP WAS"	SA`s	84.0	0	0	0	5	5	11	7	100	32	57	2.786	1.0595	207
"Perez, Chris RP CLE "	Whiteness	60.0	0	0	0	2	4	33	4	53	23	45	2.850	1.1333	210
"Soriano, Rafael RP WAS "	Free Agent	56.3	0	0	0	2	2	30	3	54	19	41	2.556	1.0651	212
"Motte, Jason RP STL"	Orange-a-Tangs	64.0	0	0	0	4	3	18	4	68	17	46	2.391	0.9844	213
"Myers, Brett RP CLE "	Whiteness	168.3	22	14	1	8	10	6	1	127	46	168	3.743	1.2713	232
"Rivera, Mariano RP NYY "	Orange-a-Tangs	43.3	0	0	0	2	2	27	4	38	7	31	1.869	0.8769	234
"Oswalt, Roy SP TEX"	Free Agent	136.7	21	13	1	9	9	0	0	115	33	131	3.490	1.2000	236
"Iwakuma, Hisashi SP SEA"	Floaters and Sinkers	125.3	16	9	0	9	5	2	0	101	43	117	3.160	1.2766	258
"Wilson, Brian RP SF"	Whiteness	44.0	0	0	0	3	2	28	3	50	20	39	2.454	1.3409	267
"Lynn, Lance SP STL"	SA`s	105.3	16	8	0	10	4	0	0	110	38	96	3.674	1.2722	271
"Marshall, Sean RP CIN"	Free Agent	70.3	0	0	0	6	5	5	3	81	19	60	2.431	1.1232	278
"Jansen, Kenley RP LAD"	Orange-a-Tangs	48.7	0	0	0	3	1	11	3	79	21	25	2.219	0.9452	282
"Chapman, Aroldis RP CIN "	Shits & Giggles	45.0	0	0	0	4	3	13	3	71	23	23	2.400	1.0222	284
"Collmenter, Josh RP ARI"	Free Agent	122.3	18	9	0	8	6	0	0	90	25	114	3.531	1.1362	286
"Street, Huston RP SD "	Floaters and Sinkers	48.3	0	0	0	2	3	24	3	49	10	39	3.166	1.0138	287
"Romo, Sergio RP SF "	Free Agent	55.0	0	0	0	4	2	5	2	68	10	37	1.800	0.8545	291
"Betancourt, Rafael RP COL "	Free Agent	60.7	0	0	0	3	2	13	5	73	9	50	3.115	0.9725	293
"Rodriguez, Francisco RP MIL "	Free Agent	67.0	0	0	0	4	4	17	6	73	26	59	3.090	1.2687	297
"Rodney, Fernando RP TB "	Sofa Kings	58.3	0	0	0	3	3	22	4	52	26	46	2.777	1.2343	303
"League, Brandon RP LAD"	Free Agent	70.7	0	0	0	4	6	19	6	52	23	63	3.184	1.2170	318
"Storen, Drew RP WAS"	Free Agent	53.7	0	0	0	4	3	17	3	50	17	42	3.019	1.0994	321
"Johnson, Jim RP BAL "	Titty`s Warriors	62.0	0	0	0	3	2	20	4	40	14	56	2.758	1.1290	324
"Liriano, Francisco SP PIT "	Old Dirty Bugg	161.0	28	15	0	10	11	0	0	160	73	151	4.584	1.3913	325
"Soria, Joakim RP TEX "	Free Agent	42.0	0	0	0	2	2	24	3	44	11	38	2.786	1.1667	326
"Cordero, Francisco RP HOU"	Free Agent	60.7	0	0	0	5	5	26	7	44	25	59	4.154	1.3846	327
"Ogando, Alexi RP TEX "	Free Agent	92.3	10	6	0	6	3	1	2	77	25	76	3.119	1.0939	330
"Casilla, Santiago RP SF"	Free Agent	56.7	0	0	0	5	3	11	3	52	24	43	2.224	1.1824	331
"Capps, Matt RP CLE "	Shits & Giggles	56.0	0	0	0	3	5	24	5	37	11	56	3.375	1.1964	332
"Balfour, Grant RP OAK "	SA`s	64.0	0	0	0	3	2	9	3	62	22	43	2.391	1.0156	333
"Venters, Jonny RP ATL"	Free Agent	76.7	0	0	0	5	3	2	4	86	37	58	2.230	1.2391	336
