All Shortstops 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Reyes, Jose SS TOR "	Shits & Giggles	581	90	175	120	32	13	10	52	46	53	36	9	0.3012	0.3513	0.4527	20
"Zobrist, Ben RF TB"	Floaters and Sinkers	563	88	146	86	38	5	17	80	89	113	19	6	0.2593	0.3590	0.4352	49
"Ramirez, Hanley 3B LAD "	Old Dirty Bugg	495	75	133	89	24	2	18	71	54	97	24	9	0.2687	0.3447	0.4343	52
"Jeter, Derek SS NYY "	Shits & Giggles	631	98	186	145	29	2	10	62	51	92	14	5	0.2948	0.3526	0.3946	54
"Tulowitzki, Troy SS COL "	SA`s	396	68	121	72	25	2	22	76	42	59	7	2	0.3056	0.3744	0.5455	60
"Andrus, Elvis SS TEX "	Whiteness	601	90	167	135	24	5	3	52	59	89	30	12	0.2779	0.3468	0.3494	65
"Rollins, Jimmy SS PHI "	Disco Bush Horticulturists	516	79	132	89	24	3	16	57	53	62	26	5	0.2558	0.3246	0.4070	68
"Castro, Starlin SS CHC "	Orange-a-Tangs	594	74	176	126	32	9	9	62	33	89	19	10	0.2963	0.3354	0.4259	69
"Prado, Martin LF ARI "	User Abuser	589	82	171	118	36	4	13	64	44	69	9	5	0.2903	0.3385	0.4312	78
"Ramirez, Alexei SS CHW"	User Abuser	597	74	162	117	28	3	14	71	31	81	13	7	0.2714	0.3093	0.3987	87
"Desmond, Ian SS WAS"	User Abuser	541	65	146	99	29	4	14	62	31	120	21	7	0.2699	0.3121	0.4159	89
"Aybar, Erick SS LAA "	Free Agent	536	69	147	106	27	6	8	44	29	70	24	6	0.2743	0.3176	0.3918	110
"Scutaro, Marco 2B SF"	Free Agent	549	79	161	119	32	2	8	61	44	52	6	3	0.2933	0.3461	0.4026	111
"Cabrera, Asdrubal SS CLE "	Sofa Kings	513	65	140	95	28	2	15	63	40	93	11	4	0.2729	0.3321	0.4230	112
"Peralta, Jhonny SS DET "	Whiteness	536	62	140	92	29	3	16	77	47	101	1	1	0.2612	0.3193	0.4160	143
"Escobar, Alcides SS KC"	Floaters and Sinkers	553	65	145	111	22	8	4	46	29	81	24	6	0.2622	0.3039	0.3526	144
"Hardy, J.J. SS BAL "	Evil Empire	510	68	130	84	25	2	19	62	32	84	0	0	0.2549	0.2993	0.4235	156
"Aviles, Mike SS CLE"	Titty`s Warriors	407	50	110	79	20	2	9	44	19	57	14	5	0.2703	0.3032	0.3956	190
"Furcal, Rafael SS STL "	Free Agent	398	60	106	77	19	3	7	40	37	52	14	4	0.2663	0.3303	0.3819	191
"Espinosa, Danny 2B WAS"	Disco Bush Horticulturists	423	57	101	60	23	3	15	46	37	128	12	5	0.2388	0.3150	0.4137	193
"Pennington, Cliff SS ARI"	Free Agent	480	57	118	84	23	4	7	44	42	97	19	7	0.2458	0.3074	0.3542	201
"Escobar, Yunel SS TB "	Want-a-be Ghetto All Stars	523	65	139	108	22	1	8	45	51	66	5	2	0.2658	0.3351	0.3576	219
"Drew, Stephen SS BOS"	Free Agent	391	55	101	64	22	6	9	45	43	86	5	4	0.2583	0.3318	0.4143	251
"Gonzalez, Alex SS MIL"	Free Agent	413	47	102	63	24	1	14	53	20	86	1	1	0.2470	0.2854	0.4116	270
"Carroll, Jamey 2B MIN"	Free Agent	424	55	120	101	16	3	0	27	50	62	10	3	0.2830	0.3604	0.3349	295
"Gordon, Dee SS LAD "	Want-a-be Ghetto All Stars	264	36	68	57	9	2	0	14	14	44	28	8	0.2576	0.2989	0.3068	310
"Rutledge, Josh SS COL "	SA`s	277	37	76	43	20	5	8	37	9	54	7	0	0.2744	0.3058	0.4693	313
"Rodriguez, Sean 3B TB"	Free Agent	339	45	78	50	18	2	8	36	29	86	10	3	0.2301	0.3079	0.3658	340
"Bloomquist, Willie SS ARI "	Free Agent	287	41	80	61	14	3	2	22	15	45	12	8	0.2787	0.3148	0.3693	346
"Izturis, Maicer 3B TOR "	Free Agent	317	38	84	61	20	0	3	28	26	43	11	4	0.2650	0.3266	0.3565	357
"Bartlett, Jason SS SD"	Free Agent	368	47	89	67	18	2	2	30	35	69	11	5	0.2418	0.3105	0.3179	373
"Lowrie, Jed SS OAK "	Whiteness	273	38	70	44	15	1	10	34	30	50	1	1	0.2564	0.3312	0.4286	378
"Barmes, Clint SS PIT"	Free Agent	429	41	101	71	21	0	9	45	31	87	2	2	0.2354	0.2964	0.3473	390
"Ryan, Brendan SS SEA "	Free Agent	427	48	95	70	19	3	3	35	37	82	12	4	0.2225	0.2905	0.3021	396
"Solano, Donovan 2B MIA "	Free Agent	285	29	84	68	11	3	2	28	21	58	7	0	0.2947	0.3419	0.3754	399
"Dozier, Brian SS MIN "	Free Agent	316	33	74	56	11	1	6	33	16	58	9	2	0.2342	0.2708	0.3323	420
"Cedeno, Ronny 2B STL"	Free Agent	349	34	89	60	22	2	5	31	23	78	5	3	0.2550	0.3013	0.3725	440
"Johnson, Elliot SS KC "	Free Agent	228	26	52	37	8	2	5	25	19	68	12	6	0.2281	0.2908	0.3465	463
"Tejada, Ruben SS NYM"	Free Agent	336	37	91	72	18	0	1	25	28	54	4	2	0.2708	0.3351	0.3333	472
"Cabrera, Everth SS SD"	Floaters and Sinkers	206	24	48	37	8	2	1	15	21	56	19	3	0.2330	0.3100	0.3058	475
"Cozart, Zack SS CIN"	Free Agent	299	39	75	49	16	2	8	19	16	60	2	0	0.2508	0.2915	0.3980	481
"Nunez, Eduardo SS NYY "	Free Agent	149	21	41	30	8	1	2	16	10	17	13	3	0.2752	0.3168	0.3826	487
"Lillibridge, Brent RF CHC"	Free Agent	158	27	36	24	5	1	6	18	10	56	9	4	0.2278	0.2874	0.3861	499
