All Third Basemen 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Cabrera, Miguel 3B DET "	SA`s	581	110	194	113	44	0	37	123	88	94	3	2	0.3339	0.4204	0.6007	2
"Beltre, Adrian 3B TEX "	Shits & Giggles	560	87	176	105	38	1	32	103	34	72	1	1	0.3143	0.3542	0.5571	14
"Wright, David 3B NYM"	Free Agent	519	79	148	92	33	2	21	86	67	123	16	8	0.2852	0.3658	0.4778	27
"Ramirez, Aramis 3B MIL "	Floaters and Sinkers	533	78	152	89	35	2	26	94	40	80	3	1	0.2852	0.3407	0.5047	41
"Ramirez, Hanley 3B LAD "	Old Dirty Bugg	495	75	133	89	24	2	18	71	54	97	24	9	0.2687	0.3447	0.4343	52
"Young, Michael 1B PHI"	Want-a-be Ghetto All Stars	633	89	189	137	35	4	13	88	43	88	4	2	0.2986	0.3397	0.4281	53
"Longoria, Evan 3B TB"	Old Dirty Bugg	443	71	122	68	29	2	23	86	62	93	7	3	0.2754	0.3663	0.5056	63
"Zimmerman, Ryan 3B WAS "	Disco Bush Horticulturists	499	77	146	94	30	1	21	76	56	96	4	1	0.2926	0.3636	0.4830	64
"Headley, Chase 3B SD"	Old Dirty Bugg	532	72	148	102	29	2	15	72	65	129	16	4	0.2782	0.3576	0.4248	71
"Rodriguez, Alex 3B NYY "	SA`s	453	72	123	79	22	1	21	81	52	98	7	2	0.2715	0.3501	0.4636	76
"Prado, Martin LF ARI "	User Abuser	589	82	171	118	36	4	13	64	44	69	9	5	0.2903	0.3385	0.4312	78
"Reynolds, Mark 1B CLE"	Free Agent	497	76	106	51	23	1	31	80	77	189	5	4	0.2133	0.3248	0.4507	101
"Scutaro, Marco 2B SF"	Free Agent	549	79	161	119	32	2	8	61	44	52	6	3	0.2933	0.3461	0.4026	111
"Youkilis, Kevin 3B NYY"	Whiteness	410	72	108	63	24	3	18	67	59	92	2	0	0.2634	0.3717	0.4683	131
"Sandoval, Pablo 3B SF "	Shits & Giggles	462	58	132	85	28	3	16	65	39	68	2	2	0.2857	0.3386	0.4632	140
"Infante, Omar 2B DET "	Titty`s Warriors	535	63	154	116	23	6	9	50	28	65	9	4	0.2879	0.3216	0.4037	148
"Jones, Chipper 3B ATL"	Free Agent	386	54	107	67	26	0	14	59	56	59	3	1	0.2772	0.3655	0.4534	166
"Trumbo, Mark LF LAA "	Shits & Giggles	366	44	95	57	17	1	20	61	21	94	4	3	0.2596	0.3036	0.4754	170
"Freese, David 3B STL"	Whiteness	358	46	106	76	18	1	11	57	34	85	2	1	0.2961	0.3634	0.4441	200
"Callaspo, Alberto 3B LAA"	Free Agent	498	57	134	101	23	1	9	52	48	50	6	2	0.2691	0.3321	0.3735	204
"McGehee, Casey 1B NYY"	Free Agent	491	51	122	80	26	1	15	71	41	92	1	2	0.2485	0.3056	0.3971	205
"Middlebrooks, Will 3B BOS"	Titty`s Warriors	267	34	77	48	14	0	15	54	13	70	4	1	0.2884	0.3252	0.5094	217
"Lawrie, Brett 3B TOR"	Orange-a-Tangs	322	50	90	59	17	4	10	36	24	58	10	4	0.2795	0.3362	0.4503	221
"Wigginton, Ty 1B STL"	Want-a-be Ghetto All Stars	432	52	105	68	20	1	16	55	42	94	3	1	0.2431	0.3140	0.4051	226
"Johnson, Chris 3B ATL"	Free Agent	402	40	112	74	24	3	11	57	21	107	3	1	0.2786	0.3179	0.4353	227
"Seager, Kyle 3B SEA"	Orange-a-Tangs	388	42	100	64	24	0	12	50	30	73	8	3	0.2577	0.3153	0.4124	235
"Keppinger, Jeff 3B CHW "	Free Agent	426	49	126	95	23	1	7	45	29	30	2	1	0.2958	0.3406	0.4038	237
"Betancourt, Yuniesky 2B PHI"	Free Agent	442	44	111	74	23	2	12	61	16	51	2	3	0.2511	0.2753	0.3937	256
"Moustakas, Mike 3B KC"	Titty`s Warriors	450	48	112	73	26	1	12	52	30	88	4	1	0.2489	0.2992	0.3911	260
"Roberts, Ryan 3B TB"	Free Agent	329	48	79	51	16	1	11	42	36	69	9	5	0.2401	0.3144	0.3951	266
"Alvarez, Pedro 3B PIT "	User Abuser	369	41	87	51	18	1	17	56	39	126	1	0	0.2358	0.3090	0.4282	273
"Rolen, Scott 3B CIN"	Free Agent	339	41	89	52	24	2	11	53	30	60	1	1	0.2625	0.3272	0.4425	281
"Hudson, Orlando 2B CHW"	Free Agent	385	52	95	71	14	5	5	36	40	74	12	3	0.2468	0.3193	0.3481	288
"Betemit, Wilson 3B BAL"	Free Agent	313	39	88	56	20	1	11	43	33	94	1	1	0.2812	0.3486	0.4569	294
"Carroll, Jamey 2B MIN"	Free Agent	424	55	120	101	16	3	0	27	50	62	10	3	0.2830	0.3604	0.3349	295
"Polanco, Placido 3B MIA"	Free Agent	442	50	124	100	19	1	4	40	31	39	3	0	0.2805	0.3292	0.3552	298
"Frazier, Todd 3B CIN"	Evil Empire	267	36	70	39	16	3	12	41	22	65	2	1	0.2622	0.3208	0.4794	329
