All Second Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Cano, Robinson 2B SEA",Sofa Kings,618,97,191,114,45,3,29,106,55,92,6,2,0.3091,0.3703,0.5324,4
"Pedroia, Dustin 2B BOS ",EVIL EMPIRE,613,91,184,127,39,3,15,80,69,73,21,6,0.3002,0.3699,0.4470,16
"Kinsler, Ian 2B DET ",Want-a-be Ghetto All Stars,607,104,159,98,36,4,21,74,67,73,22,8,0.2619,0.3416,0.4382,20
"Phillips, Brandon 2B CIN ",Want-a-be Ghetto All Stars,599,87,168,117,31,2,18,87,37,87,11,5,0.2805,0.3277,0.4290,36
"Zobrist, Ben 2B TB ",Orange-a-Tangs,587,88,159,97,40,5,17,79,82,107,15,6,0.2709,0.3608,0.4429,46
"Kipnis, Jason 2B CLE ",Orange-a-Tangs,430,65,116,78,22,3,13,60,51,95,22,5,0.2698,0.3469,0.4256,86
"Murphy, Daniel 2B NYM ",Titty`s Warriors,540,68,160,114,35,3,8,64,31,73,13,3,0.2963,0.3345,0.4167,98
"Hill, Aaron 2B ARI",User Abuser,485,66,136,87,31,3,15,62,39,69,12,5,0.2804,0.3383,0.4495,100
"Prado, Martin 3B ARI ",Free Agent,592,72,167,117,35,3,12,70,46,58,8,6,0.2821,0.3328,0.4122,102
"Kendrick, Howie 2B LAA",Shits & Giggles,522,66,151,106,28,4,13,61,28,108,11,5,0.2893,0.3321,0.4330,103
"Walker, Neil 2B PIT ",Free Agent,515,67,138,92,29,3,14,68,50,100,6,4,0.2680,0.3374,0.4175,124
"Uggla, Dan 2B ATL",Floaters and Sinkers,524,78,112,65,20,1,26,72,78,165,2,2,0.2137,0.3241,0.4046,126
"Gyorko, Jedd 2B SD",Orange-a-Tangs,486,62,121,72,26,0,23,63,33,123,1,1,0.2490,0.3010,0.4444,143
"Altuve, Jose 2B HOU",Old Dirty Bugg,474,57,135,103,25,2,5,34,26,63,25,9,0.2848,0.3235,0.3776,145
"Infante, Omar 2B KC ",Free Agent,529,59,152,110,26,6,10,51,25,59,9,2,0.2873,0.3179,0.4159,150
"Utley, Chase 2B PHI ",Titty`s Warriors,392,58,105,67,20,5,13,53,42,56,11,1,0.2679,0.3504,0.4439,151
"Scutaro, Marco 2B SF ",Want-a-be Ghetto All Stars,501,68,151,116,27,3,5,53,41,40,5,2,0.3014,0.3534,0.3972,153
"Bonifacio, Emilio 2B KC ",Free Agent,410,54,111,86,17,5,3,26,38,95,33,7,0.2707,0.3319,0.3585,159
"Weeks, Rickie 2B MIL ",EVIL EMPIRE,464,67,110,66,25,2,17,45,55,127,11,3,0.2371,0.3296,0.4095,172
"Johnson, Kelly OF NYY ",Titty`s Warriors,473,59,107,66,19,4,18,55,52,140,12,4,0.2262,0.3070,0.3975,174
"Dozier, Brian 2B MIN ",Sofa Kings,437,52,105,69,22,2,12,50,34,89,12,4,0.2403,0.2985,0.3822,219
"Espinosa, Danny 2B WAS ",Free Agent,442,55,102,61,25,2,14,45,36,134,13,4,0.2308,0.3049,0.3914,220
"Aviles, Mike 3B CLE",Free Agent,386,47,97,66,20,1,10,48,17,54,12,5,0.2513,0.2822,0.3860,232
"Lowrie, Jed SS OAK ",Whiteness,417,54,112,72,26,2,12,51,39,72,1,0,0.2686,0.3312,0.4269,236
"Callaspo, Alberto 3B OAK",Free Agent,462,54,123,93,21,0,9,52,56,51,4,2,0.2662,0.3442,0.3701,241
"Lawrie, Brett 3B TOR ",EVIL EMPIRE,348,47,94,64,17,3,10,40,26,62,10,5,0.2701,0.3281,0.4224,242
"Roberts, Ryan 2B TB ",Free Agent,361,51,88,58,17,1,12,45,39,76,9,6,0.2438,0.3168,0.3961,244
"Carpenter, Matt 2B STL ",Old Dirty Bugg,312,57,96,60,26,4,6,41,37,55,1,1,0.3077,0.3827,0.4744,254
"Ellis, Mark 2B STL ",Free Agent,443,54,114,87,19,1,7,40,29,73,8,2,0.2573,0.3133,0.3521,279
"Beckham, Gordon 2B CHW ",SA`s,465,56,112,79,23,0,10,43,34,85,5,3,0.2409,0.3020,0.3548,294
"Barney, Darwin 2B CHC ",Free Agent,526,63,130,96,25,4,5,43,30,63,6,2,0.2471,0.2933,0.3384,299
"Ackley, Dustin OF SEA ",Free Agent,441,54,108,78,19,4,7,39,45,92,7,2,0.2449,0.3135,0.3537,316
"Rutledge, Josh 2B COL",SA`s,281,41,72,48,13,3,8,28,16,58,10,0,0.2562,0.3023,0.4093,336
