All Third Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Cabrera, Miguel 3B DET ",Free Agent,583,108,198,121,38,0,39,127,88,94,3,1,0.3396,0.4271,0.6055,1
"Beltre, Adrian 3B TEX",Shits & Giggles,574,88,179,112,33,1,33,100,37,71,1,0,0.3118,0.3563,0.5453,7
"Encarnacion, Edwin 1B TOR",Sofa Kings,518,84,142,80,30,0,32,90,70,78,9,2,0.2741,0.3639,0.5174,18
"Wright, David 3B NYM",Want-a-be Ghetto All Stars,467,71,136,86,29,3,18,71,63,96,15,5,0.2912,0.3780,0.4818,58
"Ramirez, Aramis 3B MIL",Free Agent,480,72,143,86,34,1,22,82,41,69,3,1,0.2979,0.3619,0.5104,59
"Zimmerman, Ryan 3B WAS ",EVIL EMPIRE,514,76,144,93,28,2,21,74,53,107,5,1,0.2802,0.3479,0.4650,67
"Longoria, Evan 3B TB",Whiteness,457,69,121,67,26,1,27,81,61,105,2,2,0.2648,0.3529,0.5033,70
"Headley, Chase 3B SD ",Old Dirty Bugg,502,66,138,89,31,2,16,70,68,130,13,4,0.2749,0.3661,0.4402,83
"Prado, Martin 3B ARI ",Free Agent,592,72,167,117,35,3,12,70,46,58,8,6,0.2821,0.3328,0.4122,102
"Young, Michael 3B LAD ",Free Agent,587,73,176,131,31,5,9,73,41,77,3,1,0.2998,0.3433,0.4157,104
"Reynolds, Mark 1B NYY ",Old Dirty Bugg,479,68,106,57,22,0,27,74,66,170,3,3,0.2213,0.3213,0.4363,116
"Sandoval, Pablo 3B SF ",Shits & Giggles,449,55,131,87,26,2,16,71,39,67,1,2,0.2918,0.3461,0.4655,127
"Gyorko, Jedd 2B SD",Orange-a-Tangs,486,62,121,72,26,0,23,63,33,123,1,1,0.2490,0.3010,0.4444,143
"Bonifacio, Emilio 2B KC ",Free Agent,410,54,111,86,17,5,3,26,38,95,33,7,0.2707,0.3319,0.3585,159
"Freese, David 3B LAA ",Whiteness,432,55,122,86,22,1,13,65,43,101,2,2,0.2824,0.3554,0.4282,160
"Johnson, Kelly OF NYY ",Titty`s Warriors,473,59,107,66,19,4,18,55,52,140,12,4,0.2262,0.3070,0.3975,174
"Seager, Kyle 3B SEA",Orange-a-Tangs,464,54,120,77,27,1,15,56,42,89,8,3,0.2586,0.3243,0.4181,176
"Alvarez, Pedro 3B PIT ",User Abuser,439,51,101,58,19,1,23,68,43,149,1,0,0.2301,0.3004,0.4351,182
"Rodriguez, Alex 3B NYY ",Free Agent,331,54,89,60,15,0,14,46,40,80,7,1,0.2689,0.3553,0.4411,194
"Johnson, Chris 3B ATL ",Whiteness,460,45,132,90,28,3,11,62,25,115,2,1,0.2870,0.3272,0.4326,201
"Machado, Manny 3B BAL ",Floaters and Sinkers,429,56,120,77,30,3,10,48,19,76,4,4,0.2797,0.3104,0.4336,212
