All Catchers  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Carlos,Santana 1B  CLE"	Knobgobblers	550	78	137	76	32	1	28	87	102	122	4	3	0.2491	0.3666	0.4636	103
"Buster,Posey C  SF"	Free Agent	535	70	162	108	33	1	20	82	54	70	0	1	0.3028	0.3667	0.4804	110
"Evan,Gattis C  HOU"	Sofa Kings	495	68	127	67	28	0	32	84	28	121	0	0	0.2566	0.2964	0.5071	113
"Devin,Mesoraco C  CIN"	Orange-a-Tangs	470	69	120	64	26	0	30	85	48	121	0	1	0.2553	0.3243	0.5021	122
"Jonathan,Lucroy C  MIL"	Shits & Giggles	570	68	166	106	42	3	15	74	59	71	2	3	0.2912	0.3577	0.4544	162
"Salvador,Perez C  KC"	Shits & Giggles	555	55	160	113	26	2	19	84	22	68	0	0	0.2883	0.3154	0.4450	165
"Travis,d'Arnaud C  NYM"	Titty`s Warriors	475	77	125	71	31	4	19	65	39	82	1	0	0.2632	0.3191	0.4653	193
"Matt,Wieters C  BAL"	Want-a-be Ghetto All Stars	460	59	125	77	28	0	20	70	32	81	0	0	0.2717	0.3191	0.4630	212
"Miguel,Montero C  CHC"	Disco Bush Horticulturists	485	59	125	82	27	0	16	84	57	103	0	1	0.2577	0.3358	0.4124	232
"Wilin,Rosario C  COL"	Free Agent	435	56	114	70	24	1	19	68	25	87	2	1	0.2621	0.3022	0.4529	240
"Yadier,Molina C  STL"	Old Dirty Bugg	490	62	136	95	27	0	14	67	37	70	1	2	0.2776	0.3283	0.4184	241
"Brian,McCann C  NYY"	EVIL EMPIRE	520	61	125	86	18	0	21	76	39	85	0	0	0.2404	0.2934	0.3962	250
"Yan,Gomes C  CLE"	User Abuser	475	56	125	74	29	2	20	67	24	110	0	0	0.2632	0.2986	0.4589	251
"Mike,Zunino C  SEA"	Free Agent	430	58	96	44	26	2	24	69	24	143	1	1	0.2233	0.2643	0.4605	271
"Wilson,Ramos C  WAS"	EVIL EMPIRE	430	42	118	81	18	0	19	65	23	70	0	0	0.2744	0.3113	0.4488	286
"Russell,Martin C  TOR"	Disco Bush Horticulturists	420	50	110	71	24	0	15	58	57	91	2	3	0.2619	0.3501	0.4262	328
"Derek,Norris C  SD"	Orange-a-Tangs	445	48	116	77	24	1	14	56	61	103	2	1	0.2607	0.3498	0.4135	346
"Stephen,Vogt 1B  OAK"	Sofa Kings	450	46	116	77	23	2	14	58	30	69	1	0	0.2578	0.3042	0.4111	362
"Yasmani,Grandal C  LAD"	Free Agent	340	44	82	45	20	0	17	51	53	89	2	1	0.2412	0.3435	0.4500	378
"Jason,Castro C  HOU"	Knobgobblers	420	51	102	62	24	2	14	53	36	127	1	1	0.2429	0.3026	0.4095	385
"Robinson,Chirinos C  TEX"	Free Agent	380	45	94	59	21	0	14	49	25	81	0	0	0.2474	0.2938	0.4132	412
"John,Jaso C  TB"	Old Dirty Bugg	340	45	88	56	20	2	10	42	39	69	3	1	0.2588	0.3351	0.4176	420
"Jarrod,Saltalamacchia C  MIA"	Whiteness	400	49	92	55	24	0	13	53	48	133	0	0	0.2300	0.3125	0.3875	424
"Francisco,Cervelli C  PIT"	Free Agent	335	48	86	59	21	1	5	55	25	72	1	0	0.2567	0.3083	0.3701	429
"Dioner,Navarro C  TOR"	Old Dirty Bugg	420	32	112	85	16	0	11	51	28	65	1	0	0.2667	0.3125	0.3833	431
"Rene,Rivera C  TB"	Free Agent	400	36	94	60	21	1	12	52	33	100	0	0	0.2350	0.2933	0.3825	464
"Christian,Bethancourt C  ATL"	Free Agent	450	41	114	93	15	1	5	40	16	94	6	4	0.2533	0.2790	0.3244	470
"Kurt,Suzuki C  MIN"	Floaters and Sinkers	440	35	117	86	27	0	4	54	33	49	0	0	0.2659	0.3171	0.3545	477
"A.J.,Ellis C  LAD"	Free Agent	380	39	94	70	15	1	8	48	55	78	0	0	0.2474	0.3425	0.3553	479
"J.P.,Arencibia C  TEX"	Free Agent	341	37	69	39	14	0	16	49	15	106	0	1	0.2023	0.2360	0.3842	482
"Alex,Avila C  DET"	Want-a-be Ghetto All Stars	375	40	84	48	24	0	12	45	54	134	0	1	0.2240	0.3217	0.3840	496
"Christian,Vazquez C  BOS"	Free Agent	400	38	102	75	24	0	3	51	37	67	0	0	0.2550	0.3181	0.3375	508
"Josh,Phegley C  OAK"	Free Agent	270	28	68	42	14	1	11	34	11	49	1	1	0.2519	0.2811	0.4333	515
"Chris,Iannetta C  LAA"	Free Agent	335	39	76	47	20	0	9	40	50	96	1	1	0.2269	0.3273	0.3672	518
"Tyler,Flowers C  CHW"	Floaters and Sinkers	390	35	87	59	14	1	13	39	23	144	0	1	0.2231	0.2663	0.3641	527
"Carlos,Ruiz C  PHI"	Free Agent	355	37	92	61	26	0	5	33	36	58	2	1	0.2592	0.3274	0.3746	528
"Jordan,Pacheco C  ARI"	Free Agent	292	28	81	59	19	1	2	31	14	42	2	1	0.2774	0.3105	0.3699	569
"Pete,O'Brien C  ARI"	Free Agent	220	20	49	27	10	0	12	26	13	69	0	0	0.2227	0.2661	0.4318	622
"Michael,McKenry C  COL"	Free Agent	174	19	45	27	10	0	8	25	19	46	0	1	0.2586	0.3316	0.4540	624
"A.J.,Pierzynski C  ATL"	Titty`s Warriors	250	23	62	44	11	1	6	29	11	45	0	0	0.2480	0.2797	0.3720	631
"Geovany,Soto C  CHW"	Free Agent	189	24	41	25	9	0	7	24	19	52	1	1	0.2169	0.2885	0.3757	666
"Brayan,Pena 1B  CIN"	Free Agent	263	19	69	51	13	1	4	24	12	31	1	2	0.2624	0.2945	0.3650	677
"Caleb,Joseph C  BAL"	Free Agent	246	22	51	33	9	0	9	28	17	69	0	1	0.2073	0.2586	0.3537	690
"Nick,Hundley C  COL"	Free Agent	265	22	57	39	11	0	7	29	17	72	1	1	0.2151	0.2624	0.3358	695
"Welington,Castillo C  CHC"	User Abuser	210	19	50	33	11	0	6	25	17	57	0	0	0.2381	0.2952	0.3762	706
"Erik,Kratz C  KC"	Free Agent	149	16	34	19	7	0	8	22	11	34	0	0	0.2282	0.2812	0.4362	711
"James,McCann C  DET"	Free Agent	200	21	49	32	14	0	3	19	11	46	3	1	0.2450	0.2844	0.3600	724
"Josmil,Pinto C  MIN"	Free Agent	122	18	32	20	6	0	6	15	15	36	0	0	0.2623	0.3431	0.4590	730
"Jose,Lobaton C  WAS"	Free Agent	219	24	52	36	11	1	4	21	23	57	0	1	0.2374	0.3099	0.3516	740
"Andrew,Susac C  SF"	Free Agent	140	16	34	19	10	0	5	19	13	36	0	0	0.2429	0.3072	0.4214	770
"David,Ross C  CHC"	Free Agent	143	15	32	19	6	0	7	16	15	53	1	0	0.2238	0.2975	0.4126	773
"Hector,Sanchez C  SF"	Free Agent	170	13	42	30	9	0	3	27	7	45	0	0	0.2471	0.2768	0.3529	774
"Ryan,Hanigan C  BOS"	Free Agent	255	20	60	47	10	0	3	26	35	34	0	0	0.2353	0.3276	0.3098	777
"Carlos,Corporan C  TEX"	Free Agent	146	14	35	25	4	0	6	17	9	39	0	0	0.2397	0.2839	0.3904	780
"Martin,Maldonado C  MIL"	Free Agent	176	16	39	27	7	0	5	23	14	47	0	0	0.2216	0.2789	0.3466	786
