All First Basemen  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Miguel,Cabrera 1B  DET"	Knobgobblers	595	104	190	109	46	1	34	122	68	103	1	1	0.3193	0.3891	0.5714	3
"Paul,Goldschmidt 1B  ARI"	Want-a-be Ghetto All Stars	595	104	176	93	48	2	33	111	95	153	12	4	0.2958	0.3928	0.5496	5
"Jose,Bautista RF  TOR"	Shits & Giggles	560	105	154	92	25	0	37	100	93	102	5	2	0.2750	0.3783	0.5179	12
"Anthony,Rizzo 1B  CHC"	Disco Bush Horticulturists	600	98	173	100	34	2	37	96	80	128	3	2	0.2883	0.3721	0.5367	13
"Jose,Abreu 1B  CHW"	Knobgobblers	610	97	181	108	40	2	31	99	64	122	2	1	0.2967	0.3635	0.5213	17
"Adrian,Gonzalez 1B  LAD"	Floaters and Sinkers	595	95	177	113	39	0	25	108	57	108	1	0	0.2975	0.3589	0.4891	24
"Edwin,Encarnacion 1B  TOR"	Sofa Kings	530	87	145	78	30	1	36	105	74	88	1	1	0.2736	0.3626	0.5377	26
"Todd,Frazier 3B  CIN"	User Abuser	590	90	163	105	30	3	25	83	52	134	16	7	0.2763	0.3349	0.4644	33
"Freddie,Freeman 1B  ATL"	Shits & Giggles	615	98	178	109	41	3	25	95	77	131	1	1	0.2894	0.3685	0.4878	37
"Victor,Martinez 1B  DET"	Orange-a-Tangs	560	81	177	119	35	0	23	98	56	50	1	1	0.3161	0.3782	0.5018	38
"Albert,Pujols 1B  LAA"	Old Dirty Bugg	620	86	169	108	35	0	26	100	61	73	3	1	0.2726	0.3377	0.4548	54
"Joey,Votto 1B  CIN"	Want-a-be Ghetto All Stars	550	93	160	104	32	1	23	82	114	125	4	2	0.2909	0.4127	0.4782	57
"David,Ortiz DH  BOS"	Shits & Giggles	520	77	147	84	32	0	31	94	70	98	0	0	0.2827	0.3678	0.5231	58
"Prince,Fielder 1B  TEX"	Floaters and Sinkers	550	84	155	96	30	1	28	91	73	87	0	0	0.2818	0.3660	0.4927	62
"Chris,Carter DH  HOU"	Titty`s Warriors	560	77	130	64	25	1	40	92	64	193	4	2	0.2321	0.3109	0.4946	66
"Ryan,Zimmerman LF  WAS"	Whiteness	560	82	158	96	39	2	21	88	55	104	4	2	0.2821	0.3463	0.4714	78
"Adam,LaRoche 1B  CHW"	Orange-a-Tangs	550	76	141	89	22	2	28	95	85	128	3	1	0.2564	0.3559	0.4564	84
"Lucas,Duda 1B  NYM"	Old Dirty Bugg	500	79	125	67	26	0	32	87	75	135	1	1	0.2500	0.3478	0.4940	91
"Michael,Cuddyer RF  NYM"	Orange-a-Tangs	530	75	153	100	31	2	20	77	42	91	8	2	0.2887	0.3409	0.4679	94
"Carlos,Santana 1B  CLE"	Knobgobblers	550	78	137	76	32	1	28	87	102	122	4	3	0.2491	0.3666	0.4636	103
"Chris,Davis 1B  BAL"	Orange-a-Tangs	560	79	126	65	26	0	35	88	71	200	2	2	0.2250	0.3122	0.4589	107
"Matt,Adams 1B  STL"	Free Agent	580	64	161	103	30	2	26	87	32	132	2	1	0.2776	0.3154	0.4707	108
"Buster,Posey C  SF"	Free Agent	535	70	162	108	33	1	20	82	54	70	0	1	0.3028	0.3667	0.4804	110
"Mark,Trumbo 1B  ARI"	Shits & Giggles	580	78	133	73	29	2	29	92	46	166	2	2	0.2293	0.2859	0.4362	127
"Brandon,Moss LF  CLE"	Free Agent	475	68	118	60	25	2	31	84	59	148	0	0	0.2484	0.3315	0.5053	128
"Brandon,Belt 1B  SF"	Titty`s Warriors	500	75	129	73	30	3	23	74	45	135	6	3	0.2580	0.3193	0.4680	134
"Justin,Morneau 1B  COL"	EVIL EMPIRE	550	65	165	110	35	2	18	81	40	71	0	0	0.3000	0.3475	0.4691	136
"Steve,Pearce 1B  BAL"	Sofa Kings	480	67	129	73	30	0	26	71	53	112	3	1	0.2687	0.3415	0.4938	142
"Eric,Hosmer 1B  KC"	Floaters and Sinkers	600	75	163	106	39	2	16	77	47	103	6	3	0.2717	0.3246	0.4233	147
"Kennys,Vargas DH  MIN"	EVIL EMPIRE	600	74	155	106	25	1	23	80	47	154	0	0	0.2583	0.3122	0.4183	156
"Pedro,Alvarez 3B  PIT"	User Abuser	530	65	124	75	20	1	28	81	57	161	5	2	0.2340	0.3083	0.4340	158
"Jonathan,Lucroy C  MIL"	Shits & Giggles	570	68	166	106	42	3	15	74	59	71	2	3	0.2912	0.3577	0.4544	162
"Chase,Headley 3B  NYY"	Old Dirty Bugg	510	72	135	84	31	2	18	62	62	131	10	4	0.2647	0.3444	0.4392	166
"Michael,Morse LF  MIA"	Whiteness	495	59	137	86	28	1	22	76	34	127	0	0	0.2768	0.3233	0.4707	173
"Mike,Napoli 1B  BOS"	User Abuser	470	65	117	68	24	1	24	72	75	157	1	1	0.2489	0.3523	0.4574	199
"Ryan,Howard 1B  PHI"	Disco Bush Horticulturists	550	71	130	83	25	1	21	86	57	183	0	0	0.2364	0.3081	0.4000	203
"Joe,Mauer 1B  MIN"	Whiteness	530	73	152	107	34	2	9	70	64	115	3	1	0.2868	0.3636	0.4094	204
"Kendrys,Morales 1B  KC"	Free Agent	590	60	154	102	32	0	20	77	47	113	0	0	0.2610	0.3155	0.4169	215
"Billy,Butler 1B  OAK"	Whiteness	580	64	165	121	33	0	11	75	47	104	0	0	0.2845	0.3381	0.3983	222
"James,Loney 1B  TB"	Titty`s Warriors	580	55	167	128	29	0	10	70	41	73	4	1	0.2879	0.3349	0.3897	237
"Logan,Morrison 1B  SEA"	Free Agent	500	61	136	88	33	0	15	64	44	83	3	1	0.2720	0.3309	0.4280	242
"Ryan,Rua LF  TEX"	Free Agent	490	61	135	93	28	2	12	66	31	92	4	3	0.2755	0.3186	0.4143	248
"Adam,Lind 1B  MIL"	Free Agent	440	60	126	76	33	2	15	62	42	80	0	0	0.2864	0.3485	0.4727	249
"Brian,McCann C  NYY"	EVIL EMPIRE	520	61	125	86	18	0	21	76	39	85	0	0	0.2404	0.2934	0.3962	250
"Nick,Swisher 1B  CLE"	Free Agent	530	68	126	80	26	0	20	72	56	139	0	0	0.2377	0.3106	0.4000	255
"Allen,Craig RF  BOS"	Free Agent	480	58	127	84	26	1	16	71	36	102	1	1	0.2646	0.3159	0.4229	256
"Yonder,Alonso 1B  SD"	Free Agent	500	56	137	91	33	0	13	59	42	71	7	2	0.2740	0.3303	0.4180	260
"Mitch,Moreland 1B  TEX"	Free Agent	430	55	111	68	22	0	21	58	36	108	0	0	0.2581	0.3155	0.4558	278
"Garrett,Jones 1B  NYY"	Free Agent	458	56	115	65	29	2	19	63	37	107	1	0	0.2511	0.3071	0.4476	285
"Lonnie,Chisenhall 3B  CLE"	Free Agent	440	56	120	79	26	1	14	54	29	88	1	1	0.2727	0.3177	0.4318	315
"Ike,Davis 1B  OAK"	Free Agent	450	55	109	67	25	0	17	68	70	105	0	2	0.2422	0.3442	0.4111	319
"Mark,Teixeira 1B  NYY"	Titty`s Warriors	460	61	100	59	22	0	19	68	61	105	0	1	0.2174	0.3090	0.3891	335
"Stephen,Vogt 1B  OAK"	Sofa Kings	450	46	116	77	23	2	14	58	30	69	1	0	0.2578	0.3042	0.4111	362
"Yasmani,Grandal C  LAD"	Free Agent	340	44	82	45	20	0	17	51	53	89	2	1	0.2412	0.3435	0.4500	378
"Daniel,Nava RF  BOS"	Free Agent	363	52	101	70	24	0	7	45	40	79	2	1	0.2782	0.3499	0.4022	390
"Kelly,Johnson 3B  ATL"	Free Agent	379	44	86	56	15	2	13	45	42	110	8	3	0.2269	0.3040	0.3799	407
"Brock,Holt RF  BOS"	User Abuser	380	54	108	83	18	4	3	21	27	54	10	3	0.2842	0.3317	0.3763	419
"Francisco,Cervelli C  PIT"	Free Agent	335	48	86	59	21	1	5	55	25	72	1	0	0.2567	0.3083	0.3701	429
"Alberto,Callaspo 2B  ATL"	Free Agent	438	48	107	81	18	0	8	50	50	52	1	2	0.2443	0.3217	0.3402	448
"Jon,Singleton 1B  HOU"	Free Agent	320	44	65	36	16	0	13	48	50	114	2	4	0.2031	0.3108	0.3750	461
"Justin,Smoak 1B  TOR"	Free Agent	395	43	87	57	15	0	15	44	46	99	0	0	0.2203	0.3016	0.3722	465
"J.P.,Arencibia C  TEX"	Free Agent	341	37	69	39	14	0	16	49	15	106	0	1	0.2023	0.2360	0.3842	482
"Maikel,Franco 3B  PHI"	User Abuser	350	35	87	56	20	2	9	43	18	58	1	1	0.2486	0.2853	0.3943	491
"John,Mayberry LF  NYM"	Free Agent	313	38	73	43	19	0	11	36	27	79	2	1	0.2332	0.2941	0.3994	497
"Juan,Francisco 3B  TB"	Free Agent	276	31	62	34	13	1	14	41	23	108	0	2	0.2246	0.2843	0.4312	502
"C.J.,Cron 1B  LAA"	Free Agent	242	28	62	38	12	1	11	37	10	61	0	0	0.2562	0.2857	0.4504	507
"Darin,Ruf 1B  PHI"	Free Agent	275	38	62	31	20	0	11	30	27	95	0	0	0.2255	0.2947	0.4182	533
"Mark,Reynolds 1B  STL"	Free Agent	214	28	46	27	8	0	11	30	28	73	2	1	0.2150	0.3058	0.4065	556
"Sean,Rodriguez 2B  PIT"	Free Agent	244	29	54	32	12	2	8	32	18	67	3	1	0.2213	0.2748	0.3852	567
"Jordan,Pacheco C  ARI"	Free Agent	292	28	81	59	19	1	2	31	14	42	2	1	0.2774	0.3105	0.3699	569
"Jesus,Guzman 1B  HOU"	Free Agent	247	25	56	35	13	1	7	31	25	67	3	1	0.2267	0.2978	0.3725	592
"Jeff,Baker 1B  MIA"	Free Agent	183	22	48	30	10	2	6	25	14	49	2	0	0.2623	0.3147	0.4372	597
"Willie,Bloomquist SS  SEA"	Free Agent	199	26	60	47	11	2	0	17	8	33	3	4	0.3015	0.3285	0.3769	632
"Scott,Van Slyke RF  LAD"	Orange-a-Tangs	132	16	35	20	8	0	7	18	17	41	2	1	0.2652	0.3490	0.4848	653
"Mike,Carp 1B  WAS"	Free Agent	169	21	41	25	10	1	5	25	20	48	1	0	0.2426	0.3228	0.4024	664
"Chris,Parmelee RF  MIN"	Free Agent	245	22	59	40	11	1	7	24	21	66	0	1	0.2408	0.3008	0.3796	668
"Tommy,Medica 1B  SD"	Free Agent	154	20	37	24	6	1	6	18	12	49	3	0	0.2403	0.2952	0.4091	670
"Joaquin,Arias 3B  SF"	Free Agent	246	22	65	51	10	2	2	23	8	33	2	0	0.2642	0.2874	0.3455	675
"Brayan,Pena 1B  CIN"	Free Agent	263	19	69	51	13	1	4	24	12	31	1	2	0.2624	0.2945	0.3650	677
"Danny,Valencia 3B  TOR"	Free Agent	193	18	49	31	12	1	5	25	8	44	0	1	0.2539	0.2836	0.4041	692
"Ed,Lucas 2B  TEX"	Free Agent	265	31	67	55	10	0	2	18	17	63	1	0	0.2528	0.2979	0.3132	697
"Brett,Wallace 1B  SD"	Free Agent	164	20	39	23	8	1	7	20	12	59	0	0	0.2378	0.2898	0.4268	700
"Kevin,Frandsen LF  WAS"	Free Agent	222	23	60	47	9	1	3	19	9	24	0	0	0.2703	0.2987	0.3604	704
"Tyler,Moore 1B  WAS"	Free Agent	138	15	33	20	7	0	6	21	10	44	1	0	0.2391	0.2905	0.4203	728
"Eric,Campbell LF  NYM"	Free Agent	190	16	50	38	9	0	3	16	17	55	3	0	0.2632	0.3237	0.3579	742
"Chris,Colabello 1B  TOR"	Free Agent	182	16	38	24	8	0	6	28	17	62	0	2	0.2088	0.2764	0.3516	760
"Donnie,Murphy 2B  TEX"	Free Agent	126	16	29	16	6	1	6	16	9	40	1	1	0.2302	0.2815	0.4365	765
"Christian,Walker 1B  BAL"	Free Agent	200	15	48	30	12	0	6	17	17	59	0	0	0.2400	0.2995	0.3900	790
"Don,Kelly 3B  DET"	Free Agent	164	24	36	29	4	1	2	12	20	26	3	0	0.2195	0.3043	0.2927	815
"Nate,Freiman 1B  OAK"	Free Agent	138	11	34	24	6	0	4	20	10	27	0	0	0.2464	0.2973	0.3768	818
"Adam,Rosales 1B  TEX"	Free Agent	137	16	32	22	6	0	4	13	11	33	1	1	0.2336	0.2905	0.3650	827
"Wilson,Betemit 1B  TB"	Free Agent	117	14	29	19	6	0	4	13	10	35	0	0	0.2479	0.3071	0.4017	839
"Brendan,Ryan SS  NYY"	Free Agent	280	26	54	39	12	1	2	20	24	67	5	3	0.1929	0.2566	0.2643	845
"Ben,Paulsen 1B  COL"	Free Agent	63	8	20	12	4	0	4	10	2	19	0	0	0.3175	0.3385	0.5714	851
"Kyle,Blanks 1B  TEX"	Free Agent	113	14	28	20	5	0	3	14	10	34	0	0	0.2478	0.3089	0.3717	860
"Marc,Krauss 1B  LAA"	Free Agent	160	14	33	20	8	0	5	17	16	50	1	0	0.2062	0.2784	0.3500	865
"Travis,Ishikawa 1B  SF"	Free Agent	93	9	22	14	5	1	2	16	8	29	0	0	0.2366	0.2970	0.3763	928
"Justin,Bour 1B  MIA"	Free Agent	74	10	21	17	3	0	1	11	9	19	0	0	0.2838	0.3614	0.3649	934
"Jake,Goebbert 1B  SD"	Free Agent	101	12	22	17	1	3	1	10	12	32	2	1	0.2178	0.3009	0.3168	974
"Mike,Olt 3B  CHC"	Free Agent	86	8	14	7	3	0	4	13	10	38	0	1	0.1628	0.2500	0.3372	1025
"Josh,Satin 1B  CIN"	Free Agent	75	8	19	12	6	0	1	7	12	24	0	0	0.2533	0.3563	0.3733	1052
"Matt,Clark 1B  MIL"	Free Agent	27	4	5	2	0	0	3	7	2	8	0	0	0.1852	0.2414	0.5185	1059
"Sean,Halton 1B  MIL"	Free Agent	50	4	12	8	2	0	2	8	2	16	0	0	0.2400	0.2692	0.4000	1068
"Mauro,Gomez 1B  WAS"	Free Agent	34	5	10	6	2	1	1	6	3	9	0	0	0.2941	0.3514	0.5000	1070
"Matt,Downs 1B  MIA"	Free Agent	59	5	12	8	1	0	3	5	3	13	1	1	0.2034	0.2419	0.3729	1075
"Brett,Pill 1B  SF"	Free Agent	63	7	13	9	2	0	2	8	4	12	0	0	0.2063	0.2537	0.3333	1077
"Nick,Evans 1B  ARI"	Free Agent	22	2	6	2	2	0	2	7	1	10	0	0	0.2727	0.3043	0.6364	1089
"Efren,Navarro LF  LAA"	Free Agent	82	8	19	14	5	0	0	8	8	14	1	2	0.2317	0.3000	0.2927	1092
"Daric,Barton 1B  TOR"	Free Agent	91	10	19	15	3	0	1	9	13	21	0	0	0.2088	0.3077	0.2747	1094
"David,Cooper 1B  CLE"	Free Agent	47	5	14	9	4	0	1	4	1	7	0	0	0.2979	0.3125	0.4468	1096
"Ryan,Wheeler 3B  LAA"	Free Agent	69	6	15	11	3	0	1	10	5	15	0	0	0.2174	0.2703	0.3043	1109
"Adam,Duvall 1B  SF"	Free Agent	73	8	14	9	2	0	3	5	3	20	0	0	0.1918	0.2237	0.3425	1122
"Chris,Gimenez C  TEX"	Free Agent	73	8	18	13	5	0	0	7	7	18	0	0	0.2466	0.3125	0.3151	1127
"Ian,Stewart 3B  WAS"	Free Agent	82	8	16	10	2	2	2	8	8	26	0	1	0.1951	0.2667	0.3415	1134
"Chris,Valaika 1B  CHC"	Free Agent	62	5	14	10	3	0	1	7	3	17	0	0	0.2258	0.2615	0.3226	1171
"Dan,Johnson 1B  HOU"	Free Agent	22	5	5	3	1	0	1	4	5	5	0	0	0.2273	0.3704	0.4091	1182
"Matt,McBride LF  COL"	Free Agent	36	5	7	5	1	0	1	6	1	10	0	0	0.1944	0.2162	0.3056	1200
