All Outfielders  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Mike,Trout CF  LAA"	Disco Bush Horticulturists	600	122	184	95	43	8	38	116	90	162	14	1	0.3067	0.3971	0.5950	2
"Giancarlo,Stanton RF  MIA"	Floaters and Sinkers	600	97	170	89	36	2	43	109	96	182	9	2	0.2833	0.3822	0.5650	6
"Andrew,McCutchen CF  PIT"	Disco Bush Horticulturists	575	94	179	106	40	6	27	90	82	115	20	6	0.3113	0.3973	0.5426	8
"Jose,Bautista RF  TOR"	Shits & Giggles	560	105	154	92	25	0	37	100	93	102	5	2	0.2750	0.3783	0.5179	12
"Carlos,Gomez CF  MIL"	Sofa Kings	575	91	158	96	32	5	25	75	43	147	30	10	0.2748	0.3252	0.4783	16
"Adam,Jones CF  BAL"	Whiteness	655	96	184	119	33	2	30	98	29	131	8	2	0.2809	0.3114	0.4748	19
"Matt,Kemp CF  SD"	EVIL EMPIRE	560	91	166	99	34	3	30	98	55	144	5	4	0.2964	0.3593	0.5286	20
"George,Springer RF  HOU"	Old Dirty Bugg	550	86	135	76	22	2	35	93	76	190	20	7	0.2455	0.3371	0.4836	21
"Jacoby,Ellsbury CF  NYY"	Knobgobblers	585	80	167	113	30	6	18	78	48	96	33	7	0.2855	0.3397	0.4496	23
"Michael,Brantley LF  CLE"	Sofa Kings	600	88	183	126	40	3	14	89	53	58	20	4	0.3050	0.3614	0.4517	27
"Corey,Dickerson LF  COL"	Old Dirty Bugg	535	92	160	89	35	8	28	90	44	109	5	5	0.2991	0.3523	0.5514	28
"Yasiel,Puig RF  LAD"	Knobgobblers	585	97	175	108	35	8	24	80	73	124	9	6	0.2991	0.3769	0.5094	32
"Bryce,Harper LF  WAS"	Orange-a-Tangs	520	93	148	86	30	6	26	75	56	124	12	4	0.2846	0.3542	0.5154	39
"Billy,Hamilton CF  CIN"	EVIL EMPIRE	540	69	141	105	23	6	7	46	35	108	62	21	0.2611	0.3061	0.3648	41
"Ryan,Braun RF  MIL"	Disco Bush Horticulturists	580	83	159	94	35	5	25	96	54	129	9	5	0.2741	0.3360	0.4810	43
"Justin,Upton RF  SD"	Free Agent	575	89	152	90	32	2	28	96	66	164	6	4	0.2643	0.3401	0.4730	45
"Starling,Marte CF  PIT"	Whiteness	530	85	154	97	34	7	16	63	31	129	26	8	0.2906	0.3298	0.4717	50
"Nelson,Cruz RF  SEA"	Orange-a-Tangs	570	80	149	87	30	1	31	101	48	139	2	3	0.2614	0.3188	0.4807	60
