All Second Basemen  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Jose,Altuve 2B  HOU"	Old Dirty Bugg	650	91	207	150	44	4	9	64	33	59	51	8	0.3185	0.3514	0.4400	7
"Anthony,Rendon 3B  WAS"	Whiteness	605	105	171	107	42	4	18	87	66	106	15	4	0.2826	0.3532	0.4545	31
"Robinson,Cano 2B  SEA"	Whiteness	605	84	189	130	40	1	18	90	61	73	8	2	0.3124	0.3754	0.4711	40
"Brian,Dozier 2B  MIN"	Sofa Kings	610	102	151	93	31	2	25	73	81	130	18	5	0.2475	0.3357	0.4279	51
"Dee,Gordon 2B  MIA"	Sofa Kings	580	86	160	126	23	9	2	30	36	107	57	17	0.2759	0.3182	0.3569	56
"Ian,Kinsler 2B  DET"	Want-a-be Ghetto All Stars	670	95	179	122	38	4	15	81	34	79	13	5	0.2672	0.3026	0.4030	77
"Jason,Kipnis 2B  CLE"	Orange-a-Tangs	575	82	145	100	29	3	13	69	63	120	28	5	0.2522	0.3260	0.3809	92
"Howie,Kendrick 2B  LAD"	Shits & Giggles	575	78	170	121	33	4	12	72	30	106	13	6	0.2957	0.3306	0.4296	102
""Mookie,Betts CF  BOS""	EVIL EMPIRE	570	88	161	109	34	5	13	51	66	98	20	8	0.2825	0.3569	0.4281	104
"Kolten,Wong 2B  STL"	Orange-a-Tangs	500	70	130	89	22	3	16	61	32	83	25	6	0.2600	0.3045	0.4120	117
"Neil,Walker 2B  PIT"	Floaters and Sinkers	530	79	149	98	27	3	21	75	49	93	1	2	0.2811	0.3420	0.4623	126
"Josh,Harrison 3B  PIT"	Old Dirty Bugg	570	79	164	112	36	5	11	49	23	81	20	9	0.2877	0.3153	0.4263	129
"Daniel,Murphy 2B  NYM"	Titty`s Warriors	650	86	185	133	39	3	10	63	40	96	10	4	0.2846	0.3261	0.4000	140
"Dustin,Pedroia 2B  BOS"	EVIL EMPIRE	600	80	170	121	37	1	11	67	58	75	5	3	0.2833	0.3465	0.4033	169
"Ben,Zobrist 2B  OAK"	Orange-a-Tangs	600	74	164	115	34	3	12	66	71	92	8	4	0.2733	0.3502	0.4000	184
"Javier,Baez SS  CHC"	Titty`s Warriors	630	69	130	75	28	1	26	76	42	233	14	5	0.2063	0.2560	0.3778	188
"Marcus,Semien 3B  OAK"	Free Agent	460	66	114	71	23	4	16	69	45	118	12	4	0.2478	0.3149	0.4196	191
"Asdrubal,Cabrera SS  TB"	Want-a-be Ghetto All Stars	560	76	141	92	33	2	14	65	45	108	11	4	0.2518	0.3074	0.3929	194
"Chase,Utley 2B  PHI"	Titty`s Warriors	550	70	143	94	32	4	13	70	50	85	8	2	0.2600	0.3217	0.4036	206
"Brandon,Phillips 2B  CIN"	Want-a-be Ghetto All Stars	600	70	159	115	29	1	14	75	32	100	2	2	0.2650	0.3022	0.3867	211
"Scooter,Gennett 2B  MIL"	Knobgobblers	450	67	135	88	35	2	10	58	21	66	5	2	0.3000	0.3312	0.4533	214
"Rougned,Odor 2B  TEX"	Free Agent	505	56	135	88	28	4	15	70	24	87	7	5	0.2673	0.3006	0.4277	220
"Martin,Prado 3B  MIA"	Shits & Giggles	580	68	159	111	32	3	13	66	35	95	3	2	0.2741	0.3154	0.4069	225
"Aaron,Hill 2B  ARI"	User Abuser	530	70	136	89	28	3	16	69	37	91	3	2	0.2566	0.3051	0.4113	226
