All Shortstops  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Troy,Tulowitzki SS  COL " Knobgobblers	490	88	153	92	31	2	28	93	72	86	2	1	0.3122	0.4004	0.5551	29
"Jose,Reyes SS  TOR" Shits & Giggles	630	98	182	135	33	3	11	54	51	72	34	6	0.2889	0.3421	0.4032	36
"Ian,Desmond SS  WAS " User Abuser	590	74	153	96	29	3	25	86	43	174	22	6	0.2593	0.3096	0.4458	46
"Hanley,Ramirez SS  BOS " Free Agent	495	74	147	86	41	1	19	76	57	97	16	6	0.2970	0.3696	0.4990	65
"Elvis,Andrus SS  TEX" User Abuser	610	83	166	124	36	3	3	55	49	92	37	11	0.2721	0.3263	0.3557	97
"Alexei,Ramirez SS  CHW" Old Dirty Bugg	615	78	166	117	34	2	13	70	23	82	18	6	0.2699	0.2962	0.3951	118
"Danny,Santana CF  MIN " EVIL EMPIRE	620	94	163	116	33	9	5	53	32	155	28	9	0.2629	0.2991	0.3694	123
"Josh,Harrison 3B  PIT" Old Dirty Bugg	570	79	164	112	36	5	11	49	23	81	20	9	0.2877	0.3153	0.4263	129
"Jimmy,Rollins SS  LAD" Whiteness	605	79	146	103	26	3	14	57	64	108	23	7	0.2413	0.3139	0.3636	159
"Alcides,Escobar SS  KC" Knobgobblers	600	72	162	127	26	5	4	52	26	86	27	5	0.2700	0.3003	0.3500	171
"Jean,Segura SS  MIL" Free Agent	530	68	151	118	19	7	7	38	29	74	25	11	0.2849	0.3220	0.3868	178
"Ben,Zobrist 2B  OAK " Orange-a-Tangs	600	74	164	115	34	3	12	66	71	92	8	4	0.2733	0.3502	0.4000	184
"Javier,Baez SS  CHC " Titty`s Warriors	630	69	130	75	28	1	26	76	42	233	14	5	0.2063	0.2560	0.3778	188
"Asdrubal,Cabrera SS  TB" Want-a-be Ghetto All Stars	560	76	141	92	33	2	14	65	45	108	11	4	0.2518	0.3074	0.3929	194
"Starlin,Castro SS  CHC" Free Agent	630	76	168	115	36	2	15	71	41	115	2	2	0.2667	0.3115	0.4016	195
"Erick,Aybar SS  LAA" Free Agent	570	73	158	115	33	4	6	57	27	64	13	7	0.2772	0.3099	0.3807	210
"Jed,Lowrie SS  HOU" Sofa Kings	540	70	152	98	40	2	12	66	57	86	0	0	0.2815	0.3501	0.4296	231
"Jhonny,Peralta SS  STL" Free Agent	550	58	143	94	33	0	16	76	50	110	2	2	0.2600	0.3217	0.4073	243
"Xander,Bogaerts SS  BOS " Floaters and Sinkers	570	68	144	93	33	2	16	67	45	136	2	2	0.2526	0.3073	0.4018	259
"Brad,Miller SS  SEA " Free Agent	510	65	133	86	24	7	16	60	45	109	3	2	0.2608	0.3207	0.4294	261
"Chris,Owings SS  ARI " Free Agent	515	59	137	93	27	6	11	49	24	107	14	3	0.2660	0.2987	0.4058	264
"Josh,Rutledge SS  LAA " Free Agent	540	70	134	92	28	4	10	58	29	135	12	4	0.2481	0.2865	0.3704	265
"J.J.,Hardy SS  BAL " Titty`s Warriors	580	62	150	103	29	0	18	63	32	97	0	0	0.2586	0.2974	0.4017	273
"Wilmer,Flores SS  NYM " Knobgobblers	490	59	132	88	27	3	14	66	24	65	1	2	0.2694	0.3035	0.4224	274
"Jose,Ramirez SS  CLE " Free Agent	450	58	126	99	20	3	4	39	30	60	21	9	0.2800	0.3250	0.3644	275
"Yangervis,Solarte 3B  SD" Free Agent	550	74	149	111	26	1	11	46	55	66	0	0	0.2709	0.3372	0.3818	312
"Andrelton,Simmons SS  ATL" Disco Bush Horticulturists	570	53	157	118	23	5	11	54	35	60	3	3	0.2754	0.3174	0.3912	326
"Jordy,Mercer SS  PIT " Free Agent	450	53	120	80	28	1	11	52	31	80	5	2	0.2667	0.3139	0.4067	338
"Didi,Gregorius SS  NYY " Free Agent	485	64	120	80	23	5	12	45	41	85	5	2	0.2474	0.3061	0.3897	350
"Mike,Aviles 3B  CLE" Free Agent	406	50	101	72	20	0	9	48	17	56	12	5	0.2488	0.2790	0.3645	353
"Adeiny,Hechavarria SS  MIA " Free Agent	570	60	154	116	25	10	3	44	29	90	10	6	0.2702	0.3055	0.3649	358
"Alexi,Amarista SS  SD" Free Agent	570	55	137	109	20	3	5	55	38	95	15	6	0.2404	0.2878	0.3123	361
"Brandon,Crawford SS  SF " Free Agent	510	52	125	82	26	5	12	57	50	124	2	3	0.2451	0.3125	0.3863	382
"Jose,Iglesias SS  DET " Free Agent	500	48	135	107	21	3	4	38	24	76	10	3	0.2700	0.3034	0.3480	401
