All Third Basemen  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Miguel,Cabrera 1B  DET "	Knobgobblers	595	104	190	109	46	1	34	122	68	103	1	1	0.3193	0.3891	0.5714	3
"Josh,Donaldson 3B  TOR "	Knobgobblers	615	96	167	95	35	2	35	103	78	126	7	2	0.2715	0.3535	0.5057	15
"Anthony,Rendon 3B  WAS"	Whiteness	605	105	171	107	42	4	18	87	66	106	15	4	0.2826	0.3532	0.4545	31
"Todd,Frazier 3B  CIN "	User Abuser	590	90	163	105	30	3	25	83	52	134	16	7	0.2763	0.3349	0.4644	33
"Adrian,Beltre 3B  TEX"	Shits & Giggles	560	83	174	119	29	0	26	84	49	78	1	0	0.3107	0.3662	0.5018	44
"Nolan,Arenado 3B  COL"	Old Dirty Bugg	580	82	177	101	46	4	26	85	35	74	2	1	0.3052	0.3447	0.5328	48
"Ryan,Zimmerman LF  WAS"	Whiteness	560	82	158	96	39	2	21	88	55	104	4	2	0.2821	0.3463	0.4714	78
"Evan,Longoria 3B  TB"	Whiteness	615	86	161	103	31	2	25	90	61	140	2	2	0.2618	0.3284	0.4407	87
"Carlos,Santana 1B  CLE"	Knobgobblers	550	78	137	76	32	1	28	87	102	122	4	3	0.2491	0.3666	0.4636	103
"Chris,Davis 1B  BAL "	Orange-a-Tangs	560	79	126	65	26	0	35	88	71	200	2	2	0.2250	0.3122	0.4589	107
"Kyle,Seager 3B  SEA"	Free Agent	585	75	155	99	31	2	23	88	56	113	4	4	0.2650	0.3292	0.4427	109
"David,Wright 3B  NYM "	Want-a-be Ghetto All Stars	565	76	161	108	34	2	17	78	52	115	6	4	0.2850	0.3452	0.4425	119
"Manny,Machado 3B  BAL "	Floaters and Sinkers	590	75	171	115	32	2	22	68	35	104	3	2	0.2898	0.3296	0.4627	120
"Josh,Harrison 3B  PIT"	Old Dirty Bugg	570	79	164	112	36	5	11	49	23	81	20	9	0.2877	0.3153	0.4263	129
"Daniel,Murphy 2B  NYM"	Titty`s Warriors	650	86	185	133	39	3	10	63	40	96	10	4	0.2846	0.3261	0.4000	140
"Matt,Carpenter 3B  STL "	EVIL EMPIRE	620	102	174	119	42	4	9	67	84	109	3	2	0.2806	0.3665	0.4048	146
"Pedro,Alvarez 3B  PIT "	User Abuser	530	65	124	75	20	1	28	81	57	161	5	2	0.2340	0.3083	0.4340	158
"Chase,Headley 3B  NYY "	Old Dirty Bugg	510	72	135	84	31	2	18	62	62	131	10	4	0.2647	0.3444	0.4392	166
"Marcus,Semien 3B  OAK"	Free Agent	460	66	114	71	23	4	16	69	45	118	12	4	0.2478	0.3149	0.4196	191
"Aramis,Ramirez 3B  MIL"	Old Dirty Bugg	520	59	147	102	27	1	17	72	33	83	2	1	0.2827	0.3255	0.4365	197
"Trevor,Plouffe 3B  MIN "	Free Agent	535	71	139	84	35	2	18	73	56	107	2	1	0.2598	0.3299	0.4336	198
"Martin,Prado 3B  MIA"	Shits & Giggles	580	68	159	111	32	3	13	66	35	95	3	2	0.2741	0.3154	0.4069	225
"Aaron,Hill 2B  ARI "	User Abuser	530	70	136	89	28	3	16	69	37	91	3	2	0.2566	0.3051	0.4113	226
"Pablo,Sandoval 3B  BOS "	Titty`s Warriors	545	57	150	107	25	2	16	69	44	79	0	0	0.2752	0.3294	0.4165	247
"Xander,Bogaerts SS  BOS "	Floaters and Sinkers	570	68	144	93	33	2	16	67	45	136	2	2	0.2526	0.3073	0.4018	259
"Josh,Rutledge SS  LAA "	Free Agent	540	70	134	92	28	4	10	58	29	135	12	4	0.2481	0.2865	0.3704	265
