All Catchers 2015  Season MLB Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
Rocky ...,Buster Posey C | SF ,557,74,177,130,28,0,19,95,56,52,2,0,0.318,0.379,0.470,47
Lebald...,Brian McCann C | NYY ,465,68,108,66,15,1,26,94,52,97,0,0,0.232,0.320,0.437,107
Disco ...,Russell Martin C | TOR ,441,76,106,58,23,2,23,77,53,106,4,5,0.240,0.329,0.458,109
Shits ...,Salvador Perez C | KC ,531,52,138,92,25,0,21,70,13,82,1,0,0.260,0.280,0.426,172
Floate...,Stephen Vogt C | OAK ,445,58,116,74,21,3,18,71,56,97,0,2,0.261,0.341,0.443,176
Orange...,Derek Norris C | SD ,515,65,129,80,33,2,14,62,35,131,4,1,0.251,0.305,0.404,201
Rocky ...,Nick Hundley C | COL ,366,45,110,74,21,5,10,43,21,76,5,6,0.300,0.339,0.467,248
Floate...,Kyle Schwarber LF | CHC ,232,52,57,34,6,1,16,43,36,77,3,3,0.246,0.355,0.487,266
SA's J...,Francisco Cervelli C | PIT ,451,56,133,104,17,5,7,43,46,94,1,1,0.295,0.370,0.401,267
W ,J.T. Realmuto C | MIA ,441,49,114,76,21,7,10,47,19,70,8,4,0.259,0.290,0.406,272
Shits ...,Welington Castillo C | ARI ,342,42,81,46,15,1,19,57,25,92,0,0,0.237,0.296,0.453,275
Crime ...,A.J. Pierzynski C | ATL ,407,38,122,88,24,1,9,49,19,37,0,2,0.300,0.339,0.430,291
Disco ...,Wilson Ramos C | WAS ,475,41,109,78,16,0,15,68,21,101,0,0,0.230,0.258,0.358,310
Old Di...,Miguel Montero C | CHC ,347,36,86,60,11,0,15,53,49,103,1,1,0.248,0.345,0.409,317
Sofa K...,Yasmani Grandal C | LAD ,355,43,83,55,12,0,16,47,65,92,0,1,0.234,0.353,0.403,331
W ,Jonathan Lucroy C | MIL ,371,51,98,68,20,3,7,43,36,64,1,0,0.264,0.326,0.391,339
Old Di...,Yadier Molina C | STL ,488,34,132,103,23,2,4,61,32,59,3,1,0.271,0.310,0.350,340
W ,Blake Swihart C | BOS ,288,47,79,56,17,1,5,31,18,77,4,2,0.274,0.319,0.392,365
Lebald...,Travis d'Arnaud C | NYM ,239,31,64,37,14,1,12,41,23,49,0,0,0.268,0.340,0.485,368
W ,Caleb Joseph C | BAL ,320,38,75,47,16,1,11,49,27,72,0,0,0.234,0.299,0.394,377
Rocky ...,Yan Gomes C | CLE ,363,38,84,50,22,0,12,45,13,104,0,0,0.231,0.267,0.391,392
W ,James McCann C | DET,401,32,106,76,18,5,7,41,16,90,0,1,0.264,0.297,0.387,417
W ,Kurt Suzuki C | MIN ,433,36,104,82,17,0,5,50,29,59,0,0,0.240,0.296,0.314,444
W ,Robinson Chirinos C | TEX ,233,33,54,27,16,1,10,34,28,62,0,0,0.232,0.325,0.438,449
W ,Josh Phegley C | OAK ,225,27,56,30,16,1,9,34,14,51,0,0,0.249,0.300,0.449,459
W ,Hank Conger C | TB,201,25,46,24,11,0,11,33,23,63,0,1,0.229,0.311,0.448,482
SA's J...,Jason Castro C | HOU ,337,38,71,41,19,0,11,31,33,115,0,0,0.211,0.283,0.365,503
EVIL E...,Matt Wieters C | BAL ,258,24,69,46,14,1,8,25,21,67,0,0,0.267,0.319,0.422,511
Rocky ...,Tyler Flowers C | ATL,331,21,79,58,12,0,9,39,21,104,0,1,0.239,0.295,0.356,516
W ,Cameron Rupp C | PHI ,270,24,63,44,9,1,9,28,24,71,0,1,0.233,0.301,0.374,544
W ,Jarrod Saltalamacchia C | DET,200,26,45,21,15,0,9,24,23,69,0,0,0.225,0.310,0.435,547
W ,Roberto Perez C | CLE,184,30,42,25,9,1,7,21,33,64,0,0,0.228,0.348,0.402,560
W ,Chris Iannetta C | SEA,272,28,51,31,10,0,10,34,41,83,0,1,0.188,0.293,0.335,572
W ,A.J. Ellis C | LAD,181,24,43,27,9,0,7,21,32,38,0,0,0.238,0.355,0.403,580
W ,Curt Casali C | TB,101,13,24,8,6,0,10,18,8,34,0,0,0.238,0.304,0.594,599
W ,Geovany Soto C | LAA,187,20,41,24,8,0,9,21,21,63,0,1,0.219,0.301,0.406,605
W ,Carlos Perez C | LAA ,260,20,65,48,13,0,4,21,19,49,2,0,0.250,0.299,0.346,616
W ,Chris Gimenez C | TEX,98,19,25,13,6,1,5,14,10,19,2,0,0.255,0.330,0.490,619
W ,J.P. Arencibia C | PHI,71,9,22,13,3,0,6,17,1,22,0,0,0.310,0.315,0.606,643
W ,John Ryan Murphy C | MIN ,155,21,43,30,9,1,3,14,12,43,0,0,0.277,0.328,0.406,649
W ,Ryan Hanigan C | BOS,174,28,43,33,8,0,2,16,20,39,0,0,0.247,0.337,0.328,653
W ,Dioner Navarro C | CHW ,171,17,42,30,7,0,5,20,17,29,0,0,0.246,0.307,0.374,654
W ,Tucker Barnhart C | CIN,242,23,61,49,9,0,3,18,25,45,0,1,0.252,0.324,0.326,661
W ,Brayan Pena C | STL,333,17,91,74,17,0,0,18,29,34,2,0,0.273,0.334,0.324,678
W ,Michael McKenry C | TEX ,127,20,26,12,7,3,4,17,22,41,2,2,0.205,0.329,0.402,685
SA's J...,Mike Zunino C | SEA ,350,28,61,39,11,0,11,28,21,132,0,1,0.174,0.230,0.300,697
W ,Steve Clevenger DH | SEA,101,11,29,21,4,2,2,15,4,13,0,0,0.287,0.314,0.426,734
W ,Martin Maldonado C | MIL,229,19,48,37,7,0,4,22,23,65,0,1,0.210,0.282,0.293,739
W ,Kevin Plawecki C | NYM ,233,18,51,39,9,0,3,21,17,60,0,0,0.219,0.280,0.296,752
W ,Carlos Ruiz C | PHI ,284,23,60,44,13,1,2,22,28,43,1,1,0.211,0.290,0.285,754
W ,Chris Stewart C | PIT ,159,9,46,38,8,0,0,15,6,29,0,0,0.289,0.320,0.340,759
W ,Andrew Susac C | SF ,133,14,29,17,7,2,3,14,14,43,0,0,0.218,0.297,0.368,776
W ,Alex Avila C | CHW,178,21,34,25,5,0,4,13,40,66,0,1,0.191,0.339,0.286,785
W ,Jose Lobaton C | WAS,136,11,27,20,4,0,3,20,15,40,0,0,0.199,0.279,0.294,788
W ,Bryan Holaday C | DET,64,3,18,11,5,0,2,13,1,13,0,0,0.281,0.292,0.453,818
W ,Tom Murphy C | COL,35,5,9,5,1,0,3,9,4,10,0,0,0.257,0.333,0.543,828
W ,Jordan Pacheco C | CIN ,66,8,16,14,0,0,2,8,9,14,1,0,0.242,0.333,0.333,829
W ,Christian Bethancourt C | SD ,155,16,31,21,8,0,2,12,5,33,1,1,0.200,0.225,0.290,836
W ,Carlos Corporan C | NYY ,107,10,19,12,4,0,3,15,6,40,0,0,0.178,0.244,0.299,851
W ,Tuffy Gosewisch C | ARI ,128,9,27,20,6,0,1,13,8,23,2,1,0.211,0.261,0.281,852
W ,Rene Rivera C | TB,298,16,53,34,14,0,5,26,11,86,0,0,0.178,0.213,0.275,875
W ,Ramon Cabrera C | CIN,30,4,11,9,1,0,1,3,0,5,0,0,0.367,0.367,0.500,908
W ,Brett Hayes C | ARI,32,4,5,2,0,0,3,6,3,7,0,0,0.156,0.229,0.438,931
W ,Austin Hedges C | SD,137,13,23,18,2,0,3,11,8,38,0,0,0.168,0.215,0.248,935
W ,Jeff Mathis C | MIA ,93,9,15,8,4,1,2,12,7,24,0,0,0.161,0.214,0.290,942
W ,Max Stassi C | HOU ,15,4,6,5,0,0,1,2,1,5,0,0,0.400,0.438,0.600,949
W ,Chris Herrmann C | ARI,103,13,15,7,5,1,2,10,7,37,0,0,0.146,0.214,0.272,975
W ,Bobby Wilson C | TEX,132,8,25,19,5,0,1,14,11,39,0,1,0.189,0.255,0.250,986
W ,Tony Cruz C | KC ,142,6,29,19,7,1,2,11,6,32,0,0,0.204,0.235,0.310,999
W ,Dustin Garneau C | COL,70,6,11,6,3,0,2,8,6,14,0,0,0.157,0.224,0.286,1016
W ,Cody Stanley C | STL,10,2,4,3,1,0,0,3,0,3,0,0,0.400,0.400,0.500,1040
W ,Ryan Lavarnway C | ATL,94,6,18,10,6,0,2,6,12,28,0,0,0.192,0.283,0.319,1044
W ,Trevor Brown C | SF,39,1,9,6,3,0,0,5,3,8,1,1,0.231,0.279,0.308,1052
W ,Drew Butera C | KC ,107,9,21,17,3,0,1,5,6,26,0,1,0.196,0.252,0.252,1059
W ,Hector Sanchez C | CHW,56,5,10,5,4,0,1,5,2,14,0,0,0.179,0.207,0.304,1064
W ,Jett Bandy C | LAA,2,1,1,0,0,0,1,1,0,0,0,0,0.500,0.500,2.000,1066
W ,Austin Barnes C | LAD,29,4,6,4,2,0,0,1,6,6,1,0,0.207,0.361,0.276,1077
W ,Rob Brantly C | CHW,33,3,4,2,1,0,1,6,2,8,0,0,0.121,0.167,0.242,1086
W ,Wil Nieves C | SD,13,1,1,0,0,0,1,4,1,4,0,0,0.077,0.143,0.308,1095
W ,Tony Sanchez C | TOR ,8,2,3,3,0,0,0,0,1,3,0,0,0.375,0.444,0.375,1103
W ,Jackson Williams C | COL ,10,1,2,1,1,0,0,1,4,1,1,0,0.200,0.429,0.300,1104
W ,Erik Kratz C | PHI,26,3,5,3,2,0,0,3,1,5,0,0,0.192,0.214,0.269,1109
W ,Eric Fryer C | STL,22,2,5,3,2,0,0,2,5,11,0,0,0.227,0.370,0.318,1114
W ,Josh Thole C | TOR,49,5,10,8,2,0,0,2,3,9,0,0,0.204,0.250,0.245,1120
W ,Carson Blair C | OAK,31,3,4,3,0,0,1,3,4,18,0,0,0.129,0.229,0.226,1127
W ,Anthony Recker C | CLE,80,6,10,7,1,0,2,5,11,35,1,0,0.125,0.239,0.212,1136
W ,Johnny Monell C | NYM ,48,5,8,6,2,0,0,4,4,13,0,0,0.167,0.231,0.208,1138
W ,Bryan Anderson C | OAK,5,0,2,2,0,0,0,1,1,1,0,0,0.400,0.429,0.400,1139
W ,Pedro Severino C | WAS,4,1,1,0,1,0,0,0,0,1,0,0,0.250,0.250,0.500,1252
W ,Adam Moore C | CLE,4,0,1,1,0,0,0,1,0,2,0,0,0.250,0.250,0.250,1254
W ,Travis Tartamella C | STL,2,0,1,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1263
W ,Taylor Teagarden C | CHC,15,0,3,3,0,0,0,2,0,4,0,0,0.200,0.200,0.200,1267
Orange...,Devin Mesoraco C | CIN ,45,2,8,6,1,1,0,2,5,9,1,0,0.178,0.275,0.244,1268
W ,Oscar Hernandez C | ARI,31,4,5,4,1,0,0,1,3,15,0,0,0.161,0.257,0.194,1271
W ,Tim Federowicz C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Adrian Nieto C | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Christian Vazquez C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Kyle Skipworth C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,A.J. Jimenez C | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Tommy Joseph C | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Dan Butler C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Josmil Pinto C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Raffy Lopez C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Tony Wolters C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Justin O'Conner C | TB ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
Crime ...,Jorge Alfaro C | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Michael Ohlman C | STL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Kevan Smith C | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1275
W ,Elias Diaz C | PIT,2,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,1354
Rocky ...,Gary Sanchez C | NYY,2,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,1354
W ,Gerald Laird C | ARI,2,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,1354
W ,Luke Maile C | TB,35,2,6,3,3,0,0,2,0,8,0,0,0.171,0.171,0.257,1362
W ,David Ross C | CHC,159,6,28,18,9,0,1,9,20,61,1,0,0.176,0.267,0.252,1366
W ,Francisco Pena C | BAL,7,0,1,1,0,0,0,0,0,3,0,0,0.143,0.143,0.143,1368
W ,Ed Easley C | PIT,6,0,0,0,0,0,0,1,0,1,0,0,0.000,0.000,0.000,1371
W ,Jesus Sucre C | SEA ,127,9,20,13,6,0,1,7,6,21,0,0,0.158,0.196,0.228,1372
W ,Nevin Ashley C | NYM ,20,2,2,1,1,0,0,1,0,8,0,0,0.100,0.143,0.150,1383
W ,Tomas Telis C | MIA,38,2,6,6,0,0,0,2,1,4,0,0,0.158,0.220,0.158,1395
W ,Rocky Gale C | SD,10,0,1,1,0,0,0,0,0,1,0,0,0.100,0.100,0.100,1400
W ,Sandy Leon C | BOS,114,8,21,19,2,0,0,3,7,28,0,1,0.184,0.238,0.202,1402
W ,Jhonatan Solano C | WAS ,20,1,1,0,1,0,0,2,1,1,0,0,0.050,0.095,0.100,1412
W ,Steven Baron C | SEA,11,0,0,0,0,0,0,0,0,2,0,0,0.000,0.000,0.000,1424
W ,John Hicks C | MIN,32,1,2,1,1,0,0,1,1,18,1,1,0.062,0.091,0.094,1432
W ,Juan Centeno C | MIN,21,0,1,0,1,0,0,0,2,7,0,0,0.048,0.130,0.095,1448
W ,Aaron Hathaway C | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Ty Ross C | SF,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Justin Marra C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jose Yepez C | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Ben Carhart C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Martin Medina C | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Sean McCraw C | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Erick San Pedro C | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Spencer Kieboom C | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Dennis Anderson C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Joe Jackson C | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Radley Haddad C | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Patrick Perry C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Ali Solis C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Andrew Knapp C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Kellin Deglan C | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Patrick Leyland C | DET,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Alejandro Segovia C | TB,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,John Schneider C | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Alex Monsalve C | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Josh Elander C | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Orlando Mercado C | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Orlando Guevara C | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Dom Nunez C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Joel Jimenez C | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jose Ortiz C | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Guillermo Quiroz C | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Brian Bock C | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Ryan D. Smith C | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
