All First Basemen 2015  Season MLB Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
SA's J...,Paul Goldschmidt 1B | ARI ,567,103,182,109,38,2,33,110,118,151,21,5,0.321,0.435,0.570,5
EVIL E...,Chris Davis 1B | BAL ,573,100,150,72,31,0,47,117,84,208,2,3,0.262,0.361,0.562,13
Disco ...,Anthony Rizzo 1B | CHC ,586,94,163,91,38,3,31,101,78,105,17,6,0.278,0.387,0.512,18
Sofa K...,Edwin Encarnacion 1B | TOR ,528,94,146,76,31,0,39,111,77,98,3,2,0.277,0.372,0.557,21
Shits ...,Joey Votto 1B | CIN ,545,95,171,107,33,2,29,80,143,135,11,3,0.314,0.459,0.541,25
Sofa K...,Jose Abreu 1B | CHW ,613,88,178,111,34,3,30,101,39,140,0,0,0.290,0.347,0.502,34
Shits ...,David Ortiz DH | BOS,528,73,144,70,37,0,37,108,77,95,0,1,0.273,0.360,0.553,37
EVIL E...,Eric Hosmer 1B | KC ,599,98,178,122,33,5,18,93,61,108,7,3,0.297,0.363,0.459,38
Old Di...,Albert Pujols 1B | LAA ,602,85,147,85,22,0,40,95,50,72,5,3,0.244,0.307,0.480,39
Floate...,Prince Fielder DH | TEX ,613,78,187,136,28,0,23,98,64,88,0,0,0.305,0.378,0.463,43
SA's J...,Kendrys Morales DH | KC ,569,81,165,100,41,2,22,106,58,103,0,0,0.290,0.361,0.485,46
Rocky ...,Buster Posey C | SF ,557,74,177,130,28,0,19,95,56,52,2,0,0.318,0.379,0.470,47
Floate...,Adrian Gonzalez 1B | LAD ,571,76,157,96,33,0,28,90,62,107,0,1,0.275,0.350,0.480,59
Crime ...,Miguel Cabrera 1B | DET ,429,64,145,98,28,1,18,76,77,82,1,1,0.338,0.440,0.534,75
Lebald...,Brandon Belt 1B | SF ,492,73,138,82,33,5,18,68,56,147,9,3,0.281,0.356,0.478,86
W ,Adam Lind 1B | SEA ,502,72,139,87,32,0,20,87,66,100,0,0,0.277,0.360,0.460,88
Floate...,Mark Teixeira 1B | NYY ,392,57,100,47,22,0,31,79,59,85,2,0,0.255,0.357,0.548,93
