All Outfielders 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Bryce Harper RF  WAS "	521	118	172	91	38	1	42	99	124	131	6	4	0.330	0.460	0.649	6
"A.J. Pollock CF  ARI "	609	111	192	127	39	6	20	76	53	89	39	7	0.315	0.367	0.497	7
"Mike Trout CF  LAA "	575	104	172	93	32	6	41	90	92	158	11	7	0.299	0.402	0.590	9
"Chris Davis 1B  BAL "	573	100	150	72	31	0	47	117	84	208	2	3	0.262	0.361	0.562	13
"Yoenis Cespedes LF  NYM "	633	101	184	101	42	6	35	105	33	141	7	5	0.291	0.328	0.542	15
"Jose Bautista RF  TOR "	543	108	136	64	29	3	40	114	110	106	8	2	0.251	0.377	0.536	16
"Nelson Cruz RF  SEA "	590	90	178	111	22	1	44	93	59	164	3	2	0.302	0.369	0.566	17
"Charlie Blackmon CF  COL "	614	93	176	119	31	9	17	58	46	112	43	13	0.287	0.347	0.450	23
"J.D. Martinez RF  DET "	596	93	168	95	33	2	38	102	53	178	3	2	0.282	0.344	0.535	24
"Lorenzo Cain CF  KC "	551	101	169	113	34	6	16	72	37	98	28	6	0.307	0.361	0.477	26
"Ryan Braun RF  MIL "	506	87	144	89	27	3	25	84	54	115	24	4	0.285	0.356	0.498	27
"Starling Marte CF  PIT "	579	84	166	115	30	2	19	81	27	123	30	10	0.287	0.337	0.444	29
"Carlos Gonzalez RF  COL "	554	87	150	83	25	2	40	97	46	133	2	0	0.271	0.325	0.540	30
"Andrew McCutchen CF  PIT "	566	91	165	103	36	3	23	96	98	133	11	5	0.291	0.402	0.488	32
"Kris Bryant 3B  CHC "	559	87	154	92	31	5	26	99	77	199	13	4	0.276	0.369	0.488	33
"Mookie Betts CF  BOS "	597	92	174	106	42	8	18	77	46	82	21	6	0.291	0.341	0.479	35
"Justin Upton RF  DET "	542	85	136	81	26	3	26	81	68	159	19	5	0.251	0.336	0.454	42
"Matt Kemp RF  SD "	596	80	158	101	31	3	23	100	39	147	12	2	0.265	0.312	0.443	44
"Michael Brantley LF  CLE "	529	68	164	104	45	0	15	84	60	51	15	1	0.310	0.379	0.480	48
"Curtis Granderson RF  NYM "	580	98	150	89	33	2	26	70	91	151	11	6	0.259	0.364	0.457	49
"Adam Eaton CF  CHW "	610	98	175	124	28	9	14	56	58	131	18	8	0.287	0.361	0.431	54
"Shin-Soo Choo RF  TEX "	555	94	153	96	32	3	22	82	76	147	4	2	0.276	0.375	0.463	55
"Jason Heyward RF  CHC "	547	79	160	110	33	4	13	60	56	90	23	3	0.292	0.359	0.439	57
"Brett Gardner CF  NYY "	571	94	148	103	26	3	16	66	68	135	20	5	0.259	0.343	0.399	61
"Ben Revere CF  WAS "	592	84	181	150	22	7	2	45	32	64	31	7	0.306	0.342	0.377	67
"Adam Jones CF  BAL "	546	74	147	92	25	3	27	82	24	102	3	1	0.269	0.308	0.474	70
"David Peralta LF  ARI "	462	61	144	91	26	10	17	78	44	107	9	4	0.312	0.371	0.522	72
"Kevin Pillar LF  TOR "	586	76	163	118	31	2	12	56	28	85	25	4	0.278	0.314	0.399	73
"Kole Calhoun RF  LAA "	630	78	161	110	23	2	26	83	45	164	4	1	0.256	0.308	0.422	76
"Dexter Fowler CF  CHC "	596	102	149	95	29	8	17	46	84	154	20	7	0.250	0.346	0.411	77
"Josh Reddick RF  OAK "	526	67	143	94	25	4	20	77	49	65	10	2	0.272	0.333	0.449	81
"Gerardo Parra RF  COL "	547	83	159	104	36	5	14	51	28	92	14	4	0.291	0.328	0.452	84
"Brandon Belt 1B  SF "	492	73	138	82	33	5	18	68	56	147	9	3	0.281	0.356	0.478	86
"Jay Bruce RF  CIN "	580	72	131	66	35	4	26	87	58	145	9	5	0.226	0.294	0.434	91
