All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Mark Melancon RP  PIT "	76.7	0	0	0	3	2	51	2	62	14	57	2.23	0.93	68
"Jeurys Familia RP  NYM "	78.0	0	0	0	2	2	43	5	86	19	59	1.85	1.00	80
"Andrew Miller RP  NYY "	61.7	0	0	0	3	2	36	2	100	20	33	2.04	0.86	85
"Aroldis Chapman RP  NYY "	66.3	0	0	0	4	4	33	3	116	33	43	1.63	1.15	92
"Wade Davis RP  KC "	67.3	0	0	0	8	1	17	1	78	20	33	0.94	0.79	96
"Marco Estrada SP  TOR"	181.0	28	16	0	13	8	0	0	131	55	134	3.13	1.04	99
"Trevor Rosenthal RP  STL "	68.7	0	0	0	2	4	48	3	83	25	62	2.10	1.27	103
"Zach Britton RP  BAL "	65.7	0	0	0	4	1	36	4	79	14	51	1.92	0.99	104
"Craig Kimbrel RP  BOS "	59.3	0	0	0	4	2	39	4	87	22	40	2.58	1.04	108
"Hector Rondon RP  CHC "	70.0	0	0	0	6	4	30	4	69	15	55	1.67	1.00	111
"David Robertson RP  CHW "	63.3	0	0	0	6	5	34	7	86	13	46	3.41	0.93	115
"Kenley Jansen RP  LAD "	52.3	0	0	0	2	1	36	2	80	8	33	2.41	0.78	126
"Dellin Betances RP  NYY "	84.0	0	0	0	6	4	9	4	131	40	45	1.50	1.01	127
"Shawn Tolleson RP  TEX "	72.3	0	0	0	6	4	35	2	76	17	66	2.99	1.15	128
"Luke Gregerson RP  HOU "	61.0	0	0	0	7	3	31	5	59	10	48	3.10	0.95	137
"A.J. Ramos RP  MIA "	70.3	0	0	0	2	4	32	6	87	26	45	2.30	1.01	143
"Francisco Rodriguez RP  DET "	57.0	0	0	0	1	3	38	2	62	11	38	2.21	0.86	145
"Cody Allen RP  CLE "	69.3	0	0	0	2	5	34	4	99	25	56	2.99	1.17	165
"Santiago Casilla RP  SF "	58.0	0	0	0	4	2	38	6	62	23	51	2.79	1.28	173
"Huston Street RP  LAA "	62.3	0	0	0	3	3	40	5	57	20	52	3.18	1.16	174
"Brad Boxberger RP  TB "	63.0	0	0	0	4	10	41	6	74	32	54	3.71	1.37	177
"Ken Giles RP  HOU "	70.0	0	0	0	6	3	15	5	87	25	59	1.80	1.20	205
"Erasmo Ramirez SP  TB "	163.3	27	9	0	11	6	0	0	126	40	145	3.75	1.13	207
