All Second Basemen 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Dee Gordon 2B  MIA "	615	88	205	169	24	8	4	46	25	91	58	20	0.333	0.359	0.418	14
"Jose Altuve 2B  HOU "	638	86	200	141	40	4	15	66	33	67	38	13	0.314	0.353	0.459	22
"Matt Carpenter 3B  STL "	574	101	156	81	44	3	28	84	81	151	4	3	0.272	0.365	0.505	41
"Brian Dozier 2B  MIN "	628	101	148	77	39	4	28	77	61	148	12	4	0.236	0.307	0.444	51
"Brandon Phillips 2B  CIN "	588	69	173	140	19	2	12	70	27	68	23	3	0.294	0.328	0.395	58
"Ian Kinsler 2B  DET "	624	94	185	132	35	7	11	73	43	80	10	6	0.296	0.342	0.428	60
"DJ LeMahieu 2B  COL "	564	85	170	138	21	5	6	61	50	107	23	3	0.301	0.358	0.388	63
"Robinson Cano 2B  SEA "	624	82	179	123	34	1	21	79	43	107	2	6	0.287	0.334	0.446	69
"Matt Duffy 3B  SF "	573	77	169	123	28	6	12	77	30	96	12	0	0.295	0.334	0.428	71
"Jason Kipnis 2B  CLE "	565	86	171	112	43	7	9	52	57	107	12	8	0.303	0.372	0.451	87
"Logan Forsythe 2B  TB "	540	69	152	100	33	2	17	68	55	111	9	4	0.281	0.359	0.444	95
"Neil Walker 2B  NYM "	543	69	146	95	32	3	16	71	44	110	4	1	0.269	0.328	0.427	133
"Kolten Wong 2B  STL "	557	71	146	103	28	4	11	61	36	95	15	8	0.262	0.321	0.386	134
"Justin Turner 3B  LAD "	385	55	113	70	26	1	16	60	36	71	5	2	0.293	0.370	0.491	152
"Ben Zobrist 2B  CHC "	467	76	129	77	36	3	13	56	62	56	3	4	0.276	0.359	0.450	159
"Daniel Murphy 2B  WAS "	499	56	140	86	38	2	14	73	31	38	2	2	0.281	0.322	0.449	163
"Howie Kendrick 2B  LAD "	464	64	137	104	22	2	9	54	27	82	6	2	0.295	0.336	0.409	168
"Brett Lawrie 3B  CHW "	562	64	146	98	29	3	16	60	28	144	5	2	0.260	0.299	0.407	175
"Yangervis Solarte 3B  SD "	526	63	142	91	33	4	14	63	34	56	1	0	0.270	0.320	0.428	187
"Rougned Odor 2B  TEX"	426	54	111	65	21	9	16	61	23	79	6	7	0.261	0.316	0.465	188
"Chris Coghlan LF  CHC "	440	64	110	63	25	6	16	41	58	94	11	2	0.250	0.341	0.443	196
"Starlin Castro SS  NYY "	547	52	145	109	23	2	11	69	21	91	5	5	0.265	0.296	0.375	206
"Martin Prado 3B  MIA"	500	52	144	111	22	2	9	63	37	68	1	0	0.288	0.338	0.394	216
"Wilmer Flores SS  NYM "	483	55	127	89	22	0	16	59	19	63	0	1	0.263	0.295	0.408	220
"Joe Panik 2B  SF "	382	59	119	82	27	2	8	37	38	42	3	2	0.311	0.378	0.456	231
"Brad Miller SS  TB"	438	44	113	76	22	4	11	46	47	101	13	4	0.258	0.329	0.402	246
"Cesar Hernandez 2B  PHI "	405	57	110	85	20	4	1	35	40	86	19	5	0.272	0.339	0.348	250
"Addison Russell 2B  CHC "	475	60	115	72	29	1	13	54	42	149	4	3	0.242	0.306	0.390	255
"Eduardo Escobar SS  MIN "	409	48	107	60	31	4	12	58	28	86	2	3	0.262	0.309	0.445	262
"Dustin Pedroia 2B  BOS "	381	46	111	79	19	1	12	42	38	51	2	2	0.291	0.356	0.441	269
"Brock Holt 2B  BOS "	454	56	127	92	27	6	2	45	46	97	8	1	0.280	0.348	0.379	277
"Josh Harrison 3B  PIT "	418	57	120	86	29	1	4	28	19	71	10	8	0.287	0.327	0.390	281
"Jace Peterson 2B  ATL"	528	55	126	92	23	5	6	52	56	120	12	10	0.239	0.314	0.335	286
"Danny Espinosa 2B  WAS "	367	59	88	53	21	1	13	37	33	106	5	2	0.240	0.310	0.409	288
"Jimmy Paredes DH  BAL"	363	46	100	71	17	2	10	42	19	111	4	4	0.276	0.310	0.416	293
"Marwin Gonzalez 1B  HOU "	344	44	96	65	18	1	12	34	16	74	4	5	0.279	0.317	0.442	301
"Kelly Johnson LF  ATL "	310	38	82	57	11	0	14	47	23	81	2	1	0.265	0.314	0.435	302
"Chris Owings 2B  ARI"	515	59	117	81	27	5	4	43	26	144	16	4	0.227	0.264	0.322	311
"Jonathan Schoop 2B  BAL "	305	34	85	53	17	0	15	39	9	79	2	0	0.279	0.306	0.482	312
"Jedd Gyorko 2B  STL"	421	34	104	73	15	0	16	57	27	107	0	1	0.247	0.297	0.397	318
"Johnny Giavotella 2B  LAA "	453	51	123	89	25	5	4	49	32	59	2	1	0.272	0.319	0.375	322
"Juan Uribe 3B  NYM "	360	40	91	60	17	0	14	43	34	80	2	0	0.253	0.320	0.417	326
"Devon Travis 2B  TOR "	217	38	66	40	18	0	8	35	18	43	3	1	0.304	0.361	0.498	343
"Ryan Goins 2B  TOR"	376	52	94	69	16	4	5	45	39	83	2	1	0.250	0.318	0.354	357
"Steve Pearce LF  TB "	294	42	64	35	13	1	15	40	23	69	1	1	0.218	0.289	0.422	367
"Stephen Drew 2B  WAS "	383	43	77	43	16	1	17	44	37	71	0	2	0.201	0.271	0.381	391
"Jose Ramirez SS  CLE "	315	50	69	46	14	3	6	27	32	39	10	4	0.219	0.291	0.340	394
"Cory Spangenberg 2B  SD"	303	38	82	56	17	5	4	21	28	75	9	4	0.271	0.333	0.399	402
"Scooter Gennett 2B  MIL"	375	42	99	71	18	4	6	29	12	68	1	3	0.264	0.294	0.381	421
"Aaron Hill 2B  MIL "	313	32	72	48	18	0	6	39	31	54	7	2	0.230	0.295	0.345	425
"Andres Blanco 3B  PHI"	233	32	68	36	22	3	7	25	21	44	1	1	0.292	0.360	0.502	428
"Eric Sogard 2B  OAK"	372	40	92	76	12	3	1	37	23	50	6	1	0.247	0.294	0.304	439
"Anthony Rendon 2B  WAS "	311	43	82	61	16	0	5	25	36	70	1	2	0.264	0.344	0.363	441
"Elian Herrera 3B  LAD "	256	29	62	37	18	0	7	33	18	72	3	1	0.242	0.290	0.395	463
"Tim Beckham 2B  TB"	203	24	45	25	7	4	9	37	13	69	3	1	0.222	0.274	0.429	464
"Chase Utley 2B  LAD"	373	37	79	48	21	2	8	39	32	64	4	0	0.212	0.286	0.343	470
"Dustin Ackley LF  NYY "	238	28	55	31	11	3	10	30	18	45	2	2	0.231	0.283	0.429	473
"Enrique Hernandez CF  LAD "	202	24	62	41	12	2	7	22	11	46	0	2	0.307	0.346	0.490	479
"Ruben Tejada SS  NYM "	360	36	94	68	23	0	3	28	38	70	2	1	0.261	0.338	0.350	493
"Kelby Tomlinson 2B  SF"	178	23	54	43	6	3	2	20	14	40	5	4	0.303	0.357	0.405	518
"Andrew Romine 3B  DET "	184	25	47	40	5	0	2	15	11	46	10	5	0.255	0.306	0.315	530
"Carlos Sanchez 2B  CHW "	389	40	87	58	23	1	5	31	19	81	2	2	0.224	0.268	0.327	534
"Ryan Flaherty 2B  BAL "	267	34	54	34	8	3	9	31	26	81	0	0	0.202	0.281	0.356	537
"Omar Infante 2B  KC "	440	39	97	65	23	7	2	44	9	69	2	2	0.221	0.234	0.318	538
"Mike Aviles LF  DET"	290	37	67	52	10	0	5	17	20	38	3	1	0.231	0.282	0.317	556
"Phil Gosselin 2B  ARI"	106	19	33	20	9	1	3	15	9	16	2	1	0.311	0.373	0.500	591
"Sean Rodriguez 1B  PIT"	224	25	55	38	12	1	4	17	5	63	2	2	0.245	0.281	0.362	612
"Alexi Amarista SS  SD"	324	28	66	49	10	4	3	30	24	55	5	1	0.204	0.257	0.287	624
"Ivan De Jesus 2B  CIN"	201	15	49	33	10	2	4	28	19	55	0	2	0.244	0.311	0.373	636
"Daniel Descalso SS  COL"	185	22	38	28	3	2	5	22	20	45	1	2	0.205	0.283	0.324	666
"Cliff Pennington 2B  LAA"	210	24	44	35	6	0	3	21	27	49	3	0	0.209	0.297	0.281	669
"Skip Schumaker LF  CIN "	244	23	59	38	20	0	1	21	23	51	2	2	0.242	0.306	0.336	670
"Gordon Beckham 3B  ATL"	211	24	44	30	8	0	6	20	19	43	0	1	0.208	0.275	0.332	673
"Hernan Perez 3B  MIL "	263	14	64	46	15	2	1	21	5	59	5	1	0.243	0.257	0.327	691
"Pedro Ciriaco 3B  TEX "	142	14	37	27	8	1	1	15	2	38	4	2	0.261	0.275	0.352	693
"Miguel Rojas SS  MIA"	142	13	40	31	7	1	1	17	11	16	0	1	0.282	0.329	0.366	715
"Jonathan Herrera 2B  CHC"	126	14	29	21	5	1	2	14	2	23	3	0	0.230	0.242	0.333	735
"Adam Rosales 1B  TEX "	114	14	26	19	4	0	3	7	10	30	4	4	0.228	0.296	0.342	742
"Josh Rutledge 2B  BOS"	74	11	21	19	1	0	1	10	5	26	0	0	0.284	0.333	0.338	783
"Christian Colon SS  KC"	107	8	31	26	5	0	0	6	11	17	3	2	0.290	0.356	0.336	794
"Rafael Ynoa LF  COL"	127	14	33	24	8	1	0	9	3	28	1	0	0.260	0.277	0.339	797
"Taylor Featherston 3B  PHI "	154	23	25	17	5	1	2	9	7	46	4	2	0.162	0.212	0.247	803
"Tommy La Stella 2B  CHC"	67	4	18	11	6	0	1	11	5	7	2	0	0.269	0.324	0.403	817
"Daniel Castro 2B  ATL"	96	14	23	18	2	1	2	5	3	15	0	0	0.240	0.263	0.344	833
"Jake Elmore 1B  MIL"	141	10	29	22	5	0	2	16	12	25	1	1	0.206	0.263	0.284	835
"Robert Refsnyder 2B  NYY"	43	3	13	8	3	0	2	5	3	7	2	0	0.302	0.348	0.512	842
"Dan Uggla 2B  WAS"	120	12	22	14	4	2	2	16	19	40	0	1	0.183	0.298	0.300	857
"Dilson Herrera 2B  NYM "	90	7	19	12	3	1	3	6	11	23	2	0	0.211	0.311	0.367	860
"Steve Tolleson 2B  BAL "	41	9	11	5	5	1	0	3	4	9	2	0	0.268	0.333	0.439	873
"Darnell Sweeney LF  PHI "	85	9	15	7	4	1	3	11	13	27	0	2	0.176	0.286	0.353	878
"Micah Johnson 2B  LAD "	100	10	23	19	4	0	0	4	9	30	3	2	0.230	0.306	0.270	889
"Ehire Adrianza 2B  SF"	113	11	21	13	7	1	0	11	15	20	3	2	0.186	0.303	0.266	893
"Javier Baez 2B  CHC "	76	4	22	15	6	0	1	4	4	24	1	2	0.289	0.325	0.408	900
"Tommy Field 2B  DET"	41	6	8	5	1	0	2	5	2	16	1	0	0.195	0.250	0.366	907
"Greg Garcia SS  STL"	75	7	18	11	5	0	2	4	10	12	0	0	0.240	0.337	0.387	917
"Jose Pirela 2B  SD"	74	7	17	13	3	0	1	5	2	16	1	0	0.230	0.247	0.311	925
"Darwin Barney 2B  TOR"	27	4	7	4	1	0	2	4	1	2	0	0	0.259	0.286	0.518	926
"Brendan Ryan 2B  WAS "	96	10	22	14	6	2	0	8	5	29	0	0	0.229	0.275	0.333	930
"Nick Franklin 2B  TB"	101	11	16	8	4	1	3	7	7	37	1	0	0.158	0.213	0.307	934
"Hanser Alberto 2B  TEX"	99	12	22	19	2	1	0	4	2	17	1	0	0.222	0.238	0.263	936
"Brandon Drury 3B  ARI"	56	3	12	7	3	0	2	8	2	8	0	0	0.214	0.254	0.375	946
"Josh Wilson 2B  DET"	38	4	12	9	3	0	0	5	0	15	0	0	0.316	0.350	0.395	950
"Rey Navarro 2B  LAA "	29	5	8	5	2	0	1	3	0	3	0	0	0.276	0.276	0.448	958
"Trea Turner 2B  WAS "	40	5	9	7	1	0	1	1	4	12	2	2	0.225	0.295	0.325	960
"Hector Gomez 2B  MIL"	127	15	23	9	11	2	1	7	3	40	0	0	0.181	0.212	0.323	995
"Jose Peraza 2B  CIN "	22	3	4	2	1	1	0	1	2	2	3	0	0.182	0.250	0.318	1009
"Pete Kozma SS  NYY"	99	15	15	15	0	0	0	2	10	21	3	1	0.151	0.236	0.151	1015
"Grant Green 2B  SF"	42	6	8	7	0	0	1	3	2	14	0	1	0.191	0.227	0.262	1038
"Munenori Kawasaki 2B  CHC "	28	6	6	4	2	0	0	2	4	6	0	1	0.214	0.312	0.286	1053
"Gregorio Petit 2B  LAA "	42	7	7	4	3	0	0	5	3	16	0	0	0.167	0.217	0.238	1055
"Emmanuel Burriss 2B  PHI"	3	2	2	2	0	0	0	0	2	0	0	0	0.667	0.800	0.667	1096
"Jemile Weeks 2B  BOS "	9	1	3	3	0	0	0	1	0	2	0	0	0.333	0.333	0.333	1112
"Donovan Solano SS  NYY "	90	6	17	13	3	1	0	7	1	18	0	0	0.189	0.215	0.244	1117
"Ronald Torreyes 2B  NYY "	6	1	2	1	1	0	0	1	1	1	0	0	0.333	0.429	0.500	1119
"Doug Bernier 2B  MIN "	5	1	1	0	1	0	0	2	1	3	0	0	0.200	0.333	0.400	1122
