All Starting Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Jake Arrieta SP  CHC "	229.0	33	29	4	22	6	0	0	236	48	150	1.77	0.86	1
"Clayton Kershaw SP  LAD "	232.7	33	27	4	16	7	0	0	301	42	163	2.13	0.88	2
"Zack Greinke SP  ARI "	222.7	32	30	1	19	3	0	0	200	40	148	1.66	0.84	3
"Max Scherzer SP  WAS "	228.7	33	23	4	14	12	0	0	276	34	176	2.79	0.92	10
"Dallas Keuchel SP  HOU "	232.0	33	27	3	20	8	0	0	216	51	185	2.48	1.02	11
"Madison Bumgarner SP  SF "	218.3	32	22	4	18	9	0	0	234	39	181	2.93	1.01	19
"David Price SP  BOS "	220.3	32	24	3	18	5	0	0	225	47	190	2.45	1.08	20
"Gerrit Cole SP  PIT "	208.0	32	25	0	19	8	0	0	202	44	183	2.60	1.09	28
"Jacob deGrom SP  NYM "	191.0	30	23	0	14	8	0	0	205	38	149	2.54	0.98	31
"Chris Sale SP  CHW "	208.7	31	23	1	13	11	0	0	274	42	185	3.41	1.09	40
"Matt Harvey SP  NYM "	189.3	29	21	0	13	8	0	0	188	37	156	2.71	1.02	45
"Chris Archer SP  TB "	212.0	34	19	1	12	13	0	0	252	66	175	3.23	1.14	50
"Sonny Gray SP  OAK "	208.0	31	22	3	14	7	0	0	169	59	166	2.73	1.08	53
"Carlos Carrasco SP  CLE "	183.7	30	17	3	14	12	0	0	216	43	154	3.63	1.07	62
"Corey Kluber SP  CLE "	222.0	32	19	4	9	16	0	0	245	45	189	3.49	1.05	64
"Felix Hernandez SP  SEA "	201.7	31	20	2	18	9	0	0	191	58	180	3.53	1.18	66
"Danny Salazar SP  CLE "	185.0	30	18	0	14	10	0	0	195	53	156	3.45	1.13	78
"John Lackey SP  CHC "	218.0	33	26	1	13	10	0	0	175	53	211	2.77	1.21	82
"Jon Lester SP  CHC "	205.0	32	21	1	11	12	0	0	207	47	183	3.34	1.12	83
"Cole Hamels SP  TEX "	212.3	32	21	2	13	8	0	0	215	62	190	3.65	1.19	89
"Michael Wacha SP  STL "	181.3	30	19	0	17	7	0	0	153	58	162	3.38	1.21	97
"Marco Estrada SP  TOR"	181.0	28	16	0	13	8	0	0	131	55	134	3.13	1.04	99
