All Third Basemen 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Josh Donaldson 3B  TOR "	620	122	184	100	41	2	41	123	73	133	6	0	0.297	0.371	0.568	4
"Nolan Arenado 3B  COL "	616	97	177	88	43	4	42	130	34	110	2	5	0.287	0.323	0.575	8
"Manny Machado 3B  BAL "	633	102	181	115	30	1	35	86	70	111	20	8	0.286	0.359	0.502	12
"Kris Bryant 3B  CHC "	559	87	154	92	31	5	26	99	77	199	13	4	0.276	0.369	0.488	33
"Todd Frazier 3B  CHW "	619	82	158	79	43	1	35	89	44	137	13	8	0.255	0.309	0.498	36
"Matt Carpenter 3B  STL "	574	101	156	81	44	3	28	84	81	151	4	3	0.272	0.365	0.505	41
"Kyle Seager 3B  SEA "	623	85	166	103	37	0	26	74	54	98	6	6	0.267	0.328	0.451	65
"Matt Duffy 3B  SF "	573	77	169	123	28	6	12	77	30	96	12	0	0.295	0.334	0.428	71
"Adrian Beltre 3B  TEX "	567	83	163	109	32	4	18	83	41	65	1	0	0.287	0.334	0.453	74
"Mike Moustakas 3B  KC "	549	73	156	99	34	1	22	82	43	76	1	2	0.284	0.347	0.470	79
"Logan Forsythe 2B  TB "	540	69	152	100	33	2	17	68	55	111	9	4	0.281	0.359	0.444	95
"Evan Longoria 3B  TB "	604	74	163	106	35	1	21	73	51	132	3	1	0.270	0.328	0.435	98
"Trevor Plouffe 3B  MIN "	573	74	140	79	35	4	22	86	50	124	2	1	0.244	0.307	0.435	118
"Yunel Escobar 3B  LAA "	535	75	168	133	25	1	9	56	45	70	2	2	0.314	0.375	0.415	129
"Danny Valencia 3B  OAK "	345	59	100	58	23	1	18	66	29	80	2	2	0.290	0.345	0.519	139
"Justin Turner 3B  LAD "	385	55	113	70	26	1	16	60	36	71	5	2	0.293	0.370	0.491	152
"Jung Ho Kang 3B  PIT "	421	60	121	80	24	2	15	58	28	99	5	4	0.287	0.355	0.461	158
"Daniel Murphy 2B  WAS "	499	56	140	86	38	2	14	73	31	38	2	2	0.281	0.322	0.449	163
"Brett Lawrie 3B  CHW "	562	64	146	98	29	3	16	60	28	144	5	2	0.260	0.299	0.407	175
"Yangervis Solarte 3B  SD "	526	63	142	91	33	4	14	63	34	56	1	0	0.270	0.320	0.428	187
"Luis Valbuena 3B  HOU "	434	62	97	54	18	0	25	56	50	106	1	0	0.224	0.310	0.438	204
"Chase Headley 3B  NYY"	580	74	150	109	29	1	11	62	51	135	0	2	0.259	0.324	0.369	209
"Martin Prado 3B  MIA"	500	52	144	111	22	2	9	63	37	68	1	0	0.288	0.338	0.394	216
"Aramis Ramirez 3B  PIT"	475	43	117	68	31	1	17	75	31	68	1	0	0.246	0.296	0.423	228
"Miguel Sano DH  MIN "	279	46	75	39	17	1	18	52	53	119	1	1	0.269	0.385	0.530	233
"Nick Castellanos 3B  DET "	549	42	140	86	33	6	15	73	39	152	0	3	0.255	0.302	0.419	244
"Cesar Hernandez 2B  PHI "	405	57	110	85	20	4	1	35	40	86	19	5	0.272	0.339	0.348	250
"David Freese 3B  LAA"	424	53	109	68	27	0	14	56	31	107	1	1	0.257	0.323	0.420	252
"Maikel Franco 3B  PHI "	304	45	85	48	22	1	14	50	26	52	1	0	0.280	0.343	0.497	260
"Eduardo Escobar SS  MIN "	409	48	107	60	31	4	12	58	28	86	2	3	0.262	0.309	0.445	262
"Brock Holt 2B  BOS "	454	56	127	92	27	6	2	45	46	97	8	1	0.280	0.348	0.379	277
"Josh Harrison 3B  PIT "	418	57	120	86	29	1	4	28	19	71	10	8	0.287	0.327	0.390	281
"Danny Espinosa 2B  WAS "	367	59	88	53	21	1	13	37	33	106	5	2	0.240	0.310	0.409	288
"Jimmy Paredes DH  BAL"	363	46	100	71	17	2	10	42	19	111	4	4	0.276	0.310	0.416	293
"Yasmany Tomas RF  ARI"	406	40	111	80	19	3	9	48	17	110	5	2	0.273	0.305	0.402	296
