All Catchers  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Buster Posey C  SF "	564	82	168	117	30	1	20	92	62	70	4	0	0.298	0.371	0.461	64
"Jonathan Lucroy C  TEX"	580	90	155	101	29	5	20	94	52	111	3	0	0.267	0.332	0.438	92
"Gary Sanchez C  NYY "	406	64	108	53	23	0	32	76	42	126	3	0	0.266	0.342	0.559	115
"Welington Castillo C  BAL "	576	61	143	89	28	0	26	96	39	161	1	0	0.248	0.304	0.432	150
"Salvador Perez C  KC"	609	68	147	88	30	2	27	80	24	140	0	0	0.241	0.279	0.430	181
"Russell Martin C  TOR "	541	74	121	77	21	1	22	81	58	173	3	1	0.224	0.311	0.388	208
"J.T. Realmuto C  MIA "	485	57	137	94	29	2	12	49	25	95	11	3	0.282	0.324	0.425	245
"Brian McCann C  HOU"	436	59	105	68	15	0	22	69	47	99	1	0	0.241	0.326	0.427	250
"Matt Wieters C  BAL "	584	60	144	97	25	5	17	78	40	129	2	0	0.247	0.300	0.394	256
"Yasmani Grandal C  LAD "	438	54	99	58	16	1	24	76	68	131	1	0	0.226	0.333	0.431	260
"Willson Contreras C  CHC"	418	53	115	76	21	1	17	56	38	110	3	2	0.275	0.343	0.452	266
"Chris Herrmann C  ARI "	422	57	105	67	16	9	13	68	41	129	7	1	0.249	0.318	0.422	270
"Yadier Molina C  STL"	589	50	171	126	36	2	7	61	37	75	5	2	0.290	0.337	0.394	287
"Francisco Cervelli C  PIT "	539	66	148	119	21	4	4	51	68	115	5	1	0.275	0.365	0.351	316
"Tom Murphy C  COL"	332	50	79	46	16	0	17	54	32	108	4	0	0.238	0.316	0.440	322
"Sandy Leon C  BOS "	453	56	124	84	26	4	10	51	33	134	0	0	0.274	0.330	0.415	344
"Stephen Vogt C  OAK "	459	55	111	70	25	2	14	62	43	102	0	0	0.242	0.312	0.397	345
"Travis d'Arnaud C  NYM "	582	63	142	104	22	2	14	54	40	136	0	0	0.244	0.302	0.361	354
"Nick Hundley C  COL"	375	42	100	61	24	3	12	55	27	90	2	1	0.267	0.318	0.443	365
"Bruce Maxwell C  OAK"	412	43	105	68	19	5	13	56	33	112	2	0	0.255	0.313	0.420	377
"Evan Gattis DH  HOU "	328	38	82	49	12	3	18	49	22	74	1	0	0.250	0.303	0.469	386
"Cameron Rupp C  PHI"	454	39	111	67	27	1	16	56	33	133	1	0	0.244	0.303	0.414	397
"Yan Gomes C  CLE"	540	52	104	56	28	2	18	73	18	150	0	0	0.193	0.234	0.352	419
"Jett Bandy C  MIL "	396	41	88	53	18	0	17	46	23	113	2	0	0.222	0.275	0.397	434
"Tyler Flowers C  ATL"	333	29	87	57	18	0	12	47	30	116	0	0	0.261	0.339	0.423	462
"Mike Zunino C  SEA "	444	39	83	45	17	0	21	59	40	176	0	0	0.187	0.275	0.367	464
"Derek Norris C  WAS "	324	41	72	44	17	1	10	36	28	89	5	1	0.222	0.292	0.373	479
"James McCann C  DET"	398	34	93	65	14	3	11	49	21	123	0	0	0.234	0.276	0.367	489
"Omar Narvaez C  CHW"	415	43	98	73	17	0	8	43	40	92	1	0	0.236	0.306	0.335	501
"Wilson Ramos C  TB "	289	26	75	50	14	0	11	38	13	60	0	0	0.260	0.294	0.422	507
"Jason Castro C  MIN "	447	52	89	50	22	4	13	42	49	176	1	0	0.199	0.281	0.353	509
"Martin Maldonado C  LAA "	486	46	101	72	16	0	13	48	54	103	0	0	0.208	0.305	0.321	512
"Roberto Perez C  CLE"	305	38	63	36	13	3	11	39	42	97	0	0	0.207	0.305	0.377	548
"Curt Casali C  TB "	362	36	67	35	16	0	16	42	31	130	0	0	0.185	0.255	0.362	552
"Robinson Chirinos C  TEX"	213	31	48	22	15	1	10	31	23	64	0	0	0.225	0.318	0.446	564
"Miguel Montero C  CHC"	225	27	54	38	7	1	8	34	28	57	1	0	0.240	0.329	0.387	567
"Tucker Barnhart C  CIN"	326	27	85	61	18	1	5	36	28	63	1	0	0.261	0.323	0.368	569
"Tony Wolters C  COL"	198	26	50	32	12	2	4	29	18	57	4	1	0.253	0.315	0.394	593
"Blake Swihart LF  BOS "	220	34	58	43	9	4	2	21	19	66	2	1	0.264	0.325	0.368	626
"Jose Lobaton C  WAS "	267	26	62	44	9	2	7	32	25	57	0	0	0.232	0.303	0.360	629
"Austin Hedges C  SD"	492	47	89	66	14	0	9	41	26	135	0	0	0.181	0.237	0.264	672
"Austin Romine C  NYY "	162	17	37	22	9	0	6	24	9	37	1	0	0.228	0.269	0.395	713
"Christian Bethancourt C  SD"	213	22	48	33	10	0	5	25	9	53	1	0	0.225	0.257	0.343	716
"Caleb Joseph C  BAL"	298	30	62	44	11	1	6	28	19	63	0	0	0.208	0.260	0.312	721
"Josh Phegley C  OAK "	167	20	38	22	11	0	5	22	11	40	0	0	0.228	0.287	0.383	747
"Luke Maile C  TB "	262	20	57	36	15	0	6	28	10	78	0	0	0.218	0.249	0.344	753
"Devin Mesoraco C  CIN"	337	22	75	55	12	2	6	23	28	79	2	1	0.223	0.288	0.323	758
"Rene Rivera C  NYM "	306	18	61	43	11	0	7	36	19	93	0	0	0.199	0.253	0.304	774
"A.J. Jimenez C  TOR "	139	16	33	21	7	0	5	19	12	39	0	0	0.237	0.303	0.396	776
"Miguel Gomez C  SF"	140	15	34	23	7	0	4	18	12	36	0	0	0.243	0.307	0.379	806
"Jeff Mathis C  ARI "	181	18	40	27	7	2	4	22	10	54	0	0	0.221	0.266	0.348	807
"Carlos Ruiz C  SEA"	146	17	36	26	7	0	3	15	19	24	1	0	0.247	0.349	0.356	809
"Victor Caratini C  CHC"	142	16	33	22	7	0	4	18	13	39	0	0	0.232	0.306	0.366	813
"Anthony Recker C  ATL "	143	11	33	21	8	0	4	18	19	45	2	0	0.231	0.329	0.371	827
"Dustin Garneau C  COL"	160	18	35	21	10	0	4	19	13	48	0	0	0.219	0.282	0.356	828
"Kyle Farmer C  LAD"	139	15	32	21	7	0	4	18	12	38	0	0	0.230	0.301	0.367	830
"Shawn Zarraga C  CIN "	139	15	32	21	7	0	4	18	12	38	0	0	0.230	0.301	0.367	830
"Cam Gallagher C  KC"	142	15	33	23	7	0	3	18	9	36	1	0	0.232	0.283	0.345	832
"Juan Graterol C  LAA "	150	15	36	24	9	0	3	19	9	41	0	0	0.240	0.287	0.360	836
"Alfredo Gonzalez C  CHW"	142	14	34	23	7	0	4	17	10	38	0	0	0.239	0.294	0.373	839
"Kyle Higashioka C  NYY"	140	15	32	21	7	0	4	18	11	39	0	0	0.229	0.289	0.364	841
"Jesus Sucre C  SEA "	168	16	40	28	8	0	4	16	9	34	0	0	0.238	0.293	0.357	842
"Raudy Read C  WAS"	140	14	33	22	7	0	4	17	11	37	0	0	0.236	0.296	0.371	850
"Drew Butera C  KC"	137	16	33	20	8	1	4	13	7	41	0	0	0.241	0.283	0.402	856
"Tomas Nido C  NYM"	140	14	32	21	7	0	4	17	12	39	0	0	0.229	0.299	0.364	863
"Stuart Turner C  CIN "	141	13	33	23	7	0	3	16	10	38	1	0	0.234	0.294	0.347	875
"Ramon Cabrera C  CIN "	140	10	34	24	7	0	3	17	7	27	1	0	0.243	0.284	0.357	879
"Brett Nicholas C  TEX"	100	12	24	14	6	0	4	13	9	28	0	0	0.240	0.315	0.420	883
"Spencer Kieboom C  WAS"	125	14	29	20	6	0	3	16	11	33	0	0	0.232	0.299	0.352	885
"Tuffy Gosewisch C  ATL "	221	17	45	31	8	1	5	19	18	56	1	0	0.204	0.273	0.317	886
"Carlos Perez C  LAA"	213	17	44	30	10	0	4	20	11	48	1	0	0.207	0.249	0.310	887
"Mitch Garver C  MIN"	140	14	30	19	7	0	4	17	12	44	0	0	0.214	0.281	0.350	889
"Carson Kelly C  STL"	148	14	32	20	8	0	4	17	10	38	0	0	0.216	0.280	0.351	891
"Luis Torrens C  SD "	138	14	30	21	6	0	3	16	10	38	0	0	0.217	0.280	0.326	909
"Jose Ruiz C  SD"	138	14	30	21	6	0	3	16	10	38	0	0	0.217	0.280	0.326	909
"Elias Diaz C  PIT "	129	12	29	20	6	0	3	16	10	33	0	0	0.225	0.291	0.341	911
"Francisco Pena C  BAL"	163	16	34	26	4	0	4	15	9	50	0	0	0.209	0.254	0.307	913
"Kevan Smith C  CHW"	133	13	30	21	6	0	3	14	8	37	0	0	0.226	0.275	0.338	920
"Christian Vazquez C  BOS"	163	18	36	25	8	1	2	14	9	41	0	0	0.221	0.270	0.319	922
"Bryan Holaday C  PHI "	153	14	34	22	9	1	2	16	8	42	0	0	0.222	0.270	0.333	928
"Pedro Severino C  WAS"	83	10	21	12	6	0	3	9	7	17	0	0	0.253	0.319	0.434	929
"A.J. Ellis C  MIA "	124	10	28	20	6	0	2	15	13	23	1	0	0.226	0.304	0.323	930
"Trevor Brown C  SF"	110	10	26	18	5	0	3	12	6	28	0	0	0.236	0.282	0.364	931
"Andrew Knapp C  PHI "	138	12	30	21	6	0	3	15	10	40	0	0	0.217	0.280	0.326	932
"Eric Fryer C  STL "	100	13	25	19	4	1	1	10	9	27	0	0	0.250	0.312	0.340	946
"Chris Stewart C  PIT "	149	13	35	28	6	0	1	13	12	26	0	0	0.235	0.305	0.295	960
"Kevin Plawecki C  NYM"	172	12	37	27	8	0	2	17	17	43	0	0	0.215	0.297	0.296	963
"Andrew Susac C  MIL"	76	9	17	9	4	1	3	9	8	28	0	0	0.224	0.306	0.421	964
"Manny Pina C  MIL"	84	7	21	14	5	0	2	11	8	23	0	0	0.250	0.315	0.381	965
"Jorge Alfaro C  PHI"	129	10	28	19	6	0	3	12	9	38	0	0	0.217	0.273	0.333	971
"Hector Sanchez C  SD "	58	5	14	9	3	0	2	8	4	14	0	0	0.241	0.302	0.397	991
"Justin O'Conner C  TB "	71	6	16	10	4	0	2	8	4	21	0	0	0.225	0.276	0.366	994
"Max Stassi C  HOU"	66	7	14	10	2	0	2	6	4	18	0	0	0.212	0.257	0.333	1001
"John Ryan Murphy C  MIN"	181	15	35	23	9	1	2	11	11	54	0	0	0.193	0.243	0.287	1003
"Oscar Hernandez C  ARI"	56	5	12	8	2	0	2	5	3	16	0	0	0.214	0.267	0.357	1008
"Austin Barnes C  LAD"	50	6	10	7	2	0	1	4	6	14	1	0	0.200	0.298	0.300	1011
"Tomas Telis C  MIA"	39	3	9	7	1	0	1	5	2	8	0	0	0.231	0.286	0.333	1020
"Brayan Pena C  STL "	83	5	21	16	5	0	0	5	7	10	0	0	0.253	0.319	0.313	1021
"Matt Koch C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1030
"Nick Trzesniak C  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ryan Lipkin C  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mike Kvasnicka C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Aaron Hathaway C  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ty Ross C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Justin Marra C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ryan January C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tim Federowicz C  CHC "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tommy Duenas C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ben Carhart C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Chuck Moorman C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Milver Reyes C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joey Paciorek C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Martin Medina C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Chad Tromp C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joe Odom C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Salomon Manriquez C  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Parker Berberet C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"George Kottaras C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tommy Mendonca C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Hamlet Marte C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Craig Manuel C  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Wilfredo Gimenez C  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Chairon Isenia C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jonathan Douillard C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jose Duarte C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Clinton Chauncey C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tony Sanchez C  SF "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Sean McCraw C  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Santiago Nessy C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
