Free Agent Relief Pitchers  Season   Projections Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Cody Allen RP  CLE "	67.0	0	0	0	3	5	40	2	95	26	47	2.55	1.09	155
"Mike Montgomery RP  CHC"	173.3	31	17	1	13	8	0	0	190	59	153	3.63	1.22	183
"Francisco Rodriguez RP  DET"	56.7	0	0	0	4	6	41	3	54	16	41	2.70	1.01	192
"Chris Devenski RP  HOU"	118.7	17	7	0	7	8	2	0	114	22	87	2.20	0.92	203
"Nathan Karns SP  KC "	181.3	32	16	1	12	10	0	0	183	62	159	3.62	1.22	210
"Shawn Kelley RP  WAS "	64.0	0	0	0	2	2	35	1	81	15	48	2.53	0.98	213
"Mark Melancon RP  SF "	61.3	0	0	0	2	3	33	1	53	11	45	1.91	0.91	236
"Kelvin Herrera RP  KC "	60.7	0	0	0	3	5	32	2	67	16	47	2.52	1.04	248
"Tony Watson RP  PIT "	60.7	0	0	0	2	3	32	2	50	16	45	2.37	1.01	281
"Matt Strahm RP  KC"	118.7	20	8	0	8	9	1	0	148	56	90	3.19	1.23	295
"Luis Perdomo SP  SD"	182.3	33	16	1	9	12	0	0	169	58	168	3.95	1.24	315
"Matt Bush RP  TEX"	83.7	0	0	0	6	7	2	0	86	21	58	2.37	0.94	326
"Michael Feliz RP  HOU"	118.7	20	10	0	10	8	0	0	166	42	104	4.78	1.23	343
"Jesse Chavez RP  LAA"	178.7	32	16	1	9	11	0	0	155	56	167	3.93	1.25	347
"Reynaldo Lopez SP  CHW "	136.3	12	5	0	7	5	2	0	133	51	110	3.76	1.18	358
"Clay Buchholz SP  PHI "	182.7	32	15	1	8	12	0	0	175	60	176	3.99	1.29	369
"Zach Neal RP  OAK "	151.3	26	12	1	8	9	0	0	129	40	142	3.87	1.20	390
"Wade LeBlanc RP  PIT "	118.7	18	8	0	8	8	2	0	98	21	113	3.79	1.13	393
"Ryan Dull RP  OAK"	79.3	0	0	0	5	7	2	0	78	18	54	2.84	0.91	394
"Nate Jones RP  CHW"	71.7	0	0	0	4	4	2	0	87	17	49	2.51	0.92	396
"Corey Knebel RP  MIL "	54.0	0	0	0	2	3	29	1	60	21	49	3.83	1.30	401
"Koji Uehara RP  CHC "	70.7	0	0	0	4	6	3	0	88	16	50	2.80	0.93	403
"Brad Brach RP  BAL "	78.0	0	0	0	5	7	2	0	90	32	57	2.42	1.14	410
"Will Smith RP  SF "	61.3	0	0	0	4	4	12	1	83	25	50	2.94	1.22	412
