All Second Basemen  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Trea Turner CF  WAS "	611	88	185	126	23	17	19	61	26	120	51	6	0.303	0.333	0.489	5
"Jose Altuve 2B  HOU "	588	87	196	138	36	4	18	75	41	55	27	4	0.333	0.384	0.500	8
"Jonathan Villar SS  MIL "	567	87	162	104	38	5	15	59	60	166	50	9	0.286	0.356	0.450	12
"Eduardo Nunez 3B  SF "	584	80	173	127	28	4	14	73	32	90	38	7	0.296	0.339	0.430	20
"Daniel Murphy 2B  WAS "	588	84	192	119	46	6	21	100	38	61	6	2	0.327	0.372	0.532	23
"Dee Gordon 2B  MIA "	609	90	184	150	22	8	4	40	31	102	50	8	0.302	0.338	0.384	32
"Rougned Odor 2B  TEX "	606	89	160	89	32	9	30	88	25	144	11	4	0.264	0.301	0.495	43
"DJ LeMahieu 2B  COL "	565	101	182	137	29	6	10	66	59	101	17	4	0.322	0.389	0.448	46
"Ian Kinsler 2B  DET "	585	103	167	110	30	6	21	75	38	107	11	3	0.285	0.339	0.465	49
"Brian Dozier 2B  MIN "	570	93	139	68	33	5	33	82	56	148	11	1	0.244	0.321	0.493	51
"Jason Kipnis 2B  CLE "	581	89	164	98	40	6	20	75	51	133	10	2	0.282	0.350	0.475	70
"Robinson Cano 2B  SEA "	584	84	167	107	32	2	26	81	39	97	1	0	0.286	0.338	0.481	76
"Jean Segura 2B  SEA "	589	81	171	121	30	4	16	56	30	94	22	3	0.290	0.339	0.436	79
"Matt Carpenter 3B  STL "	549	94	147	74	41	5	27	77	77	142	2	1	0.268	0.364	0.508	82
"Devon Travis 2B  TOR "	604	86	183	122	43	2	16	76	26	127	6	1	0.303	0.333	0.460	83
"Neil Walker 2B  NYM "	581	82	158	107	22	3	26	80	54	123	4	1	0.272	0.337	0.454	93
"Jose Ramirez 3B  CLE "	585	85	168	112	41	4	11	69	43	68	17	3	0.287	0.341	0.427	97
"Brandon Phillips 2B  CIN"	614	72	179	137	30	2	10	65	22	77	18	4	0.291	0.326	0.396	121
"Ben Zobrist 2B  CHC "	552	91	151	96	35	4	16	69	80	87	5	2	0.274	0.368	0.438	131
"Dustin Pedroia 2B  BOS "	582	84	175	129	32	1	13	62	48	79	5	2	0.301	0.355	0.426	135
"Logan Forsythe 2B  TB"	591	82	157	101	30	5	21	64	48	142	7	3	0.266	0.329	0.440	140
"Jonathan Schoop 2B  BAL "	614	76	163	102	37	3	21	78	18	145	3	2	0.266	0.296	0.438	144
"Yangervis Solarte 3B  SD "	583	70	162	105	38	3	16	83	40	77	1	0	0.278	0.333	0.436	162
"Starlin Castro 2B  NYY"	616	65	164	112	30	2	20	76	23	123	4	1	0.266	0.297	0.419	169
"Josh Harrison 2B  PIT "	600	70	170	123	34	8	5	60	22	94	18	4	0.283	0.316	0.392	178
"Joe Panik 2B  SF "	480	75	139	95	28	5	11	63	50	59	5	1	0.290	0.365	0.438	190
"Jedd Gyorko 2B  STL"	495	60	121	76	14	1	30	69	40	123	0	0	0.244	0.303	0.459	195
"Cesar Hernandez 2B  PHI"	565	70	161	128	19	9	5	42	66	126	21	6	0.285	0.362	0.377	202
"Brett Lawrie 2B  CHW "	599	63	154	99	34	1	20	62	36	187	8	2	0.257	0.304	0.417	207
"Raul Mondesi 2B  KC"	457	62	107	79	12	8	8	51	26	148	26	1	0.234	0.286	0.348	243
"Jorge Polanco SS  MIN "	496	53	131	87	29	7	8	54	36	105	8	3	0.264	0.325	0.399	318
"Howie Kendrick LF  PHI"	513	58	133	96	27	3	7	39	35	106	14	2	0.259	0.310	0.364	325
"Ryan Schimpf 2B  SD"	401	63	80	33	24	5	18	66	54	132	1	1	0.200	0.311	0.419	331
"Chase Utley 2B  LAD"	464	67	113	73	25	3	12	49	37	103	3	1	0.243	0.316	0.388	335
"Scooter Gennett 2B  MIL "	448	54	117	76	27	3	11	48	25	100	5	1	0.261	0.306	0.408	337
"Steve Pearce 1B  TOR "	357	50	94	61	17	1	15	49	40	76	1	0	0.263	0.344	0.443	338
"Hernan Perez 3B  MIL"	345	36	87	59	17	3	8	42	12	85	19	3	0.252	0.279	0.388	353
"Sean Rodriguez 1B  ATL "	352	45	90	53	19	1	17	47	27	122	2	1	0.256	0.318	0.460	355
"Javier Baez 3B  CHC"	345	36	96	69	16	1	10	42	10	92	10	2	0.278	0.310	0.417	363
"Wilmer Flores 3B  NYM "	348	43	91	60	16	1	14	49	21	56	1	0	0.262	0.309	0.434	387
"Jose Peraza SS  CIN "	268	28	79	62	10	3	4	26	10	43	21	5	0.295	0.335	0.399	398
"Kolten Wong 2B  STL "	432	52	105	77	15	6	7	37	35	76	13	3	0.243	0.316	0.354	399
"Nick Franklin LF  TB"	425	40	98	59	23	4	12	49	26	117	10	1	0.231	0.281	0.388	404
"Jace Peterson 2B  ATL"	419	50	104	72	19	4	9	38	51	105	8	3	0.248	0.333	0.377	409
"Brock Holt LF  BOS "	437	55	109	76	24	3	6	42	37	95	6	1	0.249	0.314	0.359	420
"Jed Lowrie 2B  OAK "	588	60	143	109	25	2	7	52	51	124	1	0	0.243	0.308	0.328	426
"Joey Wendle 2B  OAK"	419	46	103	82	12	2	7	40	25	82	7	1	0.246	0.291	0.334	446
"Whit Merrifield 2B  KC"	310	44	82	55	20	4	3	30	20	72	8	2	0.265	0.309	0.384	470
"Jurickson Profar 3B  TEX "	433	58	99	75	12	5	7	34	49	108	3	1	0.229	0.313	0.328	477
"Marwin Gonzalez 1B  HOU "	309	33	81	55	16	2	8	29	12	63	5	2	0.262	0.296	0.405	490
"Enrique Hernandez LF  LAD"	340	41	79	50	16	2	11	31	37	98	3	1	0.232	0.309	0.388	495
"Brandon Drury LF  ARI "	298	34	80	53	18	0	9	32	19	65	0	0	0.269	0.317	0.419	503
"Tyler Saladino 2B  CHW "	191	22	50	37	7	1	5	22	8	42	7	2	0.262	0.298	0.387	585
"Tony Wolters C  COL"	198	26	50	32	12	2	4	29	18	57	4	1	0.253	0.315	0.394	593
"Derek Dietrich 2B  MIA "	228	28	60	38	13	3	6	26	21	58	0	0	0.263	0.356	0.425	603
"Eduardo Escobar SS  MIN "	302	30	69	45	16	2	6	35	18	71	1	0	0.229	0.274	0.354	612
"Chris Coghlan LF  CHC"	221	32	48	29	11	2	6	24	29	55	4	1	0.217	0.314	0.366	620
"Kaleb Cowart 3B  LAA"	430	45	80	55	18	0	7	41	15	137	2	1	0.186	0.221	0.277	636
"Pat Valaika 3B  COL"	161	25	41	27	8	1	5	20	9	45	2	0	0.255	0.298	0.410	641
"Aneury Tavarez 2B  BAL"	152	21	38	24	7	1	6	18	11	41	1	0	0.250	0.305	0.428	674
