Free Agent Shortstops  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Manny Machado 3B  BAL "	589	93	167	104	34	2	27	82	47	111	10	4	0.283	0.340	0.486	40
"Asdrubal Cabrera SS  NYM "	595	78	164	103	35	4	22	72	42	126	6	1	0.276	0.329	0.459	117
"Brandon Crawford SS  SF "	570	73	153	94	33	8	18	90	51	140	7	1	0.268	0.337	0.449	119
"Didi Gregorius SS  NYY "	608	71	164	109	34	3	18	72	24	105	6	1	0.270	0.307	0.424	158
"Jedd Gyorko 2B  STL"	495	60	121	76	14	1	30	69	40	123	0	0	0.244	0.303	0.459	195
"Freddy Galvis SS  PHI "	603	63	150	106	24	4	16	63	28	138	14	3	0.249	0.285	0.381	215
"Zack Cozart SS  CIN "	592	77	148	94	34	3	17	61	42	106	6	1	0.250	0.304	0.404	222
"Chris Owings SS  ARI "	596	66	151	103	31	11	6	57	25	144	21	2	0.253	0.290	0.372	235
"Raul Mondesi 2B  KC"	457	62	107	79	12	8	8	51	26	148	26	1	0.234	0.286	0.348	243
"Matt Duffy 3B  TB "	601	66	149	104	28	4	13	55	28	126	10	2	0.248	0.289	0.373	274
"Alcides Escobar SS  KC"	614	63	156	120	22	8	6	54	26	96	15	3	0.254	0.290	0.345	289
"Orlando Arcia SS  MIL"	497	57	122	81	26	6	9	46	37	136	19	1	0.245	0.300	0.376	291
"Danny Espinosa SS  LAA "	554	68	115	76	19	0	20	62	45	172	6	1	0.208	0.291	0.350	296
"Andrelton Simmons SS  LAA"	590	64	154	118	27	3	6	54	36	62	9	1	0.261	0.309	0.347	303
"Jorge Polanco SS  MIN "	496	53	131	87	29	7	8	54	36	105	8	3	0.264	0.325	0.399	318
"J.J. Hardy SS  BAL"	609	63	148	101	36	0	11	64	34	120	0	0	0.243	0.283	0.356	351
"Sean Rodriguez 1B  ATL "	352	45	90	53	19	1	17	47	27	122	2	1	0.256	0.318	0.460	355
"Jose Iglesias SS  DET "	589	67	153	116	31	2	4	37	32	68	11	4	0.260	0.309	0.340	356
"Wilmer Flores 3B  NYM "	348	43	91	60	16	1	14	49	21	56	1	0	0.262	0.309	0.434	387
"Jose Reyes 3B  NYM "	360	47	93	63	18	5	7	32	24	68	14	2	0.258	0.305	0.394	392
"Jose Peraza SS  CIN "	268	28	79	62	10	3	4	26	10	43	21	5	0.295	0.335	0.399	398
"Nick Franklin LF  TB"	425	40	98	59	23	4	12	49	26	117	10	1	0.231	0.281	0.388	404
"Brock Holt LF  BOS "	437	55	109	76	24	3	6	42	37	95	6	1	0.249	0.314	0.359	420
"Luis Sardinas SS  SD"	508	58	116	89	15	5	7	40	34	131	10	3	0.228	0.279	0.319	427
"Adeiny Hechavarria SS  MIA "	564	59	137	106	20	6	5	46	34	88	4	0	0.243	0.288	0.326	443
"Jhonny Peralta 3B  STL"	327	39	86	59	16	1	10	38	25	67	0	0	0.263	0.319	0.410	468
"Ketel Marte SS  ARI "	361	40	98	71	19	7	1	25	16	73	13	4	0.272	0.304	0.371	469
"Marwin Gonzalez 1B  HOU "	309	33	81	55	16	2	8	29	12	63	5	2	0.262	0.296	0.405	490
"Jordy Mercer SS  PIT "	372	41	93	68	17	2	6	37	30	61	1	0	0.250	0.311	0.355	517
"Ryan Flaherty 3B  BAL "	398	40	83	57	14	4	8	36	35	118	4	0	0.208	0.278	0.324	574
"Tyler Saladino 2B  CHW "	191	22	50	37	7	1	5	22	8	42	7	2	0.262	0.298	0.387	585
"Yefri Perez SS  MIA"	98	21	32	20	9	1	2	9	6	26	10	3	0.327	0.371	0.500	609
"Eduardo Escobar SS  MIN "	302	30	69	45	16	2	6	35	18	71	1	0	0.229	0.274	0.354	612
"Cliff Pennington 2B  LAA"	412	40	82	63	10	3	6	27	34	125	3	0	0.199	0.262	0.282	697
"Ramon Torres SS  KC"	148	19	37	26	6	2	3	15	9	30	3	0	0.250	0.302	0.378	749
"Greg Garcia 3B  STL"	182	24	49	37	10	0	2	12	28	41	1	1	0.269	0.376	0.357	755
"Jack Reinheimer SS  ARI"	151	19	38	26	7	2	3	15	10	36	2	0	0.252	0.302	0.384	767
"Drew Robinson SS  TEX"	148	20	34	24	6	1	3	16	11	35	2	0	0.230	0.292	0.345	783
