All Third Basemen  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Nolan Arenado 3B  COL "	578	106	166	86	36	4	40	127	52	108	2	1	0.287	0.349	0.571	3
"Jonathan Villar SS  MIL "	567	87	162	104	38	5	15	59	60	166	50	9	0.286	0.356	0.450	12
"Josh Donaldson 3B  TOR "	539	108	156	87	33	5	31	92	73	118	6	0	0.289	0.381	0.542	14
"Kris Bryant 3B  CHC "	562	98	163	96	33	4	30	90	62	157	9	3	0.290	0.373	0.523	19
"Eduardo Nunez 3B  SF "	584	80	173	127	28	4	14	73	32	90	38	7	0.296	0.339	0.430	20
"Justin Turner 3B  LAD "	578	86	169	98	38	6	27	100	50	112	6	1	0.292	0.365	0.519	31
"Manny Machado 3B  BAL "	589	93	167	104	34	2	27	82	47	111	10	4	0.283	0.340	0.486	40
"Todd Frazier 3B  CHW "	582	84	133	71	26	0	36	91	50	160	11	3	0.229	0.295	0.459	55
"Adrian Beltre 3B  TEX "	582	87	164	104	31	3	26	95	48	76	1	0	0.282	0.341	0.479	56
"Matt Carpenter 3B  STL "	549	94	147	74	41	5	27	77	77	142	2	1	0.268	0.364	0.508	82
"Jose Ramirez 3B  CLE "	585	85	168	112	41	4	11	69	43	68	17	3	0.287	0.341	0.427	97
"Kyle Seager 3B  SEA "	567	77	151	89	36	3	23	79	56	102	4	2	0.266	0.340	0.462	123
"Evan Longoria 3B  TB "	606	71	159	92	37	3	27	80	37	141	1	0	0.262	0.308	0.467	129
"Jung Ho Kang 3B  PIT "	487	66	130	76	28	1	25	79	44	113	4	1	0.267	0.348	0.482	133
"Miguel Sano 3B  MIN "	552	74	124	65	27	2	30	85	72	254	1	0	0.225	0.316	0.444	154
"Maikel Franco 3B  PHI "	584	68	149	97	28	1	23	86	43	112	1	0	0.255	0.313	0.425	156
"Anthony Rendon 3B  WAS "	572	81	149	97	35	2	15	72	56	123	8	3	0.261	0.333	0.407	157
"Yangervis Solarte 3B  SD "	583	70	162	105	38	3	16	83	40	77	1	0	0.278	0.333	0.436	162
"Nick Castellanos 3B  DET "	593	64	157	92	36	7	22	80	39	177	1	0	0.265	0.315	0.460	170
"Adonis Garcia 3B  ATL"	607	73	160	110	33	0	17	76	25	122	3	1	0.264	0.300	0.402	180
"Eugenio Suarez 3B  CIN"	589	70	148	101	26	2	19	67	44	162	9	2	0.251	0.313	0.399	184
"Jedd Gyorko 2B  STL"	495	60	121	76	14	1	30	69	40	123	0	0	0.244	0.303	0.459	195
"David Wright 3B  NYM "	526	71	129	82	29	0	18	57	77	176	12	5	0.245	0.343	0.403	206
"Jake Lamb 3B  ARI "	448	65	111	59	25	7	20	71	50	130	4	1	0.248	0.326	0.469	214
"Travis Shaw 3B  MIL "	520	62	126	72	31	2	21	70	49	225	7	2	0.242	0.314	0.431	216
"Ryon Healy 3B  OAK "	558	66	145	90	33	0	22	67	23	118	0	0	0.260	0.294	0.437	217
"Martin Prado 3B  MIA"	585	64	170	124	33	3	10	71	47	75	2	1	0.291	0.348	0.408	221
"Chase Headley 3B  NYY"	577	74	146	102	26	2	16	63	54	161	6	2	0.253	0.326	0.388	223
"Alex Bregman 3B  HOU "	489	65	123	77	26	5	15	64	35	108	6	1	0.252	0.304	0.417	249
"Mike Moustakas 3B  KC "	475	63	117	73	26	1	17	71	37	76	0	0	0.246	0.309	0.413	267
"Matt Duffy 3B  TB "	601	66	149	104	28	4	13	55	28	126	10	2	0.248	0.289	0.373	274
"Yunel Escobar 3B  LAA"	580	72	172	135	28	2	7	46	40	84	1	0	0.297	0.348	0.388	276
"Jorge Polanco SS  MIN "	496	53	131	87	29	7	8	54	36	105	8	3	0.264	0.325	0.399	318
"Howie Kendrick LF  PHI"	513	58	133	96	27	3	7	39	35	106	14	2	0.259	0.310	0.364	325
"Danny Valencia 3B  SEA "	338	51	96	64	16	1	15	41	29	95	1	1	0.284	0.346	0.470	327
"Ryan Schimpf 2B  SD"	401	63	80	33	24	5	18	66	54	132	1	1	0.200	0.311	0.419	331
"Hernan Perez 3B  MIL"	345	36	87	59	17	3	8	42	12	85	19	3	0.252	0.279	0.388	353
"Sean Rodriguez 1B  ATL "	352	45	90	53	19	1	17	47	27	122	2	1	0.256	0.318	0.460	355
"Javier Baez 3B  CHC"	345	36	96	69	16	1	10	42	10	92	10	2	0.278	0.310	0.417	363
""Yulieski Gurriel 3B  HOU ""	438	48	112	76	23	1	12	49	25	73	4	2	0.256	0.305	0.395	372
"Wilmer Flores 3B  NYM "	348	43	91	60	16	1	14	49	21	56	1	0	0.262	0.309	0.434	387
"Jose Reyes 3B  NYM "	360	47	93	63	18	5	7	32	24	68	14	2	0.258	0.305	0.394	392
"Brock Holt LF  BOS "	437	55	109	76	24	3	6	42	37	95	6	1	0.249	0.314	0.359	420
"Joey Gallo 3B  TEX "	349	52	65	37	11	2	15	43	49	158	9	1	0.186	0.288	0.358	421
"Yoan Moncada 3B  CHW "	259	30	66	44	14	1	7	30	17	78	18	2	0.255	0.306	0.398	422
"Cheslor Cuthbert 3B  KC"	450	47	117	79	26	2	10	38	31	94	2	0	0.260	0.308	0.393	433
"Jefry Marte 1B  LAA"	278	35	65	36	13	0	16	41	19	77	2	1	0.234	0.295	0.453	442
"Yonder Alonso 1B  OAK "	434	49	109	75	28	0	6	45	44	70	2	1	0.251	0.323	0.357	455
"Pablo Sandoval 3B  BOS "	463	44	113	75	27	1	10	49	26	86	0	0	0.244	0.296	0.371	461
"Jhonny Peralta 3B  STL"	327	39	86	59	16	1	10	38	25	67	0	0	0.263	0.319	0.410	468
"Whit Merrifield 2B  KC"	310	44	82	55	20	4	3	30	20	72	8	2	0.265	0.309	0.384	470
"Jurickson Profar 3B  TEX "	433	58	99	75	12	5	7	34	49	108	3	1	0.229	0.313	0.328	477
"Rob Segedin LF  LAD"	313	38	74	49	12	4	9	40	26	90	2	0	0.236	0.307	0.387	488
"Marwin Gonzalez 1B  HOU "	309	33	81	55	16	2	8	29	12	63	5	2	0.262	0.296	0.405	490
"Enrique Hernandez LF  LAD"	340	41	79	50	16	2	11	31	37	98	3	1	0.232	0.309	0.388	495
"Brandon Drury LF  ARI "	298	34	80	53	18	0	9	32	19	65	0	0	0.269	0.317	0.419	503
"Ryan Flaherty 3B  BAL "	398	40	83	57	14	4	8	36	35	118	4	0	0.208	0.278	0.324	574
"Tyler Saladino 2B  CHW "	191	22	50	37	7	1	5	22	8	42	7	2	0.262	0.298	0.387	585
"JaCoby Jones 3B  DET"	237	31	59	38	14	2	5	23	15	76	4	0	0.249	0.299	0.388	592
"Derek Dietrich 2B  MIA "	228	28	60	38	13	3	6	26	21	58	0	0	0.263	0.356	0.425	603
"Eduardo Escobar SS  MIN "	302	30	69	45	16	2	6	35	18	71	1	0	0.229	0.274	0.354	612
"Conor Gillaspie 3B  SF "	182	20	48	29	9	2	8	26	10	34	0	0	0.264	0.306	0.467	615
"Luis Valbuena 3B  HOU "	204	25	49	30	10	0	9	25	23	46	0	0	0.240	0.323	0.422	619
"Chris Coghlan LF  CHC"	221	32	48	29	11	2	6	24	29	55	4	1	0.217	0.314	0.366	620
"Kaleb Cowart 3B  LAA"	430	45	80	55	18	0	7	41	15	137	2	1	0.186	0.221	0.277	636
"Pat Valaika 3B  COL"	161	25	41	27	8	1	5	20	9	45	2	0	0.255	0.298	0.410	641
"Christian Villanueva 3B  CHC "	156	20	40	26	8	1	5	21	13	39	1	0	0.256	0.322	0.417	667
"Miguel Andujar 3B  NYY "	154	19	39	24	8	1	6	20	12	39	1	0	0.253	0.311	0.435	668
"Tommy La Stella 3B  CHC"	198	20	55	35	16	1	3	17	17	32	1	0	0.278	0.341	0.414	704
"Rio Ruiz 3B  ATL"	158	18	40	26	8	2	4	20	11	41	2	0	0.253	0.310	0.405	712
"Andy Burns 3B  TOR "	157	24	35	22	7	1	5	20	11	42	1	0	0.223	0.286	0.376	714
"David Freese 3B  PIT "	160	20	42	29	9	0	4	19	13	48	0	0	0.263	0.333	0.394	723
"Giovanny Urshela 3B  CLE"	210	24	48	34	7	1	6	20	14	47	0	0	0.229	0.286	0.357	724
"J.T. Riddle 3B  MIA"	155	17	40	27	8	1	4	18	11	36	1	0	0.258	0.316	0.400	745
"Greg Garcia 3B  STL"	182	24	49	37	10	0	2	12	28	41	1	1	0.269	0.376	0.357	755
"Jeimer Candelario 3B  CHC"	142	17	35	23	7	1	4	18	13	37	1	0	0.246	0.319	0.394	764
"T.J. Rivera 2B  NYM"	123	13	33	23	6	1	3	14	7	27	1	0	0.268	0.313	0.406	812
"Alexi Amarista 2B  COL "	188	14	45	37	5	2	1	16	12	31	5	1	0.239	0.285	0.303	824
"Ryan Goins 2B  TOR "	223	22	48	32	10	3	3	20	14	58	1	0	0.215	0.265	0.327	837
"Darwin Barney 2B  TOR "	162	20	41	31	7	1	2	11	9	29	1	0	0.253	0.296	0.346	840
"Chase d'Arnaud SS  ATL"	124	14	31	22	7	1	1	12	11	31	4	1	0.250	0.316	0.347	851
"Tim Beckham SS  TB "	164	16	36	20	8	4	4	15	9	60	2	0	0.220	0.264	0.390	852
"Ronald Torreyes 3B  NYY"	136	18	32	23	7	1	1	11	9	23	2	0	0.235	0.288	0.324	894
"Andres Blanco 3B  PHI "	88	12	24	13	8	1	2	9	6	19	1	0	0.273	0.333	0.455	897
"Matt Reynolds SS  NYM"	99	13	23	12	8	0	3	13	6	33	0	0	0.232	0.283	0.404	904
"Shawn O'Malley RF  SEA"	128	14	29	20	5	3	1	10	12	39	4	1	0.227	0.303	0.336	905
"Christian Colon 2B  KC"	162	15	39	32	6	0	1	14	12	35	1	1	0.241	0.301	0.296	912
"Carlos Sanchez 2B  CHW"	155	16	33	20	9	1	3	16	7	40	0	0	0.213	0.252	0.342	914
"Adam Frazier LF  PIT "	81	11	23	17	4	1	1	7	6	16	2	0	0.284	0.341	0.395	915
"Josh Rutledge 3B  BOS "	98	13	25	18	6	0	1	9	8	36	1	0	0.255	0.318	0.347	926
"Colin Moran 3B  HOU"	104	12	23	16	5	0	2	11	7	23	1	0	0.221	0.277	0.327	941
"Andrew Romine 3B  DET "	90	10	20	16	2	1	1	7	5	22	4	0	0.222	0.278	0.300	947
"Gregorio Petit 2B  LAA "	164	15	35	25	8	1	1	12	11	52	0	0	0.213	0.267	0.293	985
"Marco Hernandez 2B  BOS"	44	7	12	9	2	0	1	4	3	9	1	0	0.273	0.319	0.386	988
"Phil Gosselin 2B  ARI"	59	7	16	12	3	0	1	4	4	12	1	0	0.271	0.318	0.373	989
"Ty Kelly 3B  NYM"	56	8	14	10	2	1	1	7	7	12	0	0	0.250	0.333	0.375	990
"Cristhian Adames SS  COL"	109	11	23	17	3	2	1	8	10	25	1	0	0.211	0.289	0.303	992
"Yadiel Rivera 3B  MIL"	99	13	20	14	5	0	1	6	5	29	1	0	0.202	0.240	0.283	993
"Chris Taylor 3B  LAD"	85	10	16	11	3	1	1	6	6	24	2	0	0.188	0.242	0.282	999
"Hanser Alberto 3B  TEX"	106	10	21	17	3	1	0	10	2	29	1	0	0.198	0.213	0.245	1005
"Miguel Rojas 2B  MIA"	81	9	18	14	4	0	0	6	5	12	0	0	0.222	0.267	0.272	1014
"Ehire Adrianza SS  SF "	68	5	14	10	3	0	1	6	6	15	1	0	0.206	0.289	0.294	1015
"Nick Tanielu 3B  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeff McNeil 3B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Simon Klink 3B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kole Enright 3B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Scott Sizemore 3B  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Juan Portes 3B  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Agustin Murillo 3B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Reid Redman 3B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Hunter Brown 3B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kellen Sweeney 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jonah Arenado 3B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mitch Nay 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mitch Delfino 3B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Carlos Franco 3B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael Almanzar 3B  BAL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Josh Bell 3B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brian Hernandez 3B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mike Olt 3B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Josh Johnson 3B  WAS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael Benjamin 3B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ryan Stovall 3B  KC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Donell Linares 3B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Wladimir Galindo 3B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brandon Bednar 3B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Eric Campbell 1B  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Adam Rosales 3B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"T.J. Mittelstaedt 3B  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brennan King 3B  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Royce Huffman 3B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kyle Reynolds 3B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Sherman Johnson 3B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Josh Vitters 3B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Matt Chapman 3B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Taylor Sparks 3B  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Walker Gourley 3B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joshua Adams 3B  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ariel Soriano 3B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Colton Welker 3B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael Chavis 3B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Trevor Plouffe 3B  OAK "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tim Torres 3B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joe Sclafani 3B  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Greg Rohan 3B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Vladimir Guerrero 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brandon Taylor 3B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ronald Prettyman 3B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Rodney Nye 3B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Darryl George 3B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Yonathan Mendoza 3B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jonathan Meyer 3B  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Lopez Jova 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gary Varner 3B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Micah Schnurstein 3B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mauricio Ramos 3B  KC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gabriel Quintana 3B  SD "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Juan Uribe 3B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
