Free Agent First Basemen  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Kendrys Morales DH | TOR,575,79,148,85,30,0,33,111,68,143,0,0,0.257,0.343,0.482,53
W ,Adrian Gonzalez 1B | LAD ,580,73,163,110,32,0,21,94,53,121,1,0,0.281,0.346,0.445,105
W ,Brandon Belt 1B | SF ,537,78,147,82,38,6,21,81,85,169,4,1,0.274,0.379,0.484,118
W ,C.J. Cron 1B | LAA ,566,61,146,92,28,3,23,83,29,130,3,1,0.258,0.306,0.440,165
W ,Jedd Gyorko 2B | STL,495,60,121,76,14,1,30,69,40,123,0,0,0.244,0.303,0.459,195
W ,Justin Bour 1B | MIA,434,50,113,66,20,1,26,77,49,101,0,0,0.260,0.337,0.491,200
W ,Kennys Vargas 1B | MIN,515,76,112,59,27,0,26,60,61,202,0,0,0.217,0.300,0.421,257
W ,Ryan Zimmerman 1B | WAS,591,74,132,82,30,2,18,74,40,141,4,1,0.223,0.278,0.372,259
W ,Mitch Moreland 1B | BOS ,466,50,116,69,29,0,18,68,34,119,1,0,0.249,0.308,0.427,292
W ,Joe Mauer 1B | MIN,439,63,117,80,24,3,10,50,70,107,2,0,0.267,0.369,0.403,323
W ,Josh Bell 1B | PIT ,421,56,113,77,25,1,10,54,45,81,3,2,0.268,0.342,0.404,324
W ,Howie Kendrick LF | PHI,513,58,133,96,27,3,7,39,35,106,14,2,0.259,0.310,0.364,325
W ,Steve Pearce 1B | TOR ,357,50,94,61,17,1,15,49,40,76,1,0,0.263,0.344,0.443,338
W ,Sean Rodriguez 1B | ATL ,352,45,90,53,19,1,17,47,27,122,2,1,0.256,0.318,0.460,355
W ,Dan Vogelbach 1B | SEA,330,43,78,45,14,1,18,47,34,113,3,0,0.236,0.315,0.449,380
W ,Wilmer Flores 3B | NYM ,348,43,91,60,16,1,14,49,21,56,1,0,0.262,0.309,0.434,387
W ,Nick Franklin LF | TB,425,40,98,59,23,4,12,49,26,117,10,1,0.231,0.281,0.388,404
W ,Justin Smoak 1B | TOR,445,49,93,56,17,1,19,56,44,170,1,0,0.209,0.285,0.380,407
W ,Jefry Marte 1B | LAA,278,35,65,36,13,0,16,41,19,77,2,1,0.234,0.295,0.453,442
W ,Greg Bird 1B | NYY,228,34,57,31,12,0,14,39,21,75,1,0,0.250,0.319,0.487,451
W ,Yonder Alonso 1B | OAK ,434,49,109,75,28,0,6,45,44,70,2,1,0.251,0.323,0.357,455
W ,Rob Segedin LF | LAD,313,38,74,49,12,4,9,40,26,90,2,0,0.236,0.307,0.387,488
W ,Marwin Gonzalez 1B | HOU ,309,33,81,55,16,2,8,29,12,63,5,2,0.262,0.296,0.405,490
W ,A.J. Reed 1B | HOU,323,36,70,44,11,1,14,34,42,111,1,0,0.217,0.311,0.387,521
W ,Tyler Austin 1B | NYY,227,25,55,34,10,1,10,28,18,81,3,0,0.242,0.301,0.427,554
W ,Richie Shaffer 1B | CIN ,272,34,60,31,18,0,11,29,34,93,1,1,0.221,0.316,0.408,561
W ,Ryan Flaherty 3B | BAL ,398,40,83,57,14,4,8,36,35,118,4,0,0.208,0.278,0.324,574
W ,Chris Colabello 1B | CLE ,179,24,51,34,9,1,7,23,11,57,1,0,0.285,0.333,0.464,582
W ,Matt Adams 1B | STL ,211,22,50,29,11,0,10,32,15,59,0,0,0.237,0.291,0.431,591
W ,Derek Dietrich 2B | MIA ,228,28,60,38,13,3,6,26,21,58,0,0,0.263,0.356,0.425,603
W ,Conor Gillaspie 3B | SF ,182,20,48,29,9,2,8,26,10,34,0,0,0.264,0.306,0.467,615
W ,Luis Valbuena 3B | HOU ,204,25,49,30,10,0,9,25,23,46,0,0,0.240,0.323,0.422,619
W ,Chris Coghlan LF | CHC,221,32,48,29,11,2,6,24,29,55,4,1,0.217,0.314,0.366,620
W ,John Jaso 1B | PIT,213,25,57,37,15,1,4,24,24,41,0,0,0.268,0.347,0.404,644
W ,Byung Ho Park 1B | MIN ,180,25,35,16,8,1,10,23,18,69,1,0,0.194,0.279,0.417,649
W ,Matt Skole 1B | WAS,154,19,39,25,8,1,5,20,12,37,1,0,0.253,0.316,0.416,694
W ,Ryan Rua LF | TEX,142,22,34,23,5,1,5,12,12,53,4,0,0.239,0.308,0.394,696
W ,Jose Marmolejos-Diaz 1B | WAS,146,18,35,22,7,0,6,21,16,39,1,0,0.240,0.319,0.411,698
W ,D.J. Peterson 1B | SEA ,154,18,39,25,8,1,5,20,12,38,1,0,0.253,0.316,0.416,702
W ,Austin Romine C | NYY ,162,17,37,22,9,0,6,24,9,37,1,0,0.228,0.269,0.395,713
W ,Jose Osuna 1B | PIT,150,20,38,26,7,1,4,17,13,38,2,0,0.253,0.321,0.393,717
W ,David Freese 3B | PIT ,160,20,42,29,9,0,4,19,13,48,0,0,0.263,0.333,0.394,723
W ,Mark Canha 1B | OAK ,125,16,29,17,6,0,6,19,8,38,1,0,0.232,0.294,0.424,737
W ,Rangel Ravelo 1B | OAK ,148,17,35,21,8,0,6,20,15,38,0,0,0.236,0.311,0.412,741
W ,Clint Robinson 1B | WAS,170,17,43,33,6,0,4,20,16,30,0,0,0.253,0.325,0.359,760
W ,Rob Refsnyder RF | NYY,164,23,38,28,8,0,2,14,16,39,2,1,0.232,0.304,0.317,798
W ,Tyler White 1B | HOU,151,15,33,19,9,0,5,17,12,34,1,0,0.218,0.281,0.378,820
W ,Christian Walker 1B | BAL,127,15,30,20,5,1,4,13,13,38,1,0,0.236,0.312,0.386,845
W ,Darin Ruf 1B | LAD,99,12,23,14,4,0,5,15,9,28,0,0,0.232,0.309,0.424,849
W ,Tim Beckham SS | TB ,164,16,36,20,8,4,4,15,9,60,2,0,0.220,0.264,0.390,852
W ,Jesus Aguilar 1B | CLE,114,12,27,17,6,0,4,16,10,29,0,0,0.237,0.309,0.395,866
W ,Andres Blanco 3B | PHI ,88,12,24,13,8,1,2,9,6,19,1,0,0.273,0.333,0.455,897
W ,Stephen Cardullo 1B | COL ,72,9,18,10,4,1,3,9,5,18,1,0,0.250,0.299,0.458,924
W ,Ji-Man Choi 1B | LAA ,102,9,20,12,4,0,4,10,11,28,2,1,0.196,0.274,0.353,943
