All Outfielders  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Mike Trout CF | LAA ,524,112,159,92,28,8,31,89,95,159,21,5,0.303,0.421,0.565,2
Sofa K...,Trea Turner CF | WAS ,611,88,185,126,23,17,19,61,26,120,51,6,0.303,0.333,0.489,5
Tittys...,Charlie Blackmon CF | COL ,575,105,174,111,33,5,25,74,42,114,27,7,0.303,0.365,0.508,6
User A...,A.J. Pollock CF | ARI ,567,104,167,110,30,5,22,67,47,96,31,3,0.294,0.351,0.481,9
Shits ...,Ryan Braun LF | MIL ,542,88,158,98,26,4,30,94,47,119,18,3,0.291,0.355,0.520,10
EVIL E...,Mookie Betts RF | BOS ,594,96,177,112,37,6,22,87,38,79,20,3,0.298,0.342,0.492,15
Shits ...,Kris Bryant 3B | CHC ,562,98,163,96,33,4,30,90,62,157,9,3,0.290,0.373,0.523,19
W ,Bryce Harper RF | WAS ,517,95,145,85,30,3,27,88,102,124,16,5,0.281,0.403,0.507,21
Whiten...,Starling Marte LF | PIT ,584,83,177,122,37,5,13,63,26,120,39,7,0.303,0.351,0.450,22
EVIL E...,Carlos Gonzalez RF | COL ,584,92,166,95,37,2,32,104,45,145,2,1,0.284,0.337,0.519,25
W ,Ian Desmond CF | COL ,598,100,167,108,33,6,20,83,39,185,17,4,0.279,0.327,0.455,33
Tittys...,Nelson Cruz RF | SEA ,561,84,158,94,26,2,36,90,55,160,2,0,0.282,0.354,0.528,35
Sofa K...,J.D. Martinez RF | DET ,573,88,166,93,38,3,32,89,52,178,2,1,0.290,0.353,0.534,37
W ,Lorenzo Cain CF | KC ,588,93,163,115,30,4,14,84,47,133,25,5,0.277,0.337,0.413,41
Orange...,Yoenis Cespedes LF | NYM ,580,86,158,91,32,4,31,96,45,142,5,2,0.272,0.332,0.502,44
Floate...,Wil Myers 1B | SD ,569,92,150,94,28,6,22,83,62,136,20,3,0.264,0.340,0.450,45
Orange...,Khris Davis LF | OAK ,590,87,138,70,25,3,40,103,51,188,3,1,0.234,0.305,0.490,48
W ,Kendrys Morales DH | TOR,575,79,148,85,30,0,33,111,68,143,0,0,0.257,0.343,0.482,53
W ,Christian Yelich LF | MIA ,572,77,170,109,38,3,20,84,67,138,13,3,0.297,0.375,0.479,54
EVIL E...,Justin Upton LF | DET ,578,84,143,81,29,3,30,86,53,188,12,2,0.247,0.315,0.464,61
Shits ...,Jose Bautista RF | TOR ,527,92,126,65,28,3,30,96,89,131,4,1,0.239,0.353,0.474,66
Floate...,Kyle Schwarber LF | CHC ,480,89,127,84,15,1,27,79,65,143,7,2,0.265,0.360,0.469,68
Floate...,Giancarlo Stanton RF | MIA ,501,69,122,58,24,1,39,93,58,172,2,0,0.243,0.328,0.529,71
Shits ...,Carlos Beltran RF | HOU ,596,72,171,102,40,1,28,89,41,113,1,0,0.287,0.335,0.498,72
User A...,Jay Bruce RF | NYM,583,77,141,69,33,7,32,99,52,152,5,1,0.242,0.307,0.487,75
W ,Andrew McCutchen CF | PIT ,542,81,152,98,29,3,22,82,79,131,7,3,0.280,0.379,0.467,85
Whiten...,Mark Trumbo RF | BAL ,588,81,147,84,26,4,33,90,40,166,1,0,0.250,0.300,0.476,86
EVIL E...,George Springer RF | HOU ,556,90,150,97,24,4,25,63,63,133,10,3,0.270,0.354,0.462,88
Whiten...,Matt Kemp RF | ATL,597,75,159,98,34,1,26,91,36,152,4,0,0.266,0.311,0.457,95
Tittys...,Jose Ramirez 3B | CLE ,585,85,168,112,41,4,11,69,43,68,17,3,0.287,0.341,0.427,97
Tittys...,Curtis Granderson RF | NYM ,554,94,138,76,28,7,27,65,76,142,9,3,0.249,0.348,0.471,98
Tittys...,Adam Duvall LF | CIN ,589,79,135,68,30,6,31,97,42,180,5,2,0.229,0.289,0.458,99
Murder...,Gregory Polanco RF | PIT ,572,80,145,87,35,5,18,74,51,123,20,4,0.254,0.315,0.427,100
W ,Adam Eaton RF | WAS ,566,90,161,112,26,10,13,56,62,115,18,5,0.284,0.367,0.435,101
Disco ...,Stephen Piscotty RF | STL ,577,77,159,102,34,4,19,80,46,140,10,4,0.276,0.340,0.447,102
Whiten...,Cameron Maybin CF | LAA ,568,86,156,120,22,6,8,64,49,116,24,6,0.275,0.337,0.377,107
W ,Billy Hamilton CF | CIN ,476,67,119,96,16,4,3,21,34,103,62,5,0.250,0.303,0.319,109
Sofa K...,Yasmany Tomas RF | ARI ,593,72,157,98,31,2,26,84,29,159,4,1,0.265,0.301,0.455,110
Disco ...,Jackie Bradley CF | BOS ,567,88,141,80,30,9,22,82,54,163,7,1,0.249,0.327,0.450,114
W ,Adam Jones CF | BAL ,602,81,156,109,21,2,24,80,32,114,4,0,0.259,0.304,0.420,120
Disco ...,Odubel Herrera CF | PHI ,573,80,165,122,26,5,12,47,54,144,21,4,0.288,0.356,0.414,124
Tittys...,Shin-Soo Choo RF | TEX ,544,89,137,86,28,2,21,70,72,158,8,2,0.252,0.353,0.426,125
W ,Carlos Gomez CF | TEX ,584,73,139,90,30,2,17,77,42,177,21,5,0.238,0.298,0.384,128
Crime ...,Ben Zobrist 2B | CHC ,552,91,151,96,35,4,16,69,80,87,5,2,0.274,0.368,0.438,131
Old Di...,Dexter Fowler CF | STL ,552,90,148,93,30,8,17,47,63,138,15,3,0.268,0.351,0.444,134
W ,Hunter Pence RF | SF ,484,69,136,87,28,1,20,76,44,130,4,1,0.281,0.342,0.467,141
W ,Randal Grichuk CF | STL ,538,74,129,62,35,6,26,74,32,181,8,3,0.240,0.287,0.472,143
Murder...,Michael Brantley LF | CLE ,442,62,131,83,36,0,12,77,44,49,11,1,0.296,0.363,0.459,147
W ,Kevin Kiermaier CF | TB ,599,77,149,94,31,9,15,50,42,122,24,3,0.249,0.304,0.406,152
W ,Jacoby Ellsbury CF | NYY,584,80,152,111,25,6,10,55,50,110,22,5,0.260,0.323,0.375,153
Murder...,Miguel Sano 3B | MIN ,552,74,124,65,27,2,30,85,72,254,1,0,0.225,0.316,0.444,154
W ,Denard Span CF | SF ,574,74,158,114,27,4,13,53,46,86,16,4,0.275,0.334,0.404,161
W ,Melky Cabrera LF | CHW,598,69,170,113,40,4,13,81,41,80,2,0,0.284,0.331,0.430,166
Orange...,Marcell Ozuna CF | MIA ,592,73,153,98,28,4,23,73,44,134,1,0,0.258,0.315,0.436,168
W ,Ender Inciarte CF | ATL ,578,87,166,128,27,6,5,37,41,82,19,4,0.287,0.341,0.381,176
Murder...,Brett Gardner LF | NYY,565,86,146,104,25,7,10,50,66,137,17,3,0.258,0.344,0.381,182
Floate...,David Dahl LF | COL ,405,73,118,75,23,6,14,47,28,114,10,1,0.291,0.339,0.481,185
W ,Kole Calhoun RF | LAA ,574,76,148,95,28,6,19,68,54,147,3,1,0.258,0.328,0.427,189
W ,Leonys Martin CF | SEA ,584,70,137,99,20,4,14,49,42,171,27,5,0.235,0.289,0.354,191
