All Relief Pitchers  Season   Projections Standard Stats
Avail,Player,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank,
Old Di...,Kenley Jansen RP | LAD ,69.7,0,0,0,2,3,48,3,106,14,39,2.20,0.76,65
Floate...,Zach Britton RP | BAL ,62.0,0,0,0,2,3,44,1,70,15,42,1.31,0.92,126
Orange...,Wade Davis RP | CHC ,73.7,0,0,0,2,2,36,2,87,24,44,1.22,0.92,130
Disco ...,Roberto Osuna RP | TOR ,73.7,0,0,0,3,5,40,3,80,14,51,2.44,0.88,136
Shits ...,Danny Duffy SP | KC ,187.3,33,17,1,13,10,0,0,195,51,160,3.60,1.13,139
EVIL E...,Jeurys Familia RP | NYM ,68.7,0,0,0,2,4,47,3,73,21,52,2.23,1.06,145
Floate...,Alex Reyes SP | STL,185.0,32,22,1,14,8,0,0,190,60,171,3.21,1.25,148
W ,Cody Allen RP | CLE ,67.0,0,0,0,3,5,40,2,95,26,47,2.55,1.09,155
Whiten...,Aroldis Chapman RP | NYY ,59.0,0,0,0,3,3,35,3,97,25,37,1.83,1.05,164
Crime ...,Ivan Nova SP | PIT ,181.3,32,18,1,14,11,0,0,147,34,170,3.52,1.12,174
W ,Mike Montgomery RP | CHC,173.3,31,17,1,13,8,0,0,190,59,153,3.63,1.22,183
EVIL E...,Seung Hwan Oh RP | STL ,68.7,0,0,0,3,3,28,1,89,15,47,1.97,0.90,186
W ,Francisco Rodriguez RP | DET,56.7,0,0,0,4,6,41,3,54,16,41,2.70,1.01,192
W ,Chris Devenski RP | HOU,118.7,17,7,0,7,8,2,0,114,22,87,2.20,0.92,203
Orange...,Craig Kimbrel RP | BOS,64.3,0,0,0,3,5,34,2,97,29,39,3.08,1.06,209
W ,Nathan Karns SP | KC ,181.3,32,16,1,12,10,0,0,183,62,159,3.62,1.22,210
W ,Shawn Kelley RP | WAS ,64.0,0,0,0,2,2,35,1,81,15,48,2.53,0.98,213
Sofa K...,"David Phelps RP | MIA ",181.3,32,16,1,11,10,0,0,189,66,162,3.47,1.26,226
Murder...,Andrew Miller RP | CLE,81.0,0,0,0,3,2,5,0,134,18,46,1.67,0.79,229
W ,Mark Melancon RP | SF ,61.3,0,0,0,2,3,33,1,53,11,45,1.91,0.91,236
User A...,A.J. Ramos RP | MIA ,55.0,0,0,0,4,6,36,2,64,25,40,2.62,1.18,237
