Free Agent Second Basemen  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Jose Altuve 2B | HOU ,588,87,196,138,36,4,18,75,41,55,27,4,0.333,0.384,0.500,8
W ,Neil Walker 2B | NYM ,581,82,158,107,22,3,26,80,54,123,4,1,0.272,0.337,0.454,93
W ,Brandon Phillips 2B | CIN,614,72,179,137,30,2,10,65,22,77,18,4,0.291,0.326,0.396,121
W ,Starlin Castro 2B | NYY,616,65,164,112,30,2,20,76,23,123,4,1,0.266,0.297,0.419,169
W ,Joe Panik 2B | SF ,480,75,139,95,28,5,11,63,50,59,5,1,0.290,0.365,0.438,190
W ,Jedd Gyorko 2B | STL,495,60,121,76,14,1,30,69,40,123,0,0,0.244,0.303,0.459,195
W ,Cesar Hernandez 2B | PHI,565,70,161,128,19,9,5,42,66,126,21,6,0.285,0.362,0.377,202
W ,Brett Lawrie 2B | CHW ,599,63,154,99,34,1,20,62,36,187,8,2,0.257,0.304,0.417,207
W ,Raul Mondesi 2B | KC,457,62,107,79,12,8,8,51,26,148,26,1,0.234,0.286,0.348,243
W ,Jorge Polanco SS | MIN ,496,53,131,87,29,7,8,54,36,105,8,3,0.264,0.325,0.399,318
W ,Howie Kendrick LF | PHI,513,58,133,96,27,3,7,39,35,106,14,2,0.259,0.310,0.364,325
W ,Ryan Schimpf 2B | SD,401,63,80,33,24,5,18,66,54,132,1,1,0.200,0.311,0.419,331
W ,Chase Utley 2B | LAD,464,67,113,73,25,3,12,49,37,103,3,1,0.243,0.316,0.388,335
W ,Scooter Gennett 2B | MIL ,448,54,117,76,27,3,11,48,25,100,5,1,0.261,0.306,0.408,337
W ,Steve Pearce 1B | TOR ,357,50,94,61,17,1,15,49,40,76,1,0,0.263,0.344,0.443,338
W ,Sean Rodriguez 1B | ATL ,352,45,90,53,19,1,17,47,27,122,2,1,0.256,0.318,0.460,355
W ,Wilmer Flores 3B | NYM ,348,43,91,60,16,1,14,49,21,56,1,0,0.262,0.309,0.434,387
W ,Jose Peraza SS | CIN ,268,28,79,62,10,3,4,26,10,43,21,5,0.295,0.335,0.399,398
W ,Kolten Wong 2B | STL ,432,52,105,77,15,6,7,37,35,76,13,3,0.243,0.316,0.354,399
W ,Nick Franklin LF | TB,425,40,98,59,23,4,12,49,26,117,10,1,0.231,0.281,0.388,404
W ,Jace Peterson 2B | ATL,419,50,104,72,19,4,9,38,51,105,8,3,0.248,0.333,0.377,409
W ,Brock Holt LF | BOS ,437,55,109,76,24,3,6,42,37,95,6,1,0.249,0.314,0.359,420
W ,Jed Lowrie 2B | OAK ,588,60,143,109,25,2,7,52,51,124,1,0,0.243,0.308,0.328,426
W ,Joey Wendle 2B | OAK,419,46,103,82,12,2,7,40,25,82,7,1,0.246,0.291,0.334,446
W ,Whit Merrifield 2B | KC,310,44,82,55,20,4,3,30,20,72,8,2,0.265,0.309,0.384,470
W ,Marwin Gonzalez 1B | HOU ,309,33,81,55,16,2,8,29,12,63,5,2,0.262,0.296,0.405,490
W ,Enrique Hernandez LF | LAD,340,41,79,50,16,2,11,31,37,98,3,1,0.232,0.309,0.388,495
W ,Brandon Drury LF | ARI ,298,34,80,53,18,0,9,32,19,65,0,0,0.269,0.317,0.419,503
W ,Tyler Saladino 2B | CHW ,191,22,50,37,7,1,5,22,8,42,7,2,0.262,0.298,0.387,585
W ,Tony Wolters C | COL,198,26,50,32,12,2,4,29,18,57,4,1,0.253,0.315,0.394,593
W ,Derek Dietrich 2B | MIA ,228,28,60,38,13,3,6,26,21,58,0,0,0.263,0.356,0.425,603
W ,Eduardo Escobar SS | MIN ,302,30,69,45,16,2,6,35,18,71,1,0,0.229,0.274,0.354,612
W ,Chris Coghlan LF | CHC,221,32,48,29,11,2,6,24,29,55,4,1,0.217,0.314,0.366,620
W ,Kaleb Cowart 3B | LAA,430,45,80,55,18,0,7,41,15,137,2,1,0.186,0.221,0.277,636
W ,Pat Valaika 3B | COL,161,25,41,27,8,1,5,20,9,45,2,0,0.255,0.298,0.410,641
W ,Aneury Tavarez 2B | BAL,152,21,38,24,7,1,6,18,11,41,1,0,0.250,0.305,0.428,674
W ,Ildemaro Vargas 2B | ARI,155,18,40,26,8,1,5,20,11,40,1,0,0.258,0.311,0.419,695
W ,Cliff Pennington 2B | LAA,412,40,82,63,10,3,6,27,34,125,3,0,0.199,0.262,0.282,697
W ,Tommy La Stella 3B | CHC,198,20,55,35,16,1,3,17,17,32,1,0,0.278,0.341,0.414,704
W ,Cory Spangenberg 2B | SD ,162,20,41,28,7,3,3,15,14,42,4,1,0.253,0.324,0.389,720
W ,Greg Garcia 3B | STL,182,24,49,37,10,0,2,12,28,41,1,1,0.269,0.376,0.357,755
W ,Erik Gonzalez SS | CLE,158,20,44,37,4,1,2,10,11,52,1,1,0.279,0.329,0.354,786
W ,Breyvic Valera 2B | STL,148,19,35,24,7,1,3,15,12,34,2,0,0.236,0.302,0.358,789
