Free Agent Third Basemen  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Manny Machado 3B | BAL ,589,93,167,104,34,2,27,82,47,111,10,4,0.283,0.340,0.486,40
W ,Adonis Garcia 3B | ATL,607,73,160,110,33,0,17,76,25,122,3,1,0.264,0.300,0.402,180
W ,Jedd Gyorko 2B | STL,495,60,121,76,14,1,30,69,40,123,0,0,0.244,0.303,0.459,195
W ,David Wright 3B | NYM ,526,71,129,82,29,0,18,57,77,176,12,5,0.245,0.343,0.403,206
W ,Martin Prado 3B | MIA,585,64,170,124,33,3,10,71,47,75,2,1,0.291,0.348,0.408,221
W ,Chase Headley 3B | NYY,577,74,146,102,26,2,16,63,54,161,6,2,0.253,0.326,0.388,223
W ,Matt Duffy 3B | TB ,601,66,149,104,28,4,13,55,28,126,10,2,0.248,0.289,0.373,274
W ,Yunel Escobar 3B | LAA,580,72,172,135,28,2,7,46,40,84,1,0,0.297,0.348,0.388,276
W ,Jorge Polanco SS | MIN ,496,53,131,87,29,7,8,54,36,105,8,3,0.264,0.325,0.399,318
W ,Howie Kendrick LF | PHI,513,58,133,96,27,3,7,39,35,106,14,2,0.259,0.310,0.364,325
W ,Ryan Schimpf 2B | SD,401,63,80,33,24,5,18,66,54,132,1,1,0.200,0.311,0.419,331
W ,Sean Rodriguez 1B | ATL ,352,45,90,53,19,1,17,47,27,122,2,1,0.256,0.318,0.460,355
W ,Wilmer Flores 3B | NYM ,348,43,91,60,16,1,14,49,21,56,1,0,0.262,0.309,0.434,387
W ,Jose Reyes 3B | NYM ,360,47,93,63,18,5,7,32,24,68,14,2,0.258,0.305,0.394,392
W ,Brock Holt LF | BOS ,437,55,109,76,24,3,6,42,37,95,6,1,0.249,0.314,0.359,420
W ,Cheslor Cuthbert 3B | KC,450,47,117,79,26,2,10,38,31,94,2,0,0.260,0.308,0.393,433
W ,Jefry Marte 1B | LAA,278,35,65,36,13,0,16,41,19,77,2,1,0.234,0.295,0.453,442
W ,Yonder Alonso 1B | OAK ,434,49,109,75,28,0,6,45,44,70,2,1,0.251,0.323,0.357,455
W ,Jhonny Peralta 3B | STL,327,39,86,59,16,1,10,38,25,67,0,0,0.263,0.319,0.410,468
W ,Whit Merrifield 2B | KC,310,44,82,55,20,4,3,30,20,72,8,2,0.265,0.309,0.384,470
W ,Rob Segedin LF | LAD,313,38,74,49,12,4,9,40,26,90,2,0,0.236,0.307,0.387,488
W ,Marwin Gonzalez 1B | HOU ,309,33,81,55,16,2,8,29,12,63,5,2,0.262,0.296,0.405,490
W ,Enrique Hernandez LF | LAD,340,41,79,50,16,2,11,31,37,98,3,1,0.232,0.309,0.388,495
W ,Brandon Drury LF | ARI ,298,34,80,53,18,0,9,32,19,65,0,0,0.269,0.317,0.419,503
W ,Ryan Flaherty 3B | BAL ,398,40,83,57,14,4,8,36,35,118,4,0,0.208,0.278,0.324,574
W ,Tyler Saladino 2B | CHW ,191,22,50,37,7,1,5,22,8,42,7,2,0.262,0.298,0.387,585
W ,JaCoby Jones 3B | DET,237,31,59,38,14,2,5,23,15,76,4,0,0.249,0.299,0.388,592
W ,Derek Dietrich 2B | MIA ,228,28,60,38,13,3,6,26,21,58,0,0,0.263,0.356,0.425,603
W ,Eduardo Escobar SS | MIN ,302,30,69,45,16,2,6,35,18,71,1,0,0.229,0.274,0.354,612
W ,Conor Gillaspie 3B | SF ,182,20,48,29,9,2,8,26,10,34,0,0,0.264,0.306,0.467,615
W ,Luis Valbuena 3B | HOU ,204,25,49,30,10,0,9,25,23,46,0,0,0.240,0.323,0.422,619
W ,Chris Coghlan LF | CHC,221,32,48,29,11,2,6,24,29,55,4,1,0.217,0.314,0.366,620
W ,Kaleb Cowart 3B | LAA,430,45,80,55,18,0,7,41,15,137,2,1,0.186,0.221,0.277,636
W ,Pat Valaika 3B | COL,161,25,41,27,8,1,5,20,9,45,2,0,0.255,0.298,0.410,641
W ,Christian Villanueva 3B | CHC ,156,20,40,26,8,1,5,21,13,39,1,0,0.256,0.322,0.417,667
W ,Miguel Andujar 3B | NYY ,154,19,39,24,8,1,6,20,12,39,1,0,0.253,0.311,0.435,668
W ,Tommy La Stella 3B | CHC,198,20,55,35,16,1,3,17,17,32,1,0,0.278,0.341,0.414,704
W ,Rio Ruiz 3B | ATL,158,18,40,26,8,2,4,20,11,41,2,0,0.253,0.310,0.405,712
W ,Andy Burns 3B | TOR ,157,24,35,22,7,1,5,20,11,42,1,0,0.223,0.286,0.376,714
W ,David Freese 3B | PIT ,160,20,42,29,9,0,4,19,13,48,0,0,0.263,0.333,0.394,723
W ,Giovanny Urshela 3B | CLE,210,24,48,34,7,1,6,20,14,47,0,0,0.229,0.286,0.357,724
W ,J.T. Riddle 3B | MIA,155,17,40,27,8,1,4,18,11,36,1,0,0.258,0.316,0.400,745
W ,Greg Garcia 3B | STL,182,24,49,37,10,0,2,12,28,41,1,1,0.269,0.376,0.357,755
W ,Jeimer Candelario 3B | CHC,142,17,35,23,7,1,4,18,13,37,1,0,0.246,0.319,0.394,764
W ,T.J. Rivera 2B | NYM,123,13,33,23,6,1,3,14,7,27,1,0,0.268,0.313,0.406,812
W ,Alexi Amarista 2B | COL ,188,14,45,37,5,2,1,16,12,31,5,1,0.239,0.285,0.303,824
W ,Ryan Goins 2B | TOR ,223,22,48,32,10,3,3,20,14,58,1,0,0.215,0.265,0.327,837
W ,Darwin Barney 2B | TOR ,162,20,41,31,7,1,2,11,9,29,1,0,0.253,0.296,0.346,840
W ,Chase d'Arnaud SS | ATL,124,14,31,22,7,1,1,12,11,31,4,1,0.250,0.316,0.347,851
W ,Tim Beckham SS | TB ,164,16,36,20,8,4,4,15,9,60,2,0,0.220,0.264,0.390,852
W ,Ronald Torreyes 3B | NYY,136,18,32,23,7,1,1,11,9,23,2,0,0.235,0.288,0.324,894
W ,Andres Blanco 3B | PHI ,88,12,24,13,8,1,2,9,6,19,1,0,0.273,0.333,0.455,897
W ,Matt Reynolds SS | NYM,99,13,23,12,8,0,3,13,6,33,0,0,0.232,0.283,0.404,904
W ,Shawn O'Malley RF | SEA,128,14,29,20,5,3,1,10,12,39,4,1,0.227,0.303,0.336,905
