All Catchers 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Gary Sanchez C  NYY"	471	79	131	78	20	0	33	90	40	120	2	1	0.278	0.345	0.531	56
"Yadier Molina C  STL "	501	60	137	91	27	1	18	82	28	74	9	4	0.274	0.312	0.439	116
"Buster Posey C  SF"	494	62	158	112	34	0	12	67	61	66	6	1	0.320	0.400	0.462	122
"Salvador Perez C  KC"	471	57	126	74	24	1	27	80	17	95	1	0	0.268	0.297	0.495	123
"J.T. Realmuto C  MIA "	532	68	148	95	31	5	17	65	36	106	8	2	0.278	0.332	0.451	131
"Willson Contreras C  CHC"	377	50	104	62	21	0	21	74	45	98	5	4	0.276	0.356	0.499	153
"Mike Zunino C  SEA "	387	52	97	47	25	0	25	64	39	160	1	0	0.251	0.331	0.509	197
"Welington Castillo C  CHW"	341	44	96	65	11	0	20	53	22	97	0	0	0.281	0.323	0.490	240
"Yasmani Grandal C  LAD "	438	50	108	59	27	0	22	58	40	130	0	1	0.247	0.308	0.459	249
"Brian McCann C  HOU"	349	47	84	53	12	1	18	62	38	58	1	0	0.241	0.323	0.435	265
"Kurt Suzuki C  ATL"	276	38	78	46	13	0	19	50	17	39	0	0	0.283	0.351	0.536	270
"Tyler Flowers C  ATL "	317	41	89	61	16	0	12	49	31	82	0	1	0.281	0.378	0.445	317
"Robinson Chirinos C  TEX "	263	46	67	36	13	1	17	38	34	79	1	0	0.255	0.360	0.506	319
"Travis d'Arnaud C  NYM "	348	39	85	49	19	1	16	57	23	59	0	0	0.244	0.293	0.443	321
"Evan Gattis C  HOU "	300	41	79	45	22	0	12	55	18	50	0	1	0.263	0.311	0.457	323
"Alex Avila C  ARI "	311	41	82	54	13	1	14	49	62	120	0	1	0.264	0.387	0.447	324
"Manny Pina C  MIL"	330	45	92	62	21	0	9	43	20	79	2	0	0.279	0.327	0.424	333
"Chris Iannetta C  COL "	272	38	69	33	19	0	17	43	37	87	0	0	0.254	0.354	0.511	335
"Austin Hedges C  SD"	387	36	83	48	17	0	18	55	23	122	4	1	0.214	0.262	0.398	338
"Yan Gomes C  CLE"	341	43	79	50	15	0	14	56	31	99	0	0	0.232	0.309	0.399	339
"James McCann C  DET "	352	39	89	60	14	2	13	49	26	89	1	0	0.253	0.318	0.415	344
"Christian Vazquez C  BOS "	324	43	94	69	18	2	5	32	17	64	7	2	0.290	0.330	0.404	347
"Austin Barnes C  LAD"	218	35	63	38	15	2	8	38	39	43	4	1	0.289	0.408	0.486	362
"Jason Castro C  MIN"	356	49	86	54	22	0	10	47	45	108	0	0	0.242	0.333	0.388	365
"Jonathan Lucroy C  COL"	423	45	112	82	21	3	6	40	46	51	1	0	0.265	0.345	0.371	385
"Russell Martin C  TOR"	307	49	68	43	12	0	13	35	50	83	1	2	0.222	0.343	0.388	386
"Matt Wieters C  WAS "	422	43	95	65	20	0	10	52	38	94	1	0	0.225	0.288	0.344	395
"Tucker Barnhart C  CIN "	370	26	100	67	24	2	7	44	42	68	4	0	0.270	0.347	0.403	397
"Martin Maldonado C  LAA "	429	43	95	61	19	1	14	38	15	119	0	2	0.221	0.277	0.368	425
"Cameron Rupp C  PHI "	295	35	64	33	17	0	14	34	34	114	1	0	0.217	0.299	0.417	436
"Stephen Vogt C  MIL"	279	25	65	37	15	1	12	40	21	56	0	1	0.233	0.285	0.423	450
"Wilson Ramos C  TB"	208	19	54	37	6	0	11	35	10	36	0	0	0.260	0.290	0.447	456
"Rene Rivera C  LAA "	218	23	55	36	9	0	10	35	14	70	0	1	0.252	0.305	0.431	463
"Caleb Joseph C  BAL "	254	31	65	42	14	1	8	28	10	72	0	0	0.256	0.287	0.413	475
"Nick Hundley C  SF "	287	27	70	38	23	0	9	35	12	81	0	0	0.244	0.272	0.418	478
"Sandy Leon C  BOS "	271	32	61	40	14	0	7	39	25	74	0	0	0.225	0.290	0.354	487
"Chris Herrmann C  ARI "	226	35	41	24	7	0	10	27	29	67	5	0	0.181	0.273	0.345	488
"Kevan Smith C  CHW"	276	23	78	57	17	0	4	30	9	46	0	0	0.283	0.309	0.388	509
"Jesus Sucre C  TB "	176	20	45	32	6	0	7	29	7	35	2	0	0.256	0.289	0.409	512
"Francisco Cervelli C  PIT "	265	31	66	46	13	2	5	31	32	65	0	2	0.249	0.342	0.370	514
"John Hicks 1B  DET"	173	25	46	28	12	0	6	22	13	51	2	1	0.266	0.326	0.439	520
"Roberto Perez C  CLE"	217	22	45	25	12	0	8	38	26	71	0	1	0.207	0.291	0.373	550
"Derek Norris C  DET"	179	21	36	22	5	0	9	24	12	48	1	0	0.201	0.258	0.380	585
"Chris Gimenez C  CHC "	186	28	41	25	9	0	7	16	33	60	1	0	0.220	0.350	0.382	592
"Hector Sanchez C  SF "	137	14	30	18	4	0	8	25	5	41	0	0	0.219	0.245	0.423	604
"Andrew Knapp C  PHI"	171	26	44	32	8	1	3	13	31	56	1	0	0.257	0.368	0.368	620
"Jorge Alfaro C  PHI "	107	12	34	23	6	0	5	14	3	33	0	0	0.318	0.360	0.514	627
"Omar Narvaez C  CHW "	253	23	70	58	10	0	2	14	38	45	0	0	0.277	0.373	0.340	630
"Miguel Montero C  TOR "	185	24	40	28	6	0	6	16	23	47	1	0	0.216	0.310	0.346	642
"Bruce Maxwell C  OAK "	219	21	52	37	12	0	3	22	31	63	0	0	0.237	0.329	0.333	667
"Devin Mesoraco C  CIN "	141	17	30	18	5	1	6	14	18	38	1	0	0.213	0.321	0.390	692
"Tony Wolters C  COL"	229	30	55	46	8	1	0	16	33	55	0	1	0.240	0.341	0.284	696
"Jett Bandy C  MIL"	169	14	35	23	6	0	6	18	15	51	1	0	0.207	0.287	0.349	708
"A.J. Ellis C  MIA"	143	17	30	19	5	0	6	14	12	29	0	0	0.210	0.298	0.371	709
"Kevin Plawecki C  NYM"	100	11	26	18	5	0	3	13	14	17	1	0	0.260	0.364	0.400	719
"Drew Butera C  KC"	163	18	37	29	4	1	3	14	12	41	0	0	0.227	0.284	0.319	740
"Elias Diaz C  PIT"	188	18	42	27	14	0	1	19	11	38	1	0	0.223	0.265	0.314	744
"Austin Romine C  NYY "	229	19	50	38	9	1	2	21	16	57	0	0	0.218	0.272	0.293	756
"Raffy Lopez C  SD "	54	9	12	7	1	0	4	12	7	21	0	0	0.222	0.306	0.463	765
"Ryan Hanigan C  COL"	101	9	27	23	2	0	2	12	8	26	0	0	0.267	0.324	0.346	784
"Carlos Ruiz C  SEA"	125	14	27	16	8	0	3	11	14	38	1	0	0.216	0.312	0.352	785
"Brett Nicholas C  TEX"	63	7	15	9	4	0	2	11	2	13	0	0	0.238	0.262	0.397	832
"Tomas Telis 1B  MIA"	104	13	25	17	5	3	0	9	3	10	0	0	0.240	0.279	0.346	858
"Josh Phegley C  OAK "	149	14	30	16	11	0	3	10	9	26	0	1	0.201	0.255	0.336	861
"Jeff Mathis C  ARI"	186	13	40	26	10	2	2	11	14	61	1	0	0.215	0.277	0.323	865
"Geovany Soto C  CHW"	42	5	8	5	0	0	3	9	4	10	0	0	0.191	0.271	0.405	873
"Rob Brantly C  ATL "	31	4	9	6	1	0	2	5	3	14	0	0	0.290	0.389	0.516	899
"Chance Sisco C  BAL "	18	3	6	2	2	0	2	4	3	7	0	0	0.333	0.455	0.778	915
"Francisco Pena C  BAL "	10	3	5	3	0	0	2	2	0	3	0	0	0.500	0.500	1.100	923
"Jose Lobaton C  NYM "	141	11	24	17	3	0	4	11	14	35	0	0	0.170	0.248	0.277	935
"Juan Centeno C  TEX "	52	5	12	10	0	0	2	4	4	12	0	0	0.231	0.286	0.346	955
"Dustin Garneau C  OAK"	112	10	21	11	8	0	2	9	12	36	0	0	0.188	0.272	0.312	959
"Max Stassi C  HOU"	24	5	4	1	1	0	2	4	6	4	0	0	0.167	0.323	0.458	965
"Tim Federowicz C  HOU "	13	3	3	1	0	0	2	3	1	4	0	0	0.231	0.286	0.692	969
"Victor Caratini C  CHC"	59	6	15	11	3	0	1	2	4	13	0	0	0.254	0.333	0.356	985
"Cam Gallagher C  KC"	24	2	6	4	1	0	1	5	3	4	0	0	0.250	0.333	0.417	1000
"Curt Casali C  TEX "	9	2	3	2	0	0	1	3	3	3	0	0	0.333	0.462	0.667	1005
"Jacob Stallings C  PIT"	14	3	5	3	2	0	0	3	2	2	0	0	0.357	0.438	0.500	1015
"Juan Graterol C  LAA"	84	5	17	13	4	0	0	10	1	13	0	0	0.202	0.207	0.250	1030
"Mike Marjama C  SEA"	9	1	3	1	1	0	1	1	0	1	0	0	0.333	0.333	0.778	1054
"Erik Kratz C  NYY "	2	0	2	1	1	0	0	2	0	0	0	0	1.000	1.000	1.500	1085
"Tomas Nido C  NYM"	10	0	3	2	1	0	0	3	0	2	0	0	0.300	0.300	0.400	1099
"Mitch Garver C  MIN"	46	5	9	5	1	3	0	3	6	15	0	0	0.196	0.288	0.348	1103
"David Freitas C  SEA"	17	2	4	2	2	0	0	2	0	4	0	0	0.235	0.235	0.353	1105
"Rocky Gale C  SD"	10	1	1	0	0	0	1	2	0	2	0	0	0.100	0.100	0.400	1108
"Ryan Lavarnway C  PIT "	11	0	3	2	1	0	0	2	1	3	0	0	0.273	0.385	0.364	1120
"Luke Maile C  TOR"	130	10	19	12	5	0	2	7	3	35	1	0	0.146	0.176	0.231	1213
"Bryan Holaday C  MIA"	29	1	7	5	2	0	0	2	0	1	0	0	0.241	0.241	0.310	1214
"Carlos Perez C  LAA "	20	1	2	1	0	0	1	3	1	6	0	0	0.100	0.143	0.250	1219
"Carson Kelly C  STL"	69	5	12	9	3	0	0	6	5	11	0	0	0.174	0.240	0.217	1220
"Mike Ohlman C  TOR "	13	1	3	3	0	0	0	1	0	3	0	0	0.231	0.231	0.231	1224
"Raudy Read C  WAS "	11	1	3	3	0	0	0	0	0	3	0	0	0.273	0.273	0.273	1228
"Blake Swihart C  BOS "	5	1	1	1	0	0	0	0	2	3	0	0	0.200	0.429	0.200	1239
"Stuart Turner C  CIN"	82	4	11	6	3	0	2	7	5	22	0	0	0.134	0.182	0.244	1245
"Oscar Hernandez C  BOS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Alfredo Gonzalez C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Trevor Brown C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Francisco Mejia C  CLE "	13	1	2	2	0	0	0	1	1	3	0	0	0.154	0.214	0.154	1308
"Anthony Recker C  MIN"	7	1	1	1	0	0	0	0	0	1	0	0	0.143	0.143	0.143	1309
"John Ryan Murphy C  ARI"	7	0	1	0	1	0	0	1	0	1	0	0	0.143	0.143	0.286	1314
"Tony Sanchez C  LAA"	1	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1316
"John Bormann C  PIT"	1	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1316
"Alberto Rosario C  STL "	3	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1327
"Pedro Severino C  WAS "	29	0	5	4	1	0	0	3	2	10	0	0	0.172	0.226	0.207	1331
"Eric Fryer C  PHI "	71	7	11	8	3	0	0	3	11	18	0	0	0.155	0.277	0.197	1336
"Chad Wallach C  MIA"	11	0	1	1	0	0	0	0	0	5	0	0	0.091	0.091	0.091	1360
"Andrew Susac C  BAL "	12	0	1	1	0	0	0	0	0	6	0	0	0.083	0.083	0.083	1364
"A.J. Jimenez C  TEX"	12	0	1	1	0	0	0	0	0	7	0	0	0.083	0.083	0.083	1364
"Chris Stewart C  PIT"	131	8	24	21	1	2	0	4	9	22	0	0	0.183	0.241	0.221	1373
"Luis Torrens C  SD"	123	7	20	16	3	1	0	7	12	30	0	0	0.163	0.243	0.203	1383
"Kyle Higashioka C  NYY"	18	2	0	0	0	0	0	0	2	6	0	0	0.000	0.100	0.000	1390
"Tom Murphy C  COL"	24	1	1	0	1	0	0	1	2	9	0	0	0.042	0.115	0.083	1400
"Tuffy Gosewisch C  SEA "	28	1	2	2	0	0	0	0	1	14	0	0	0.071	0.103	0.071	1411
"Jarrod Saltalamacchia C  TOR"	25	1	1	1	0	0	0	0	1	16	0	0	0.040	0.077	0.040	1414
"Ty Ross C  SF "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ben Carhart C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jan Vazquez C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Spencer Kieboom C  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joe Jackson C  TEX "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Radley Haddad C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ali Solis C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kellin Deglan C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
