All First Basemen 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Paul Goldschmidt 1B  ARI"	558	117	166	93	34	3	36	120	94	147	18	5	0.297	0.404	0.563	4
"Joey Votto 1B  CIN"	559	106	179	108	34	1	36	100	134	83	5	1	0.320	0.454	0.578	10
"Jose Abreu 1B  CHW "	621	95	189	107	43	6	33	102	35	119	3	0	0.304	0.354	0.552	22
"Ryan Zimmerman 1B  WAS"	524	90	159	90	33	0	36	108	44	126	1	0	0.303	0.358	0.573	23
"Anthony Rizzo 1B  CHC"	572	99	156	89	32	3	32	109	91	90	10	4	0.273	0.392	0.507	24
"Eric Hosmer 1B  KC"	603	98	192	135	31	1	25	94	66	104	6	1	0.318	0.385	0.497	26
"Cody Bellinger 1B  LAD"	480	87	128	59	26	4	39	97	64	146	10	3	0.267	0.352	0.581	29
"Edwin Encarnacion DH  CLE"	554	96	143	84	20	1	38	107	104	133	2	0	0.258	0.377	0.504	33
"Justin Smoak 1B  TOR"	560	85	151	83	29	1	38	90	73	128	0	1	0.270	0.355	0.529	46
"Freddie Freeman 1B  ATL"	440	84	135	70	35	2	28	71	65	95	8	5	0.307	0.403	0.586	51
"Jay Bruce RF  NYM "	555	82	141	74	29	2	36	101	57	139	1	1	0.254	0.324	0.508	53
"Mark Reynolds 1B  COL "	520	82	139	86	22	1	30	97	69	175	2	1	0.267	0.352	0.486	64
"Wil Myers 1B  SD"	567	80	138	76	29	3	30	74	70	180	20	6	0.243	0.328	0.464	66
"Marwin Gonzalez LF  HOU"	455	67	138	81	34	0	23	90	49	99	8	3	0.303	0.377	0.530	68
"Joey Gallo 3B  TEX "	449	85	94	32	18	3	41	80	75	196	7	2	0.209	0.333	0.537	74
"Logan Morrison 1B  TB"	512	75	126	65	22	1	38	85	81	149	2	0	0.246	0.353	0.516	78
"Carlos Santana 1B  PHI "	571	90	148	85	37	3	23	79	88	94	5	1	0.259	0.363	0.455	92
"Josh Bell 1B  PIT"	549	75	140	82	26	6	26	90	66	117	2	4	0.255	0.334	0.466	99
"Trey Mancini LF  BAL "	543	65	159	105	26	4	24	78	33	139	1	0	0.293	0.338	0.488	100
"Eric Thames 1B  MIL"	469	83	116	55	26	4	31	63	75	163	4	2	0.247	0.359	0.518	101
"Miguel Sano 3B  MIN "	424	75	112	67	15	2	28	77	54	173	0	0	0.264	0.352	0.507	103
"Yuli Gurriel 1B  HOU"	529	69	158	96	43	1	18	75	22	62	3	2	0.299	0.332	0.486	108
"Yonder Alonso 1B  CLE "	451	72	120	70	22	0	28	67	68	118	2	0	0.266	0.365	0.501	111
"Justin Bour 1B  MIA "	377	52	109	66	18	0	25	83	47	95	1	0	0.289	0.366	0.536	117
